	B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono/Macro	Myofibroblasts	Plasma	Tprolif
spot_1	0.05325293135904561	0.2955986046116674	0.24895187421184875	0.005514155135730138	0.27008781578244023	0.08651161195306445	0.0016995476966845471	0.009955265242767044	0.008184309315160353	0.0038418233827049986	0.016402061308886447
spot_2	0.03864699104676073	0.11784040228034418	0.10475024409149652	0.03202903186252679	0.018287602883339863	0.37073901229453177	0.002420979805531846	0.2780594000185428	0.0032085881862102578	0.0032670463706551134	0.030750701160060123
spot_3	0.08679581124039348	0.20886058089778436	0.09397811262531923	0.008855071720619034	0.06058282544949531	0.31234885369780563	0.0014736443447080413	0.07429643324678718	0.14493652673376875	0.0033170562216023234	0.00455508382171655
spot_4	0.02666641544290992	0.16041792900700572	0.09250866124410895	0.009000979867202986	0.13847076886117823	0.4676747235625774	0.0014623749602584986	0.017052497777954003	0.006752957680933897	0.0034915361636383697	0.07650115543223204
spot_5	0.011355277686083569	0.12949558765375588	0.05037833342765345	0.006245278709332063	0.12468799580700682	0.3404492808707321	0.0013132169938573366	0.12136112865954607	0.02643118983357115	0.16699001299521765	0.021292697363244007
spot_6	0.03910122123421027	0.09250732453640635	0.04216167088801784	0.32364506014347805	0.2315172435462644	0.15783764039681192	0.001746810969594741	0.0939853165726492	0.007338971427712931	0.002528401726496565	0.00763033855835779
spot_7	0.006818849933589477	0.23098168158453056	0.16649599205292603	0.005054601363149911	0.018056009179188304	0.41390203885200094	0.010233489752687524	0.07801292219288682	0.021700671483774928	0.0401566848775363	0.00858705872772912
spot_8	0.006722791871388473	0.14964658155326566	0.06197258933418855	0.3343146226384467	0.036644038897052734	0.292322033654487	0.032335501911359886	0.005138450309725631	0.011849177041251983	0.06572448520993888	0.00332972757889446
spot_9	0.04914352809148695	0.13237410524071802	0.06190538253159487	0.14746816578315855	0.22244695619915147	0.13411984063923998	0.014834829588611867	0.2231790445577599	0.007176238832398079	0.0033934235227676976	0.003958485013112552
spot_10	0.004098234641596782	0.05437975416152667	0.05229466411918995	0.18345318864493337	0.48894272527251453	0.06210497004206876	0.00041131728394478134	0.0034546363882550606	0.09011831245677274	0.05512640254884462	0.005615794440352735
spot_11	0.03729370732022137	0.22943224898567827	0.0838527411672605	0.018841636347603496	0.1660250337522512	0.26791769831748363	0.12447803561355898	0.027714697318319905	0.0357419900817239	0.0061074119709203034	0.002594799124978516
spot_12	0.2471170049091169	0.1372735353624075	0.06395950372523519	0.005317778120843715	0.16407915344224414	0.015507000810383429	0.0014388301439130053	0.11248633672684545	0.12390522013495611	0.12177215421417209	0.007143482409882338
