Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16
CLEC4A	1.0165276762563735e-06	2.3561015041195787e-05	7.82500819695997e-07	0.0013065518578514457	0.00011730406549759209	0.00024344635312445462	3.091241069341777e-06	2.740507261478342e-05	2.0462108295760117e-05	4.45180859287575e-07	2.507906913251645e-07	1.1412437743274495e-05	3.6941612052032724e-05	8.548001460439991e-06	1.043375232256949e-05	1.4835686670267023e-06
FAM111B	1.061801867763279e-06	0.0017544591100886464	5.5910437168904537e-08	4.398887540446594e-06	0.00017080819816328585	1.5442446965607814e-06	4.456179794942727e-06	9.740429618432245e-08	3.3325648018944776e-07	3.2855994504643604e-05	1.995952743527596e-06	2.4245916847576154e-06	2.5724943952809554e-07	6.319574367807945e-06	7.191385975602316e-07	1.0791192153192242e-06
LAIR2	0.0012948011280968785	2.964570558106061e-05	1.8799253666657023e-05	2.7096879762211756e-07	4.602171611622907e-05	1.5193920432921004e-07	2.2461654225480743e-05	4.5593203878979693e-08	6.888596999488072e-07	4.3016434858600405e-08	1.607173345519186e-07	1.738632420256181e-07	3.6929105107219584e-08	3.573980166038382e-06	5.701385319412111e-08	0.00039486022433266044
IGHV4-61	3.102155403666984e-07	5.259486897557508e-06	1.1521865417307708e-07	4.693299615610158e-08	4.414825980347814e-06	6.213117558218073e-07	7.123993555069319e-07	1.1361451868197037e-07	0.0015882845036685467	5.956541926366299e-09	2.516338645364158e-05	7.356181299655873e-07	2.9248303334838965e-08	6.482772732852027e-06	5.57658843547415e-08	6.206112175277667e-07
NUDT14	0.00023537366359960288	0.00019137868366669863	0.000214252999285236	0.0003633073065429926	0.0003922308678738773	0.0004062757361680269	0.00019016074656974524	0.0006178414914757013	3.7580695789074525e-05	0.0008382502128370106	4.422292113304138e-05	0.00017976254457607865	8.248430822277442e-05	0.0001698777050478384	5.4822136007715017e-05	0.00047966992133297026
PLAU	6.996799584157998e-07	4.034617177239852e-06	6.517421411444957e-07	0.0005138271953910589	8.663729386171326e-05	9.318090633314569e-06	1.3893253481001011e-06	0.0001075321706593968	2.6432983304403024e-06	3.019563052930607e-07	0.00010660424595698714	0.00010832090629264712	3.022729288204573e-05	1.1268868547631428e-05	0.0012607610551640391	1.5360988982138224e-05
AIF1L	6.290279657150677e-07	9.889491593639832e-06	1.4889897101966199e-06	1.6172594996533007e-06	5.5774886277504265e-05	6.2917405330154e-07	4.2625390506145777e-07	0.0007173201302066445	4.980233279638924e-05	0.00023567132302559912	7.731513323960826e-05	6.189419946167618e-05	1.2266166322660865e-06	0.00011166633339598775	1.9813949165836675e-06	1.6916695244617586e-07
FBLN1	1.1758189657484763e-06	2.395999445070629e-06	2.904665507230675e-06	1.284725044570223e-06	0.00014199138968251646	1.5127918686630437e-06	2.4601358745712787e-06	9.106603897635068e-07	3.396208057893091e-06	4.202896889182739e-06	1.4166093933454249e-05	0.0016095417086035013	2.900472463807091e-05	2.7310277801007032e-05	0.0012805693550035357	1.3005843584323884e-06
DNM3OS	1.3704111552215181e-06	3.379969086836354e-07	7.836924282855762e-07	4.996522307010309e-07	3.1609757570549846e-05	4.172344176822662e-07	1.0116993962583365e-06	9.905671322485432e-05	5.2395830607565586e-06	1.9033063836104702e-07	3.297534567536786e-05	0.0003438604762777686	7.74119544075802e-05	2.8100237614125945e-05	0.0010872564744204283	2.1311784337285644e-07
MAP1A	6.388063866324956e-06	1.0766181731014512e-05	2.9456554329954088e-05	1.8770210772345308e-06	0.00010336776176700369	0.0003083725168835372	6.020605269441148e-06	4.59831517218845e-06	2.7578340450418182e-05	6.508078513434157e-06	0.00057428382569924	0.0008476428338326514	0.00016175633936654776	3.814835145021789e-05	0.000758974754717201	6.887204108352307e-06
MS4A4A	3.61905563295295e-07	1.3635345794682507e-06	9.968791658820919e-08	0.0015097992727532983	8.149706445692573e-06	1.8624801668920554e-05	2.7418525405664695e-07	5.384417818277143e-07	4.735469246952562e-06	1.8489478392780256e-08	1.0567396913074845e-07	3.1121712140702584e-07	6.620251724598347e-08	5.584294740401674e-06	5.839959840159281e-07	3.883624799527752e-07
KIF4A	9.993195959623336e-08	0.0020599837880581617	3.7091204774242215e-08	2.9544710287154885e-06	1.5999723473214544e-05	1.4061089359529433e-07	4.514671218203148e-06	3.3607796012802282e-06	5.512611664926226e-07	1.6999951185425743e-05	2.9917768188170157e-05	8.100652735265612e-07	4.1804572248338445e-08	4.317650109442184e-06	2.841390482899442e-07	3.8098829691080027e-07
CPNE5	2.4557948563597165e-06	0.0007742581074126065	4.650506525649689e-06	3.907832706318004e-06	2.7972968382528052e-05	0.0003879076975863427	1.1470694516901858e-05	0.0005757225444540381	0.0025809614453464746	4.309775931687909e-07	4.662269020627718e-06	7.882889804022852e-06	1.0205607395619154e-05	0.0016490764683112502	5.365936431189766e-06	4.326920134190004e-06
FAM92B	4.336282799499713e-08	2.919799158007663e-07	2.5807608494687884e-08	3.0358517051354283e-06	5.015278475184459e-06	5.102370792542388e-08	4.7835420957653696e-08	1.843770434106773e-07	0.0033715490717440844	7.990926143008892e-09	1.437668743164977e-06	1.9046080979023827e-07	8.887803915058612e-08	0.0011031700996682048	5.594026333710644e-06	8.111758802442637e-07
TNFRSF17	1.1498364926865179e-07	0.00016371508536394686	2.3267541848781548e-07	2.1644800654030405e-06	2.5464903956162743e-05	2.672092341526877e-05	3.138501369903679e-07	7.659050282882163e-08	0.006663202308118343	1.5781957074523234e-08	3.7304484976630192e-06	5.081626568426145e-07	9.438505799153063e-07	0.0019784909673035145	4.735839866043534e-06	1.6686511798980064e-06
IGLV3-10	3.158212891207768e-08	5.434716499053138e-08	2.368872920044396e-08	3.0490106439629017e-08	3.832096354017267e-06	4.034606604363944e-08	0.00031795361428521574	3.2427351470687427e-08	1.8032237392162642e-07	3.804539350227287e-09	6.745375458194758e-08	9.547815693622397e-08	2.5523180013919955e-08	1.385399173159385e-06	2.6922606366497348e-08	1.4332246678350202e-07
CDCA2	1.7812671160299942e-07	0.002336411504074931	5.267737535064043e-08	5.973275619908236e-06	6.589086842723191e-05	3.695097916533996e-07	3.171095886500552e-05	8.370502513344036e-08	5.529710961127421e-06	2.7254885935690254e-05	7.827105036994908e-06	4.143973455938976e-06	2.410259639873402e-06	4.445782451512059e-06	8.790432730165776e-06	2.2123025189557666e-07
IRAK3	3.106105941697024e-05	6.264145213208394e-06	1.5627073253199342e-06	0.0005078483955003321	5.862252874067053e-05	0.00019494345178827643	1.0952513775919215e-06	0.00038278105785138905	1.9093704395345412e-06	1.4471970644081011e-06	0.0001256367686437443	0.000397478201193735	4.4228094338905066e-05	2.5762305085663684e-05	0.0001252228394150734	1.8130294847651385e-06
SLC44A1	0.00011206106137251481	6.0781665524700657e-05	0.0001281536096939817	0.00018645937961991876	7.653077773284167e-05	0.0004314994439482689	0.00010857467714231461	0.00026042357785627246	0.0008668899536132812	0.00025612532044760883	0.0001679316774243489	0.0005359040223993361	0.000869691779371351	0.0005572161171585321	0.001090654288418591	4.648736648960039e-05
TRAF4	0.00016832993424031883	0.0002708701358642429	7.41794501664117e-05	7.790380550432019e-06	0.0001728322822600603	0.000629832036793232	8.628013165434822e-05	9.422052971785888e-05	0.00012330598838161677	0.00029701789026148617	6.185134407132864e-05	6.993836723268032e-05	0.00020551485067699105	0.0003332140331622213	0.00010767737694550306	8.730428089620546e-05
EDIL3	3.638696739471925e-07	5.622503636004694e-07	3.590390917906916e-07	8.974807883532776e-07	2.4650471459608525e-05	6.2946724028734025e-06	5.453503604258003e-07	0.00014928658492863178	3.302538743810146e-06	1.0456746224463132e-07	0.0003838363045360893	3.0074512324063107e-05	6.728728476446122e-05	1.137693652708549e-05	0.0015031194780021906	4.88217949623504e-07
RPL10	0.0014608660712838173	0.0006955027929507196	0.005484901834279299	0.0004963403334841132	0.0012809516629204154	0.0018334416672587395	0.001595713896676898	0.0006792321801185608	0.0013946376275271177	0.0015317756915464997	0.0009364460711367428	0.001470734248869121	0.00015995834837667644	0.001354533014819026	0.000851198099553585	0.0012646018294617534
