Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32	Topic33	Topic34
MS4A4A	2.4421223088211264e-07	3.2927398478932446e-06	3.3767009881557897e-06	5.737294372920587e-07	7.473788718925789e-05	4.859616637986619e-07	3.3939315358111344e-07	8.517105015926063e-06	0.00010819495946634561	1.1642734421002388e-07	8.927046337703359e-07	2.7482319637783803e-06	1.5234810746278526e-07	2.4078406113403616e-07	4.60005111335704e-07	2.87623436179274e-07	4.176874881522963e-07	3.700858144384256e-07	8.199089279514737e-06	1.079075218513026e-06	2.7696424353962357e-07	9.66485749813728e-05	8.655893907416612e-06	6.308349753680886e-08	2.729821062530391e-07	4.5149528205001843e-07	3.681940142996609e-06	7.633963832631707e-06	1.6249610723662045e-07	2.6628229079506127e-06	5.909767537559674e-07	3.064709730438153e-08	0.0014710561372339725	1.3066989268395446e-08
KIF4A	2.472673372722056e-07	2.2198791782557237e-07	2.4919559109548572e-06	1.1628858231915729e-07	3.07857699226588e-05	3.209770511602983e-05	1.419558515181052e-07	7.045967777230544e-06	0.00011518126120790839	1.2094662338313356e-07	1.899386603554376e-07	1.136578589466808e-06	1.1599140492535298e-07	7.359048481703212e-08	1.0148865214887337e-07	1.36770609060477e-07	1.992379594639715e-07	1.1722730164365203e-07	4.0521226765122265e-06	9.309701454185415e-08	6.882687131337661e-08	7.633486802660627e-07	6.801258223276818e-06	2.7125926862936467e-05	6.224662740805798e-08	0.00308519066311419	3.8195702245502616e-07	4.228449142829049e-06	5.9009465758208535e-08	1.3181870599510148e-05	4.960902515449561e-07	2.807887078404292e-08	5.915377983001235e-07	4.251210938832628e-09
CPNE5	3.007844270541682e-06	0.00026708561927080154	7.313004971365444e-06	7.385385288216639e-06	0.00012533176050055772	4.477527909330092e-06	1.013675387184776e-06	1.9522307411534712e-05	0.00013212092744652182	6.1226760408317205e-06	1.7639559928284143e-06	0.002560366177931428	1.267381094294251e-06	1.1947826124014682e-06	4.43899079982657e-06	4.579324922815431e-06	0.00012430026254151016	7.403442054965126e-07	1.2760281606460921e-05	1.860957354438142e-06	1.2460408242986887e-06	7.936550900922157e-06	9.65655726758996e-06	2.150122327293502e-06	0.001235098927281797	1.2624720966414316e-06	0.00010919648048002273	6.098122867115308e-06	2.950662292278139e-06	9.9316430350882e-06	0.0010722414590418339	1.8604347360451357e-06	2.965139742627798e-07	9.992545102477379e-08
FAM92B	4.963567334925756e-08	4.2120870347162054e-08	2.2103727133071516e-06	8.367084092242294e-08	2.40670869970927e-05	1.7266971497065242e-07	1.0058704447146738e-07	5.186091584619135e-06	8.092955977190286e-05	1.757568846016966e-08	8.70011263032211e-08	0.003336893627420068	2.988026182038084e-08	3.1374280951013134e-08	9.225684038938198e-08	3.809546100796979e-08	1.9911772142222617e-06	6.179007527862268e-08	3.1883282645139843e-06	3.08972225582238e-08	8.525470462927842e-08	1.250878369774e-07	4.585894203046337e-06	8.146735694936069e-07	3.242665869152006e-08	3.631047462704373e-08	2.1785128012652422e-07	3.0735561722394777e-06	5.304318762000548e-08	9.30541148136399e-07	1.2688447270647885e-07	7.257131340310252e-09	5.180364226475831e-08	2.1848887143960383e-09
TNFRSF17	1.1828920065681814e-07	7.915710398265219e-08	4.2282404137949925e-06	3.943748652091017e-07	4.388973684399389e-05	3.1624955454390147e-07	1.502621387317049e-07	1.0236951311526354e-05	0.00011929000174859539	7.732150208994426e-08	4.1935635408663074e-07	0.005970215890556574	6.916173589388563e-08	7.635011911588663e-08	2.7398942847867147e-07	3.1776673381500586e-07	7.499134824229259e-08	3.4717399444161856e-07	1.1002956853189971e-05	1.1401073152228491e-07	1.418547128650971e-07	0.00019571198208723217	7.739135980955325e-06	5.344182341104897e-07	0.0003575214359443635	1.8066003804051434e-07	4.7202925657074957e-07	4.7254325181711465e-06	1.2482728095619677e-07	1.3305271977515076e-06	7.56536238100125e-08	2.7228656662714457e-08	9.136124390352052e-08	4.289172128579821e-09
IGLV3-10	4.0060172068479005e-08	4.015797827605638e-08	1.9652638911793474e-06	7.560134207551528e-08	2.2026371880201623e-05	7.202518048643469e-08	3.70104480396094e-08	4.816247837879928e-06	4.503537275013514e-05	1.3962706546521986e-08	2.623613859498164e-08	7.90629357538819e-08	2.037657331754872e-08	2.4469100523560883e-08	8.104009907583531e-08	3.4764305212320323e-08	3.069164833391369e-08	5.2474124601076255e-08	2.3632910597370937e-06	2.3375635649358628e-08	5.3440537328697246e-08	1.0756888002561027e-07	4.526462817011634e-06	3.4494718192945584e-08	2.7436197314045785e-08	3.406720949783448e-08	2.1004619554787496e-07	2.947228949778946e-06	4.334501468861163e-08	6.906183216415229e-07	3.0703272813070726e-08	6.8074741399470895e-09	1.3985343549904883e-08	2.1584323217638257e-09
CDCA2	1.9915040638807113e-07	1.9796127048721246e-07	3.4951626730617136e-06	7.66415496400441e-07	3.429223215789534e-05	4.251032805768773e-05	2.391830378201121e-07	6.895167643961031e-06	8.937737584346905e-05	7.12439316430391e-08	4.1050751065085933e-07	1.033501007441373e-06	1.6717089579287858e-07	1.612412745544134e-07	1.1478613970439255e-07	3.479614179013879e-07	1.0096557190308886e-07	9.217477270340169e-08	7.771248419885524e-06	6.646775432272989e-07	2.395491378592851e-07	8.378370353057107e-07	6.44832198304357e-06	2.3556788164569298e-06	1.2043058461586043e-07	0.0036573305260390043	8.782836857790244e-07	4.350873950897949e-06	1.7036626331901061e-07	4.739478299597977e-06	4.172642320554587e-07	1.1891708709299564e-05	2.9901011089350504e-07	1.2106502254027873e-06
IRAK3	1.2591359563884907e-06	0.00022717381943948567	6.893240879435325e-06	2.405372697467101e-06	6.453222886193544e-05	3.7079555568197975e-06	0.00036146907950751483	3.472456955933012e-05	0.0001538041396997869	9.021272830977978e-07	2.340863829886075e-05	3.841299530904507e-06	3.4535008808234124e-07	3.388331606402062e-05	0.00046869140351191163	1.4792798310736543e-06	0.0005984999006614089	1.8591395928524435e-05	1.3153650797903538e-05	6.616953032789752e-05	0.00011782805813709274	1.4758755241928156e-05	1.3298314115672838e-05	0.00015478907153010368	5.213791519054212e-05	5.6325129662582185e-06	0.00012781091209035367	1.1942534911213443e-05	4.4822695599577855e-06	4.54553883173503e-05	0.0001678037369856611	3.201661684215651e-06	0.0005319658666849136	1.3922591506343451e-06
SLC44A1	4.094243558938615e-05	0.0009419983834959567	0.00029238671413622797	0.0002814338367898017	0.0002523023867979646	3.327077138237655e-05	0.0013627010630443692	9.00284358067438e-05	0.00032291567185893655	0.00012203255027998239	5.014252383261919e-05	0.0008745405357331038	4.3096832087030634e-05	0.00014007887511979789	0.0005371792940422893	0.00010676949023036286	0.00023277215950656682	0.000129422071040608	0.0003141264314763248	0.0010687194298952818	0.0005303772049956024	0.00010667262540664524	7.568841829197481e-05	0.0001805049687391147	5.396097549237311e-05	7.832607661839575e-05	0.0001534267794340849	4.332953176344745e-05	0.00025962834479287267	8.525156590621918e-05	0.0002953296061605215	6.031377779436298e-05	0.00018869499035645276	0.00042068384937010705
TRAF4	7.161386747611687e-05	0.0001907544065034017	9.161810339719523e-06	7.565454143332317e-05	0.00012609647819772363	0.0001292609522351995	0.00017869150906335562	6.75305345794186e-05	0.0002549409691710025	9.84136713668704e-05	0.00020074094936717302	0.00013078875781502575	6.545301584992558e-05	0.0001077068955055438	7.740791625110433e-05	8.996552060125396e-05	4.399117096909322e-05	3.101816400885582e-05	0.00010208948515355587	0.0001311892701778561	4.7707915655337274e-05	0.0016820369055494666	7.587960863020271e-05	6.530111568281427e-05	0.000543511938303709	0.00018316865316592157	0.00029343413189053535	1.9459390387055464e-05	1.4815189388173167e-05	0.00010452221613377333	0.000140363335958682	0.0005302769714035094	7.305827239179052e-06	0.00021676164760719985
EDIL3	5.703647047994309e-07	7.558958168374375e-05	0.00010755281255114824	4.921475920127705e-07	0.0001043195734382607	7.727924753453408e-07	0.0008448127191513777	2.836254680005368e-05	0.00020150438649579883	2.0260465305455e-07	2.931380436166364e-07	8.032056939555332e-07	4.869067424806417e-07	5.076761340205849e-07	1.1119744158349931e-05	1.00863996976841e-06	3.5813723116007168e-06	2.2657441434148495e-07	7.295396062545478e-05	0.0021131327375769615	0.00021851196652278304	3.931555966119049e-06	2.7007790777133778e-05	0.00037821586010977626	4.106804283310339e-07	5.758806196354271e-07	0.00016007076192181557	1.3647458217747044e-05	0.00013819370360579342	8.438500117335934e-06	0.00038605424924753606	1.6622696819013072e-07	1.9025384290216607e-07	4.842365797230741e-07
RPL10	0.0009326296858489513	0.0015870819333940744	0.0009994894498959184	0.00027653705910779536	0.0011739596957340837	0.0007089920109137893	0.00020007397688459605	0.0013271349016577005	0.0009581543272361159	0.003689585719257593	0.0008382376981899142	0.0014114384539425373	0.0017356076277792454	0.003363608615472913	0.001509176567196846	0.0033924621529877186	0.0010491667781025171	0.002345617162063718	0.0019263853318989277	0.0008665151544846594	0.0015662471996620297	0.0021312683820724487	0.0006773158092983067	0.0007933716988191009	0.0024673680309206247	0.00032364262733608484	0.0003759327810257673	0.0014517371309921145	0.0053260428830981255	0.000982258003205061	0.0002307049580849707	0.0023321183398365974	0.0006030647782608867	0.001021521631628275
CST7	0.0011283140629529953	8.184240141417831e-05	6.616228347411379e-05	6.41328952042386e-05	0.00022365029144566506	0.0002856871287804097	1.6475687516503967e-05	0.00010966624540742487	0.0003486440109554678	0.00023512294865213335	0.0006389663903973997	4.959828856954118e-06	0.003341196570545435	3.2948195439530537e-05	1.831412532737886e-06	0.000242685986449942	6.827154948041425e-07	0.002085504587739706	0.0002714446745812893	3.959324021707289e-05	8.545560376660433e-06	0.00022418913431465626	3.245727566536516e-05	1.6776259315065545e-07	3.8015091377019417e-06	3.961575657740468e-06	1.187409338854195e-06	4.245992022333667e-05	8.990841706690844e-06	9.7292686405126e-05	6.905654004185635e-07	1.907647373400323e-07	7.641590855200775e-06	5.4694545781330817e-08
HIGD1B	2.011963857739829e-07	2.1156600382710167e-07	6.014302925905213e-06	1.8595029871448787e-07	0.00012451443762984127	2.571552499830432e-07	1.7057315915280924e-07	1.8825516235665418e-05	0.00015095512208063155	6.020594867095497e-08	1.0924719617833034e-07	4.166953999629186e-07	2.9628478159793303e-07	1.2274318805793882e-07	2.924662680925394e-07	1.8093953713105293e-07	2.9774146241834387e-06	2.4802483267194475e-07	8.457070180156734e-06	2.7577897299124743e-07	2.690311760034092e-07	9.400444582752243e-07	1.8799839381244965e-05	0.0035494535695761442	2.12534956745003e-07	1.369509448068129e-07	2.316284962944337e-06	1.1884477316925768e-05	4.954949872626457e-07	3.124845079582883e-06	5.1625011110445485e-06	1.672799072593989e-07	7.957874004205223e-08	1.8516146838010172e-08
PPP3CC	0.0005117113469168544	0.00016470058471895754	0.00047943537356331944	0.0011261601466685534	0.00043689145240932703	0.0003044331388082355	0.00018862607248593122	0.00016785631305538118	0.00036829744931310415	0.0007122186943888664	0.0004602550470735878	0.0004048566916026175	0.0006700921221636236	0.00031309289624914527	0.00014237218420021236	0.00037839688593521714	0.00019116104522254318	0.0005671072867698967	0.000416963710449636	0.0001395644503645599	7.466696115443483e-05	0.0001598748640390113	0.0010718879057094455	0.00021210296836216003	0.0006246460834518075	2.1443720470415428e-05	8.31029683467932e-05	0.0003927415527869016	7.331478991545737e-05	0.0003930488892365247	0.00020427079289220273	1.9922938008676283e-05	7.397810986731201e-05	0.00017131528875324875
