Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22
MS4A4A	1.3294261691498832e-07	1.3527279634217848e-06	1.8870859719299915e-07	2.314157427463215e-06	1.5379152173977673e-08	3.773713430632597e-08	1.0597307664284017e-05	1.0023811228165869e-05	2.1743274203345209e-07	0.0014153869124129415	3.8779523947596317e-07	2.5188623453686887e-07	9.070615760720102e-07	2.6648034690879285e-05	8.516784646417364e-07	7.224990440590773e-06	4.649086349672871e-06	3.8307729255393497e-07	6.045199825166492e-07	3.8505689303747204e-07	1.749810962792253e-07	2.5243119239348744e-07
KIF4A	2.5557406843290664e-05	1.6241795037785778e-06	3.5870877468369144e-07	4.027727413813409e-07	1.0295540420202087e-07	1.1665348154110688e-07	7.269840807566652e-06	3.974966602982022e-06	9.136672929344059e-08	1.676028318797762e-06	6.310108346951893e-07	7.977191529562333e-08	9.593486538506113e-08	1.7030530216288753e-05	2.5543343440403987e-07	9.748077900439966e-07	1.384821757710597e-06	4.831923092751822e-07	7.345017365878448e-06	2.8839863830398826e-07	4.929663077746227e-07	0.0024924087338149548
CPNE5	2.729228071984835e-06	0.0006048509385436773	3.3817082112364005e-06	5.462689841806423e-06	2.468733661942224e-08	8.026316891118768e-07	4.1807688830886036e-05	0.0002191234234487638	3.2336442927771714e-06	8.378263487429649e-07	5.668588073604042e-06	0.0007197370869107544	0.00023274612613022327	3.111973273917101e-05	3.558272965165088e-07	0.0033676002640277147	0.0001492365263402462	1.0492213959878427e-06	1.6283839840980363e-06	1.6890465985852643e-06	5.644153020512022e-07	9.668919119576458e-06
FAM92B	5.461718188826126e-08	6.669165486528073e-07	1.511440395063346e-08	1.3004084564727236e-07	4.178612567073969e-09	1.4854808050301926e-08	5.94965467826114e-06	7.008158718235791e-05	6.118007433997263e-08	1.5276052067747514e-07	1.1862848623422906e-06	5.849122786116823e-08	2.2165052371292404e-07	9.134304491453804e-06	1.302451408946581e-07	0.0025541207287460566	0.0005774350720457733	4.9198966678432043e-08	4.3042998498776797e-08	1.7320694212230592e-07	4.47627535038464e-08	3.6289986837800825e-07
TNFRSF17	9.067398565321128e-08	2.5189098096234375e-07	2.503976936907293e-08	3.954457667987299e-07	1.2722526143704727e-08	2.2343657590795374e-08	3.416672188905068e-05	0.00017013253818731755	2.944075845334737e-07	2.5295301497862965e-07	2.616272240629769e-06	2.219251291535329e-05	4.560632760330918e-07	9.487690113019198e-05	1.9838819298456656e-07	0.005175330676138401	0.0028903349302709103	4.6852440505062987e-07	2.4109030505314877e-07	3.1240480780070357e-07	1.5666596198116167e-07	1.815005816752091e-06
IGLV3-10	5.101784594785386e-08	2.407091947986828e-08	1.4731097230935575e-08	4.8033101052169513e-08	3.5156069166930592e-09	1.3665789388994654e-08	3.1800886972632725e-06	2.5883223315759096e-06	1.00939798741706e-08	2.062501103239356e-08	7.447330574450461e-08	4.688341448400024e-08	5.465854258090985e-08	7.600478966196533e-06	1.214445290997901e-07	9.667980549465938e-08	6.768283924429852e-07	3.3788431608172687e-08	3.1794531452078445e-08	1.544996877100857e-07	2.9771578979875812e-08	4.264444442014792e-08
CDCA2	4.292263383831596e-06	6.459454482410365e-08	1.6783023966127075e-05	1.260864110008697e-06	7.352159769880018e-08	2.0086508456529373e-08	5.299500116962008e-06	4.601787168212468e-06	4.2478205841689487e-07	5.5642944971623365e-06	8.588729087932734e-07	2.6711984446592396e-07	1.3758598527147115e-07	3.4754360967781395e-05	2.9799244316564e-07	1.3903372746426612e-06	5.102039267512737e-06	1.809192099244683e-06	2.4009623302845284e-05	7.599861646667705e-07	1.4705160538142081e-05	0.0029217710252851248
IRAK3	0.00012852138024754822	0.0003953821142204106	4.76589366371627e-06	0.000128826592117548	5.085999532639107e-07	2.1146883227629587e-05	3.7040445022284985e-05	4.7398818423971534e-05	4.216988145344658e-06	0.0005108151817694306	0.00047487864503636956	5.466362927109003e-05	0.00017542506975587457	2.7676373065332882e-05	1.778768637450412e-05	6.904027941345703e-06	3.024807256224449e-06	2.4488233975716867e-05	1.9721969692909624e-06	1.9073041812589508e-06	0.00013484481314662844	3.573236426746007e-06
SLC44A1	0.0001615071523701772	0.0002660152968019247	0.00010835622379090637	0.0007364124758169055	0.00042887506424449384	9.802019485505298e-05	0.0002659159363247454	0.00043609074782580137	9.512502583675086e-05	0.00018570426618680358	0.0006708864821121097	3.146117887808941e-05	0.0008393204188905656	0.0005808653077110648	0.0001961458765435964	0.0005686660297214985	0.0012651958968490362	8.48278941703029e-05	1.8440212443238124e-05	0.0004895002930425107	0.0012320494279265404	6.325473077595234e-05
TRAF4	7.491231372114271e-05	9.957684233086184e-05	0.0007881139172241092	0.00010958624625345692	0.00020379539637360722	5.5040556617313996e-05	6.339756509987637e-05	4.956645716447383e-05	8.500299009028822e-05	1.8228656699648127e-05	7.403330528177321e-05	0.0005593195674009621	0.00021642155479639769	0.00010715021198848262	2.6138426619581878e-05	0.0009358577663078904	6.765486432414036e-06	0.0002151782828150317	7.900594937382266e-05	0.00019969850836787373	0.00015152510604821146	0.00022704126604367048
EDIL3	0.0003885639598593116	0.00016602873802185059	1.3777264484815532e-06	0.0007042804500088096	9.240163478807517e-08	2.109252818627283e-06	2.021433101617731e-05	2.2662836272502318e-05	4.2921422505060036e-07	3.5555717659008224e-07	8.676762081449851e-05	5.855890776729211e-07	7.043527875794098e-05	4.399600584292784e-05	7.145945346564986e-07	1.1166439435328357e-06	1.3418763046502136e-05	6.056514507690736e-07	3.105065218278469e-07	2.896151499953703e-06	0.0018845812883228064	3.122323448678799e-07
RPL10	0.0007691913633607328	0.0005206914502196014	0.0013006533263251185	0.001513611408881843	0.00058907107450068	0.006347487214952707	0.0023385442327708006	0.0010662382701411843	0.0028500212356448174	0.0005338700138963759	0.0007815652061253786	0.002423700410872698	0.0017044389387592673	0.0010838519083335996	0.0015321531100198627	0.0013979831710457802	0.0016530341235920787	0.000996517133899033	0.0007434073486365378	0.0005243158084340394	0.00048444062122143805	0.00038906914414837956
CST7	4.6224232619351824e-07	3.5127337127960345e-07	2.806948771194584e-07	2.0771931303897873e-05	1.3262145159842476e-07	8.15933890407905e-06	0.00013734337699133903	7.198279490694404e-05	0.0007474157609976828	1.6563955796300434e-05	9.133871685662598e-07	4.477003130887169e-06	0.00013671127089764923	0.0001095600237022154	0.0048104552552104	6.807943918829551e-06	3.6965127947041765e-05	0.0005611501401290298	0.0016883208882063627	4.439076656126417e-05	3.273981201346032e-05	4.271283614798449e-06
HIGD1B	0.0033957939594984055	3.7885654364799848e-06	1.185314175700114e-07	3.445476295382832e-07	1.1971182800607494e-07	2.6820001153282647e-07	2.5064529836527072e-05	1.0683652362786233e-05	6.357465309747568e-08	1.6837826422033686e-07	2.5990077574533643e-06	6.362228646139556e-07	2.1126031413132296e-07	2.4086419216473587e-05	1.534126795377233e-06	6.626027584388794e-07	2.322677801203099e-06	1.666658420163003e-07	7.654914213617303e-08	7.15904036496795e-07	6.245199983823113e-07	2.0360262453777977e-07
PPP3CC	0.00020282457990106195	0.00019551411969587207	1.8588940292829648e-05	9.05448614503257e-05	0.00016070331912487745	0.00015442409494426101	0.00027091187075711787	0.00026374153094366193	0.0006471292581409216	7.696763350395486e-05	0.0001263632148038596	0.000629520567599684	0.000229542565648444	0.00026427977718412876	0.000625626475084573	0.00045335080358199775	0.00016856483125593513	0.00038157051312737167	0.0005390567821450531	0.0009968786034733057	0.00016693513316567987	2.0312401829869486e-05
NTRK2	0.001316976617090404	2.450491365380003e-06	0.00014883441326674074	6.836454122094437e-05	3.555638841135078e-07	2.1942305465927348e-06	5.565182800637558e-05	1.6695616068318486e-05	2.1641606053890428e-06	1.7809810515245772e-07	0.00016143715765792876	1.8631216107678483e-06	2.829433469742071e-06	6.222467345651239e-05	4.405927029438317e-06	1.2419633321769652e-06	6.067613412596984e-06	1.2102097571187187e-05	2.4257875338662416e-05	1.3995668268762529e-05	1.3714056876779068e-05	2.6294912913726876e-06
SIL1	0.00018575464491732419	0.0002050648326985538	0.0003587730461731553	0.00020604078599717468	0.0006293744663707912	4.3296386138536036e-05	0.0002494326909072697	0.0012868641642853618	0.00011370918218744919	0.00036345107946544886	0.0005563354352489114	1.3803638466924895e-05	0.0003096862346865237	0.0003346432640682906	0.0002146384067600593	0.0009830568451434374	0.001422177068889141	0.00014798778283875436	0.00015310761227738112	0.00014464314153883606	0.000351228954968974	7.020345947239548e-05
ARPC5	0.0009532722178846598	0.00031634411425329745	0.0008316723979078233	0.00045436611981131136	0.0003074544947594404	0.0006636425969190896	0.00037705936119891703	0.00028227284201420844	0.0006683547981083393	0.001032675732858479	0.0002344100212212652	0.0005999323911964893	0.0005148303462192416	0.0005258301389403641	0.0005268085515126586	0.00032904327963478863	0.00017903707339428365	0.0007185083231888711	0.0007659988477826118	0.0003189228009432554	0.00032515948987565935	0.0008648627554066479
MBP	1.988897565752268e-06	1.4816458815403166e-06	6.230140570551157e-05	8.999227429740131e-05	0.00010185330029344186	8.131314825732261e-05	0.000261634704656899	0.00012653785233851522	0.0010734330862760544	0.0002144096215488389	0.00012703266111202538	0.00048150241491384804	0.0005410524317994714	0.00014742730127181858	0.00202259817160666	0.00018840459233615547	3.7947509554214776e-05	0.0004857745370827615	0.000563033448997885	0.0012513714609667659	7.027855463093147e-05	5.347815385903232e-05
LEPROTL1	0.0001066056574927643	0.00016480409249197692	7.637929229531437e-05	6.114291318226606e-05	0.00015470174548681825	0.0003181613574270159	0.0003018333809450269	0.0003204217064194381	0.0014011480379849672	0.0001832307898439467	5.839308141730726e-05	0.00011385093239368871	0.00041112315375357866	0.00030878320103511214	0.00024148802913259715	0.00012533612607512623	0.0002720521006267518	0.0007719069835729897	0.0005512981442734599	0.0004354393167886883	7.375261338893324e-05	9.980273898690939e-05
MPEG1	1.1723825110721009e-07	4.389802370496909e-07	5.591297025375752e-08	5.82465816023614e-07	1.230874957514061e-08	5.719262574643835e-08	9.087058060686104e-06	1.0707169167289976e-05	1.6764911947575456e-07	0.0012217131443321705	6.593251669073652e-07	0.00031001129536889493	2.800907168420963e-07	1.5642923244740814e-05	3.0506555503961863e-07	0.0010990750743076205	2.3392522052745335e-06	4.63712183318421e-07	7.106344810381415e-07	6.831268137830193e-07	2.906005818203994e-07	3.168695457134163e-07
ELN	0.00014029006706550717	0.0002567778865341097	9.218111699738074e-06	0.0007261534337885678	7.819983238732675e-07	7.96270978753455e-06	7.039624324534088e-05	3.1809391657589003e-05	1.5395904995330056e-07	4.049728943300579e-07	0.0011353420559316874	2.11605856748065e-06	6.246899033612863e-07	0.00010698136611608788	1.6981435919660726e-06	9.137298206951527e-07	1.828355379984714e-05	9.491405990047497e-07	1.1063184501836076e-06	8.848889592627529e-06	0.001257139490917325	5.167695235286374e-06
SELP	3.3638011700531933e-06	0.0008467100560665131	2.0548930024233414e-07	8.604515073784569e-07	3.8118127321240536e-08	8.110807357297745e-06	2.2373627871274948e-05	2.0726101865875535e-05	1.6537891497137025e-05	4.827543875762785e-07	1.3048559139861027e-06	2.1022862711106427e-05	4.986963176634163e-06	2.604191831778735e-05	6.945086283849378e-07	7.397013632726157e-07	5.246702585282037e-06	9.45179708651267e-05	1.36732137434592e-06	5.761825377703644e-06	1.6666525937125698e-07	3.329168976051733e-07
C1orf21	0.00014588238263968378	0.0002873996854759753	0.0004907867987640202	0.00018710106087382883	0.0009432086953893304	0.00013794215919915587	6.494631816167384e-05	4.417863965500146e-05	4.090314178029075e-05	6.876784755149856e-05	0.0006059946026653051	2.8966512672923272e-06	0.00016079252236522734	0.0001157152364612557	0.0019081851933151484	4.855406132264761e-06	3.0559702281607315e-05	1.5209630873869173e-05	2.9722619729000144e-05	5.405923366197385e-05	4.792736581293866e-05	7.28014565538615e-05
STX7	0.0001567985600559041	0.00018753194308374077	0.00015520508168265224	0.00028995861066505313	0.00025010175886563957	0.00011461232497822493	0.00017946847947314382	5.645353303407319e-05	0.00014793795708101243	0.00058466981863603	0.00022126130352262408	0.0015679735224694014	0.00031990863499231637	0.00010651740012690425	0.0002248622040497139	0.0005317691247910261	3.2102499972097576e-05	0.0002172114182030782	0.0001398890308337286	0.0003481917083263397	0.0004051940341014415	7.728290802333504e-05
PFN1	0.0004024735535494983	0.0003343241405673325	0.00114342849701643	0.0005032912595197558	0.00025776587426662445	0.0011432672617956996	0.0006345539586618543	0.0006651243893429637	0.0013933511218056083	0.001164366491138935	0.00013007996312808245	0.0008842646493576467	0.00038600387051701546	0.0007299925200641155	0.0014173747040331364	0.0003569488471839577	0.00035006797406822443	0.002142269629985094	0.0023440734948962927	0.00020807764667551965	0.0003184861270710826	0.0018315749475732446
TIAM1	4.214471118757501e-06	8.892446203390136e-05	3.069734520977363e-05	2.5847424694802612e-05	1.8635610103956424e-05	6.110372487455606e-05	0.00025968143017962575	6.007861884427257e-05	0.00026635927497409284	0.000154912966536358	5.542563940252876e-06	4.4648663788393606e-06	0.000497327302582562	4.813885243493132e-05	1.5745039490866475e-05	8.30401768325828e-06	1.852691639214754e-05	0.0009361772681586444	0.00017513723287265748	0.0009816635865718126	4.5298442273633555e-05	4.179435927653685e-05
PPIF	6.875479448353872e-05	2.5051969714695588e-05	0.00022017318406142294	0.0001133741534431465	0.0001752706157276407	0.00010429824033053592	0.00026838594931177795	0.0001504952524555847	0.0001997435902012512	0.000640166166704148	0.00010714242671383545	0.00016597294597886503	3.7979909393470734e-05	0.0001105873889173381	7.749939686618745e-05	0.0001598509115865454	0.0002608183422125876	0.00019244469876866788	0.000562428031116724	0.00014086368901189417	6.941024184925482e-05	0.0004913349403068423
SGCB	0.0008702988270670176	0.0002824116381816566	0.0003086427750531584	0.0006519635207951069	7.978632493177429e-05	4.8393445467809215e-05	0.00020552905334625393	4.023987639811821e-05	0.00010414471762487665	2.8170184123155195e-06	0.0008167740306816995	0.00010553614265518263	9.936289643519558e-06	0.0001191580668091774	1.6258798495982774e-05	4.5658314775209874e-05	2.504310577933211e-05	0.0002189887745771557	0.00015122542390599847	0.00038465665420517325	0.0006765406578779221	0.00012533973495010287
SGCD	5.659780526912073e-06	2.5029555672517745e-06	1.1926493925784598e-06	0.0005779819330200553	6.95524192906305e-07	7.441853995260317e-07	3.1997176847653463e-05	1.5115630958462134e-05	2.177761047050808e-07	2.1663268512384093e-07	0.0005295670707710087	8.969124110080884e-07	3.5417472190601984e-06	8.675196295371279e-05	1.9546664589142893e-06	4.6945339704507205e-07	4.218229605612578e-06	2.601855442208034e-07	2.022456015993157e-07	2.6207751488982467e-06	0.001493643270805478	2.5034856321326515e-07
HOXD9	4.06155340897385e-05	0.0013205285649746656	6.8170169242876e-07	3.2589352485956624e-05	3.549354588017195e-08	1.1733903875210672e-06	8.58425937622087e-06	1.1650608939817175e-05	1.1217761652915215e-07	1.887767950847774e-07	2.156356094928924e-05	6.487352948170155e-07	1.645732936594868e-07	2.3793367290636525e-05	8.450543873550487e-07	1.7616522427488235e-06	2.3207157937576994e-06	3.550393614659697e-07	7.214637207653141e-07	6.707018087581673e-07	3.609153282013722e-05	7.486156619052053e-07
NRROS	1.2139495311203063e-06	0.0004711946239694953	2.6091615836776327e-06	1.0283765732310712e-06	9.44546769687804e-08	1.3675100490218028e-05	0.0002691778645385057	9.419292473467067e-05	0.0002044992579612881	0.0005368543206714094	4.245700040428346e-07	0.0003367723256815225	0.0005122397560626268	3.483829277683981e-05	0.0006823169533163309	0.0002463860437273979	4.383791019790806e-05	0.00027548932121135294	0.00012508383952081203	0.0004323868779465556	1.2535582527561928e-06	4.202809213893488e-05
TCF4	0.0006305850693024695	0.0014540759148076177	1.462802970308985e-06	0.0010445802472531796	8.36985964269843e-06	6.471957021858543e-05	8.906732546165586e-05	0.00013699552800972015	9.267329232898192e-07	0.00015924991748761386	0.0014541147975251079	0.00044408816029317677	1.1050783541577403e-05	0.00019994813192170113	2.5464418285991997e-05	0.0009514439734630287	2.6607220206642523e-05	4.597396127792308e-06	6.65294874124811e-06	2.7925898393732496e-05	0.0010918203042820096	1.1698080015776213e-05
PRC1	1.682777474343311e-05	1.2096646969439462e-05	3.441871012910269e-05	8.382916348637082e-06	2.647358996910043e-05	5.111311111249961e-06	3.462076711002737e-05	1.8418830222799443e-05	4.2648494854802266e-05	1.5222822185023688e-05	1.722922570479568e-05	3.5300305171404034e-05	1.2348639302217634e-06	5.471626718644984e-05	9.618610420147888e-06	2.63683596131159e-05	4.061971412738785e-05	1.822018384700641e-05	8.544915908714756e-05	4.970181180397049e-06	1.7516076695756055e-05	0.003483128733932972
GALNT18	0.00011027619621017948	0.0013704991433769464	0.00021800606918986887	3.929289960069582e-05	1.663001603446901e-05	1.7360011042910628e-05	2.8431326427380554e-05	2.6611596695147455e-05	2.7129820523441595e-07	9.509088840786717e-07	1.4619970897911116e-05	2.952184331661556e-06	8.799821671345853e-07	4.2998599383281544e-05	6.375616976583842e-07	1.426998210263264e-06	3.6202491173753515e-06	2.482200613940222e-07	3.5889098626284976e-07	4.0342860302189365e-05	2.5046952941920608e-05	1.1345086932124104e-05
