Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10
PLEKHH2	1.5000372513895854e-05	2.3122946402054367e-07	2.433940153423464e-06	1.4820863043496502e-06	1.1249236422372633e-06	3.6326713370726793e-07	2.096670141327195e-05	0.0005993714439682662	6.564143859577598e-06	0.00040394975803792477
SLC31A2	7.557751814601943e-05	0.0007617102237418294	0.00010636907973093912	4.167320366832428e-05	1.5315024938900024e-05	7.574087067041546e-05	5.763830631622113e-05	0.00018060338334180415	0.0003128887328784913	6.9318717578426e-05
MFAP2	1.3171384125598706e-05	8.246009883805527e-07	2.117184158123564e-05	5.403839168138802e-05	1.422003265361127e-06	1.786298298611655e-06	8.588389164287946e-07	0.0015798021340742707	0.0003470898955129087	0.00020596770627889782
IGHV3-11	2.2912286112841684e-07	5.578646522508279e-08	0.001283715246245265	6.400576779697076e-08	4.0392933442490175e-06	7.266885404533241e-08	1.4711276890011504e-06	6.103999083961753e-08	1.533304860856788e-08	1.1881210184583324e-06
JAKMIP1	8.447087748209015e-05	4.943842100146867e-07	8.13778297015233e-06	4.5235464085635613e-07	9.023620805237442e-06	0.0008364457171410322	0.00013971500447951257	3.391427981114248e-06	3.3564701880095527e-06	3.5386023000683053e-07
CDC20	3.2828186249389546e-06	3.211460352758877e-06	6.1299533626879565e-06	2.4348437364096753e-06	1.1037037666028482e-06	2.7386346118873917e-05	8.201727155210392e-07	8.858755791152362e-07	0.00016795967530924827	2.552706916958414e-07
EMC9	0.00025349974748678505	0.00010502425720915198	0.00028735355590470135	0.0001299618452321738	0.00015580728359054774	0.0004983861581422389	0.0001915916072903201	9.586242231307551e-05	0.0003175574238412082	0.00014549546176567674
GAL3ST4	5.56859504285967e-07	0.0013179457746446133	3.146051540170447e-06	5.876156137674116e-06	2.421164708721335e-06	2.9215484573796857e-06	2.4387785742874257e-05	0.00026743090711534023	2.4847142867656657e-06	0.00011205122427782044
SHANK3	2.1375551284563699e-07	1.968564760090885e-07	5.490788339557184e-07	0.0013753788080066442	1.087107648345409e-06	9.461678018851671e-08	5.293204807799157e-08	1.1354310117894784e-05	7.32828993932344e-06	2.506772034394089e-06
MND1	3.3411507160963083e-07	2.1057751382613787e-06	1.1544348126335535e-06	2.4011492314457428e-06	2.493671672709752e-06	6.314211350400001e-05	1.3854145208824775e-07	3.528149318299256e-05	0.00010746227781055495	2.105425483023282e-05
YWHAZ	0.0005307876272127032	0.0003562366764526814	0.00023555236111860722	0.0002524633891880512	0.0008762856596149504	0.0009905609767884016	0.0010406308574602008	0.0002750988642219454	0.0010573329636827111	0.00043254171032458544
HSPA8	0.0006028615753166378	0.0006528617232106626	0.0004589971504174173	0.00045132572995498776	0.0008415335905738175	0.0012488161446526647	0.0013782588066533208	0.00028186713461764157	0.0008014985942281783	0.0004701874277088791
TOB1	0.0002080036501865834	9.946318459697068e-05	6.794089858885854e-05	6.932759424671531e-05	7.306117186089978e-05	0.0002124918974004686	0.00034221645910292864	0.0001120256056310609	0.0008897054358385503	0.00013828735973220319
PTPN1	0.0005059038521721959	0.00034771670470945537	0.0005124874878674746	0.00014213353279046714	0.0007150821038521826	0.0005071645136922598	0.0003964790375903249	0.00020388398843351752	0.0002458306262269616	0.00017742063209880143
CLEC2B	0.0005274497088976204	0.00030316176707856357	0.00014555644884239882	0.0003462456224951893	0.00014425766130443662	0.0007432721322402358	0.0005826772539876401	0.00029313412960618734	2.2916819943930022e-06	0.00013421672338154167
GPR4	3.7650860917892714e-07	4.6170649170562683e-07	1.597465939084941e-06	0.0012188343098387122	1.0492416322449571e-06	1.6806697544780036e-07	1.2835582197112672e-07	4.869363237958169e-06	2.614886227547686e-07	0.0003807617467828095
SMIM3	0.00019660317047964782	0.00032940407982096076	3.5342360206414014e-05	4.0003567846724764e-05	2.814790786942467e-05	7.210401963675395e-05	0.00015587330562993884	0.0006852074875496328	4.469333725864999e-05	0.0007475119782611728
CNTD2	1.0474709455365883e-07	4.949327347958388e-08	2.0289812709961552e-06	5.126942426159076e-08	1.3950758557257359e-06	4.701427513964518e-08	3.35949188468021e-08	1.7522977486805758e-06	0.001387459458783269	1.131585236180399e-06
PMP22	1.9253888240200467e-05	0.0003449029172770679	1.2653202247747686e-05	0.00032789597753435373	6.167977517179679e-06	1.7123443285527173e-06	1.525840730209893e-06	0.0009062772733159363	6.136305455584079e-05	0.0010426046792417765
SYNGR2	0.00032043573446571827	0.0009893228998407722	0.00046193544403649867	0.00033698719926178455	0.0015089078806340694	0.0007601840188726783	0.00034403763129375875	2.105380190187134e-05	0.0006785340956412256	0.0001187633752124384
PRSS8	2.622062993395957e-06	4.7538733838337066e-07	4.923906544718193e-06	5.801149427497876e-07	3.520011375712784e-07	6.779742420803814e-07	4.48464646751745e-07	2.5178823648275284e-07	0.0006507565267384052	3.4071862842210976e-07
S100A8	5.02668763147085e-06	0.0007297652191482484	8.272203899650776e-07	8.016349966055714e-07	1.6910119029489579e-06	2.5059605377464322e-06	1.7030735079970327e-06	8.046541211115255e-07	2.3631570002180524e-05	4.499258068335621e-07
CYBRD1	3.3762782550184056e-05	7.101308437995613e-05	5.247877652436728e-06	8.249883831012994e-05	2.967800355690997e-06	4.957502824254334e-06	1.7607737845537486e-06	0.0012687413254752755	0.0004234190273564309	0.0007274149102158844
CYR61	1.1504715985211078e-05	6.55377846214833e-07	3.871539320243755e-06	0.0001381539914291352	1.876785745480447e-06	1.4436077435675543e-06	1.5229443306452595e-06	0.0006124380743131042	4.3138574255863205e-05	0.0005340863717719913
SNX5	0.0004860692424699664	0.0004420179466251284	0.00028662855038419366	0.00021557790751103312	0.0005643656477332115	0.00048406500718556345	0.0003756007645279169	0.00019675063958857208	0.0003157057799398899	0.00029183310107328
BIRC3	0.00015768145385663956	5.620125375571661e-05	0.00016148803115356714	2.598109858809039e-05	0.000536104547791183	0.0005930089973844588	0.0004735226684715599	6.61830654280493e-06	2.909575414378196e-05	1.9285384041722864e-05
SRSF5	0.0018639593617990613	0.0002629630034789443	0.00032049420406110585	0.0003932363470084965	0.0007963549578562379	0.0005949846236035228	0.0010397658916190267	0.00030204543145373464	0.0006999743054620922	0.00044412509305402637
LYST	0.0010853095445781946	0.0001626237208256498	5.5379303375957534e-05	0.00024845090229064226	0.00020020222291350365	0.0010565549600869417	0.00027320190565660596	0.0001528020075056702	9.406662138644606e-05	0.00011229730444028974
LDB3	3.9844408661338093e-07	2.8779643912457686e-07	1.1359970812918618e-06	3.75516293615874e-07	3.715457808084466e-07	3.060602296045545e-07	1.4496921494355774e-06	9.33375849854201e-06	5.664338004862657e-06	0.0003735921927727759
IFNG-AS1	5.56673294340726e-05	6.851278726571763e-07	0.0008181169396266341	4.1457718680248945e-07	0.000177219117176719	1.2781206351064611e-05	0.0003458201827015728	2.7821394610327843e-07	3.014871552409204e-08	5.002934813091997e-07
TMEM258	0.000506318174302578	0.000606996938586235	0.002731091808527708	0.000540618144441396	0.0005083148134872317	0.0008984715095721185	0.0008182957535609603	0.0008539342670701444	0.00096664804732427	0.0006706614512950182
RPL9	0.00043834210373461246	0.0005800315411761403	0.0006476535927504301	0.000579501036554575	0.0020064404234290123	0.0006092653493396938	0.002480102702975273	0.00047634149086661637	0.0011130156926810741	0.0010892294812947512
TAP1	0.00037623001844622195	0.0003249884757678956	0.00045922069693915546	0.00021156998991500586	0.0005213473341427743	0.0014282695483416319	0.0006223659147508442	0.00014519343676511198	6.416758697014302e-05	0.00012266058183740824
PLCB1	0.0005068941391073167	2.7124970074510202e-05	4.673186595027801e-06	0.0009539005113765597	1.9746707039303146e-05	1.1925916624022648e-05	7.093470776453614e-05	1.934754618559964e-05	2.051204864983447e-05	5.711604899261147e-05
CTTN	9.129047612077557e-06	7.189473308244487e-06	2.635082637425512e-05	0.0004422451602295041	1.5879606962698745e-06	1.1532819371495862e-05	3.6761707633559126e-06	0.0008640177547931671	0.00040313051431439817	0.0002316403406439349
MFSD1	0.0002717221505008638	0.0012587829260155559	0.00021720225049648434	0.00018900191935244948	0.00025593204190954566	0.00018503163300920278	0.00022096092288848013	0.0001924678945215419	0.00022231969342101365	0.00020225223852321506
RCSD1	0.0003207157424185425	0.0002515314845368266	0.00018775547505356371	2.258298445667606e-05	0.0010541364317759871	0.0005336225149221718	0.0008724494837224483	3.639255055531976e-06	1.0122690810021595e-06	7.190630276454613e-05
