	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
B	0.02353283097243098	0.06035638913112339	0.14938584189928594	0.00651442222465562	0.03272066062151502	0.20913862752069826	0.022669460506477536	0.001018314888595438	0.017500193067691874	0.0012528684337166122	0.0005917496716151599	0.0012888547199062204	0.010842771928198753	0.0036556795579327696	0.00047743565339609196	0.013043364935268737
CD4Tconv	0.9980258197663286	0.020282159240734652	0.8119756599504848	0.01076986294950031	0.08547979596481213	0.008317054942686369	1.3703741593242138	0.0066363394167501	0.005187868906807707	0.020471398120607765	0.005582585000084646	0.012940477148743105	0.07099980179345491	0.003195874111720084	0.012184795384170324	0.39163634486615645
CD8Tex	0.5510991950777945	0.022657610437133824	0.29301696530574434	0.006003290305376475	0.04634440188463599	0.004214578953588645	0.529852974825116	0.002034983183341257	0.0013632672400257738	0.005790880935367524	0.0015923157724440484	0.0028844033047166298	0.00972130451391137	0.00031273586449311855	0.002080869345467436	0.81899940100347
Endothelial	0.006243861843224265	0.007352249845350995	0.02807564051890007	0.004030134639943068	0.03954984923155558	0.0012938500373067506	0.008754609242901749	0.535429997957943	0.00038283694440649545	0.010800121448215304	0.007009730767330594	0.014263701645049412	0.02674573408383946	0.0009677978864371787	0.004252183021242903	0.0038765700168942496
Fibroblasts	0.008544655929632095	0.004616760075697211	0.034188188063014324	0.008887697423505628	0.06621484921442666	0.001481591318162646	0.007516288812378304	0.004588251745314722	0.001142856385063575	0.017468559134382212	0.028121436625324864	1.0737662993947674	0.15062795119644312	0.0006754958134179571	1.1733566020075599	0.00466472385572026
Malignant	0.016532355615942306	0.1466894126990614	0.07753206218390778	0.02472534222334486	0.4983938683607725	0.008203138728085674	0.011467497886608016	0.035173356781371914	0.007392301292195509	2.1367070654823728	0.06912447944373509	0.14329553294591282	1.5383128083964959	0.004945442226978986	0.09374491682973551	0.012953227622806091
Mast	0.0019474817141826805	0.0009469803839903339	0.003219574546460768	0.0031935944423673104	0.004820200416804738	0.06188559188156743	0.0026115755249566546	0.00030145684392485076	5.657353165595571e-05	0.000981155054008099	0.00011230983182786593	0.001079035128223197	0.0018483055722633213	0.0	0.0005582905736988207	0.0016972895543862483
Mono/Macro	0.013652754218325245	0.020910830589926797	0.03777432612546067	0.7557686910538087	0.005115736573325262	0.02521426683855127	0.0077389603458070996	0.002447165151356566	0.0007344262815126027	0.00807501202837522	0.001339120250901017	0.003416369633489189	0.019328225530795568	0.00044202654770407094	0.0030874293751837977	0.009180243393154156
Myofibroblasts	0.0011848194235881708	0.002376538235619531	0.008440725696335638	0.0010813322088077254	0.013510135691867499	0.00024321429921881287	0.001305645843652835	0.001584771397183166	0.0015112549578600856	0.004000847513084081	0.29090348744934597	0.03807614893335755	0.022904051773648022	3.7354637127297117e-05	0.028190902351590438	0.0023463251987766885
Plasma	0.008045366718434168	0.004326476371762803	0.007156565142328756	0.0013392820004632447	0.11241800894413591	0.0008825503439909836	0.007453773858815652	0.0007077455764200292	0.30327168037240904	0.0024920567864152227	0.0008817737597088119	0.0010899428158755837	0.007481526019289328	0.3208803913330549	0.0011120860137366463	0.004835871036104123
Tprolif	0.029065309244567815	0.13052367220956557	0.003118756124238612	0.0016987561663105843	0.021483455397648347	0.0010435934857317755	0.006144652195816683	0.00047000708180512543	0.00841078213199409	0.0012538540896709608	0.001381029969591928	0.0005179675975163963	0.0005165797739979382	0.004737690189514051	0.0017331174339443119	0.05027921981989827
