Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26
FBLN1	4.3692198232747614e-05	1.1125071068818215e-05	1.866416096163448e-05	1.2495933106038137e-06	7.219703547889367e-05	2.9929155971331056e-06	6.89583384883008e-06	6.380905119840463e-07	1.4997618791312561e-06	1.6915383866944467e-06	1.834073600548436e-06	5.087375711809727e-07	0.0011289496906101704	6.887622703288798e-07	2.4322907847817987e-05	3.960229605581844e-06	2.702887059058412e-06	4.5021279220236465e-05	0.0013754318933933973	2.567959927546326e-05	2.2806564174970845e-06	1.8372909835306928e-05	4.0890795389714185e-06	0.00010064099478768185	1.0016508895205334e-05	1.2896734915557317e-06
DNM3OS	3.499123340588994e-05	5.705048806703417e-07	4.0247716242447495e-05	8.366406518689473e-07	4.822631126444321e-06	2.0995976228732616e-06	3.255465708207339e-05	1.965397586900508e-07	3.226547278245562e-07	9.018149853545765e-07	1.643717155275226e-06	0.00010836048022611067	0.0001166584188467823	3.3955845424316067e-07	7.756132254144177e-05	2.1365610791690415e-06	5.543379870687204e-07	8.906488073989749e-05	0.0011349660344421864	5.169554060557857e-05	1.3632651985062694e-07	4.141568297200138e-06	5.470249675454397e-07	3.606448444770649e-05	3.6412966437637806e-05	2.1861299615011376e-07
MAP1A	0.0002716018061619252	1.6415700883953832e-05	7.327651110244915e-05	1.4101707165536936e-05	5.574519673245959e-05	4.510216967901215e-06	0.0006051399977877736	1.5719043631179375e-06	1.001802502287319e-06	3.233838015148649e-06	4.4531840103445575e-05	2.345328766750754e-06	0.0009017875418066978	2.249472572657396e-06	0.00011236172576900572	7.869199180277064e-06	0.00023682342725805938	2.9214184905868024e-05	0.0007993864710442722	9.448087075725198e-05	5.633512046188116e-06	1.3942323676019441e-05	0.0012077447026968002	0.0027579213492572308	5.269496614346281e-05	1.2990038840143825e-06
MS4A4A	9.111656254390255e-05	3.540490070008673e-07	1.8937411141450866e-06	1.3570927137607214e-07	1.7421821496554912e-07	1.7666765188550926e-06	1.2442067998108541e-07	0.0014819419011473656	1.579357899572642e-06	6.025730954206665e-07	6.344014025216893e-08	3.230501022244425e-07	7.905225629656343e-07	5.097855932945095e-07	2.3950583454279695e-06	7.388396738861047e-07	1.8366466747465893e-06	9.999279427574947e-06	5.84531846925529e-07	4.098402769159293e-06	3.2168074426408566e-08	1.8190530681749806e-06	6.760875839972869e-05	6.618301540584071e-06	5.032635499446769e-07	1.9831163911021576e-07
KIF4A	2.3027007046039216e-05	0.0025091443676501513	8.914541467675008e-06	2.182712854903457e-08	6.040907919668825e-06	1.2383331977616763e-06	1.1886249922099523e-06	4.530553212589439e-07	2.9719126359850634e-07	2.181459990424628e-07	2.5256168711962346e-08	2.443173571009538e-06	9.224063290957929e-08	1.2056618743372383e-06	2.6108434667548863e-06	1.5221160083456198e-06	1.555559094867931e-07	6.223486252565635e-06	8.586546584865573e-08	2.900265144489822e-06	3.596383066906128e-07	1.4227239262254443e-06	1.8479993286746321e-06	3.015700713149272e-06	1.1310820724474979e-07	5.236355491433642e-07
CPNE5	2.085765663650818e-05	5.412668087956263e-06	1.93040759768337e-05	1.6386086372222053e-06	1.2634194717975333e-05	0.002582060405984521	5.860931082679599e-07	1.4779357115912717e-06	0.0014406041009351611	7.241122830237146e-07	2.1211058083281387e-06	0.000661978090647608	8.793772394710686e-06	6.856204777250241e-07	4.039688428747468e-05	2.3014001271803863e-05	0.0002697232994250953	2.9511145839933306e-05	6.85031636749045e-07	5.5324080676655285e-06	4.976052991878532e-07	3.8070149457780644e-05	0.00018055019609164447	8.209348379750736e-06	1.222182618221268e-06	1.9183380572940223e-06
FAM92B	6.620423391723307e-06	4.5090544631420926e-08	1.6171311756352225e-07	2.1567709396208556e-08	2.250799013836513e-07	0.0034661979880183935	5.344394082840154e-08	1.5012867038421973e-07	6.596346224796434e-08	3.318932684237552e-08	1.77451013883001e-08	3.335231824053153e-08	7.216677744281697e-08	5.8071897512945725e-08	2.021926093220827e-06	1.314833752985578e-06	5.9019356513090315e-08	8.298510510940105e-05	4.1321850829945106e-08	2.0782285901077557e-06	5.448498541227309e-09	2.832092036442191e-07	3.259848710968072e-07	2.4966061573650222e-06	2.6055462853946665e-07	2.3079138600223814e-08
TNFRSF17	5.511464405572042e-05	1.6734877306134877e-07	1.891078085236586e-07	2.542278387807073e-08	3.499448553156981e-07	0.006135411560535431	1.1544241829142265e-07	1.9600908274242101e-07	0.0003412148798815906	6.849414546650223e-08	7.846580274417647e-08	5.1768417108633e-08	1.873228825388651e-07	1.649382426194279e-07	9.753639460541308e-06	6.133503575256327e-06	1.28074333360928e-07	3.552969064912759e-05	7.09518985786417e-08	2.9771790650556795e-06	2.412568278487015e-08	1.135168417931709e-06	0.0004852483107242733	3.98418933400535e-06	2.1033800123859692e-07	3.2207483968704764e-07
IGLV3-10	6.017450232320698e-06	3.598901088253115e-08	1.0527522675829459e-07	1.4347806498449245e-08	9.421212610050134e-08	1.0750975576456767e-07	4.55731097304124e-08	1.838127339226503e-08	4.2787842602365345e-08	3.020238992235136e-08	1.449434261502347e-08	2.2455342474358986e-08	6.841305122406993e-08	5.1571625192536885e-08	1.2654403462875052e-06	6.713349876008579e-08	5.1750138396755574e-08	4.154167982051149e-06	1.533067184311676e-08	1.8589802266433253e-06	2.330771353697969e-09	1.4678012405511254e-07	1.2541569560653443e-07	2.24349059863016e-06	9.608899631530221e-08	2.1735504063258304e-08
CDCA2	1.490112208557548e-05	0.002839325461536646	3.2297862162522506e-06	4.905899331220098e-08	3.0440294722211547e-05	1.8143930446967715e-06	5.086288865641109e-07	3.853123473618325e-07	6.0319814565446e-07	1.4080814025874133e-07	2.2022054224635212e-07	1.7114051331645896e-07	1.5464762270767096e-07	1.2727687703772972e-07	2.532784264985821e-06	1.597247091922327e-06	1.243495404423811e-07	6.1510936575359665e-06	7.598392812724342e-07	6.168859272293048e-06	1.1484201422717888e-05	1.0137858225789387e-05	2.2856379473523702e-06	3.8527700780832674e-06	1.185751727916795e-07	7.759157938380667e-07
