Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30
CLEC4A	0.0008492412744089961	5.034911509937956e-07	3.840284261968918e-05	4.975306183041539e-06	0.004168929997831583	1.0407705303805415e-05	4.782739893016696e-07	5.024286906518682e-07	9.124267421611876e-07	3.1144372769631445e-06	2.9798620744259097e-06	7.168957836256595e-06	0.00012851643259637058	9.083012741939456e-07	0.0001421203778591007	2.0769125796959997e-07	4.697489657701226e-06	1.3518474588636309e-05	4.5575472995551536e-07	3.566731538739987e-05	2.876670919249591e-07	1.5061615954437002e-07	3.673572791740298e-05	3.105158975813538e-05	1.616758709133137e-05	4.1781822801567614e-05	1.1516482118167914e-05	1.0627892152115237e-05	2.181333002226893e-05	1.3156660315871704e-05
FAM111B	1.3903522813052405e-06	7.052572527754819e-06	2.9121599709469592e-06	3.953801751777064e-06	7.502739549636317e-07	5.331628472049488e-07	1.7101616833770095e-07	1.7605814264243236e-06	2.7093045673609595e-07	1.1486925899362177e-07	2.632860685025662e-07	7.074674613249954e-06	1.0713566553022247e-05	6.744464826624608e-07	6.356079893521382e-07	5.6449138696734735e-08	5.954304356237117e-07	4.045375135319773e-06	6.361422322243016e-08	0.00013437205052468926	6.779649197596882e-08	8.676966558596177e-07	8.99655969988089e-06	1.5868259652052075e-05	9.266432243748568e-06	1.339848677162081e-05	0.00206507439725101	6.008861873851856e-06	8.401568720728392e-07	1.6433915561719914e-07
LAIR2	7.39079666800535e-07	2.7636555266497e-09	7.084056363737545e-08	8.629706826468464e-06	1.6771828370565345e-07	2.669542631394961e-08	1.142879852977785e-07	0.0016191223403438926	9.136155858868733e-05	4.4012017497152556e-06	7.820830916216437e-08	4.984226688975468e-05	5.7656257013150025e-06	3.032044696738012e-05	1.925553533510538e-06	6.192546425154433e-05	3.65980383776332e-08	9.622625657357275e-05	0.00018777365039568394	8.616300988251169e-07	1.8018778291661874e-07	5.481996367961983e-08	5.358078851713799e-06	2.1215500964899547e-05	1.0393691809440497e-05	8.891232937457971e-06	5.960917405900545e-06	6.531238796014804e-06	1.213308905789745e-06	1.2086279355116858e-07
IGHV4-61	2.7042116812481254e-07	1.600425747483314e-08	6.463381652110911e-08	7.781972271914128e-06	9.519637700350359e-08	6.884021530595419e-08	1.598387058265871e-07	3.292217058969982e-07	3.7626855942107795e-07	3.495671663245048e-08	3.0831708386358514e-07	8.569348210585304e-06	3.629657157944166e-06	1.0685670304155792e-06	2.2734367632892827e-07	1.5901196803724815e-08	7.009475098129769e-07	2.6281488771928707e-06	3.061109410396057e-08	6.1628611547348555e-06	5.25548898622219e-07	4.6677524068172715e-08	2.7179383323527873e-05	9.751330253493506e-06	8.23578466224717e-06	0.0484502911567688	1.0998782329352252e-07	1.0230804946331773e-05	9.595331675882335e-07	1.7961172488867305e-05
NUDT14	0.0003451119991950691	0.0007834034622646868	3.1230971217155457e-05	9.46777145145461e-05	0.0003752615302801132	0.0006193211884237826	0.0004945548134855926	0.00037217215867713094	0.00042525710887275636	0.00014736018783878535	0.00013194576604291797	0.00032111359178088605	0.00010203103011008352	0.00010649853356881067	0.00011749236000468954	0.00015059583529364318	6.54403556836769e-05	0.0003125914663542062	0.0004086706612724811	9.378953836858273e-05	0.0007638188544660807	4.955782787874341e-05	0.00011488993186503649	0.00010216308146482334	0.00012506224447861314	0.00018404358706902713	0.0003440483706071973	0.00020600963034667075	0.0004411010886542499	4.347493086243048e-05
PLAU	0.0005443488480523229	1.8297190251814754e-07	0.0009003165760077536	2.7098609280074015e-05	1.1173265193065163e-05	9.753356425790116e-05	8.952715688792523e-06	8.597262421972118e-06	1.5258541679941118e-05	1.8963777392855263e-06	9.926156781148165e-05	1.799924393708352e-05	5.108072218718007e-05	3.701450168591691e-07	7.574402843602002e-05	5.990181648485304e-07	0.0012297079665586352	5.145312752574682e-05	8.042157446652709e-07	1.4140077837510034e-06	1.2934507140016649e-05	8.393680764129385e-05	2.1281126464600675e-05	5.133987724548206e-05	5.018749652663246e-05	8.705747859494295e-06	9.443871931580361e-06	2.4957294954219833e-05	4.261607955413638e-06	5.390553496908979e-07
AIF1L	1.989894371945411e-06	0.00021503091556951404	1.3763480637862813e-05	5.583726760960417e-06	4.038036877318518e-06	0.0007446847739629447	1.1098461072833743e-05	1.68894402463593e-07	2.547780866279936e-07	1.2681084626819938e-07	2.060104270640295e-05	1.5542453184025362e-05	5.318064722814597e-06	5.715816087104031e-07	6.912629260114045e-07	5.116428383189486e-07	6.0221905187063385e-06	7.75945318309823e-06	1.9222693481424358e-06	5.365965307646547e-07	3.6878398645967536e-07	0.00011064895079471171	0.00012807182793039829	2.221805516455788e-05	2.011174183280673e-05	4.66848214273341e-05	0.00015121142496354878	3.44677064276766e-05	1.0808752222146722e-06	5.087266254122369e-05
FBLN1	4.730652563011972e-07	1.957871518243337e-06	0.0004792161635123193	3.67514330719132e-05	3.568897000150173e-06	5.618187515210593e-07	4.780932067660615e-05	8.433414677710971e-07	1.3268303291624761e-06	3.896705038641812e-06	0.0017147086327895522	2.522836257412564e-05	0.00018724935944192111	1.4316578926809598e-06	2.3472732664231444e-06	2.3417726424668217e-06	0.0014030634192749858	3.815591480815783e-05	2.222851890110178e-06	1.433921056559484e-06	1.1647114206425613e-06	5.252097707852954e-06	3.746506627066992e-05	4.867915413342416e-05	9.828263137023896e-05	6.255327753024176e-05	1.6154632248799317e-05	7.125521369744092e-05	1.2156043339928146e-05	1.847396220000519e-06
DNM3OS	1.5072164671892097e-07	1.1041908720699212e-07	0.0015334812924265862	7.726270268904045e-05	1.6053335230026278e-06	5.1956711104139686e-05	0.00014635994739364833	2.9022541525591805e-07	1.9881233015439648e-07	3.121591021226777e-07	0.0003251718881074339	1.637068999116309e-05	0.001354035921394825	4.152773840360169e-07	2.197176172558102e-06	1.0736586091297795e-06	0.000773186853621155	3.0481543944915757e-05	8.250426617451012e-07	3.0769768954996835e-07	2.707867565732158e-07	8.129476555041037e-06	3.4799144486896694e-05	3.059118171222508e-05	5.265384606900625e-05	2.0468272850848734e-05	5.351216145754734e-07	4.8272835556417704e-05	1.2636214705707971e-05	3.923209078493528e-06
MAP1A	1.0983615084114717e-06	4.747434559249086e-06	0.00044725395855493844	2.463905912009068e-05	2.392807118667406e-06	2.9451921363943256e-06	0.0002828448486980051	9.244429293175926e-07	5.844638053531526e-07	2.3930406314320862e-05	0.0010133935138583183	0.0002067266614176333	0.00043030513916164637	3.3390485896234168e-06	0.0035660630092024803	4.847621312364936e-06	0.0007911547436378896	2.8320326237007976e-05	1.567761501064524e-05	3.84274244424887e-06	0.00021908883354626596	0.0006037754938006401	8.343490480910987e-05	4.791375613422133e-05	0.0001388521195622161	2.3434740796801634e-05	1.0258949259878136e-05	6.122490594862029e-05	9.227147529600188e-06	3.7731206248281524e-06
