	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
B	0.0005583200403683116	0.00088841762886298	0.003779461717038163	0.0011078008729239973	0.001220496881820063	0.035955418288074095	0.005865381123072547	0.0009161180948739267	0.005288201364867654	0.012419417571732528	0.0012970132734874955	0.5185813678849938	0.0019980249588888005	0.0015438403547341894	0.007327577845527611	0.05329785635424833	0.002224404509941852	0.010440745113197552	0.01013050518100561	0.04610338859157255	0.0004495301529536177	0.004748959760843808
CD4Tconv	0.0044178915838857784	0.004953446089063119	0.03998255422662478	0.014694483504376136	0.011887131605742516	0.28508396941812164	0.04725987565971236	0.002541341677995386	1.4197040800722824	0.008764501929294297	0.009486494926741133	0.0186100959440763	0.007413154770459725	0.012924723719238806	0.7120192257906425	0.006041123198904101	0.0026956392418245605	0.7061115463399295	0.3129263346824312	1.0765356158332282	0.009149155263113759	0.025789391983133837
CD8Tex	0.0011500513781146024	0.0014805756639080922	0.0126216701164619	0.003307259582958254	0.0026145008894022806	0.15068724577909248	0.029305481828360017	0.00027544900985262174	0.5672826601558723	0.0037930838798816086	0.0015733807175539493	0.006766638292563271	0.004095815849987825	0.00043719068236347395	0.9875666096102895	0.0015499624598174146	0.000797115977894256	0.6408812663254199	0.7359842231179238	0.16140599788290994	0.0010814695155054457	0.021729055128259924
Endothelial	0.006520608756731649	0.5406283252595686	0.012920402293591558	0.007529486119629296	0.00605442320823598	0.08150305438794142	0.008639531218129862	0.00183812429138721	0.006620590755503825	0.0037585481484468395	0.01013008338478399	0.0017545106758603273	0.0007098077498233914	0.0011630516623680697	0.006642090315666807	0.0005966613176717653	0.0002725021998678811	0.005747121443735567	0.003738402193054492	0.030249094284448764	0.003970705517946127	0.009508185446169302
Fibroblasts	0.02453006638943573	0.005466346390520805	0.022968418744469164	1.142816473714511	0.007674772283184505	0.12044608204960033	0.014059269609264145	0.0006162072015564187	0.005877171644102319	0.007214119194948238	1.1158891637366066	0.0014919352252372562	0.0019918311661378234	0.02473806306256896	0.006462333498833681	0.0010700003989173072	0.000738156535806414	0.009632451399099903	0.003697698229802301	0.06501009227731609	1.1819897205873715	0.006008654153993374
Malignant	0.03779567242062793	0.022759260834140958	2.019178571405828	0.07278129430695238	2.2536782192542053	0.4824336394733	0.01535175035010806	0.0039492449421995625	0.01120640604608716	0.013316115257037457	0.07789247103893979	0.004628675448751908	0.00781318810478579	0.016528415926287697	0.006927078477487796	0.003314944632251942	0.005877802499418966	0.011819858475181019	0.008157447711553096	0.21793830818755333	0.058083493773097156	0.19326470146848987
Mast	4.260432919522388e-05	0.00011401705447037372	0.00101776770616594	0.0005459789981195169	0.0001980813883776496	0.005379201003500371	0.0014485792497427536	0.004791528036478716	0.0029225031561069953	0.0037201963248225155	0.0002304561953650704	0.0005374011637222644	0.1053790570306093	0.0	0.0032319720666788114	5.4282429163343216e-05	8.183758841171178e-05	0.0014622333305001323	0.0012927125702775516	0.003205129608625276	0.0003411179427740535	0.0011783509031604565
Mono/Macro	0.0011386589865064135	0.0022978488973042386	0.01605924669874625	0.006694664881804647	0.003372836169350167	0.06147937864569954	0.0005120350194415988	0.0008408097579552485	0.007192965592921893	0.7509745792535845	0.0024730686587450014	0.022059772366979407	0.0014275467020876157	0.00036660793496685494	0.00861781828294269	0.0015326316439388534	0.0008347941885714309	0.015226851587810192	0.008849458196459234	0.043353309369883054	0.002407101279904458	0.024646109845680286
Myofibroblasts	0.29726479212264884	0.0010722070926749861	0.005122754749804657	0.03328183967706432	0.0018902675590160814	0.03412499137445688	0.01348699147619558	0.0	0.0014595693492063884	0.0008842066906444475	0.04347503488269333	0.0004114978876644799	0.00022517063300936505	0.004343552341499342	0.0017971392603979529	0.0002945322644102924	0.005195807419734619	0.0011376386405916592	0.002527542560678031	0.011688183174879773	0.03286659153585719	0.0031451931792860913
Plasma	0.0002155672490182384	0.0006738735366522249	0.0067340304834608376	0.0017000556379628772	0.0005878046977870001	0.007031055599805519	0.2785287294512605	0.30915507677591697	0.005197089676062172	0.0008988744193462521	0.0008569883202515944	0.00047559584105468097	0.0001681497338646272	0.31354584247754047	0.003836732499112963	0.2787879972626021	0.31913766151472045	0.006101071744833608	0.0036533353185580642	0.016062727466536388	0.0007974346020113764	0.0026791990724417737
Tprolif	0.001334628773360356	0.0004075043736428523	0.0011651007416100465	0.0016111957802032362	0.0005028114533934812	0.008352445939077606	0.005538140741628472	0.003630724647301819	0.0059182414133704475	0.0017614507396724681	0.00042143409237597356	0.004150312936593888	0.0004608077233854761	0.0021582889615559602	0.010491845372106479	0.010675039053064257	0.0030386598179992217	0.04575379206200886	0.06681694565298081	0.008174658800055768	0.0016948702250876872	0.14258147362470558
