	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
B	0.012116456512056986	0.0016250337510861584	0.1105725117420002	0.05651858943486332	0.0	0.008004833445981128	0.0008808399303842536	0.02037967602308084		0.010421644989079673	0.00633033003282683	0.003563551355214538	0.0049108052766814615	0.007521267705791411	0.0016336538985683437	0.010404621483953531	0.0007732578209301343	0.003798383212015504	0.00638047216708254	0.00044531877031495765	0.0008362936702216762	0.2656997708892685	0.0023679322226342055	0.00041498415061676854	0.5238190145946077	0.0032932010813552194	0.006224622490883425	0.0129313979196929	0.009851078099597201	0.011380387056818852	0.0009921271217162354	0.006121398510239334	0.0034146578522263444	0.00117202289805891
CD4Tconv	0.3336733194900574	0.00452844256271791	0.454207053688838	1.1771013363054121	0.0	0.055230262299553766	0.007494244910483522	0.04845107760526175		1.5454633535210651	0.5355365603697513	0.0036930532895663726	0.9589670122046197	1.3467919622312143	0.010970852070965677	1.2621086831375117	0.004593581162902101	0.5970003226820434	0.042162854750906975	0.011548225021207247	0.012924653256770505	0.03170160119529843	0.026373418830032833	0.0038421482111530513	0.014824916822625848	0.024013183729187277	0.04079200853918534	0.22911240773780067	0.049948898798974066	0.14963041912689026	0.007311680171201769	0.04820474522391454	0.007627817829492278	0.01490062956194738
CD8Tex	0.8420128314740067	0.0022145643569347825	0.20865635477100494	0.2339797809819559	0.0	0.08393470388123529	0.0006735898164985155	0.009392546898229241		0.4574737526462522	0.7234662027829025	0.0009436617073793536	0.7936207555941482	0.509990109145041	0.0024839564220265464	0.5496855757642585	0.001512940675253438	1.0465577660885572	0.017624096205685367	0.00216138042844847	0.002208164227008997	0.014643544795404667	0.0	0.0010369984663489442	0.004737886254538697	0.01925084210793549	0.00902276759048443	0.05893524208791345	0.018159640923593973	0.11110607106559611	0.002210647418303905	0.022356025709980878	0.003135296078197115	0.002929331912723328
Endothelial	0.0043796394887725635	0.0007239835522328423	0.05029506736786025	0.016355671127544318	0.0	0.005922790878774177	0.0037694639931621973	0.13600645404454728		0.006356418428722071	0.004071885764011496	0.00035081791052267984	0.006882981348673605	0.00793950880948413	0.008271355994875784	0.007504848344968002	0.5454041737209934	0.003075919632440395	0.01022838378553705	0.003092700215804101	0.005312228736152553	0.005783322072725279	0.0	0.00563344649164322	0.0014214752589338118	0.009994589613288096	0.14057547331071338	0.03846403471731102	0.07503727081621124	0.005973714397801606	0.5319924694839879	0.02812871317050136	0.003328531180353619	0.005960596016187143
Fibroblasts	0.00704343722157529	0.001911130690419326	0.0665811349272966	0.02162087305928188	0.0007642783269515613	0.007082275262566839	1.1986054223457632	0.22781789160044372		0.006039991662472657	0.008960148757903099	0.0009098134916358242	0.003442584354858999	0.006147056541072124	1.1561241079332765	0.007866180583098124	0.002942899249814987	0.005176393398178367	0.011929809583077936	1.1833739778615346	1.1417847048058793	0.007913411337098877	0.007040573242529427	0.026798881054059757	0.0012467692395996377	0.005316098394522293	0.09953530070505845	0.19274191912016883	0.3092719801332463	0.028890187496460634	0.012154842185004545	0.024237304064474816	0.007004522718512814	0.00769479565812098
Malignant	0.013643851879554476	0.00714586128141672	0.06910774703284737	0.049189596097897116	0.0	0.0690746772088202	0.015348523446146992	0.154262620587902		0.012904309199156163	0.008028956653674823	0.0026477745842600022	0.00694428538674707	0.016468979370110246	0.03768776666823265	0.013898357026817172	0.005260891166355307	0.005203106339874215	0.03589783523465997	0.06367911666590703	0.10392506862896479	0.024008550577346802	0.1852412309371112	0.01995634954618747	0.007023561713035593	0.2337885907290561	1.1985780508798785	0.17352233727881158	0.345343207078746	0.10745767513646924	0.01558387263252913	1.7735208243182787	0.012435567390891342	2.2435929764657243
Mast	0.0022838915236628246	0.10551068118629102	0.012336193728306048	0.005840869672413783	0.0	0.00222350450625164	0.00022383618113186633	0.0024120697934174947		0.004300338983979363	0.0015706422771315134	4.441149269887436e-05	0.0016141279064706472	0.0030476613555073025	0.0001935420002588983	0.003116469477621984	0.00011280249190868109	0.0052183245749759565	0.0006623539383787232	0.0002485156589581789	0.00050484035467374	0.009139348726708081	0.0	6.50346815775839e-05	0.0005331748251552964	0.0009863573870214919	0.0015412058561753976	0.0	0.006110890408282744	0.0653739529005434	7.752655373718126e-05	0.003011994812880568	0.00320316191231721	0.00025242244444089254
Mono/Macro	0.016664569951132358	0.001078257321112552	0.008224248976615358	0.04276944024995397	0.0	0.018360617026276834	0.0026362211689164436	0.09571343077851245		0.012457407773721969	0.00862249609142998	0.0005882332293475421	0.0038559381884983052	0.006203533513905938	0.0026832387880928246	0.012024861111901904	0.001961738761595477	0.008739250678507773	0.0033485100309692192	0.002867975898107407	0.0038840583883099403	0.2566188920695287	0.0	0.0008533943610213091	0.007472508855877143	0.02516593651916198	0.015850424208000456	0.04749135705960916	0.04286195765285505	0.06925367876730132	0.0028010905808225593	0.025523566797237836	0.770765172438629	0.0034820866520304246
Myofibroblasts	0.003528972036029804	0.0002623343454756165	0.03429954838665884	0.005094635397236265	0.0	0.003581660366302727	0.03573496357399563	0.10108232858821392		0.0020975190885829747	0.000991131730520257	0.0008204043975781788	0.0007551746298876592	0.001921746723690245	0.03947138302902005	0.0013284004353669597	0.0013364983562750628	0.0017952494372051998	0.04028836722667993	0.03000466272725217	0.03313338748198379	0.001189568499147163	0.0	0.2992940980605002	0.0004104732234208318	0.002625841785515105	0.0250185247987805	0.13432417681126851	0.09704983622348633	0.0044950156052066224	0.003183675345066501	0.008926923173983551	0.0008041545856481002	0.001931785342462087
Plasma	0.005640831427782897	0.00025936147785136893	0.029152071100973	0.021303219492710974	0.32673190688899373	0.0030409408759017684	0.0007581894334804208	0.002574388315374024		0.006295249195101969	0.006152027132343119	0.31278760278140555	0.006262867250190594	0.013266869330950476	0.0009736496415054479	0.009612047826214248	0.0003018285906113765	0.003368808576389804	0.25742024395079166	0.0014259506547725993	0.0013053789208089404	0.004817755895920311	0.30049222858433816	0.00017280769287848132	0.003821967586774211	0.0030596420210607937	0.005376240712000254	0.02284775603546891	0.004685192559680066	0.002798727511881408	0.001674361101944144	0.008356244029321763	0.001156521088126072	0.0007192651093826877
