Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28
MS4A4A	2.1107191514602164e-06	1.6920841972023482e-07	7.06452851773065e-08	8.088313734333497e-07	3.870103682857007e-06	8.967412577476352e-05	3.305800419184379e-05	0.00020763474458362907	4.747997479626065e-07	2.154699177481234e-05	2.568338913988555e-06	5.357617904877543e-09	3.311108685011277e-07	8.037122825044207e-07	1.4154463769955328e-06	2.1206507881288417e-05	8.023566522297187e-08	0.0016992032760754228	1.9656570771076076e-07	3.8036637306504417e-07	6.008817194924632e-07	3.993654900114052e-07	1.1123956511482902e-07	8.079329631982546e-07	4.6931564412489024e-08	6.8666195147670805e-06	9.798243354453007e-07	1.3849760307493852e-06
KIF4A	1.2895197869511321e-05	1.6082887555057823e-07	1.899423182294413e-06	2.6028607180705876e-07	3.3409452271371265e-07	2.707920430111699e-06	1.2520511916136456e-07	3.598119633352326e-07	2.0581127557761647e-07	1.0035567356680986e-05	7.228927188407397e-06	5.409871164374636e-07	7.959150138958648e-08	0.0022884551435709	3.363015537161118e-07	6.88336831444758e-06	2.6548590540187433e-05	8.221756502280186e-07	1.8979903870786075e-08	1.0367755720608329e-07	6.315239886589552e-08	1.776309659362596e-06	1.7607689528631454e-07	1.7706305754927598e-07	2.712335422927481e-08	3.8011864944564877e-06	1.2420604207363795e-06	2.284871669644417e-07
CPNE5	0.0043397084809839725	2.140783180948347e-06	0.0008366701076738536	9.174848401016789e-07	0.0017633815295994282	4.795550921699032e-06	3.721748043972184e-06	1.8721491869655438e-05	1.42638964462094e-06	0.0001866868115030229	6.140179903013632e-05	2.4483790639351355e-07	3.606938207667554e-06	4.0071108742267825e-06	6.756807238161855e-07	1.710433207335882e-05	3.275359858889715e-07	1.5200478173937881e-06	3.9312617445830256e-06	4.129273747821571e-06	0.0013390881940722466	3.687221396830864e-05	1.5940418052196037e-06	1.5453799733222695e-06	7.259004178195028e-06	0.0004977589123882353	9.735252206155565e-06	0.0002688400272745639
FAM92B	0.0025200368836522102	3.479151189367258e-08	2.9045750693512673e-08	1.831605622726329e-08	0.0029738324228674173	2.042126425294555e-06	1.0174899216508493e-06	3.4212706623293343e-07	1.0755977797316518e-07	4.8486952437087893e-05	4.151460757384484e-07	2.2697386192760405e-09	4.778900120072649e-08	4.101795525457419e-08	3.012755485087837e-07	6.3125921769824345e-06	5.174757689019316e-08	1.6750489351124997e-07	1.604826493917244e-08	6.157176102306039e-08	1.5002922282292275e-07	1.86816222935704e-07	5.103427724861831e-07	1.5891497184838954e-07	1.8513212296511483e-08	0.013455815613269806	3.922502287423413e-07	6.1613420143658e-08
TNFRSF17	0.002712454879656434	3.353202657763177e-07	5.255475699073031e-08	6.623839965413936e-08	0.007256871555000544	2.883689830923686e-06	2.531224367885443e-07	4.854647340835072e-05	3.646304094218067e-07	0.00011731409176718444	5.458549026116088e-07	5.788431955977558e-09	1.4547048010626895e-07	2.912350396400143e-07	6.577800490958907e-07	1.2634302038350143e-05	7.984019134710252e-08	2.895125703616941e-07	1.0115431336998881e-07	2.481203011939215e-07	0.00041644819430075586	3.317082928333548e-07	5.577157367042673e-07	3.8237990906964114e-07	8.791586481038394e-08	0.001163294306024909	9.68881181506731e-07	1.0297417674109965e-07
IGLV3-10	3.218662527615379e-07	2.4043055546485448e-08	2.698192602679228e-08	1.544585970236767e-08	1.359472463491329e-07	1.887636472019949e-06	8.888319058542038e-08	1.6376723976918584e-07	8.59930864294256e-08	5.900968062633183e-06	7.172477012318268e-08	2.144158850470035e-09	4.1395011862732645e-08	3.072748100407807e-08	2.8788252848244156e-07	4.8728484216553625e-06	4.249694640634516e-08	1.981338115797371e-08	1.1192516247149342e-08	2.5988015295297373e-08	3.6223479327190944e-08	1.7661496087839623e-07	5.172568506850439e-08	3.79717981502381e-08	1.7255969098073365e-08	2.7259425223746803e-06	3.462061215486756e-07	4.7805595926320166e-08
CDCA2	4.069748683832586e-05	1.5113737106275948e-07	1.203605535238239e-07	4.534877916739788e-06	2.7108490030514076e-07	2.5958745482057566e-06	1.9167360733263195e-05	5.573342036768736e-07	1.524677912811967e-07	9.586315172782633e-06	1.3519355945845746e-07	1.567553226777818e-05	9.79494245711976e-08	0.0025350505020469427	3.5862419167642656e-07	9.65820890996838e-06	1.4548851368090254e-06	7.6871185683558e-07	4.076527559959686e-08	1.0775993075640145e-07	1.49864746390449e-07	3.475774690286926e-07	6.450163141380472e-07	7.791237521814764e-08	5.988640168652637e-06	9.702051102067344e-06	1.3401668184087612e-06	6.689784726177095e-08
IRAK3	7.438487955369055e-06	5.606392505796975e-07	0.00030431101913563907	0.000155899440869689	2.9572370294772554e-06	0.00023552658967673779	0.0007180210668593645	0.00016327560297213495	7.76334127294831e-05	2.1310203010216355e-05	0.0006335712969303131	1.5807945601409301e-06	7.1241338446270674e-06	7.844885658414569e-06	1.9444389636191772e-06	1.617437919776421e-05	0.00013116648187860847	0.0004668573965318501	2.4610283162473934e-06	2.0739464616781333e-06	4.1032657463802025e-05	2.4421868147328496e-05	0.0003637965419329703	2.5060115149244666e-05	8.609968062955886e-06	7.995203304744791e-06	0.00024730898439884186	0.0002075612428598106
SLC44A1	0.0009159531909972429	5.952278297627345e-05	0.0002877389488276094	0.0011381354415789247	0.0008655935525894165	0.00028238771483302116	0.0002330692223040387	8.310097473440692e-05	0.0002258348249597475	0.00020864876569248736	0.00023170105123426765	0.00035192130599170923	0.0002347176632611081	4.2980522266589105e-05	2.2879274183651432e-05	0.00042744269012473524	0.000168644794030115	0.00018527171050664037	0.00011402798554627225	3.828183253062889e-05	5.618410432361998e-05	0.0001279197313124314	0.0005448426236398518	5.9196550864726305e-05	9.035196853801608e-05	0.0003647461999207735	0.00019910249102395028	0.0009427707991562784
TRAF4	0.0001512959715910256	5.439951564767398e-05	8.926235750550404e-05	0.0001276572875212878	0.0001244448940269649	3.9950813516043127e-05	1.0078586456074845e-05	0.0017119910335168242	0.00012205593520775437	0.00020097180095035583	0.00010794548143167049	0.0002912338823080063	5.235178105067462e-05	0.0001525479747215286	6.907959232194116e-06	8.445698040304706e-05	6.241454684641212e-05	8.83839402376907e-06	9.976723231375217e-05	8.174653339665383e-05	0.0005923413555137813	0.00018821765843313187	5.9360056184232235e-05	0.0002689803659450263	0.0002523154835216701	7.690354686928913e-05	1.6130239600897767e-05	0.00019169731240253896
EDIL3	2.2202605123311514e-06	5.742930397900636e-07	0.00025428898516111076	0.0015276853227987885	1.4451744618781959e-06	0.00011126267054351047	6.482708272415039e-07	4.37371272710152e-06	1.3764175719188643e-06	2.5344563255202956e-05	3.549328084773151e-06	2.486346488694835e-07	3.117729932000657e-07	4.827493853554188e-07	1.578411684022285e-06	3.550149631337263e-05	0.00040158015326596797	3.793976475208183e-07	1.415904478108132e-07	7.299805702132289e-07	3.911343071649753e-07	0.00017547437164466828	2.128881351382006e-05	3.580181839879515e-07	3.1474414754484314e-06	0.00010485370148671791	1.7574400317243999e-06	7.628600724274293e-05
RPL10	0.0007532724994234741	0.001223800820298493	0.0002805452677421272	0.0006258938810788095	0.0016701887361705303	0.0019557164050638676	0.0019687970634549856	0.0015092585235834122	0.002531555248424411	0.0009284128900617361	0.0011709745740517974	0.001066537806764245	0.0014842291129752994	0.00045993036474101245	0.0017319372855126858	0.0012358075473457575	0.000735400419216603	0.0004417384334374219	0.003962540067732334	0.0015334192430600524	0.0023267020005732775	0.001397827290929854	0.0013362804893404245	0.0006071757525205612	0.005347698926925659	0.001613160246051848	0.0012375388760119677	0.0014590367209166288
CST7	5.049164428783115e-06	0.0035033097956329584	3.4555722550067003e-07	2.8812104574171826e-05	4.860095032199752e-06	0.00013323260645847768	0.00019487347162794322	2.4061086151050404e-05	0.0006295935600064695	5.42074631084688e-05	6.317872021099902e-07	2.4681744648091808e-08	0.00027603207854554057	4.888222974841483e-05	0.004797939211130142	8.23245572973974e-05	3.783203794682777e-07	2.3743741621728987e-06	0.00011735812586266547	0.0008080314728431404	9.175365676128422e-07	3.2872019346541492e-06	7.313270771192038e-07	0.0006146203959360719	2.02214050659677e-06	9.597197640687227e-05	6.993436727498192e-06	8.655979036120698e-05
HIGD1B	1.1687551477734814e-06	1.4739879361513886e-07	3.3040707876352826e-06	6.580505669262493e-07	6.077795546843845e-07	9.00849136087345e-06	5.015659780838178e-07	7.462842859240482e-07	4.529581474344013e-07	3.078585723415017e-05	2.5850924885162385e-06	9.633813391474177e-08	2.130270360112263e-07	1.0900581770556528e-07	1.2239229363331106e-06	2.941619823104702e-05	0.0035976022481918335	9.791233424039092e-08	6.606910574191716e-08	2.1638388147948717e-07	4.0764956565908506e-07	1.1456849051683093e-06	2.0507934550551e-06	1.5189067426035763e-07	3.1103738251658797e-07	7.748390999040566e-06	2.3647133275517263e-05	1.942780158969981e-07
PPP3CC	0.00041887350380420685	0.0008278508903458714	0.00020418365602381527	0.00014777117758058012	0.00040348109905608	0.00015240376524161547	7.048265979392454e-05	0.00018686374824028462	0.0005897871451452374	0.0003839841519948095	0.00017175701214000583	0.0001340699673164636	0.0006250149453990161	8.672194962855428e-05	0.0004181490221526474	0.0006064158515073359	0.00022628704027738422	8.2525031757541e-05	0.000564269837923348	0.0004067959089297801	0.0006567421369254589	2.4449247575830668e-05	0.00013926949759479612	0.0004799340385943651	8.125814201775938e-05	0.00023128901375457644	0.0003530375543050468	0.00021301019296515733
NTRK2	1.733755880195531e-06	2.3448069441656116e-06	1.2751123676935094e-06	1.2685955880442634e-05	2.8371716780384304e-06	5.69924850424286e-05	4.5777213131259487e-07	2.4154439870471833e-06	5.776841589977266e-06	3.929176818928681e-05	1.7035778228091658e-06	1.3794518963550217e-05	5.0139638005930465e-06	4.132972208026331e-06	1.8030082173936535e-06	0.00015749548038002104	0.00112490716855973	1.614828448737171e-07	6.846468636467762e-07	1.6212408809224144e-05	4.458995306322322e-07	0.0014761885395273566	0.00020943937124684453	2.979777673317585e-05	8.906648872653022e-05	1.0566736818873324e-05	1.3355042938201223e-05	2.2531955323756847e-07
SIL1	0.0012084351619705558	0.00011589516361709684	0.00021435589587781578	0.00031637150095775723	0.001685849973000586	1.689957207418047e-05	0.0003665195545181632	0.0001556958450237289	0.00020585130550898612	0.00025169737637043	0.0001989714364754036	0.0005465186550281942	0.00021017428662162274	5.716972009395249e-05	0.00011632194218691438	4.9620215577306226e-05	0.0001969063887372613	0.00035849199048243463	8.609586802776903e-05	0.0001371887483401224	2.8136686523794197e-05	4.592401455738582e-05	0.0004955611657351255	0.0001716477272566408	0.00010543741518631577	0.0003599715419113636	0.00011982593423454091	0.00033256522146984935
ARPC5	0.00016557323397137225	0.0004913946613669395	0.00032645114697515965	0.00034999442868866026	0.00022091978462412953	0.0016214260831475258	0.0012258599745109677	0.0007912490982562304	0.000506051117554307	0.00024949185899458826	0.0002591984230093658	0.0004350454546511173	0.000560825748834759	0.0009138957248069346	0.0011646897764876485	0.0003311825275886804	0.0009367697057314217	0.0009837554534897208	0.0006716529023833573	0.0009392350912094116	0.0005552541115321219	0.0009471892262808979	0.00026088141021318734	0.0006213101441971958	0.0005427816067822278	0.00034711568150669336	0.0003856582334265113	0.0004640881670638919
MBP	2.2909183826413937e-05	0.0013633806956931949	1.7162232097689412e-06	7.89731420809403e-05	3.340318289701827e-05	0.00020059903908986598	0.00020162986766081303	0.0005554480012506247	0.001092707272619009	0.00010122386447619647	1.5327241271734238e-06	9.129683166975155e-05	0.0012878697598353028	0.00010339640721213073	0.0014128948096185923	0.0002412491594441235	2.4849018700479064e-06	0.0002030057366937399	0.0008284361101686954	0.0006968789966776967	0.00046245576231740415	3.159746484016068e-05	0.00013544053945224732	0.00021492576343007386	6.691973976558074e-05	0.0001932203449541703	1.0823318916663993e-05	0.000510868732817471
LEPROTL1	0.00010288652265444398	0.0008168169297277927	0.00016572368622291833	6.8997687776573e-05	0.00013941382349003106	0.0001754864933900535	0.00014435955381486565	0.00027020450215786695	0.0006023655296303332	0.0005082337302155793	0.00010481494973646477	0.00015495539992116392	0.001128115225583315	0.00017532624769955873	0.0001380909379804507	0.0003010293876286596	0.00011173521488672122	0.0001886165264295414	0.0014557092217728496	0.0007564753177575767	8.839105430524796e-05	0.00011816827463917434	7.131782331271097e-05	0.0006189625710248947	0.00014886647113598883	0.0003349434118717909	0.0006305762799456716	0.0003835117968264967
MPEG1	1.8575669855636079e-06	1.3277262667088507e-07	7.843006244456774e-08	3.1563445190840866e-07	4.773537966684671e-06	8.940018233261071e-06	0.0003830457280855626	0.004808810073882341	1.2787145351467188e-06	2.0790814232896082e-05	5.362222736948752e-07	7.733437001888888e-09	2.166274271075963e-07	6.310158937594679e-07	1.5065870684338734e-06	1.5687262930441648e-05	1.548025494457761e-07	0.0011069267056882381	1.6536276348233514e-07	1.3242777185951127e-07	0.00031572222360409796	5.365681090552243e-07	5.084336862637429e-07	1.3332629578144406e-07	1.0215126877710645e-07	6.9191373768262565e-06	9.57355041464325e-07	2.4901237338781357e-07
ELN	1.307415914197918e-05	4.7188314056256786e-07	0.0002620101731736213	0.0011400033254176378	3.85938392355456e-06	0.00021874858066439629	9.705803449833184e-07	3.5440382362139644e-06	1.8564641095508705e-06	4.477579932427034e-05	0.00027036049868911505	2.3977406726771733e-06	9.436250820726855e-07	1.8778682715492323e-06	3.0201297249732306e-06	0.0002647021901793778	0.00012464479368645698	3.2427706742055307e-07	5.559346618611016e-07	1.1394411103538005e-06	1.1929669199162163e-06	0.0005043643177486956	0.0008643909241072834	2.1214150365267415e-06	4.7271828407247085e-06	4.384713611216284e-05	1.4857954738545232e-05	4.403525224461191e-07
SELP	1.8868435063268407e-06	1.2046024266965105e-06	7.306858606170863e-06	2.7187729756406043e-07	5.459330623125425e-07	9.940560630639084e-06	3.0424303076870274e-07	2.299861989740748e-06	2.6742143290903186e-06	2.2547141270479187e-05	0.003361322218552232	8.059531353410421e-08	2.369956928305328e-05	8.169394618562364e-07	1.7034876691468526e-06	1.8555614587967284e-05	2.380603660867564e-07	3.2405682759417687e-07	1.9640809114207514e-05	1.3015140893912758e-06	7.84966232458828e-06	8.799286661087535e-06	5.348404670257878e-07	7.967571582412347e-05	3.037509941350436e-07	1.1423029718571343e-05	4.566972620523302e-06	2.1049922906968277e-06
