Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12
HIGD1B	2.0413254731010966e-07	6.962551424294361e-07	2.9504358067811154e-08	3.7214942949503893e-07	9.561201750329928e-07	4.5861597754992545e-06	1.211264930134348e-06	2.0420439739154972e-07	5.569023869611556e-06	0.0024692947044968605	1.6505300948210788e-07	1.8154645431422978e-07
PPP3CC	0.0005225952481850982	0.00013830325042363256	0.00012663092638831586	0.00019530892313923687	0.0005827943095937371	0.0002306544192833826	0.0003958289453294128	8.32120786071755e-05	0.00015253784658852965	0.00020295452850405127	0.0006671545561403036	0.00047185912262648344
NTRK2	3.002257835760247e-05	2.3140619305195287e-05	2.197120920754969e-05	5.510937171493424e-06	4.2516235225775745e-06	3.953878149332013e-06	4.220816663291771e-06	5.517434260582377e-07	1.1954760338994674e-05	0.0010854575084522367	2.536828105803579e-06	2.0412444428075105e-06
SIL1	0.00017277925508096814	0.0003392160579096526	0.0005007024155929685	5.998216147418134e-05	2.67520772467833e-05	0.0002466782461851835	0.0014080454129725695	0.00036341912345960736	0.00016222763224504888	0.00021118531003594398	0.00011787198309320956	0.00011350429122103378
ARPC5	0.0006724272388964891	0.0003249209257774055	0.0004468967381399125	0.000867741706315428	0.0005551516078412533	0.0003238160570617765	0.00021932930394541472	0.00098769913893193	0.00032647085026837885	0.0008763836231082678	0.000640654587186873	0.0006730802706442773
MBP	0.0004269144556019455	9.502902685198933e-05	9.306531865149736e-05	0.00022611155873164535	0.00048152904491871595	8.110413546091877e-06	4.50922962045297e-05	0.00023085095745045692	4.125418854528107e-06	5.847422016813653e-06	0.0012955317506566644	0.0006325166905298829
LEPROTL1	0.0006374416989274323	6.557002780027688e-05	0.00015200285997707397	0.0003521538164932281	9.365046571474522e-05	0.00014060734247323126	0.00013490073615685105	0.0001765510969562456	0.00020076311193406582	0.00010830271639861166	0.0009697226341813803	0.001347037497907877
MPEG1	4.937895937473513e-06	3.647669757356198e-07	2.179819169612074e-08	4.991616719962622e-07	0.0005060889525339007	2.602996573841665e-06	6.037371349520981e-06	0.001187418820336461	1.08899723727518e-06	5.088289753985009e-07	1.1217041162581154e-07	3.834899871435482e-06
ELN	1.8577159153210232e-06	0.0011195127153769135	2.2362669369613286e-06	2.0137774754402926e-06	3.769860995816998e-06	0.0002702082274481654	9.000845238915645e-06	1.4577416322936187e-06	0.00021712385932914913	0.00015802359848748893	3.184767365382868e-07	1.322236471423821e-06
SELP	5.3505951655097306e-05	1.556858535423089e-07	2.2194891258209282e-08	2.787423227346153e-06	1.6809459339128807e-05	0.00025154315517283976	1.7790898709790781e-06	1.8896625419984048e-07	0.0014502820558845997	9.175966511065781e-07	1.8959207181978854e-06	3.9057245885487646e-05
C1orf21	3.961821221309947e-06	0.0001741549640428275	0.0007515550823882222	5.9644935390679166e-05	8.032197911234107e-06	0.00020941509865224361	1.9804709154414013e-05	7.043874211376533e-05	0.0004510094877332449	0.0001857492607086897	0.0002392003807472065	1.1750134945032187e-05
STX7	0.00025283548166044056	0.0003398635017219931	0.0002109609340550378	9.775937360245734e-05	0.0014885000418871641	0.00024254755408037454	0.00022693333448842168	0.0005997312837280333	0.00013236553058959544	0.0001637604582356289	0.00016161311941687018	0.00014544061559718102
PFN1	0.0020248054061084986	0.00032572337659075856	0.0005291160196065903	0.002185388468205929	0.0007729085045866668	0.000280508742434904	0.0002545977185945958	0.0010785205522552133	0.00046462652971968055	0.00041134475031867623	0.0016566590638831258	0.0010575758060440421
TIAM1	0.0008064854773692787	3.348374957568012e-05	2.4925921024987474e-05	0.00014547945465892553	3.0489893561025383e-06	7.247769826790318e-05	7.0202918323047925e-06	0.00016545437392778695	0.00012710173905361444	2.8808635761379264e-06	0.0001268126507056877	0.0004621633852366358
PPIF	0.00026280820020474494	8.323734800796956e-05	0.0001752948301145807	0.00048104836605489254	0.00014396081678569317	3.0392087865038775e-05	0.00020549305190797895	0.0005802636151202023	3.9957430999493226e-05	7.461986388079822e-05	0.0002990209904965013	0.00010291744547430426
SGCB	0.00016096237231977284	0.0006806356250308454	0.00011302100756438449	0.00012652391160372645	0.0001009775951388292	0.0002812518214341253	3.685575939016417e-05	6.037396815372631e-06	0.00023426307598128915	0.0008186498889699578	0.0001440454798284918	6.273042527027428e-05
SGCD	2.784957473522809e-07	0.0010975196491926908	8.699039995008206e-07	4.441002374733216e-07	1.5755774711578852e-06	1.3668040992342867e-05	5.141618657944491e-06	1.6825205193526926e-06	2.2161930246511474e-06	1.1991943210887257e-05	9.754501206771238e-07	6.31449950105889e-07
HOXD9	1.0831824965862324e-06	2.6151208658120595e-05	9.716039528484544e-08	9.438059009880817e-07	7.683554485993227e-07	0.001274777459912002	1.4518005855279625e-06	2.6402378239254176e-07	0.0009223870001733303	2.7085963665740564e-05	1.47910739656254e-07	1.4685184623886016e-07
NRROS	0.00023720378521829844	4.0902699538492016e-07	1.7955572957362165e-06	0.00012609535770025104	0.00034367007901892066	0.0004273056983947754	0.00015537838044110686	0.0005813406896777451	0.00039066391764208674	1.2135816405134392e-06	0.00021315517369657755	0.00023363203217741102
TCF4	2.7768010113504715e-05	0.0011654839618131518	5.576299372478388e-06	7.884145816206e-06	0.000642427708953619	0.0014548801118507981	0.00029142797575332224	0.00017513638886157423	0.0011264312779530883	0.0006159397889859974	1.0379060313425725e-06	1.6595591660006903e-05
PRC1	1.1862684914376587e-05	1.3676977687282488e-05	5.000850433134474e-05	0.002542218891903758	3.8767338992329314e-05	5.1892377086915076e-05	3.033516441064421e-05	1.4296899280452635e-05	7.266308330144966e-06	1.6079276974778622e-05	2.0805702661164105e-05	1.6823520127218217e-05
GALNT18	4.7439652917091735e-07	1.4228849977371283e-05	4.825794167118147e-05	9.494977462054521e-07	4.675476247939514e-06	0.0013259544502943754	3.4749134556477657e-06	1.348544856227818e-06	0.0010021515190601349	9.301683894591406e-05	3.522281133427896e-07	3.049636688956525e-06
PAQR4	0.0002476084919180721	2.7401010811445303e-05	9.987363591790199e-05	0.0006278670625761151	1.1454870900706737e-06	0.0001815017021726817	3.309808744234033e-05	0.00010072721488540992	3.065870623686351e-05	3.5848072002409026e-05	1.6938871340244077e-05	1.4836097079751198e-06
TACC3	0.0003817993274424225	2.649995167303132e-06	7.553373507107608e-06	0.0011422738898545504	0.000152427121065557	5.6775570556055754e-05	1.0183579433942214e-05	0.00018182570056524128	2.8977901820326224e-05	4.575962975650327e-06	0.0003188765258528292	0.0006240090006031096
MICAL2	0.0005789241404272616	0.0009872071677818894	0.0002753998851403594	0.00017556286184117198	3.4655979561648564e-06	0.00017247152572963387	9.51932725001825e-06	7.831530820112675e-05	3.4513173886807635e-05	0.00029195009847171605	0.0001706222101347521	9.570027032168582e-05
HCST	0.0006174907321110368	1.4835125057288678e-06	1.9477990917948773e-06	0.0002560647844802588	8.416354830842465e-05	1.5202183476503706e-06	4.082022496731952e-05	0.0004402404883876443	2.651430122568854e-06	1.9548297132132575e-06	0.002093898132443428	0.0006169223343022168
C4orf48	0.001034821616485715	0.000657112745102495	0.00015702137898188084	0.00037633554893545806	0.00017618453421164304	0.0002383071114309132	0.00033319881185889244	0.0007120699156075716	9.112302359426394e-05	9.950005187420174e-05	0.0004739481955766678	0.00025606018607504666
SOCS2	0.00017553118232171983	0.00010556914639892057	0.00018015858950093389	3.1047467928146943e-05	1.2471301488403697e-05	0.00032601732527837157	2.4553050025133416e-05	2.1099327568663284e-05	0.000929873960558325	0.00014811511209700257	4.7199009713949636e-05	6.83270554873161e-05
ABI3BP	5.333242825145135e-07	0.0006550211692228913	8.329010938723513e-07	7.090008580235008e-07	1.8663064338397817e-06	1.3712870895687956e-05	6.174515874590725e-06	1.9936364878958557e-06	3.844445018330589e-05	0.00010530248255236074	5.013720851820835e-07	3.0921833058528136e-06
EFCAB14	0.0004812403058167547	0.0002499769034329802	0.00043660393566824496	0.00025693021598272026	0.0003468974318820983	0.0009080736781470478	0.00013411753752734512	0.00034387517371214926	0.0005070798797532916	0.00025171771994791925	0.00042074796510860324	0.00031636052881367505
APOA1BP	0.0003496099670883268	0.0001857123279478401	0.0015455683460459113	0.0003424283931963146	0.00023340685584116727	0.00010319057764718309	0.0007993573672138155	0.00020080417743884027	0.00014363510126713663	0.00030311569571495056	0.00033187339431606233	0.0002989038184750825
SFRP2	1.4327792996482458e-06	0.0012840372510254383	6.812331889705092e-07	1.5659816199331544e-06	8.989601155917626e-06	5.647851594403619e-06	1.0733326234912965e-05	2.7624055292108096e-06	6.773097538825823e-06	1.2011676517431624e-05	8.006567213669769e-07	2.1535104224312818e-06
C19orf66	0.0009239437058568001	0.00037767383037135005	0.0001343863841611892	0.00039761472726240754	0.0003599854826461524	0.0002465399447828531	0.00032395144808106124	0.00017586200556252152	0.0002332994481548667	0.0003026799822691828	0.0009272498427890241	0.0003479843435343355
RAB10	0.0005427844007499516	0.00029065992566756904	0.001132631441578269	0.0003118384920526296	0.0002635676064528525	0.0003458188148215413	0.0003343828720971942	0.0006455094553530216	0.00031751900678500533	0.00033632488339208066	0.000348456873325631	0.0002731354907155037
SYNPO	2.262621592308278e-06	0.0004911880241706967	8.973703188530635e-06	1.8009753830483533e-06	5.333036096999422e-05	0.0015481992159038782	2.423981459287461e-05	1.6790227164165117e-05	0.00036964035825803876	0.0003536664298735559	5.564893399423454e-07	2.3644506654818542e-06
SF3B6	0.0005689178942702711	0.0004277012776583433	0.0009887079941108823	0.0006668207934126258	0.00040878349682316184	0.00024028666666708887	0.000341435254085809	0.0003424929454922676	0.0006167644751258194	0.0004953545285388827	0.0004994492628611624	0.0004653428040910512
LRP2	5.0068848622686346e-08	3.101244416825466e-08	0.0015254500322043896	7.599107476607969e-08	9.827785163452063e-08	6.5107233240269125e-06	2.2884670158873632e-07	4.678600618035489e-08	1.2049380870848836e-07	7.810130853158626e-08	2.5030562511574317e-08	2.993292014252802e-08
EPB41L4A	1.232667841577495e-06	6.011317964293994e-05	0.00019856489961966872	7.730020115559455e-06	7.650968473171815e-05	0.0009752671467140317	0.00011151371290907264	1.7634205278227455e-06	0.0006330895703285933	8.462139521725476e-05	8.761011486058123e-06	1.454531684430549e-05
SYDE1	1.823606339712569e-06	0.0006494464469142258	5.266846073936904e-06	4.146500941715203e-06	4.541833732218947e-06	0.00031805981416255236	5.29775161339785e-06	1.8775730268316693e-06	0.0001272592635359615	0.0010906379902735353	5.244898488854233e-07	1.1407914826122578e-06
MIR497HG	7.822943734936416e-05	0.00018523185281082988	0.000154044377268292	7.078082126099616e-05	1.508688092144439e-05	3.167740214848891e-05	5.567982498178026e-06	5.654594497173093e-05	0.00011981266288785264	0.0008097146055661142	3.4174070606241e-05	2.2661624825559556e-05
SLPI	4.562597951007774e-06	4.958242698194226e-06	6.918266444699839e-05	1.2256731679372024e-05	2.2787553461967036e-06	1.3223624591773842e-05	5.708940989279654e-06	7.345352514676051e-06	4.942528448736994e-06	2.4653375021443935e-06	2.681435944396071e-06	2.2315653041005135e-06
CEBPD	5.1821948545693886e-06	0.0002438893570797518	0.00022063747746869922	9.317654075857718e-06	3.801172852035961e-06	4.10982574976515e-05	8.288652679766528e-06	0.0003699469962157309	0.00013709545601159334	0.00020728123490698636	7.659212133148685e-05	9.724284609546885e-06
TRH	4.722364721487793e-08	2.9918830080077896e-08	0.00045305013190954924	7.692559478300609e-08	7.941449808868128e-08	6.564989973867341e-08	2.1187089771501633e-07	3.4955810690462386e-08	9.51720409148038e-08	7.343336250187349e-08	2.1536578742598067e-08	3.169366635802362e-08
SFI1	0.00026040736702270806	8.755621820455417e-05	0.00010211938933935016	0.0001769738446455449	0.00016762707673478872	0.00014511123299598694	6.078069782233797e-05	3.439630017965101e-05	5.876052819075994e-05	6.177301111165434e-05	0.0005683075287379324	0.0003969612589571625
ACYP1	0.00027060124557465315	8.626066846773028e-05	0.00021212195861153305	0.0005204007611609995	0.00015062194142956287	6.204312376212329e-05	4.891399294137955e-05	4.767414793604985e-05	0.00013519277854356915	0.00027129496447741985	0.0002818451030179858	0.00018628957332111895
TMEM9	0.00010196465154876933	0.0003378390974830836	0.0006754639907740057	0.00012245566176716238	0.00011560495477169752	0.00012759464152622968	0.0002537718100938946	9.451703954255208e-05	0.00018130183161702007	0.00020604526798706502	0.00014664234186057	0.00018502218881621957
TXNIP	0.0002521999995224178	0.00024140898312907666	0.0001774939737515524	0.00015504453040193766	0.0007767243660055101	0.00027282038354314864	0.00037729658652096987	0.00041263512684963644	0.0012572981650009751	0.00028174379258416593	0.0008381630759686232	0.0006974844145588577
ERGIC3	0.00040968062239699066	0.00045724536175839603	0.0008982226136140525	0.00030188585515134037	0.000296449608867988	0.0002545671013649553	0.001792266732081771	0.0003632933949120343	0.0004117746721021831	0.0004728468775283545	0.0003689676814246923	0.000492664345074445
CPNE7	0.00012573457206599414	2.5723807084432337e-06	4.335834091762081e-05	0.00021634611766785383	2.7043406589655206e-06	2.1359983293223195e-06	6.101902727095876e-06	8.532845754416485e-07	4.292576704756357e-06	1.699598442428396e-06	0.0006698247161693871	5.5779466492822394e-05
PTGER2	1.114744009100832e-05	5.0985050620511174e-05	6.456849860114744e-06	7.225760055007413e-05	2.8866900265711593e-06	2.1115847630426288e-06	2.4681892227818025e-06	8.444968261756003e-05	2.614267941680737e-06	1.6644207789795473e-05	0.0006206312100403011	0.0003759442479349673
LPL	7.6153301051817834e-06	1.6598194633843377e-05	2.5645422283560038e-06	6.698506240354618e-06	4.6295323841150093e-07	0.0003200225764885545	5.455892733152723e-06	0.00015676830662414432	3.4867141948780045e-05	0.000879107101354748	5.090408308205951e-07	2.49193732315689e-07
IGLV6-57	1.5126690868783044e-06	3.651110702662663e-08	4.5530881287447755e-09	2.0048038607001217e-07	7.574210030725226e-06	1.5417508336668106e-07	0.001058420748449862	3.0430538799919304e-07	3.8872832419656334e-07	2.4375660245823383e-07	3.8012624372640857e-06	2.9836076720357596e-08
PLEKHH2	3.763828146929882e-07	0.0006100968457758427	6.291527370194672e-06	3.1143654268817045e-06	2.9633831672981614e-06	3.5997941267851274e-06	2.402621703367913e-06	5.978617423352262e-07	7.6416035881266e-06	0.0004324618203099817	1.0836536603164859e-05	2.926451816165354e-05
SLC31A2	0.0001283872261410579	0.00017604336608201265	0.00031951797427609563	2.4949958969955333e-05	6.576326995855197e-06	6.566823867615312e-05	0.0001045665267156437	0.0007373455446213484	2.9256383641040884e-05	6.374944496201351e-05	2.6872399757849053e-05	9.318145021097735e-05
MFAP2	1.1924298632948194e-06	0.0015294101322069764	0.00035271348315291107	1.2296157365199178e-05	5.190681804378983e-06	0.00011070039181504399	2.0847131963819265e-05	3.2234793252428062e-06	4.079670179635286e-05	2.6588562832330354e-05	1.7691260154606425e-06	1.4962241721150349e-06
IGHV3-11	9.010861390379432e-08	1.449631099603721e-06	1.4838024142704853e-08	1.1679628642013995e-07	3.6760616239917e-06	1.404530678428273e-07	0.0012674074387177825	8.105947557623949e-08	1.9529677786067623e-07	1.6846595940478437e-07	5.929609869781416e-07	3.8857371009726194e-07
JAKMIP1	0.000510981772094965	3.1989025046641473e-06	3.157661467412254e-06	0.0002591281372588128	7.944029789541673e-07	6.076786576159066e-07	7.963846655911766e-06	3.1116945820031106e-07	6.520563147205394e-07	7.812826083863911e-07	0.00047969783190637827	1.0920003660430666e-05
CDC20	5.503139277607261e-07	9.35743116770027e-07	3.713898695423268e-05	0.001983767142519355	3.154255807658046e-07	4.3685981836461e-06	6.752790341124637e-06	4.041150077682687e-06	6.240281891223276e-07	1.1387414815544616e-06	2.6440832812113513e-07	1.1206363836890887e-07
EMC9	0.0004981024540029466	0.0001067889024852775	0.000302150787319988	0.0006647924892604351	0.0001313830871367827	0.0001262048026546836	0.00028150188154540956	0.00010207248851656914	0.0001348504883935675	0.00013534474419429898	0.0002464735007379204	0.00016491608403157443
GAL3ST4	5.523730578715913e-06	0.00025229513994418085	1.4848696991975885e-06	4.049819835927337e-06	4.071350304002408e-06	1.5909621652099304e-05	2.7390474315325264e-06	0.0012738663936033845	7.496390935557429e-06	0.00013000571925658733	2.874226765925414e-06	4.6458662836812437e-05
SHANK3	2.2429142632063304e-07	3.5414209378359374e-06	3.985593593824888e-06	2.5184630203511915e-07	1.4624813502450706e-06	0.0018694334430620074	1.220824742631521e-06	8.511671722999381e-08	0.0003744648420251906	3.4528245578258066e-06	4.624122595942026e-08	2.605396502985968e-07
MND1	2.9144729296604055e-07	3.4670963941607624e-05	1.2271191735635512e-05	0.0015317830257117748	9.189815273202839e-07	5.447974672279088e-06	1.0118000091097201e-06	1.4686019085274893e-06	2.543309562952345e-07	1.9579360014176928e-05	4.646120643769791e-08	8.99574885693255e-08
YWHAZ	0.0010184536222368479	0.000293666118523106	0.001054639695212245	0.000999292591586709	0.0008801476797088981	0.00023297264124266803	0.0002343658561585471	0.0003430285141803324	0.0002888407907448709	0.0004806366632692516	0.0010196708608418703	0.0009187947725877166
HSPA8	0.0011594888055697083	0.00032509956508874893	0.0007902568322606385	0.0012204396771267056	0.0007824625354260206	0.00026144221192225814	0.00045893259812146425	0.0006214018794707954	0.0007022579084150493	0.00039616585127077997	0.0011926202569156885	0.0014705390203744173
TOB1	0.0001965819828910753	0.00012183553917566314	0.0009104310302063823	0.00021341422689147294	6.396701792255044e-05	0.00010095250036101788	6.709185981890187e-05	9.303607657784596e-05	4.297074701753445e-05	0.00014076799561735243	0.0002777444606181234	0.0003651635779533535
PTPN1	0.000658368575386703	0.0001861609925981611	0.00025234968052245677	0.000280499632935971	0.0006597622996196151	0.00016340396541636437	0.000532901322003454	0.0003563844074960798	0.00012981354666408151	0.00021501246374100447	0.0003979007597081363	0.00039902329444885254
CLEC2B	0.0002471491461619735	0.00031116625177673995	1.646901750973484e-06	0.00021868443582206964	0.00013484462397173047	0.0001903702359413728	0.0001492662850068882	0.0003063027106691152	0.0005252655246295035	6.30654176347889e-05	0.0011314600706100464	0.00021205280791036785
GPR4	4.121473011764465e-07	2.342442257941002e-07	2.777178487178844e-08	4.931480930281396e-07	2.1241821741568856e-06	0.0014604917960241437	1.8824073322321055e-06	4.424879875841725e-07	0.000531423429492861	0.0005946891033090651	1.3768020323823293e-07	2.772759444269468e-07
SMIM3	0.00011296209413558245	0.0007311404915526509	5.5566761147929356e-05	5.8050387451658025e-05	9.781313565326855e-06	2.3625203539268114e-05	4.092605013283901e-05	0.0004635747754946351	7.953334716148674e-05	0.0003479350998532027	0.00011726588127203286	0.00020330038387328386
