Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24
MS4A4A	4.035722724893276e-07	4.829252588933741e-07	4.078629274317791e-07	4.3072773792118824e-07	2.671422862476902e-06	4.113585134746245e-07	1.942918424902018e-05	3.312393062060437e-07	3.6349499623611337e-06	1.366849478046106e-08	6.618171966010777e-08	3.4993539088645775e-07	6.26187556918012e-07	5.436399064251418e-08	0.0014382245717570186	1.6225658328039572e-07	3.842615399207716e-07	1.9855522168654716e-06	3.120205462892045e-07	1.098498216833832e-07	5.290194238227741e-08	7.256959406731767e-07	4.2777722342179914e-07	1.6474992037274205e-07
KIF4A	4.534583695203764e-06	1.6415376080658461e-07	0.0024501262232661247	6.993789014586582e-08	6.632553322560852e-06	4.696816233717982e-07	6.847754320915556e-06	4.041930026232876e-07	2.2925269149709493e-06	3.0430278741278016e-08	4.850077743867587e-07	4.0786540012049954e-07	4.0934256162472593e-07	6.887369750074868e-07	1.3372423381952103e-06	6.990012479946017e-08	2.647444432568591e-07	2.8667075184785062e-06	1.6416592529822083e-07	2.8149206627858803e-05	1.339435016234347e-07	5.81347251227271e-07	2.754983086106222e-07	1.4502717249342822e-07
CPNE5	0.0011944593861699104	5.1881870604120195e-06	4.657757926906925e-06	1.413444010722742e-06	8.06500029284507e-05	5.173122644919204e-06	8.99522565305233e-05	1.2439096508387593e-06	0.002500730799511075	1.2617157381100697e-06	0.000995597685687244	0.0002563450834713876	2.275040969834663e-06	3.5540363541031184e-08	1.3108921166349319e-06	5.758956376666902e-06	2.5679637474240735e-06	2.7816031433758326e-05	4.30539785156725e-06	2.295313237254959e-07	3.943096999137197e-06	1.542012978461571e-05	4.270246790838428e-06	1.7540564840601292e-06
FAM92B	4.1844497644660805e-08	1.4536513504026516e-07	3.0198026479411055e-07	6.490768811318048e-08	5.294121763199655e-08	5.769005611000466e-07	3.800064632741851e-06	3.017902656665683e-07	0.003304780926555395	7.1359650632985e-08	4.00324040583655e-07	6.885935732725557e-08	4.065134717734509e-08	5.188037555114988e-09	1.4830310135494074e-07	3.254693581311585e-08	1.7519508332952682e-07	4.323169832787244e-06	2.0471371442454256e-07	5.024461557923132e-08	2.8841551369396257e-08	1.659141730669944e-07	6.623408665973329e-08	1.3474253535150638e-07
TNFRSF17	0.00040757228271104395	9.831169336393941e-07	4.4603567062040383e-07	1.7646475214405655e-07	7.82952795930214e-08	1.4713150449097157e-06	7.844171705073677e-06	1.7438276245229645e-06	0.005863025784492493	4.365703532016596e-08	1.2019364703519386e-07	9.068113371313302e-08	1.5117218765681173e-07	1.1108155284489385e-08	2.892490442718554e-07	9.787489574364372e-08	2.2162100776768057e-07	1.912630978040397e-05	3.9274416963053227e-07	7.69232144648413e-08	5.475493480844307e-08	4.181767963018501e-06	1.4649766910679318e-07	5.093437493997044e-07
IGLV3-10	3.77957505293125e-08	4.696510558233058e-08	3.853984509305519e-08	5.377462741762429e-08	4.980781298513648e-08	3.006418225481866e-08	1.744718474583351e-06	1.2381720182474965e-07	1.1126231669322806e-07	4.603577075101839e-09	3.798376013719462e-08	5.51163594764148e-08	2.5386141189187583e-08	4.604540748687214e-09	1.920107983721664e-08	1.8028057269248166e-08	8.60700595239905e-08	2.782309422855178e-07	3.789455504943362e-08	4.698876665543139e-08	2.483000471897867e-08	1.5697078481480276e-07	4.747761650492066e-08	8.188811762011028e-08
CDCA2	7.900805030658375e-06	2.664698968146695e-07	0.0028032236732542515	6.326030188574805e-07	2.2452763914770912e-07	2.0871088679541572e-07	3.5040898183069658e-06	3.677543190860888e-06	2.697939180507092e-06	1.7576187019585632e-05	1.504954525444191e-07	4.1150036622639163e-07	6.515074346680194e-06	2.462872771502589e-06	1.4986076166678686e-06	8.174746568556657e-08	2.7159362048223556e-07	1.376925297336129e-06	5.215624696575105e-07	2.9638606520165922e-06	1.2366287194254255e-07	6.786701760574942e-07	1.258562321027057e-07	1.8563353876288602e-07
IRAK3	4.685942622018047e-05	5.046611022407888e-07	7.019647455308586e-06	0.0002697676245588809	0.0006323285633698106	5.831894327457121e-07	1.534825969429221e-05	4.1944815166061744e-05	4.80882090414525e-06	3.0663727557111997e-06	0.00019034810247831047	0.00021798891248181462	8.311960846185684e-05	7.013209710748924e-07	0.0005164770409464836	1.479107254453993e-06	0.00025013505364768207	1.8066899428959005e-05	3.94529415643774e-05	0.00013517565093934536	6.127294454927323e-06	0.0006695295451208949	1.0433269608256523e-06	7.404356892948272e-06
SLC44A1	5.544136365642771e-05	0.00022591235756408423	4.524704854702577e-05	0.0007789605879224837	0.00024041946744546294	4.8529891500948e-05	0.00016261203563772142	9.087064972845837e-05	0.0008742346544750035	0.0001247993641300127	0.00027902869624085724	0.0009206488030031323	0.0011861022794619203	0.0005477045197039843	0.00018896778055932373	0.00012333916674833745	0.0004979428485967219	0.00011923647980438545	6.396992830559611e-05	0.00017664459301158786	9.148692333837971e-05	0.0007363062468357384	1.841743869590573e-05	0.00010814041161211208
TRAF4	0.0008228682563640177	8.650046947877854e-05	0.00014021509559825063	4.777329377247952e-05	7.949984865263104e-05	5.28690216015093e-05	0.0004301810695324093	0.0006897026323713362	0.00020615897665265948	0.0004063921805936843	0.00011156869732076302	0.00022999870998319238	0.0001345155033050105	0.00016814222908578813	1.767580397427082e-05	9.536913421470672e-05	6.05635141255334e-05	0.00010192341869696975	7.371949322987348e-05	6.052682874724269e-05	0.00011225389607716352	0.0004325645277276635	9.84150537988171e-05	2.2085356249590404e-05
EDIL3	4.666078154969e-07	4.3495151658135e-07	4.295955591260281e-07	0.00030551751842722297	8.125793101498857e-06	5.84436691042356e-07	1.3415642570180353e-05	6.57728890018916e-07	8.48584704726818e-07	9.44460396112845e-07	0.00031352057703770697	7.829243986634538e-05	0.001962806796655059	3.0960947583480447e-07	3.814510591837461e-07	1.7056058254638629e-07	4.6847508201608434e-05	1.3130809293215862e-06	3.958516856528149e-07	0.00040411140071228147	1.1819588507933076e-06	0.00015273477765731514	4.447473713753425e-07	6.373323344632809e-07
RPL10	0.002282756380736828	0.0013971199514344335	0.00045799012877978384	0.0018197213066741824	0.001162269851192832	0.001221506274305284	0.0015367129817605019	0.0007232403149828315	0.001366166165098548	0.0020562808495014906	0.00023394649906549603	0.001530870096758008	0.0005909499013796449	0.0006072340765967965	0.000569560332223773	0.004212888423353434	0.0015121478354558349	0.0004993938491679728	0.0013795054983347654	0.0008817535708658397	0.0045806365087628365	0.00016833384870551527	0.0009040003642439842	0.0022736459504812956
CST7	5.19934474141337e-06	0.0007730002980679274	3.1780618883203715e-05	1.9434433852438815e-05	4.849852075494709e-07	0.0033640351612120867	0.0005311555578373373	0.00043272232869639993	3.8002579003659775e-06	6.498585491954145e-08	7.946704840833263e-07	8.05699746706523e-05	2.950238558696583e-05	2.995025454310962e-07	1.1776610335800797e-05	0.00010432139242766425	1.6974623804344446e-06	0.00046806965838186443	0.0003203676315024495	4.653518033137516e-07	0.00017286743968725204	3.5790894798992667e-06	0.0011026147985830903	0.0020282375626266003
HIGD1B	4.033016693938407e-07	3.306471114683518e-07	1.189025837788904e-07	2.0324954164152587e-07	2.839419494193862e-06	1.5837609623758908e-07	9.724473784444854e-06	1.4372267287399154e-06	3.8407779356930405e-07	2.0933245536980394e-07	3.95373808714794e-06	4.4435773816076107e-07	9.345578746433603e-07	3.5508193718669645e-08	1.3087473860196042e-07	1.2033420659918193e-07	2.1363209725677734e-06	7.883089097049378e-07	2.702114443309256e-07	0.003410526318475604	1.270936280661772e-07	1.7873691149361548e-06	2.1615799994378904e-07	6.500830522782053e-07
PPP3CC	0.0006075878627598286	0.0008660468156449497	6.094156196922995e-05	0.00011186105257365853	0.00016107631381601095	0.000728764571249485	0.0004467519756872207	0.00023301583132706583	0.00038560378015972674	2.3542172129964456e-05	0.0002132682129740715	0.0001797534350771457	0.0001421492052031681	0.00025316773098893464	7.732347148703411e-05	0.0005566203035414219	0.00010546455450821668	0.0006674210308119655	0.0005873754271306098	0.00019930563576053828	0.0001867278915597126	0.0003179496561642736	0.0004977087373845279	0.0005181017331779003
NTRK2	8.156111448442971e-07	2.2223509859031765e-06	3.352179646753939e-06	3.356794695719145e-05	2.125075070580351e-06	1.2001254390270333e-06	4.502531373873353e-05	9.892618254525587e-05	2.4900732569221873e-06	5.1504372095223516e-05	5.062913714937167e-06	8.505175173922908e-06	1.4457049474003725e-05	4.684833072587935e-07	2.4086349981189414e-07	1.1392642136343056e-06	0.00039287921390496194	1.4266747712099459e-05	7.981330782058649e-06	0.0012370067415758967	3.4976742426806595e-06	8.500412150169723e-06	2.3734644855721854e-05	3.0436226552410517e-06
SIL1	3.434636892052367e-05	0.00013653819041792303	5.6315537221962586e-05	0.0001716945116641	0.00017872358148451895	0.00011423971591284499	0.0002578098210506141	0.00012728682486340404	0.001492657931521535	0.0005399443907663226	0.00022305327001959085	0.0003336239606142044	0.0003648477140814066	0.0004881638160441071	0.0003659740323200822	0.00010303943417966366	0.0005536052049137652	0.0004415298462845385	0.00011152938532177359	0.00018205956439487636	8.718112803762779e-05	0.000282923923805356	0.00016147475980687886	0.00021935869881417602
ARPC5	0.000555052945856005	0.0005385641707107425	0.0009195486200042069	0.0003621351788751781	0.00030124926706776023	0.0005532503710128367	0.0007118894136510789	0.0006766149890609086	0.00019872332632075995	0.0006830536294728518	0.00029809243278577924	0.0004860837943851948	0.00035077473148703575	0.00017860333900898695	0.0010098773054778576	0.0006498373695649207	0.0002814393665175885	0.0004448347899597138	0.0006180790369398892	0.000956205592956394	0.0010463950457051396	0.00024600562755949795	0.0007771115633659065	0.0006829679477959871
MBP	0.00046237834612838924	0.001703454996459186	8.002355752978474e-05	0.00017530492914374918	8.567785698687658e-07	0.0012781111290678382	0.00040456830174662173	0.00016514463641215116	3.945944627048448e-05	3.684672265080735e-05	2.01945999833697e-06	0.0004822774790227413	4.5696717279497534e-05	0.00014494711649604142	0.00020462645625229925	0.0008170939399860799	8.93337928573601e-05	0.000272421253612265	0.0006359476828947663	3.077429482800653e-06	0.00040837665437720716	0.00012192610302008688	0.0005179390427656472	0.0011867518769577146
LEPROTL1	9.409939229954034e-05	0.001113049453124404	0.00013634379138238728	5.686672739102505e-05	0.00013610634778160602	0.0008296990999951959	0.0006784370052628219	0.0004651913186535239	0.0001261566358152777	8.429191802861169e-05	0.00017886723799165338	0.0003478628641460091	6.696644413750619e-05	0.0002158342394977808	0.00017101760022342205	0.0015222757356241345	6.534920248668641e-05	0.00038615745143033564	0.0011027702130377293	0.00010113178723258898	0.0007212227792479098	7.17158691259101e-05	0.0006745820865035057	0.0004679348203353584
MPEG1	0.0007081590592861176	4.982494488103839e-07	2.912862839821173e-07	5.421522928372724e-07	6.790772317799565e-07	1.8470458940100798e-07	5.792154752271017e-06	3.92529670989461e-07	5.284187864162959e-06	1.3715665048152914e-08	8.617008262490344e-08	1.4976609463701607e-07	2.2129866295017564e-07	9.045455584555384e-08	0.0012555038556456566	1.068073203214226e-07	7.187028359112446e-07	1.5661569250369212e-06	1.5326914137858694e-07	1.6321233431426663e-07	1.0214193935098592e-07	4.257928594597615e-06	3.0284792273960193e-07	8.148766141857777e-07
ELN	1.4426815369006363e-06	4.828160058423236e-07	3.384574483789038e-06	0.002417726907879114	0.00022822176106274128	3.414946263546881e-07	1.6689311451045796e-05	3.3721164527378278e-06	4.440985321707558e-06	6.3140137172013056e-06	0.0002759684866759926	1.1872359664266696e-06	0.0006267060525715351	8.605001085015829e-07	2.652307387052133e-07	4.796217467628594e-07	0.00035038372152484953	2.242281880171504e-06	4.784309908245632e-07	0.0001510713336756453	1.5010547258498264e-06	0.0007687445031479001	2.12873715099704e-06	1.2945516800755286e-06
SELP	1.0233422472083475e-05	4.0710597204451915e-06	5.383340067055542e-07	2.2863252979732351e-07	0.0019486022647470236	4.90458717194997e-07	3.079014641116373e-05	8.08388813311467e-06	1.167274945146346e-06	8.612361312998473e-08	4.021189852210227e-06	3.47993795912771e-06	5.378837499847577e-07	4.898027938793348e-08	6.94662602995777e-08	2.1779809685540386e-05	1.1982252772213542e-06	2.9435454052872956e-05	0.00012446739128790796	1.8405930291010009e-07	5.859575594513444e-06	6.674817996099591e-07	3.018099050677847e-06	5.599375185738609e-07
C1orf21	3.5234832012065453e-06	6.383506843121722e-05	6.776416557841003e-05	0.0002464860735926777	0.0004504232492763549	0.00037960565532557666	6.87413485138677e-05	2.824937610057532e-06	1.862224053184036e-05	0.0005320618511177599	0.00015807512681931257	0.00016572933236602694	5.443715053843334e-05	0.0010219347896054387	7.316843402804807e-05	9.844262422120664e-06	0.0006793200154788792	4.72511646876228e-06	3.408575366847799e-06	0.00013500913337338716	3.91406865674071e-05	0.00021601987828034908	1.3624426173919346e-05	0.0006770221516489983
STX7	0.0015262840315699577	0.00030228865216486156	6.996393494773656e-05	0.00032981426920741796	0.00018665610696189106	0.0002007083676289767	0.0001511463342467323	0.00022247195011004806	0.00022020518372301012	0.0001578751835040748	0.00018036084657069296	0.00032093978370539844	0.00035275929258204997	0.000282084773061797	0.0005878999945707619	0.00011255923891440034	0.0001598367525730282	0.0004500228969845921	0.00015974162670318037	0.00016256366507150233	8.353338489541784e-05	0.000547860108781606	0.00011586597975110635	0.00021247788390610367
PFN1	0.0007489616400562227	0.0010134573094546795	0.001975191757082939	0.00034319437691010535	0.0003022787277586758	0.001385185052640736	0.0014837522758170962	0.0024920222349464893	0.00020856807532254606	0.0007714558742009103	0.00028862160979770124	0.0002752761647570878	0.00034667234285734594	0.0001728356583043933	0.0010682678548619151	0.0008842868846841156	0.0002051772753475234	0.0006951793911866844	0.0017509496537968516	0.0003990792029071599	0.0030643451027572155	6.23497471679002e-05	0.0022722198627889156	0.0017484859563410282
TIAM1	2.454861032674671e-06	0.0003733502817340195	6.093011688790284e-05	1.6396466890000738e-05	0.00016646327276248485	5.9480717027327046e-05	0.0004030010895803571	0.0027351186145097017	5.660851911670761e-06	7.210649073385866e-06	2.009968193306122e-05	0.0005017100484110415	5.384177347877994e-05	3.3905987947946414e-05	0.00015141502080950886	0.000383855338441208	8.092013558780309e-06	0.0008623713511042297	0.0004837964370381087	8.321156315105327e-07	0.0001014442095765844	2.7159028832102194e-05	0.00015455186075996608	3.5886561818188056e-05
PPIF	0.00016115386097226292	0.00018925017502624542	0.0004951214650645852	0.00010091163130709901	4.1602666897233576e-05	0.0004487271362449974	0.00037435346166603267	0.00039923132862895727	0.00020876275084447116	0.00019224605057388544	1.2899777175334748e-05	2.5017188818310387e-05	7.214441575342789e-05	0.00015588925452902913	0.0006410741480067372	0.00013117164780851454	0.00013522495282813907	0.00023745582439005375	0.00016458728350698948	6.859518180135638e-05	0.00018189092224929482	7.747566269244999e-05	0.00041766901267692447	0.00015349457680713385
SGCB	9.849589696386829e-05	0.00014918441593181342	0.00012169763795100152	0.0005294528673402965	0.0001906341640278697	0.000173939362866804	0.00010665883019100875	0.00018639203335624188	3.1173993193078786e-05	0.000185408178367652	0.00034844025503844023	1.686559244262753e-06	0.0007318464340642095	5.0228867621626705e-05	2.3079130642145174e-06	7.868105603847653e-05	0.0008475766517221928	0.0003080062160734087	0.0001731823867885396	0.000892530893906951	8.55982507346198e-05	0.00034113042056560516	0.00014538737013936043	1.9525576135492884e-05
SGCD	4.4265084397920873e-07	1.3327087344805477e-06	3.6010200687996985e-07	0.001020636293105781	5.360622026273631e-07	6.264887133511365e-07	3.109310637228191e-05	9.547071613269509e-07	9.262132039111748e-07	7.668327839382982e-07	1.491988427915203e-06	1.9974572751380038e-06	0.0010984947439283133	9.050327776094491e-07	2.3354961342647584e-07	2.144311110896524e-07	0.00018182984786108136	1.859472831711173e-06	2.0305294867739576e-07	9.49025616137078e-06	5.669247684636503e-07	0.0017085584113374352	3.361835752002662e-07	9.910683047564817e-07
HOXD9	3.833624475646502e-07	1.628341834702951e-07	1.0050039236375596e-06	1.8342356270295568e-05	0.001035219174809754	4.6527443942068203e-07	1.7246073184651323e-05	5.272341354611854e-07	1.3066357951174723e-06	2.071486306931547e-07	0.0014937825035303831	9.238172538061917e-07	4.4131636968813837e-05	3.571038575955754e-08	1.6663385338233638e-07	4.848499202125822e-08	1.6755351680330932e-05	1.5335743910327437e-06	2.3952065930643585e-07	2.9121971238055266e-05	4.688860144597129e-07	1.7280470274272375e-05	7.44641852179484e-07	5.773484872406698e-07
