	0	1	2	3	4	5	6	7	8	9	10	11
B	0.02201198777901626	0.000719548852980478	0.0015610612185711394	0.005720614297403855	0.48536546438582273	0.0016533845275845211	0.0072576851121779196	0.012465311162829827	0.0011946828212243937	0.0006174300498156633	0.006033638363761653	0.017471518045774848
CD4Tconv	0.424045054256651	0.012868440272994417	0.015586886284234009	0.036088947071538674	0.017249045951979822	0.013110323917463054	0.0042473493163931895	0.00865869682230528	0.007280688886548152	0.00599055658736356	0.9861640742360323	1.2785540119546257
CD8Tex	0.5695226875361828	0.0021480553645540283	0.004399955838635169	0.0399238105471725	0.006916962604356424	0.0028929648806206676	0.0010023058650707108	0.006291041108683777	0.00311984803500896	0.0018290339374460512	0.7792931177561699	0.39209736464606026
Endothelial	0.004139039376141237	0.003610797285234815	0.004631675635172337	0.007618125627929722	0.0016749104331299806	0.503458055181162	0.00038507923684640103	0.0026500422462718484	0.5006891333026386	0.005723156370615747	0.006451037986742854	0.009988000781053316
Fibroblasts	0.009004750150821519	1.204851014126048	0.01544329435435409	0.006201412608966875	0.001731634356061287	0.020423091398947064	0.0010666974462315924	0.00781953486489101	0.03363088094416098	0.07474261762530565	0.005179237392262574	0.04740822979300551
Malignant	0.01546310656831264	0.09152531894602238	1.6054435118815353	0.16973583377393536	0.008755357321172044	0.0827034058740156	0.00683990056389101	0.01899685450676535	0.04908768993593164	0.08529483334602303	0.009254541097696474	0.08268737858883071
Mast	0.0212505286421744	0.0006228406023593015	0.028783063783719986	0.000935174617004395	0.007006500866108359	0.0014296768759261716	3.6188580803418204e-05	0.028565487140625612	0.0038497974602749794	0.00032606980691061467	0.0023212600152236564	0.006269231724449669
Mono/Macro	0.013207629123993654	0.0027848839590778156	0.00469923642975154	0.02203132631631715	0.016616737405417265	0.004426512496977756	0.0006311489632040981	0.5601660889698387	0.0023427034889197044	0.0013615817623532716	0.006993287561126582	0.035767388233470476
Myofibroblasts	0.0019108891946562094	0.022476930372614418	0.001978704674592129	0.00295046585844343	0.0004377786976070441	0.003992132717134687	0.0013383549493180926	0.0007333078156296872	0.002512291858478358	0.2791854517357906	0.00160021930849034	0.006980782027420523
Plasma	0.006348132076222001	0.0010524438356645045	0.0013939372927556561	0.002666382374988222	0.003341331022090752	0.0014246301183464356	0.3108474316550065	0.0009312220784552295	0.00044608150883077697	0.0003409802747722922	0.005811800683464898	0.007774170137374593
Tprolif	0.03667384319802142	0.0013481406193158094	0.000695988267102962	0.14335696133330317	0.0036231826209982246	0.0004619176496974746	0.008081635000827767	0.0014583871926632343	0.0005413484541295794	0.001286124620016525	0.014734143752410027	0.00229739105623651
