Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26
ABLIM3	6.031642101334e-07	6.904829933773726e-05	7.471984986295865e-07	4.51096320830402e-06	2.0428115021786653e-05	1.2287513527553529e-05	5.357840200304054e-05	8.406851179643127e-07	2.0663808300014352e-06	4.993044626644405e-07	3.965021164731297e-07	0.00015169414109550416	2.5486963295406895e-06	2.1324940462363884e-06	0.00019215041538700461	2.4659024347783998e-05	0.0008173520327545702	5.572495410888223e-06	2.310870695509948e-05	1.1205117516510654e-05	7.554326293757185e-05	3.698965656440123e-06	4.257899036019808e-06	7.700994615333911e-07	3.996710802312009e-07	3.586974798963638e-06
AC004791.2	2.604725679589137e-08	8.908577342481294e-07	0.0034758083056658506	4.3811155592266005e-07	3.411673432651696e-08	5.40263772563776e-06	2.7536779967363145e-08	4.094092176387676e-08	1.5254535412623227e-07	4.5918849167492226e-08	5.657497226252417e-08	1.7129782747815625e-07	5.489327747909556e-08	1.0243643373542e-06	1.9938099171668e-07	2.8003388496955495e-09	3.398869452553299e-08	1.9218762759010133e-07	5.4413590078183915e-08	2.9685229492315557e-06	1.2394647797009384e-07	4.800158848183855e-08	4.028326472393928e-08	1.9469938550287225e-08	5.530115458896034e-07	1.821149112402054e-06
AC013461.1	3.366925011505373e-05	2.2291511413641274e-05	2.469443643349223e-05	0.00029788108076900244	0.0002784712123684585	3.0350336601259187e-05	0.0002120769495377317	5.3275362006388605e-05	0.0002503609866835177	0.0001462577929487452	0.00011717904271790758	0.0001022928481688723	5.0033853767672554e-05	0.00046854509855620563	0.0004926262772642076	5.78882172703743e-05	0.00014753069262951612	0.0009656700422056019	0.0018380311084911227	6.907913484610617e-05	0.00017446432320866734	0.00026126124430447817	5.245430293143727e-05	2.5068897230084985e-05	3.152157660224475e-05	5.9189620515098795e-05
AC017002.1	2.6375078959972598e-05	1.4850617162665003e-06	1.0591499233214563e-07	3.0200664014046197e-07	2.0501905964920297e-05	3.965966243413277e-06	8.739458280615509e-06	2.5226947855117032e-06	5.642879159495351e-07	1.516705106041627e-05	1.0639732863637619e-06	4.8173105824389495e-06	1.3190799108997453e-05	1.5896722516117734e-06	1.779354334985328e-07	8.977520060682309e-09	1.4324902508633386e-07	2.4089604266919196e-07	2.481789351804764e-06	6.824645879532909e-06	6.275012128753588e-05	9.620236596674658e-06	0.0016901327762752771	3.963438302889699e-06	1.998592097152141e-06	1.6623929695924744e-05
AC020571.3	0.00021819236280862242	1.4499473763862625e-05	0.003258185461163521	2.468995944582275e-06	3.567506792023778e-05	7.6285996328806505e-06	5.910387130825256e-07	0.00020471474272198975	5.170261374587426e-07	2.250694524263963e-05	1.2911665692172392e-07	7.750559234409593e-06	0.003167364513501525	0.0009378191316500306	5.515534667210886e-06	0.00011078364332206547	6.3710683662066e-07	3.9768195847500465e-07	4.873408670391655e-06	1.0702473446144722e-05	6.9070611061761156e-06	1.0458584256411996e-05	0.0001819667377276346	0.0009788889437913895	1.7274948049816885e-06	0.00014319164620246738
AC079767.4	9.973513215300045e-08	1.748785166455491e-06	1.70507505004025e-07	3.438649400777649e-07	4.5983654217707226e-08	2.8871929771412397e-06	0.00012758457160089165	3.184496506491996e-07	3.913012187695131e-05	1.343798601283197e-07	0.002162806922569871	2.099954627965417e-07	1.938476316354354e-06	2.5661549898359226e-06	1.4969653250318515e-07	3.132594628141305e-08	4.7617017884249435e-08	2.2317678372019145e-07	3.0537893280779826e-07	1.5699793948442675e-05	4.0214075625044643e-07	1.3759965611370717e-07	8.298934517370071e-08	3.025170514092679e-08	1.8686675673507125e-07	3.0551736927009188e-06
AC092580.4	0.0001567081781104207	8.512848580721766e-06	3.4327428011238226e-07	9.199694090966659e-07	2.8806388741031697e-07	7.302482117665932e-06	3.4299111462132714e-07	0.0022124750539660454	5.361547437132685e-07	6.297304935287684e-05	1.532252582592264e-07	7.884473802732828e-07	1.3515665159502532e-05	5.223060725256801e-06	1.8282739233654866e-07	3.756440491997637e-08	1.0728363974976673e-07	2.131874680344481e-06	9.657659205686286e-08	1.679655360931065e-05	2.3882424216026266e-07	2.9874240681238007e-07	0.0008102190913632512	8.66093541844748e-05	5.393012088461546e-06	3.194563032593578e-05
AC093642.3	2.579250946155298e-08	7.299223057088966e-07	5.768661281990717e-08	2.126354559095489e-07	3.200338824171922e-06	2.0515694814093877e-06	2.0772218078946025e-07	3.5476678021950647e-06	1.4883536891829863e-07	1.3061577192274854e-05	6.064681201678468e-06	1.2158623974301008e-07	0.004288108088076115	8.258036245933909e-07	2.4789762846921803e-06	0.0007672033971175551	3.01008604708386e-08	1.5521999330303515e-07	4.7605826836161214e-08	2.773287860691198e-06	8.764329686528072e-05	1.9410692857491085e-06	3.883531718429367e-08	1.0177915100939572e-05	1.1912284492154868e-07	1.4978369335949537e-06
AC093818.1	0.0007357009453698993	8.204311598092318e-05	6.687015411444008e-05	1.2237072951393202e-05	4.135448307351908e-06	0.0009485461050644517	7.075880421325564e-05	0.0001987205760087818	5.111118298373185e-06	8.625716873211786e-06	9.825198503676802e-05	2.7589103410718963e-05	9.088481601793319e-05	2.4358489099540748e-05	7.101735377545992e-07	1.3857214753443259e-06	0.00017293305427301675	5.534336014534347e-05	9.479631444264669e-07	0.00010097923950525001	4.992741014575586e-05	4.153412373852916e-05	0.00015126288053579628	3.2089330488815904e-05	0.0032591333147138357	8.77496786415577e-05
AC104699.1	6.692776111094645e-08	1.2647586800085264e-06	1.0366714064957705e-07	1.2855490467700292e-06	5.5288310818468744e-08	0.0005181921878829598	1.6312781099259155e-06	2.3493946343933203e-07	2.6810604936144955e-07	2.654210504715593e-07	0.0010192346526309848	1.9812702589661058e-07	5.343894827092299e-06	2.148719204342342e-06	1.588072393587936e-07	1.0071954825718876e-08	1.6323666329753905e-07	1.0404569366073702e-06	3.6826170912718226e-07	2.7450947527540848e-05	1.358116037408763e-07	8.1513746863493e-08	9.39108488751117e-08	3.4310751573229936e-08	0.00428414111956954	2.2324717065203004e-05
AC133644.2	0.0001538349170004949	1.5708959836047143e-05	2.824365765263792e-06	6.726007200086315e-07	2.434747148072347e-05	1.673280894465279e-05	3.257023126934655e-05	1.911918297992088e-05	3.3190899557666853e-06	2.2956577595323324e-05	1.9128410713165067e-06	1.4188745808496606e-05	4.9221154768019915e-05	9.942597898771055e-06	4.793101879840833e-07	5.605205899428256e-08	1.3654901522386353e-05	3.3523422189318808e-06	3.5371056583244354e-05	1.6496476746397093e-05	9.212039731210098e-05	1.7822347217588685e-05	0.0029099162202328444	2.8027079679304734e-05	2.2054842702345923e-05	0.00019344374595675617
AC233755.1	1.2395836392897763e-06	1.653874846851977e-06	1.2638921020879934e-07	1.6396683122366085e-06	5.870831998322501e-08	2.151348780898843e-06	2.119140560807864e-07	4.871320768984333e-08	1.6193355634186446e-07	2.4971794232442335e-07	1.8245786122861318e-05	1.4295690675680817e-07	4.4641635099651467e-07	1.2486423202062724e-06	7.704363724769792e-08	5.9299456012240626e-08	3.52867886022068e-08	1.9513181541697122e-06	2.2325465920403076e-07	3.1439856229553698e-06	9.623182251061735e-08	6.146570541432084e-08	1.6817613186503877e-06	3.8745506003579067e-07	0.002329982817173004	7.261131031555124e-06
AC245100.1	0.0006999057368375361	0.0002418130316073075	0.00010543594544287771	0.00020637596026062965	4.102519596926868e-05	3.3332122256979346e-05	3.554678914952092e-05	0.0006480741431005299	0.00010860828479053453	4.34699650213588e-05	0.00047702062875032425	3.590472942960332e-06	0.0003671343729365617	0.00036806141724810004	2.6699892259784974e-05	1.2396470083331224e-05	3.4392687098261376e-07	4.853112841374241e-05	3.861064033117145e-05	0.00036807451397180557	4.1795515244302806e-06	5.650956154568121e-05	0.00032095122151076794	0.0006390147027559578	1.6644620700390078e-05	0.00020291564578656107
ACACB	2.8884527637274005e-05	7.650611223652959e-05	2.382287129876204e-05	5.211807365412824e-05	0.0003265358682256192	0.00010038051550509408	1.663426519371569e-05	3.297590228612535e-05	2.2723204892827198e-05	1.5500329027418047e-05	3.469242437859066e-05	5.6354379921685904e-05	0.0006519745220430195	1.8936290871351957e-05	0.0002621288294903934	3.007045052072499e-05	0.0006515082786791027	4.613395049091196e-06	0.00011367067781975493	0.00027343828696757555	0.00016393073019571602	1.033532043948071e-05	3.230317452107556e-05	9.329958265880123e-05	3.244722756789997e-05	4.802120747626759e-05
ACAT2	0.0007542182574979961	0.0010727400658652186	0.0001594118948560208	0.00043763243593275547	3.743788693100214e-05	7.708046905463561e-05	9.837683319346979e-05	0.00025753953377716243	0.0006181279895827174	0.0006730894092470407	0.0002087756001856178	0.0002118531265296042	0.00030194627470336854	0.0001652884966460988	0.00014658065629191697	0.0002479138202033937	3.3637443266343325e-05	0.0004368598747532815	0.0001712484227027744	0.00013909397239331156	6.339311948977411e-05	0.00010051832214230672	0.0003089341917075217	0.0003206203691661358	6.193559238454327e-05	0.0005056478548794985
ACE	6.593027137569152e-06	2.193857653765008e-05	8.24836824904196e-05	7.95796950114891e-05	0.00016443172353319824	1.238597269548336e-05	0.00016398055595345795	6.220889190444723e-07	2.8746483167196857e-06	4.4842845454695635e-06	4.0346773744204256e-07	9.452353879169095e-06	2.047276393568609e-05	3.238821818740689e-06	1.741256710374728e-05	9.292458344134502e-06	0.0013741861330345273	9.794863217393868e-06	6.341376774798846e-06	7.031531276879832e-05	0.0012764079729095101	2.6778991013998166e-05	9.073292517314258e-07	6.507881334982812e-05	1.1299185644020326e-05	5.293752110446803e-06
ACER3	0.00012257129128556699	0.00046268728328868747	0.0010427066590636969	8.761572826188058e-05	0.0001634757500141859	3.0336288546095602e-05	0.0005187420174479485	0.00028929440304636955	0.0002668869565241039	0.00014167980407364666	0.00014319928595796227	0.00013263276196084917	0.0003442866145633161	8.86502384673804e-05	0.00019941508071497083	8.918261301005259e-05	0.00024596447474323213	6.804417353123426e-05	0.00024514104006811976	0.0001520648947916925	0.0003215500619262457	0.00011095430818386376	0.00014031914179213345	0.00013408409722615033	7.761452434351668e-05	0.00027793232584372163
ACKR1	1.5229447853926104e-06	6.641842901444761e-06	1.0370750942456652e-06	2.6154677925660508e-06	1.2729674381262157e-07	6.67603308102116e-06	1.8993542028056254e-07	1.7894116410843708e-07	4.856232408201322e-06	2.0322481475432141e-07	2.803486495395191e-06	0.0034624035470187664	6.600860160688171e-07	1.7265525457332842e-05	4.899288796877954e-06	5.239503053644512e-08	0.0003858529671560973	1.1301241329420009e-06	8.429475997218105e-07	7.2304228524444625e-06	6.715556992276106e-06	2.0671961920015747e-07	1.547974193272239e-07	1.1871765082105412e-06	6.631050268879335e-07	6.265062438615132e-06
ACOT7	0.00038614412187598646	1.1693885426211637e-05	0.0013481188798323274	0.0002816061896737665	3.425370960030705e-05	2.986604522448033e-05	9.592145215719938e-05	0.00029508021543733776	0.0004987290594726801	0.0007877280586399138	1.7070267858798616e-05	5.814282121718861e-05	2.979211240017321e-05	3.163793371641077e-05	1.8787257431540638e-05	4.429828186403029e-05	0.00012356077786535025	8.298239845316857e-05	5.186915586818941e-05	4.085725959157571e-05	0.00047950464067980647	0.00015183162759058177	0.0005354512832127512	2.8199630833114497e-05	1.5190199519565795e-05	0.00016304178279824555
ACP5	0.00021863488655071706	5.0067552365362644e-05	0.00025967875262722373	7.327075581997633e-05	1.6669251635903493e-05	0.00010552158346399665	0.0009535861317999661	0.00037967381649650633	0.00030384250567294657	4.180184623692185e-05	0.0006386992172338068	4.1915395740943495e-06	0.00045629433589056134	0.0001440984196960926	0.00038833555299788713	0.0001531794259790331	1.078965283340949e-06	1.5005565501269302e-06	6.443846359616145e-05	6.384732114383951e-05	1.4785460734856315e-05	2.7205917376704747e-06	0.0013461203780025244	0.00013755437976215035	8.377229823963717e-05	0.00016420766769442707
ACSL1	0.00017098312673624605	2.3257605789694935e-05	4.660653303290019e-06	2.9632765290443785e-05	0.00023625321045983583	1.6228619642788544e-05	0.0006035268888808787	8.976807293947786e-05	3.081545582972467e-05	8.566953329136595e-05	0.00013442500494420528	5.785020221082959e-06	0.0002540529821999371	9.327314182883129e-05	0.00010745626786956564	0.0002912140917032957	2.3131857233238406e-05	1.8491413356969133e-05	0.00011123738659080118	5.840400990564376e-05	0.00038694243994541466	0.000148940016515553	0.0003319819224998355	4.3892603571293876e-05	2.602392851258628e-05	0.0001657381362747401
ACSL3	0.0001822252233978361	0.00014783925144001842	0.00021923781605437398	0.00020596185640897602	0.0002923046995420009	7.279947021743283e-05	0.00025826512137427926	0.00020859342475887388	5.9261110436636955e-05	0.00012516978313215077	0.00020964641589671373	0.00010892762657022104	0.001157474354840815	7.361492316704243e-05	0.0003168328548781574	0.0012913126265630126	0.00020247542124707252	3.8684687751811e-05	0.00016574314213357866	0.00014126407040748745	0.0006098262965679169	0.00014538758841808885	0.00016212734044529498	0.0002618568832986057	0.00011743736104108393	0.00016837214934639633
ACSL4	0.00018792190530803055	4.035365782328881e-05	0.0021106658969074488	0.0003352905041538179	0.000236257808865048	0.00014556020323652774	0.0004139382508583367	0.00025757725234143436	0.00026793754659593105	0.00011877604993060231	0.00013333324750419706	0.00011279754835413769	0.0001961700472747907	7.118674693629146e-05	0.00017210710211656988	4.20121978095267e-06	0.00023284195049200207	0.0002098479017149657	0.00014156472752802074	0.00012841228453908116	0.00013391237007454038	0.00015252726734615862	0.0007295130053535104	0.00012335363135207444	0.00015458729467354715	0.0001923618110595271
ACTA2	2.1324187400750816e-05	4.8294237785739824e-05	2.7258745376457227e-06	0.0025899673346430063	0.0004716844705399126	3.248952270951122e-05	3.90469631383894e-06	1.931985025294125e-05	7.567150987597415e-06	1.0007793207478244e-05	2.217056589870481e-06	2.5176695999107324e-06	1.93832802324323e-05	8.214304398279637e-05	2.071681956294924e-05	4.746668196276005e-07	1.0742851372924633e-06	0.0013792001409456134	0.002026044297963381	1.9448993043624796e-05	1.6925130694289692e-05	0.00041080181836150587	5.908997627557255e-05	1.0705546628742013e-05	5.442011570266914e-06	2.732283974182792e-05
ACTB	0.002881385385990143	0.001008491264656186	0.0004607338923960924	0.0011097738752141595	0.0004899737541563809	0.0003211852163076401	0.0012991944095119834	0.00213839253410697	0.0038377081509679556	0.0011889515444636345	0.0011965284356847405	0.0006839222041890025	0.0004104817344341427	0.0007595038623549044	0.0002628236834425479	0.00024964145268313587	0.000281646876828745	0.0009978099260479212	0.0007286457112058997	0.0007437020540237427	0.0003122408816125244	0.0008366222027689219	0.002558154985308647	0.001304455567151308	0.00015577662270516157	0.001034474465996027
ACTG2	8.374352546525188e-06	2.1192117856116965e-06	8.343857160753032e-08	0.011803796514868736	2.818958364514401e-06	2.8387419206410414e-06	5.526848099179915e-07	2.511729917387129e-07	5.857957148691639e-06	2.1313227989594452e-05	9.740342648001388e-07	2.0860360905317066e-07	8.01826172391884e-06	3.8566555303987116e-05	1.4114871760284586e-07	1.9294172943773447e-06	3.838061957139871e-08	0.00634324736893177	0.00018869253108277917	3.936072971555404e-06	1.2330072422628291e-05	5.56526083528297e-06	6.12253206782043e-05	1.7254329804927693e-06	6.784991910535609e-06	3.24697361975268e-06
ACTN1	3.955970532842912e-05	0.00010728525376180187	6.110388312663417e-06	0.004097866825759411	0.0016334560932591558	3.443886089371517e-05	0.0003369016048964113	6.581050456588855e-06	0.00028206658316776156	6.553993443958461e-05	3.83135420634062e-06	0.001249489956535399	4.0926031942944974e-05	0.0004345838096924126	0.0001866752136265859	0.00031507466337643564	0.00028522807406261563	0.0006260269437916577	0.0008774000452831388	5.312733992468566e-05	0.0008948819595389068	0.0008423505933023989	2.8240910978638567e-05	0.00019887943926732987	8.022117071959656e-06	0.0001806867658160627
