Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18
ACSL4	3.383850344107486e-05	0.0004146504797972739	0.0021024304442107677	0.00036427105078473687	3.786116940318607e-05	0.00022805441403761506	0.00024404143914580345	9.844354644883424e-05	5.722920468542725e-05	3.5318393202032894e-05	0.00013774902618024498	0.00010754509276011959	3.040496778794477e-07	0.00021618908795062453	0.0006205746904015541	0.00016549370775464922	0.00014397357881534845	0.00018228343105874956
ACTA2	3.237780765630305e-05	4.935199740430107e-06	5.237453478912357e-06	3.396866304683499e-05	3.234577889088541e-05	0.00044433592120185494	5.879160198674072e-07	1.301527299801819e-05	2.544712151575368e-05	1.5299834558391012e-05	3.1188942557491828e-06	1.0474574082763866e-05	5.899823918298353e-07	2.359017526032403e-05	5.62926652492024e-05	0.0024773194454610348	0.0005506329471245408	4.725784674519673e-05
ACTB	0.0006290508317761123	0.0015342558035627007	0.0005771348369307816	0.0024189839605242014	0.0004885948146693408	0.0005401549860835075	0.0003399815468583256	0.0006006589392200112	0.0004605628491844982	0.0016677199164405465	0.0012562763877213001	0.0015736102359369397	0.00013686768943443894	0.00029927011928521097	0.0029331096448004246	0.0007766540511511266	0.0011655561393126845	0.00032289011869579554
ACTG2	0.0003532521368470043	1.3572725947597064e-06	4.279503968973586e-07	6.862719601485878e-06	0.0008721012272872031	1.009839070320595e-05	4.350728133317716e-08	1.0576947715890128e-05	9.244234206562396e-06	1.298647589464963e-06	2.3999630229809554e-06	3.1424481221620226e-06	1.211341782436648e-06	5.817414785269648e-05	7.340934098465368e-05	0.0011701490730047226	4.578680091071874e-05	2.8023221148032462e-06
ACTN1	0.001001344178803265	0.0003322418488096446	5.546021839109017e-06	7.442583410011139e-06	0.00016622847761027515	0.0013436058070510626	0.00046572613064199686	6.571885023731738e-05	0.00044647417962551117	2.5443887352594174e-05	4.306361006456427e-06	0.00016346054326277226	0.0002371997106820345	0.00014859598013572395	4.359370723250322e-05	0.0010295716347172856	0.0011845831759274006	0.00014343005022965372
ACTR3	0.00038715029950253665	0.0007250374765135348	0.0008552263607271016	0.0014147437177598476	0.0004163817211519927	0.00025441302568651736	0.0002903074200730771	0.00033561023883521557	0.00022957942564971745	0.0006994735449552536	0.0009970101527869701	0.0011155355023220181	0.0001997693325392902	0.0006868509808555245	0.0014611632796004415	0.00033655783045105636	0.0005525897722691298	0.00013972766464576125
ACVRL1	2.689719622139819e-06	0.0001088595818146132	1.1534264558576979e-05	5.656276584886655e-07	2.4473131361446576e-06	0.0002657709119375795	0.0016624454874545336	6.135696821729653e-07	0.0008703840430825949	2.8673268843704136e-06	7.213335493361228e-07	3.080485555528867e-07	1.6432355209872185e-07	2.739013780228561e-06	6.317436032077239e-07	0.0001939453068189323	0.0001487780682509765	0.0008894227212294936
ACYP1	0.00035299660521559417	4.7662095312261954e-05	9.397546091349795e-05	0.000312405260046944	0.00024520617444068193	7.748493226245046e-05	7.091258885338902e-05	0.0003964842762798071	0.00022282826830632985	0.0006184065132401884	0.00017852787277661264	0.00029383599758148193	0.00019138383504468948	0.000539860047865659	0.0005483998102135956	0.00026903380057774484	3.836136602330953e-05	0.0002675573923625052
ADAM12	1.8619720094648073e-06	8.707877896085847e-06	0.00035369134275242686	4.082972282049013e-06	4.284985152480658e-06	0.0018203622894361615	7.71709380842367e-07	4.43745193479117e-06	1.1190282748430036e-05	7.004049621173181e-06	4.490996616368648e-06	1.0157249562325887e-05	2.346423116250662e-06	0.0001803790801204741	4.3101070332340896e-05	7.179169915616512e-05	0.0004484175005927682	0.00034766976023092866
ADAM15	0.0008109587361104786	0.00016297760885208845	1.8861986973206513e-05	5.844334009452723e-05	0.00030002553830854595	9.007754852063954e-05	0.0017928496235981584	0.00020417511404957622	0.0009442595182918012	0.0001441916247131303	2.3775555746397004e-05	6.933727127034217e-05	0.00045883128768764436	0.00020869815489277244	0.0001493792369728908	9.678131755208597e-05	4.157592047704384e-05	9.150231926469132e-05
ADAM19	6.373068686116312e-07	6.521035538753495e-05	1.7878044218377909e-06	0.0003834699164144695	1.0089539728141972e-06	0.0002158225979655981	7.14489069650881e-05	9.997563029173762e-05	7.810065653757192e-06	1.4734688193129841e-05	0.000907891197130084	0.00015290649025700986	9.510959131375785e-08	0.0007494375458918512	0.0006840720307081938	9.348930325359106e-05	0.00014530537009704858	2.3093623894965276e-05
ADAM28	2.1200114588282304e-06	0.0003861986624542624	3.491665484034456e-05	5.2411895012483e-05	2.79638555866768e-07	1.3479248082148843e-06	8.118737468976178e-07	5.2867468184558675e-05	3.478392272882047e-06	0.0003563601349014789	0.0023675253614783287	1.5914799860183848e-06	8.730877198104281e-06	6.58277667753282e-06	4.231837920087855e-06	2.2200592297849653e-07	1.026556105898635e-06	2.6427301236253697e-06
ADAM33	1.583294562124138e-07	3.859157686747494e-07	1.1858312518597813e-06	1.760581511689452e-07	5.566313916460786e-07	0.0006164615042507648	1.9273890927706816e-07	2.731391361976421e-07	2.9389455448836088e-05	6.454269168898463e-06	2.0639315607695607e-06	3.530491596848151e-07	9.680336887640806e-08	1.7476295397500508e-05	2.568182537743269e-07	0.00010723031300585717	3.51029143530468e-06	0.0012584145879372954
ADAM8	4.451811491890112e-06	0.0005816052434965968	1.2465882718970533e-05	0.0010447901440784335	2.2799783891969128e-06	3.90630702895578e-06	2.1904265850025695e-06	2.4394696083618328e-05	6.784344805055298e-06	0.0017286333022639155	0.00034733948996290565	0.000520428700838238	6.145074439700693e-05	0.0009753849008120596	0.00042850058525800705	2.979970531669096e-06	6.595630111405626e-06	5.230000624578679e-06
ADAMDEC1	5.761626908906692e-08	0.0005645225755870342	1.9637379011783196e-07	1.51293775729755e-07	4.8952323083995e-08	6.9864668148511555e-06	9.217629326485621e-08	1.3891757362216595e-06	2.7968194444838446e-06	4.803485467164137e-07	1.7242113244719803e-05	9.863605043847201e-08	1.2128302806502234e-08	4.814961016563757e-07	5.235389721747197e-07	2.01088550966233e-06	5.829672886648041e-07	1.4181161532178521e-05
ADAMTS1	2.5707144232001156e-05	2.611148204323399e-07	3.5454291946734884e-07	1.9845961105602328e-06	1.045578073899378e-06	2.7832302293973044e-05	0.000841430330183357	2.487125243533228e-07	0.0003116206789854914	8.184889156837016e-05	2.337701943133652e-07	7.620669180141704e-07	2.975653615067131e-06	6.381034472724423e-05	2.7687477199833666e-07	0.0005462606786750257	6.413758910639444e-06	0.00043567834654822946
ADAMTS10	4.3354943045414984e-05	2.232930637546815e-05	9.892176603898406e-05	2.7753372705774382e-05	2.253182901768014e-05	0.0004242111463099718	0.00031655674683861434	1.0171724170504604e-05	0.0001289303763769567	0.0007346413331106305	1.4275561852628016e-06	5.5430937209166586e-05	1.3000380022276659e-05	0.0004139383090659976	3.035748886759393e-05	0.0004452187567949295	5.007339859730564e-05	0.0001054742097039707
ADAMTS12	2.32923684961861e-06	1.3355260364278365e-07	1.1261805639151135e-06	5.353492724680109e-07	1.221010916196974e-05	0.0014942311681807041	3.7401801478154084e-07	9.300346164309303e-07	1.1111347703263164e-05	2.3578393211209914e-06	3.3193549597854144e-07	4.1111178461505915e-07	3.4875249639299e-06	4.996666120860027e-06	1.562727788950724e-06	0.000411339511629194	0.0005223004845902324	0.00036453609936870635
ADAMTS2	1.146977979260555e-06	3.0602259357692674e-06	7.858088793000206e-07	1.9332717329234583e-06	3.1556621252093464e-05	0.0018572829430922866	1.4501067369110388e-07	1.0041236464530812e-06	7.963508323882706e-06	2.58897398452973e-06	1.02682929536968e-06	7.946233040456718e-07	6.37488710708567e-08	3.2346615626011044e-06	3.739526164281415e-06	0.00024355905770789832	0.0003416514955461025	4.661135608330369e-05
ADAMTS4	1.2737828001263551e-05	3.925248165614903e-06	1.6009414594009286e-06	3.8103760289232014e-06	3.4775177482515574e-05	0.00040352996438741684	0.0006231502047739923	5.0133498007198796e-05	2.7867554308613762e-05	8.569434612581972e-06	1.661601709201932e-05	5.948886609985493e-06	8.083471584541257e-06	3.0762837468500948e-06	6.1598061620316e-06	0.0009065298363566399	0.000249437551246956	1.267687366635073e-05
ADAMTS9	3.017254584847251e-06	1.452412163871486e-07	3.147791289848101e-07	1.104069227153559e-07	1.9480658011161722e-06	3.565398947102949e-05	0.0010050308192148805	4.58004450365479e-07	0.00013069879787508398	5.712381607736461e-07	2.139228598707632e-07	1.3763718698101002e-07	3.8664785506625776e-07	1.164213699667016e-06	1.9694749653353938e-07	0.0003558043099474162	1.759114456945099e-05	3.0480332497972995e-05
ADAMTS9-AS2	9.773968940862687e-07	9.790457511371642e-08	2.8789372663595714e-07	1.3817594890497276e-07	2.9210653451627877e-07	0.00013459703768603504	0.00013414719433058053	1.7103587879319093e-07	0.0008827279671095312	5.6941070170069e-07	1.8412659130717657e-07	6.924354778448105e-08	1.4772014367281372e-07	1.0261500165142934e-06	1.7689842479740037e-07	0.0008831009618006647	2.2685380827169865e-05	0.0011063157580792904
ADAMTSL1	2.6855849455387215e-07	6.610797953499059e-08	7.341208743127936e-07	2.0356200991500373e-07	3.2471734812133946e-07	0.0003668279678095132	0.0009790336480364203	1.7502294724636158e-07	0.000158455572091043	6.893887416481448e-07	2.0086211804937193e-07	1.0190135668608491e-07	2.581642206678225e-07	2.8573660983965965e-06	1.497070343248197e-07	5.412095447354659e-07	0.00021864466543775052	0.00010471736459294334
ADAP2	2.9972204629302723e-06	0.0019471525447443128	5.582682547355944e-07	1.785643235052703e-06	9.443237104278523e-06	3.863907295453828e-06	1.0221381216979353e-06	1.4025407836015802e-05	2.276553823321592e-05	3.6211092719895532e-06	6.465845217462629e-05	8.948391041485593e-06	1.1663047189358622e-05	5.424070877779741e-06	6.541694801853737e-06	0.0007368706283159554	2.8451092930481536e-06	2.0799434423679486e-06
ADCY3	2.62818703049561e-05	0.00013766186020802706	0.00023082958068698645	0.00043267617002129555	3.865821418003179e-05	0.00021629713592119515	2.1281937733874656e-05	5.803045132779516e-05	0.00011640649609034881	5.502464409801178e-05	0.00015857232210692018	2.7227759346715175e-05	1.6090984900074545e-06	0.00043259936501272023	0.0001781958999345079	0.0009934557601809502	2.188268263125792e-05	0.0006757727242074907
