Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30
ABLIM3	1.6412768673035316e-05	1.7610644817978027e-06	5.69093799640541e-07	1.8194639778812416e-05	4.0516621083952487e-05	8.897214866010472e-05	3.2270094152409e-07	5.0526873565104324e-06	2.422655711598054e-07	4.9153044528793544e-05	6.00347721047001e-06	8.61651551531395e-06	1.6138388673425652e-05	4.707747791599104e-07	3.629708953667432e-05	2.1408615793916397e-05	0.00038602150743827224	1.1971468666160945e-05	0.0006453841924667358	9.73558871919522e-06	1.2936941402585944e-06	4.458958642317157e-07	9.138385621554335e-07	3.3449534839746775e-06	1.1933471796510275e-05	1.4971821656217799e-05	8.154734132403973e-07	1.1649633961496875e-05	0.00020265637431293726	9.592052947482443e-07
AC004791.2	2.0218566376684066e-08	2.7568086480300735e-08	1.4036648288140441e-08	7.2105522122001275e-06	2.0542239553833497e-07	7.391597733885646e-08	0.0034576028119772673	8.759843694861047e-08	1.1913243724848144e-07	2.027838519325087e-08	1.8666565182456907e-08	4.3612089939415455e-07	3.195063547067889e-09	3.981288188015242e-08	6.881335593789117e-06	3.925869805243565e-06	8.58892690303037e-08	1.6919046856855857e-06	2.3110771962819854e-08	3.7644015264959307e-06	4.659791841277183e-08	5.360932675557706e-08	3.554667387106747e-07	1.7073163007808034e-06	1.6196794661027525e-07	5.916912115822015e-08	2.721772602853889e-07	8.760176228861383e-08	7.28968885255199e-08	3.7073849767921274e-08
AC013461.1	4.550085941446014e-05	6.916009442647919e-05	1.555049129819963e-05	0.000308979710098356	0.0011436516651883721	0.0004950337461195886	2.407954707450699e-05	0.00020124675938859582	2.624925946292933e-05	0.0002094250376103446	0.000248684489633888	0.00032088346779346466	5.514158692676574e-05	0.000122271609143354	0.00011490933684399351	7.590947643620893e-05	5.4983978770906106e-05	0.00011387164704501629	0.0001407582894898951	0.00023572992358822376	2.0444962501642294e-05	2.8745687814080156e-05	3.725680653587915e-05	6.101152757764794e-05	0.00040515282307751477	0.002186568221077323	0.0002511699276510626	0.0004495098546613008	0.0005107188480906188	0.0001886103709693998
AC017002.1	4.7486960141895906e-08	0.0010866180527955294	2.0856698483839864e-06	1.356680877506733e-05	4.767894665747008e-07	3.24597604048904e-05	9.340323003925732e-08	4.780241056323575e-07	9.478824267716845e-07	4.170647571299924e-06	1.1156856999150477e-05	5.244234557721938e-07	4.554300936376876e-09	1.5123443972697714e-06	1.0316449333913624e-05	9.003495506476611e-06	9.73854668018248e-08	2.2141780391393695e-06	4.824145207749098e-07	3.7118777527211932e-06	0.00021633310825563967	9.770898759597912e-05	4.4526532860800216e-07	4.36687469118624e-06	2.7025842541661405e-07	7.668518833270355e-07	3.8060090901126387e-07	1.92224069905933e-06	2.017230400497283e-07	4.098445970157627e-06
AC020571.3	0.0012094866251572967	0.00016540598880965263	0.0009454161045141518	1.7511880287202075e-05	7.083614946168382e-06	3.889810977852903e-05	0.0025225805584341288	1.5346417058026418e-05	2.7935740831708245e-07	3.8921444911466097e-07	2.4676699467818253e-05	4.225127668178175e-06	1.1631075722107198e-05	1.2906984920846298e-06	1.3826849681208842e-05	1.5363704733317718e-05	0.0034304982982575893	2.932566530944314e-06	2.2175120761858125e-07	0.00017532041238155216	0.00032919671502895653	8.183990576071665e-05	1.4944886288503767e-06	7.548178928118432e-06	6.384272523973777e-07	9.975261718864203e-07	1.4325877373266849e-06	2.2574175773115712e-07	1.7924302255778457e-06	1.5541891684733855e-07
AC079767.4	2.253479891578536e-08	5.259546398406201e-08	2.701177947983524e-08	9.060091542778537e-06	2.866341617391299e-07	8.47405416948277e-08	1.3363576556457701e-07	1.1792475618221943e-07	2.422175953142869e-07	0.00012025053729303181	4.973811229547209e-08	0.000245407602051273	2.6603444780448626e-08	0.0022071381099522114	8.872250873537268e-06	5.8603877732821275e-06	1.2709202223959437e-07	2.157730477847508e-06	2.6661652441362094e-07	1.0317984560970217e-05	5.1695050018452093e-08	9.833462399910786e-07	6.007567208143882e-07	2.8779338663298404e-06	7.536264092777856e-07	8.344768787083012e-08	3.451012844379875e-07	2.9800614242958545e-07	1.3395457187925786e-07	1.4103500234341482e-06
AC092580.4	1.3240610030607058e-07	0.00012586016964633018	0.00011301420454401523	2.4820159524097107e-05	3.5029543141718023e-06	1.2277693883788743e-07	3.50384510738877e-07	0.00010492942237760872	2.912850277425605e-06	1.8104648802363954e-07	2.8286103770369664e-07	1.752048092384939e-06	2.505039553568622e-08	4.631640877050813e-06	2.0736701117129996e-05	1.2525856618594844e-05	6.055580570318853e-07	2.9830466701241676e-06	7.100085497313557e-08	4.557410647976212e-06	0.0032210114877671003	0.00019424343190621585	1.5982305967554566e-06	1.005525336950086e-05	9.26830978187354e-07	1.5650451246074226e-07	1.7713225588522619e-06	1.9579420040827245e-07	1.8987796579494898e-07	4.425029146659654e-06
AC093642.3	1.6695167914804188e-08	2.3782599001265226e-08	1.0436480124553782e-08	5.95680558035383e-06	1.8446037586272723e-07	7.321383321823305e-08	5.051684937029677e-08	8.104141357989647e-08	1.0084089296924503e-07	8.124335408865591e-07	7.3306355261593126e-06	2.660070776983048e-07	0.0011885527055710554	8.877193067746703e-06	5.448341198643902e-06	3.7183542644925183e-06	6.818812892106507e-08	1.2469155308281188e-06	1.921579872998791e-08	1.3661367574968608e-06	6.221595327815521e-08	0.00013069109991192818	3.089945153078588e-07	1.6944264871199266e-06	1.2810335192625644e-07	5.8472874542303543e-08	2.609744740311726e-07	2.6560123842500616e-06	8.056835554270947e-08	1.8023858501692303e-05
AC093818.1	1.639201286707248e-06	0.00034549838164821267	0.00017963186837732792	0.00022790057118982077	1.93803061847575e-05	8.098569423964364e-07	6.900900916662067e-05	7.04167177900672e-05	0.0033130794763565063	6.812741048634052e-05	1.579759373271372e-05	4.557549618766643e-05	7.667989621040761e-07	0.00011023089609807357	9.866369509836659e-05	2.2602105673286133e-05	1.3457832210406195e-05	2.5728417313075624e-05	0.0001509352441644296	3.1043051421875134e-05	0.00024971101083792746	0.00031998130725696683	7.900379387137946e-06	1.5459909263881855e-05	2.1813302737427875e-05	7.831956168047327e-07	4.801084287464619e-06	8.200487354770303e-05	3.293908434898185e-07	6.522945568576688e-06
AC104699.1	3.5368426409831955e-08	4.970011602267732e-08	2.663968956539975e-08	1.5387926396215335e-05	1.0597482287266757e-06	7.956609948678306e-08	9.603476058828164e-08	1.269993248342871e-07	0.004450910724699497	1.5638057959677099e-07	4.9610807906219634e-08	3.4579122711875243e-06	5.1217390328872625e-09	0.0009860900463536382	1.5106567843758967e-05	5.769200924987672e-06	1.0493176461068288e-07	4.128675755055156e-06	7.601924778555258e-08	3.103447170360596e-06	5.3009948430826626e-08	1.465445279791311e-06	1.4282345546234865e-06	2.532676944611012e-06	7.645762138963619e-07	8.945567486762229e-08	7.332793074965593e-07	1.7036117583302257e-07	2.058109345171033e-07	7.527501111326274e-07
AC133644.2	3.2406046557298396e-07	0.0020035847555845976	7.974148502398748e-06	3.240647856728174e-05	1.306968329117808e-06	6.109783862484619e-05	2.5359458959428594e-06	1.1883946626767283e-06	1.855011396401096e-05	2.5409377485630102e-05	1.7649652363616042e-05	3.116986590612214e-06	3.329284936626209e-08	2.368209834457957e-06	1.9558081476134248e-05	2.872423101507593e-05	1.0774790553114144e-06	3.219804739273968e-06	2.200290145992767e-05	1.863634679466486e-05	0.0004018960171379149	0.00018433165678288788	1.0436523325552116e-06	2.3296674044104293e-05	1.2949894880875945e-06	1.949427678482607e-05	5.315110342962726e-07	6.349810519168386e-06	4.986397925677011e-07	3.2997991183947306e-06
AC233755.1	1.621572565113638e-08	7.584076229250059e-07	9.12944415176753e-07	1.3254922123451252e-05	9.103713819058612e-05	9.030549108501873e-08	6.00046732301962e-08	1.6116320011860807e-07	0.0022434417624026537	2.9880567353757215e-08	4.838914335891786e-08	7.365991768892854e-05	6.138986918813316e-08	9.666198820923455e-06	6.277515240071807e-06	5.670438440574799e-06	6.89826435973373e-08	1.1894908311660402e-06	4.295050004543555e-08	1.9196693301637424e-06	7.405348156908076e-08	2.8264830689295195e-06	2.1199986804276705e-05	4.313556473789504e-06	7.544686582150462e-07	8.540174434301662e-08	2.721002942962514e-07	3.216441371023393e-07	6.588127376971897e-08	2.290568232865553e-07
AC245100.1	9.314441740571056e-06	0.00025197584182024	0.0006113311974331737	0.00044749831431545317	0.00012623639486264437	1.661683381826151e-05	0.0001110323064494878	0.0005841275560669601	1.0914191989286337e-05	3.480067607597448e-05	5.172281453269534e-05	0.00016341498121619225	1.2604943549376912e-05	0.0005089959595352411	8.673726551933214e-05	0.00010825233766809106	1.9743705706787296e-05	2.2635327695752494e-05	3.219399786758004e-07	5.76188976992853e-05	0.0005278268363326788	0.0009220859501510859	6.44902975182049e-05	0.00023033723118714988	0.00011894327326444909	4.1767772927414626e-05	0.0001924588141264394	3.299923628219403e-05	3.0149962185532786e-05	1.9272782083135098e-05
ACACB	0.0004369091475382447	2.4691329599590972e-05	6.512534309877083e-05	3.206603287253529e-05	1.541192250442691e-05	0.0007085692486725748	1.5207418982754461e-05	0.00010776601993711665	3.3233165595447645e-05	1.410524328093743e-05	0.00011261652980465442	2.962592952826526e-05	4.868658379564295e-06	3.94511989725288e-05	3.261496021877974e-05	3.4177995985373855e-05	0.0001610519248060882	0.00019883309141732752	0.0004905686364509165	2.0392333681229502e-05	3.3771379094105214e-05	0.0001511636219220236	5.140280700288713e-05	8.983352017821744e-05	5.6938937632367015e-05	5.943333599134348e-05	2.06440563488286e-05	5.3788203331350815e-06	0.00021468383783940226	2.205183591286186e-06
ACAT2	3.112709600827657e-05	0.000536839768756181	0.00045032514026388526	0.00013996660709381104	0.0003041588934138417	7.085756078595296e-05	0.00016295097884722054	0.00029826315585523844	5.850953675690107e-05	0.00010346967610530555	5.85084744670894e-05	0.0009490580414421856	0.000279758358374238	0.00021520289010368288	6.11814102740027e-05	0.00016913076979108155	7.021575584076345e-05	0.00010151554306503385	5.744392910855822e-05	0.000562218192499131	0.00028881666366942227	0.000344890751875937	0.00010164595732931048	9.164850052911788e-05	0.00016583752585574985	0.00022987116244621575	0.0005335359601303935	0.0002511529892217368	0.00013707688776776195	0.0006305897841230035
ACE	8.471815817756578e-05	1.7434115306969034e-06	4.764219920616597e-05	2.4154762286343612e-05	8.156345074894489e-07	0.0002706738014239818	7.673123764107004e-05	7.676242148590973e-07	8.135250936902594e-06	0.00015836495731491596	0.0001100772715290077	1.6565724081374356e-06	5.8684340729087126e-06	5.327594863047125e-07	1.747734859236516e-05	5.8801881095860153e-05	5.975869044050341e-07	5.3983170801075175e-05	0.0012694012839347124	4.949269168719184e-06	1.7936713447852526e-06	1.5421184798469767e-05	1.0135372576769441e-06	2.284265065100044e-05	0.00029690031078644097	1.109188019654539e-06	7.288780761882663e-05	1.4154343261907343e-05	5.554165454668691e-06	1.6611207684036344e-05
ACER3	0.0002072446804959327	9.516441059531644e-05	0.00010586491407593712	0.0012521838070824742	2.8267271773074754e-05	0.00028864576597698033	0.0010435853619128466	0.0004201419069431722	7.007602835074067e-05	0.0005194018012844026	0.0001399094908265397	0.00020824707462452352	7.935293251648545e-05	0.0001509734574938193	9.77351883193478e-05	4.010099291917868e-05	0.00018961307068821043	0.00011124877346446738	0.00023581636196468025	4.8929745389614254e-05	0.0002155704569304362	0.0002927383466158062	0.0002304061345057562	0.0002382805396337062	0.00026027450803667307	0.0002360579528613016	0.00014107997412793338	7.02348625054583e-05	0.0002130742504959926	0.00014547463797498494
ACKR1	6.263563534503191e-08	1.5764893532832502e-06	1.389083649883105e-06	2.2944570446270518e-05	1.629017901905172e-06	2.0098411823710194e-06	3.1799595490156207e-07	3.4815457183867693e-06	5.643095732921211e-07	5.558833890972892e-07	1.0397840810583148e-07	5.527973826247035e-06	1.9052112776307695e-08	2.6397069632366765e-06	5.552805669140071e-05	1.3871358532924205e-05	3.792124061874347e-06	4.043605258630123e-06	0.0009412976214662194	2.029715324169956e-05	4.4852947667095577e-07	8.161043183463335e-07	1.1950634188906406e-06	5.1440965762594715e-05	1.2040429737680824e-06	5.925857635702414e-07	5.916283043916337e-06	7.316943424484634e-07	3.2750181162555236e-06	1.1846097436318814e-07
ACOT7	4.626685040420853e-06	0.0006828276673331857	7.000646291999146e-05	2.7100200895802118e-05	9.408738696947694e-05	5.8767091104527935e-05	0.0013575098710134625	2.9855427783331834e-05	1.191380124510033e-05	8.41865039546974e-05	7.287723565241322e-05	0.0007344924379140139	4.611409531207755e-05	8.98823873285437e-06	5.670525206369348e-05	0.0004910766147077084	1.1838342288683634e-06	2.3854025130276568e-05	0.00017150759231299162	9.653621964389458e-05	0.00048076765961013734	9.563361527398229e-05	0.0005316275055520236	4.3637344788294286e-05	4.340969826444052e-05	5.053041604696773e-05	0.0005072118947282434	0.00015652558067813516	1.7221293092006817e-05	0.0007372668478637934
ACP5	0.00018533119873609394	0.0010826406069099903	0.00011638826981652528	5.907361628487706e-05	3.4536551538622007e-06	0.0001118681175285019	0.0002299018669873476	2.276761551911477e-05	7.968837599037215e-05	0.0009218845516443253	5.648615569953108e-06	8.235718996729702e-05	0.00015187911048997194	0.0006654658354818821	0.00010004066280089319	2.2529256966663525e-05	0.00012817600509151816	0.00015097600407898426	1.0255807865178213e-06	0.00014156909310258925	0.0007344308542087674	0.00034584864624775946	5.9763209719676524e-05	6.474070687545463e-05	1.5357851225417107e-05	3.197594196535647e-05	4.38730203313753e-05	1.8458136764820665e-05	0.0003570813569240272	8.205841004382819e-05
