	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
B	0.0018721512602134728	0.04842025618974548	0.0039607937900239245	0.0004078352580597007	0.006735932924230043	0.41131857025718244	0.5348988008686807	0.0024238412589803527	0.031046183712035765	0.0005099267434053701	0.000528272010820155	0.0064712710741046415	0.0005879231606607366	0.002498254452110764	0.006407708666554149	0.0013207742345863727	0.36596548103306303	0.000894313375666109	0.003408169188891976	0.005949359224298954	0.002961866642812696	0.005859805527277976	0.0015265614792320434	0.003482212675682127	0.012450173925682505	0.0031947083116833554	0.01566293029250606
CD4Tconv	0.007296164292883767	0.9883336724276157	0.005887640194150634	0.0008808189263625403	0.06944196209381309	0.09788096927107934	0.015491066928070826	0.0067814089877029065	0.2916768179376931	0.011329740574958136	0.014631503029980295	0.1351285289742982	0.005645691310686166	0.019191291406499722	0.6618595027250516	0.018073565806221426	0.055949844679615134	0.006745318185793055	0.04319756933646356	0.007205412484707701	0.03375525846415757	0.043158498838043055	0.006814352087302212	0.06114815176871798	1.4261711384737206	0.010979691721546489	0.03968995704735171
CD8Tex	0.0012267396499928156	0.3181103612281357	0.0023511337831039637	0.0	0.033584956330246635	0.05267311814437599	0.006371948255483012	0.0	0.11918682600284354	0.0026039738455011924	0.0026514437189791174	0.23327498797660584	0.00171585152782288	0.0031875812454902064	1.009685097302278	0.004983734043867204	0.03312660105602503	0.0020900071866079635	0.016969942861389524	0.00142001356647735	0.009940499628769065	0.015486121692324726	0.004153181175610569	0.013200873866872171	0.4979703461707995	0.0055101676355961745	0.02715948587632087
Endothelial	0.0002018988869235071	0.02130697363051791	0.00025250979932535346	0.0013986681177581678	0.06325602994243554	0.008279152497213007	0.0012817989228754586	0.0	0.006928360197550401	0.0038772389579225064	0.0030088790819150866	0.006225998801123419	0.005469874289086606	0.015157473737343252	0.0051575561952540505	0.005880471224614477	0.0059251964150267445	0.5436556301577378	0.4794812063649802	0.0002829399211706729	0.022949542981572275	0.26894040454655194	0.0007473088122371568	0.008839039192191641	0.014124095089505198	0.0031819675617143213	0.017248090049679785
Fibroblasts	0.0005304447492122988	0.04249890052076493	0.0010186076072977509	0.0006220970616757486	0.11782428504273774	0.006930598063144608	0.001096140477369017	0.0	0.07131920261526226	0.5473814924429751	1.2930713620869747	0.006491447059722083	0.010747442515585494	0.9431014867211258	0.004825904790663881	0.005283671640172739	0.00930645362804168	0.003966054962939362	0.017180003176761646	0.0014568889984232483	0.9925998522695176	0.0588126210215224	0.0020333440980048302	0.012193196157754355	0.007370637780146809	0.007616982297327505	0.004813673948609253
Malignant	0.01133634073725572	0.12327118570733188	0.004971401390249208	0.00021469854882166694	1.2772060443278659	0.015494889133894983	0.002907313738468787	0.0	0.03891363365380022	0.013075447512916404	0.05075936013252993	0.045731402982745514	0.036473377905828885	0.45862875538292663	0.009886868693004999	2.251390647872787	0.02588482964128799	0.013894917232301967	0.037961388036014475	0.0035063566695385843	0.02505205499274011	0.22052174144853467	0.0077901715745479945	1.8888541974034183	0.017447397171648272	0.013438917412165536	0.011800737215163039
Mast	0.014677425833423326	0.006770927457100164	9.146417756634217e-05	0.0	0.0040860215248291944	0.003987465345794207	0.00042438507358359456	0.0	0.006881628139766522	0.00018384264166177407	0.0003550192022627014	0.001600291520936686	5.1538959154016384e-05	0.0003372082789914786	0.002648656690627055	0.00031714266833650514	0.006228416787971411	7.996067817842676e-05	0.00020149982043453113	2.5422151281541678e-05	0.0009619378637976525	0.000971353828121014	0.10552918214284521	0.0012954537377729122	0.004041556384712909	0.0030281956725257027	0.014263785699231457
Mono/Macro	0.000863669310933401	0.04281540425001224	0.0006171150770350375	0.0005530276579871883	0.02844869192262566	0.017774589808630652	0.0028353820009226604	0.0	0.016046620359033238	0.0015772866310242992	0.0029151989140951003	0.018784587442496406	0.0008856262438750826	0.004876691404137292	0.008076696441169233	0.0033030283832280864	0.13659998323166642	0.0017768524546921747	0.027751303064535857	0.0009465927767217351	0.007952323309369846	0.01203540865465103	0.0011432745368885266	0.015509128875780844	0.008025413826541686	0.7742207397063668	0.5951490356984476
Myofibroblasts	0.0002718163608082272	0.006701713242534005	0.0003143816597853906	6.16621591324027e-05	0.02891407287441748	0.0020673227133204647	0.00036005013542561945	0.0	0.0436492593528877	0.18017701497333347	0.00844761290891868	0.0026473984159637713	0.30148015285672514	0.024633462010809376	0.0017775046604259978	0.0017690703405288416	0.0014900742432644545	0.0008404162513860197	0.010665801593452937	0.0035996121808330563	0.06081875597197193	0.09673961905536387	0.0002762090186089097	0.0032502978740296487	0.002699946935749211	0.0007481164524173601	0.000390778300588751
Plasma	0.2696769521683796	0.020598588013998106	0.3099955626726449	0.32555712485555754	0.006844286618455008	0.014506892049571306	0.0031597821731965954	0.3289297461276185	0.14603943617576298	0.001211407834498506	0.0009562054135899146	0.0035846627923715214	0.0001198832056509143	0.0013331311194752758	0.00540443334648218	0.00040955265284506554	0.004663163513612312	0.0006074220095495861	0.0010087896841636998	0.3197250279819756	0.0009464298905615434	0.0030787104845223833	0.0001359731925395328	0.006890193541704258	0.007585862235536246	0.0011867553662670701	0.0024471058496279
