	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
B	0.0029449583815483924	0.0038801021179577103	0.0005229090039388588	0.0031460184844905197	0.30169836902330105	0.005901835045007909	0.044370046413756886	0.06079900053020544	0.009739113631717705	0.003752798099831219	0.0007958341944767277	0.0010831947903792015	0.004024472354019239	0.0018957068228476403	0.004796733417725145	0.000471213258127633	0.0004387272006267247	0.016597444596639827	0.005745352237796763	0.005313730925646431	0.004459525943555315	0.5073358244505929	0.00434856551485818	0.007200489099380512	0.0009272559021414002	0.0015882414589809175	0.004003883959693874	0.0034723466216604864	0.0015584184487944755	0.0177622591402059	0.021778561270929152
CD4Tconv	0.004879648655369641	0.03180203973227284	0.0020388074367015713	0.026561666339962303	0.025187254042470342	0.05611703772813576	0.8874087438764173	0.3098222339564509	0.06301940679509772	0.005772587444449511	0.006286469773493873	0.010673524350460593	0.056229749724667676	0.060564632763042775	0.573880910296453	0.004978850893033897	0.012011430341866695	0.3907090584468304	0.28897890216438743	0.9433380991154423	0.010868708929994976	0.019337471975078697	0.04593731129400361	0.03771201510249912	0.06193321331265055	0.0063629702609821785	0.03429573929044409	0.061574878304389506	0.020782016445827757	1.3968590700644565	0.5314065336071302
CD8Tex	0.00044029509090476	0.012363200753887414	0.0	0.012069345991318895	0.011132483047845535	0.02470448852290992	0.18034777058208476	0.16029991558798418	0.03533548789742312	0.001320201172903768	0.0018555588037800267	0.0019731236776405455	0.012817742313703544	0.010835170074921335	0.9351971807965495	0.0011996090582473927	0.001716579615064014	0.13062193324903384	0.7060951371986908	0.8148689898569447	0.0047056747793207685	0.006869133594836376	0.016876869680480706	0.0150862277261752	0.011684355875202907	0.003194999293714112	0.03202854939502847	0.02274198483925451	0.004298221103014925	0.4599497111877046	0.5510128948427053
Endothelial	0.0	0.015156417830041853	0.0	0.5108018102785647	0.00434658611817528	0.011663858159742602	0.03494488979326498	0.06478136519090391	0.048945653208507835	0.00024689008363567303	0.5411226669492365	0.0052318930376223285	0.0083077084177238	0.006445329991351122	0.004072240917468771	0.006257159785104038	0.0037954391082353324	0.03124138992152689	0.0030234027220029016	0.00661397138985281	0.0031780803613613066	0.0014670914527651463	0.0606117960488001	0.0005285858465479169	0.12746781992604747	0.0005919423475941798	0.008173810629527517	0.010937724892296946	0.00621058470696109	0.0061483219385551745	0.007740148207190491
Fibroblasts	0.0	0.32328873202070674	0.0	0.013484957043449777	0.00342756001939943	0.01692893895424582	0.09095795270165587	0.14674478056984325	0.49263288586847187	0.0007388273685043642	0.005444017801082284	1.177241946731613	0.028667456603453607	0.031296987551281914	0.004060661073871491	0.02181905341529285	1.2163726829242787	0.16966612623370927	0.00416533048195483	0.004863277388080734	0.005883433061623264	0.0012823581459166491	0.36376747050061237	0.01850644800526775	0.01960562985474037	0.001948093988036098	0.0050111341635727105	0.29795024825843475	0.008407011167459046	0.008093154938370092	0.01789863787147755
Malignant	0.0005169241428049177	0.0853921835763036	0.0	0.033088181053763675	0.012489242259380069	1.942027593078206	0.17366623860739508	0.1679165741055776	0.4266674452253719	0.0018306487089602265	0.013259960669753839	0.023082637014457334	1.8479264201906624	0.14900033930198067	0.0071547723354674865	0.011282858689666912	0.027996302907759167	0.20707664631038278	0.02036614050562486	0.00828962071460543	0.012730539959946578	0.0038670399228789027	0.07824088800459747	0.007456499552087439	0.06305110531097025	0.00635761404698346	0.17451762304175106	1.3332585574788476	2.231675577884825	0.03140479596816055	0.03334809385566677
Mast	0.0	0.0011925571561421844	0.0	0.0007349145786444414	0.0016689927235773827	0.002792647631180475	0.0056867331288771045	0.007220257480716852	0.007264571306798155	4.035929285711592e-05	3.9269802947291094e-05	0.00021291764844655147	0.0007766644664274298	0.0015783622304290114	0.004186004639610337	5.90524984190165e-05	0.0002680917374430117	0.003626275283839208	0.0016952792334224513	0.0024185642520871153	0.0037011282379749502	0.0009069921027828239	0.0014064082347728572	0.0013405804189401654	0.002317465864496683	0.10525278488794022	0.0012202829208210718	0.0020523235098054604	0.00019451344435874248	0.004715757318566307	0.004804232085223699
Mono/Macro	0.0007064564024918081	0.009456254905650852	0.0	0.0052396960117053245	0.02662012107733013	0.020686621846511193	0.04415436296732952	0.033797643515037265	0.05701196559424614	0.0005551611587597559	0.002356677192900166	0.0017970980718934227	0.00640766625045732	0.0075945091623000486	0.006609992798523155	0.0008469099398639634	0.002204007963447599	0.019985868409640034	0.008221328011164713	0.008380816146580039	0.7634014737707973	0.027015977632972504	0.01967789132249501	0.00036322747664909436	0.002818094266517637	0.0011875609851926057	0.0218069071861451	0.05066511401391604	0.0032188715404838143	0.02066496704506994	0.03977695858321477
Myofibroblasts	0.011439454063113622	0.20256177663557162	0.0	0.005174682188217365	0.0036899552836280962	0.0028266528476788896	0.0163074014896824	0.07069506918333257	0.045578000696204116	0.0007369616477775751	0.0015814429392176322	0.0393384089352422	0.033037309232630055	0.05781145346201851	0.0017441206940078766	0.30012256729933523	0.028412335628399024	0.09911363973135574	0.002067370365645126	0.0007427054217130582	0.0006717010019899131	0.00034613846527837427	0.16055313390846257	0.01186589775476393	0.00705523790954628	0.0001865594521511367	0.002750723384212269	0.018456035912647432	0.002391235465945274	0.0022746649279865114	0.004235044952074083
Plasma	0.3185871389794616	0.0014294260559985564	0.3295120249350799	0.0007344309053695341	0.1003932931765572	0.006361096284991268	0.01898973473903683	0.01317177337233921	0.004628940626532418	0.3133184956785723	0.0007504896219256585	0.0009012003164852167	0.005663161193279289	0.22086872708530628	0.007548404517324506	0.0011001939417625065	0.0010445186698087537	0.009386863915703229	0.0030610738674241257	0.004823071226854355	0.0010378643948116839	0.003671705154531427	0.002946059726369415	0.2898011202028772	0.21073995265756648	0.0010935681890737435	0.0024130181660441835	0.00284286286821872	0.0006960385122295332	0.0072369171497715145	0.023955410205420316
Tprolif	0.0	0.001833545664160221	0.0018140219775535861	0.0005910749729274237	0.012177092071481184	0.0024502361104868603	0.009681804169453852	0.002397787806061623	0.003879126394659619	0.008068615721628277	0.00041250256690321673	0.0005517358236098988	0.0007333638334058402	0.0	0.023923107016001793	0.0014648423760700944	0.0017173075648979413	0.01359896306539017	0.0719670535869465	0.014364121498124138	0.0016197169621584976	0.004252935833634824	0.001461765739788587	0.004752845447420681	0.0032325522136995963	0.00045799798575965275	0.1437911831093322	0.0016584048836621663	0.0005884725901138674	0.00535016937335866	0.03795619547573986
