Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28
ABLIM3	3.126286537735723e-05	1.5272686937350954e-07	1.2553070519061293e-05	5.6297894843737595e-06	3.772317086259136e-06	5.812016752315685e-05	6.262659007916227e-05	0.0007270622882060707	2.6829394528249395e-07	4.376998185762204e-05	3.4943730042868992e-06	5.865967978024855e-06	0.0001935900072567165	3.49718720826786e-05	1.9039545406940306e-07	9.522864843347634e-07	4.310316853661789e-06	8.395471695621382e-07	1.0207620562141528e-06	2.112992478942033e-05	1.8085183910443448e-06	1.0458551514602732e-05	1.6504478139722778e-07	1.5091463865246624e-05	2.506966893633944e-06	7.993060717126355e-05	1.2319712823227746e-06	6.299596407188801e-06
AC004791.2	5.790795043481012e-08	4.7225640287251736e-08	8.818544301902875e-06	1.1034514102448156e-07	1.5252889795647206e-07	2.1202778199835848e-08	3.1822564778849483e-06	2.734765658374272e-08	1.2293436668642244e-07	5.1701860570574354e-08	2.1678729922314233e-08	1.7170258388432558e-06	7.159100334774848e-08	5.959417848089288e-09	0.003638596972450614	5.2818197815440726e-08	3.075041377087473e-08	3.679589966054664e-08	1.963543923011457e-07	3.2867721984075615e-06	9.223262509294727e-08	1.7492471471314275e-08	5.922207435560267e-08	1.432739367146496e-07	1.212818858675746e-07	2.6959630758938147e-06	2.5636994749334008e-08	1.0889190349416822e-07
AC013461.1	0.001936043263413012	3.6711793654831126e-05	0.0001624405267648399	5.9208370657870546e-05	0.00019796885317191482	0.00019845062342938036	0.00026911028544418514	0.00013648865569848567	2.791553379211109e-05	0.0003475425473880023	0.00011477050429675728	4.243116200086661e-05	0.0005471799522638321	5.4995198297547176e-05	1.567127947055269e-05	3.4212243917863816e-05	0.00023891722958069295	4.1654078813735396e-05	0.00037569456617347896	0.00016882691124919802	0.00011778568295994774	8.549872291041538e-05	0.00016249011969193816	6.436058902181685e-05	0.00013728927297051996	0.0003654029278550297	1.4529841791954823e-05	0.000432188535341993
AC017002.1	8.954198165156413e-06	6.906233465997502e-06	1.7767986719263718e-05	1.7092035875521105e-07	8.34078891784884e-05	1.018907641991973e-05	4.030632680951385e-06	1.715926919132471e-05	1.8352351389694377e-06	3.0433957363129593e-05	4.2492640517366453e-08	9.457065061724279e-06	5.801386123494012e-06	6.315123535216571e-09	1.1307477620903228e-07	0.0004770657978951931	2.8304211809881963e-05	0.0005668365629389882	6.5481714273119e-07	3.937544533982873e-06	6.288242957452894e-07	3.8671953461744124e-07	2.2164740585139953e-05	1.0829957091118558e-06	0.00019378555589355528	3.0583571060560644e-05	4.806849028682336e-05	2.535264798098069e-07
AC020571.3	5.932149178988766e-06	0.0007643626886419952	2.64355621766299e-05	0.0012345610884949565	4.6503287194354925e-06	2.502311247098987e-07	2.742632568697445e-05	1.0810541084538272e-07	5.977947239443893e-07	2.345048778806813e-05	1.471667701480328e-06	7.725177056272514e-06	1.54628310156113e-06	6.123063940322027e-05	0.00234655337408185	0.0002479385584592819	1.9532060832716525e-05	0.0001822996127884835	4.152362578224711e-07	6.4180158005910926e-06	6.646312726843462e-07	0.0014761623460799456	5.189435341890203e-06	0.0009171724668703973	2.4039602067205124e-05	0.00013986841076985002	0.000350097194314003	5.17559328727657e-07
AC079767.4	5.990578699766047e-08	3.357606459530871e-08	1.2917405911139213e-05	1.8314356964310718e-07	1.524418138387773e-07	0.00010537797788856551	3.4620520636963192e-06	1.3294543066422193e-07	4.155628801072453e-07	1.2634868085115158e-07	9.057387018174268e-08	2.288991709065158e-06	1.4874170517487073e-07	5.443404837990329e-09	1.15221752139405e-07	4.890471245744266e-07	7.1266740064857e-08	4.3775764879683265e-07	7.083431228238624e-06	3.2528609153814614e-05	0.002375112846493721	3.210837178357906e-07	1.0951275442039332e-07	3.665388987883489e-07	5.256309236756351e-07	3.4571537526062457e-06	1.6710161787614197e-07	3.5212141824558785e-07
AC092580.4	1.7592277856692817e-07	5.1422180149529595e-06	2.885972753574606e-05	0.00010965773981297389	7.33553065401793e-07	1.4261047454056097e-07	8.206525308196433e-06	1.2494086831793538e-07	4.20170727011282e-06	1.8892650643920206e-07	2.0769793707131612e-07	6.9344059738796204e-06	2.82334696066755e-07	2.617669103699427e-08	2.5227191713383945e-07	3.965057112509385e-05	3.618758341872308e-07	0.0016852827975526452	5.228864665696165e-07	5.5957239055715036e-06	3.5193752978557313e-07	1.7792011703932076e-06	5.364997196011245e-05	5.659235739585711e-06	5.1391543820500374e-05	1.0269274753227364e-05	0.0001200829865410924	3.47796600408401e-07
AC093642.3	7.403310320341916e-08	1.9048673749466616e-08	6.256655524339294e-06	5.290684157444048e-08	1.3481601968123869e-07	1.981996007316411e-07	2.6742343379737576e-06	1.1760955942463625e-07	1.304346284314306e-07	8.490776053804439e-06	1.6483467035754984e-08	1.4762405271540047e-06	7.504078780584678e-08	0.001404373673722148	5.544260517353905e-08	6.053677225281717e-06	4.169032763456926e-08	6.131378540885635e-06	1.570773946468762e-07	2.9786904178763507e-06	1.3515003729480668e-06	1.3073392146623064e-08	5.936182745358565e-08	0.0008311416604556143	1.0929685231531039e-05	2.391622501818347e-06	5.973769816591812e-07	4.589780019159662e-06
AC093818.1	1.3986931435283623e-06	6.146872328827158e-05	3.8360631151590496e-05	0.00010694229422369972	0.00018150583491660655	7.085611287038773e-05	2.390924964856822e-05	0.00013838151062373072	0.0034493952989578247	9.810345318328473e-07	6.816795121267205e-06	0.0004978565266355872	1.1378492672520224e-06	2.01045040171266e-07	7.359497249126434e-05	0.00040203004027716815	2.6661258743843064e-05	0.0002660333411768079	5.684940788341919e-06	7.1228760134545155e-06	9.133847197517753e-05	4.819150490220636e-05	2.48990545514971e-06	5.196337224333547e-05	5.522544961422682e-05	1.0754598406492732e-05	0.00024267197295557708	2.839055741787888e-05
AC104699.1	6.173653588348316e-08	4.0192071537603624e-07	2.391348243691027e-05	1.4663196168385184e-07	6.49786670692265e-07	1.8204175944447343e-07	4.459004230739083e-06	8.032385068190706e-08	0.0044509791769087315	6.818051190293772e-08	2.790071462754895e-08	0.00033576638088561594	2.5680589033072465e-07	8.507575088856356e-09	2.7197023655389785e-07	1.5953412457747618e-07	5.649022938314374e-08	2.026663565857234e-07	4.2997905325137253e-07	4.885157522949157e-06	0.0010471096029505134	1.9706263287844195e-07	7.75069111114135e-07	1.157101337412314e-06	1.3910180314269383e-06	3.8443668017862365e-06	2.8343876579128846e-07	1.711559605155344e-07
AC133644.2	5.515235534403473e-05	4.960521255270578e-05	3.401462163310498e-05	9.009930863612681e-07	0.0001929110148921609	4.2724550439743325e-05	2.8816044505219907e-05	1.7516000298201106e-05	2.371185109950602e-05	2.002904329856392e-05	6.083872960971348e-08	1.624047217774205e-05	4.657021236198489e-06	7.524740652797846e-08	2.5687158995424397e-06	0.0009451366495341063	5.3022067731944844e-05	0.0010087586706504226	3.870081854984164e-06	5.3373983973870054e-05	1.0835768762262887e-06	2.190412942582043e-06	2.5287672542617656e-05	9.973869964596815e-06	0.0002790637081488967	2.521493843232747e-05	0.00011132033250760287	9.249146160072996e-07
AC233755.1	9.834874958869477e-08	8.610610393589013e-07	1.806751788535621e-05	9.203535000779084e-08	6.024100116519548e-07	4.721652757666561e-08	4.30200179835083e-06	3.163189177257664e-08	0.0023692212998867035	5.0540638341090016e-08	2.62402846118448e-08	3.790090704569593e-05	1.9598417111410527e-07	3.5619347471538276e-09	6.75857236842603e-08	7.154695680355871e-08	4.198253122922324e-08	1.4741449376742821e-06	1.6841883621054876e-07	3.0890980724507244e-06	8.573720151616726e-06	9.483972576163069e-07	1.035585455610999e-06	1.2751273459343793e-07	4.065969960720395e-07	3.1231513730745064e-06	1.339722189186432e-06	4.153516215410491e-07
AC245100.1	3.3830208849394694e-05	3.827495311270468e-05	0.00027897657128050923	0.0004297445702832192	1.0866768207051791e-05	3.3120209991466254e-05	0.00035121061955578625	3.149078509068204e-07	2.2168804207467474e-05	2.5636916689109057e-05	3.496068165986799e-05	3.8048558053560555e-05	3.801409911829978e-05	1.1415497283451259e-05	0.00011702495976351202	0.00041802157647907734	5.9457826864672825e-05	0.0005954510997980833	9.10891467356123e-05	8.794819586910307e-05	0.0004730784276034683	9.926711936714128e-05	4.056621764902957e-05	0.0007020048215053976	5.9449706895975396e-05	7.051585998851806e-05	0.0009620527271181345	9.332804620498791e-05
ACACB	0.00010186914005316794	2.305888529008371e-06	0.0002865782589651644	0.00022169866133481264	0.00012452913506422192	1.2651838915189728e-05	5.552104994421825e-05	0.0005566717009060085	3.082878902205266e-05	0.0006194384186528623	1.876672627076914e-06	5.423973925644532e-05	0.00014203207683749497	7.607909356011078e-05	7.574204573757015e-06	2.511785351089202e-05	2.1294335965649225e-05	3.751570329768583e-05	2.3622922526556067e-05	4.6638167987111956e-05	2.7605639843386598e-05	4.147698564338498e-05	7.851910595491063e-06	0.0007901780772954226	3.069781087106094e-05	0.00019550432625692338	4.0148472180590034e-05	4.702504611486802e-06
ACAT2	0.00018365807773079723	0.0011111429193988442	0.00030067708576098084	0.0005564942257478833	9.99152398435399e-05	0.00010019470209954306	4.726074985228479e-05	5.201599924475886e-05	5.823420360684395e-05	2.9831071515218355e-05	0.00027667064568959177	3.097839362453669e-05	0.00016086497635114938	0.00011269067181274295	0.0001309855724684894	0.0004943607491441071	7.735212420811877e-05	0.0003270606976002455	0.00039061851566657424	3.133387508569285e-05	0.00017134220979642123	0.0003290910099167377	0.0005282554193399847	0.00019142465316690505	0.0007370047387667	5.970962592982687e-05	0.0003961324109695852	0.00029315779102034867
ACE	5.216947101871483e-05	2.8711363597722084e-07	4.81789575133007e-05	0.00011694283602992073	0.0021672374568879604	0.0001717957784421742	0.00025280658155679703	0.0010886352974921465	1.1196687410119921e-05	0.0001675658713793382	1.6608459191047587e-05	4.887911018158775e-06	5.430903911474161e-06	2.029945062531624e-05	3.871392254950479e-05	7.061665201035794e-06	8.584856550442055e-05	1.919759824886569e-06	8.866671237228729e-07	0.00036906125023961067	2.374369159952039e-06	7.559080586361233e-06	3.386216178569157e-07	0.0001300078147323802	1.5729567166999914e-05	1.3718638001591899e-05	4.072280353284441e-05	3.192461736034602e-05
ACER3	0.00024222944921348244	7.43041600799188e-05	5.2160419727442786e-05	0.0001674882514635101	0.0003413507656659931	0.0005066960584372282	0.00013081941870041192	0.0002306729438714683	7.477181497961283e-05	0.00016520501230843365	7.867028762120754e-05	7.455702143488452e-05	0.00020186227629892528	0.00011316689051454887	0.0010701864957809448	0.000238861539401114	0.00013338671124074608	0.00021196641318965703	0.0003082143375650048	0.0007603495614603162	0.00020517321536317468	5.4899795941310003e-05	9.649420826463029e-05	0.0006788477185182273	0.00026222801534458995	0.00010784297774080187	6.953611591598019e-05	9.268303256249055e-05
ACKR1	4.3543441279325634e-06	8.00873323214546e-08	2.1158935851417482e-05	3.9080791793821845e-06	2.3488892111345194e-06	1.466222983026455e-07	0.00010094026947626844	0.0010476488387212157	5.573429007199593e-07	4.626126610673964e-07	9.629513186837357e-08	5.8592022469383664e-06	2.820505415002117e-06	2.0059029282037955e-07	2.2175464664542233e-07	2.7396292807679856e-06	7.219941267067043e-08	1.7808442009936698e-07	9.166068934973737e-07	1.2023241652059369e-05	2.922116436820943e-06	4.014810201624641e-06	1.9195263689653075e-07	3.409581722735311e-06	1.7160372181024286e-06	1.0187690349994227e-05	3.4242006563545146e-07	8.83184839040041e-07
ACOT7	5.275891089695506e-05	0.0006548264063894749	5.344524106476456e-05	4.690921196015552e-05	0.00033224240178242326	9.646978287491947e-05	2.146420047210995e-05	0.00013006581866648048	1.6118214261950925e-05	2.6230138246319257e-05	3.3637668821029365e-05	1.883302684291266e-05	2.9069886295474134e-05	6.044839210517239e-06	0.0013742774026468396	0.00018557350267656147	0.00010291022044839337	0.00034231101744808257	0.0002855709462892264	0.0001767398207448423	1.940407855727244e-05	1.4086300325288903e-05	0.00043604421080090106	1.8045306205749512e-05	0.0011893447954207659	0.00010419048339826986	9.459217108087614e-05	0.00015751400496810675
ACP5	3.8329108065227047e-05	0.0006478952127508819	9.937286813510582e-05	1.1454655577836093e-05	2.6821307983482257e-06	0.0009786004666239023	5.2840961870970204e-05	1.951580770764849e-06	8.403517131228e-05	6.861434667371213e-05	7.349647603405174e-06	0.00010223303979728371	0.0003148319956380874	0.00014695416030008346	0.00025220238603651524	0.00028981748619116843	1.9893836906703655e-06	0.0007701245485804975	0.00012010703358100727	0.003643132746219635	0.0006944399210624397	9.228632552549243e-05	3.050747727684211e-05	5.936103843851015e-05	0.00019827153300866485	3.4048127417918295e-05	0.0002062663552351296	1.4139797713141888e-05
ACSL1	9.932777902577072e-05	0.00037368552875705063	4.1130089812213555e-05	2.8941700293216854e-05	0.0005184566834941506	0.0006219074712134898	8.221835014410317e-05	8.862482900440227e-06	1.9620438251877204e-05	0.0002637094585224986	6.667411798844114e-05	8.215002162614837e-05	8.467784937238321e-05	0.0003554974391590804	1.6638506394883734e-06	0.0002645418280735612	0.000178945527295582	0.00017079056124202907	1.4616798580391333e-05	7.250763155752793e-05	0.000156590758706443	2.2726040697307326e-05	0.00013145714183337986	6.00644234509673e-05	0.00011463263945188373	0.00012002221774309874	7.240066770464182e-05	0.0001491127477493137
ACSL3	0.00015389907639473677	0.0002471117477398366	9.304463310400024e-05	0.0002721661003306508	0.00023917258658912033	0.0002683463681023568	0.00012360069376882166	0.0002155996044166386	0.00011991968494839966	0.00039157396531663835	0.0002545404131524265	0.00010722723527578637	0.00024418465909548104	0.001809570356272161	0.00021139637101441622	0.00032218985143117607	0.00016790840891189873	0.00017880073573905975	3.791998824453913e-05	0.00014657812425866723	0.00020967067393939942	0.00011902451660716906	0.00012209979468025267	0.0006107973167672753	0.00011600285506574437	4.98569461342413e-05	0.00022302377328742296	0.0003242377133574337
ACSL4	0.0001561972894705832	9.312085603596643e-05	5.9208872698945925e-05	7.295628165593371e-05	0.00040060136234387755	0.0004097999772056937	0.00045447834418155253	0.0001937419146997854	0.0001571371394675225	0.00027662981301546097	1.2949568372278009e-05	5.1904287829529494e-05	0.0001692942314548418	8.804219078228925e-07	0.0022228823509067297	0.0003144257643725723	0.00018508482025936246	0.0004502424562815577	0.00032879572245292366	0.00025500525953248143	0.00017110105545725673	7.5175962592766155e-06	7.364427438005805e-05	8.762015204411e-05	0.0002673742128536105	0.0003678630164358765	0.00018878470291383564	0.00024148196098394692
