	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
B	0.016298825118336094	0.19633522395518732	0.0035850406189525167	0.0007055837088674375	0.015552260990627922	0.0029137082248210924	0.0018177551312413408	0.019361461570207128	0.002896577958343905	0.004145171647777381	0.0007400688882868843	0.013246270807537259	0.0006571887776301354	0.01701097521661994	0.008438136079187865	0.0016735353586598066	0.0009941881300033492	0.00838773963097436	0.0025371069025654186	0.023718933416515937	0.0017185592939307987	0.0021490513586476037	0.01621644634512424	0.525808005595441	0.0018704147758105624	0.010776499005900239	0.004791386562369072	0.004023190131037408	0.004751406171355253	0.014358886611057897	0.012570459297118596	0.0013370543147681435	0.0874072547428357
CD4Tconv	0.30531600379615115	0.028685786453694358	0.031048945017648308	0.018079157861559784	0.14210921170088817	0.030571445077298698	0.01016038063978596	0.28035022317308594	0.009946950897297349	0.005838283618785224	0.015533110936494407	0.11439461712371196	0.0058615198935482	0.09226733939290388	0.060851865225677954	0.024224585325364652	0.008696034952317916	0.4431742433123566	0.017272966369431066	0.18333662172891102	0.019012803474192132	0.01782035425635497	0.46921172480128787	0.022550106201035477	0.04082518713310037	0.16742254922405517	0.827548999117914	0.05637828227053736	0.007246546741267011	0.006976389254477551	1.4925621621149987	0.012506139798713218	0.4545281567560589
CD8Tex	0.2248445311181312	0.013009847013671449	0.009730573005689528	0.004754652129814121	0.3023464434489556	0.03065272909081651	0.004445312464718661	0.08272735434837612	0.003318137728335726	0.0014361235094531078	0.0014928051106620312	0.07167302151396987	0.0017239137862109413	0.049009757649379	0.03577795909516005	0.004649334764197469	0.0026706636378887867	0.6554057761446234	0.003946428311856546	0.05037228076518409	0.002650348344963206	0.007773672784256937	0.682215065580072	0.007329780565469476	0.00945250834190865	0.12458883143876218	0.8833899581656803	0.012299432494468028	0.00045815073179998204	0.002473012230331944	0.4604369640078155	0.003266533541955598	0.236248543847478
Endothelial	0.019858631735956672	0.005043632107890818	0.011745761354066334	0.0033848070978792456	0.007270033568982792	0.007606373876376634	0.0009030235664783918	0.038852360499310595	0.0031140507635390325	0.0002662503927658285	0.004363944474540798	0.012294746531505465	0.005845313759174393	0.04075595794956056	0.03370236725989392	0.006842751847494153	0.5385513288068386	0.005275412228752373	0.004771489515824918	0.07078958552876403	0.008010600361085031	0.5241371212734915	0.006881820697321241	0.0014582149201967513	0.006095423119781736	0.022664187646750204	0.005814799486535268	0.01010794201383603	0.00011656360435239722	0.0004434970904902237	0.008492724021391394	0.527197970023057	0.04577251486832866
Fibroblasts	0.10446481791497798	0.005301753909932211	0.8963991740057795	1.2149273326872858	0.01282953216300015	0.004555334429448648	0.002310340938029191	0.14910935660939525	0.006877237597864671	0.0008024079339031874	1.1420914584384643	0.010870919984609676	0.02491515922189786	0.06620330356855775	0.0374285600892921	0.00929624948995404	0.004250824363520672	0.009228317599179999	0.0015859363379695454	0.13904516879581144	1.1903703197509488	0.007880779287330605	0.012269258462701502	0.0013175632607518913	0.009799744579457065	0.06253282369034432	0.004008158307405146	0.058355637354568037	0.0009484940595132127	0.0011336019500513455	0.0068500531465675195	0.008838769633863212	0.13961217369742546
Malignant	0.5590709343707156	0.020237952047329245	0.0942730551949601	0.07201845407184676	0.01801167333989649	0.1715502709049072	0.0083723991736336	1.1409188494753923	0.014503884742936297	0.001886083412337374	0.05062728198792694	0.0819239558369583	0.015305689438559802	1.1140522347360722	1.5147333284653117	2.219677634969125	0.01828593268229575	0.018215839546253474	0.0022938353817236077	0.12977715470514772	0.04925984495659243	0.025874943848796475	0.02900661599818148	0.007849361787972308	2.1514954747198787	0.36942197228449086	0.007732767987842307	1.5215300394722486	0.005476405737403354	0.003981305536532067	0.02173432214168851	0.0337123475185303	0.1254513738581554
Mast	0.006662043066626488	0.016414645702036962	0.0013719381809814562	0.0006251409344024964	0.012827155610760652	0.001032947875323078	0.10494541661204386	0.0016242845746083031	0.0036172861004597494	3.2782445296264244e-05	0.0002543305383858388	0.0017224915969481702	4.545802163397655e-05	0.012804002193668644	0.005743261061132768	0.000167555450039204	0.000144733144346134	0.0020929999454393205	0.0001347270155866878	0.00456964579432604	0.00011081587866152989	0.0006729455281561435	0.002052975185172563	0.0003140141656501655	0.0006295817082797706	0.0074495311345973425	0.0020509931561309915	0.00028415456555555996	0.007246892764459489	7.10423878307716e-05	0.0034708195743031697	9.058708140783278e-05	0.007694064506030156
Mono/Macro	0.10289891058659284	0.3278395096539999	0.008657040832714622	0.0045868915170915936	0.4523743385041171	0.02182194046005	0.0011580001015955531	0.037304312878139144	0.7692970135927548	0.0005144480512563167	0.0027537550402246115	0.01733461690554887	0.000958152122986619	0.03381065360850332	0.02479173362960582	0.0038380169260483956	0.0029080054033186484	0.01348228300654031	0.0005701807624510301	0.02355213200915817	0.00203916527718853	0.002157051112631663	0.024396534329712376	0.0028890167366500525	0.007147706152904137	0.015550202798617577	0.005836359718007277	0.006327724784766663	0.0010091904380608707	0.001102780026770649	0.00971029292549286	0.0027530111493328795	0.029337278298420384
Myofibroblasts	0.025448340654837514	0.0007312944829044072	0.07602941190252184	0.019992328296425964	0.0013695139373583137	0.0027570129382972677	0.00029729175128093117	0.015348751191288017	0.0008000802625956929	0.0014248287040762135	0.040282229889090505	0.0024247040735774525	0.29954447204675233	0.02716272249827579	0.03031472472601189	0.0024584921536700303	0.0017950930298051785	0.0023790999498435055	0.0020862540489359187	0.03938977660962804	0.029912845435767443	0.003808539758761676	0.003469218886893218	0.00040382795290511896	0.002027878758467927	0.03239788221305898	0.0011999785014623215	0.07244832683590052	0.003367154518315608	0.0002987734823504453	0.002653046663668651	0.002866677804410678	0.02464381071105845
Plasma	0.01174407323581178	0.002621027417309081	0.001683258945227432	0.0014262525601787005	0.002796001617045892	0.0038967935902993796	0.000246262475192209	0.0011949665625925988	0.0011067209338708524	0.308691545419209	0.0012157054054353176	0.05525821984895951	0.00023204288466974145	0.010465568469799175	0.0054967363467795065	0.0006702144905462041	0.00035618525070853815	0.0056382749654762835	0.3160968567251004	0.12636214946533836	0.0008686032887507381	0.0007271054811320307	0.0076528881691375495	0.00360951196886164	0.0047029865429983365	0.008360907816057037	0.004950344839267422	0.004173085535255713	0.2976763098757327	0.31386011647550616	0.006944892319999232	0.0015981597869108484	0.025945882070413113
