Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29
AC017002.1	9.191559001919813e-06	3.882769306073897e-06	4.646023299414992e-08	1.4353853430293384e-06	1.830152359616477e-05	2.2354549855663208e-07	1.4846459635009523e-05	0.0016375082777813077	5.027574729865592e-07	2.465662873873953e-07	4.6043413703955594e-07	6.684883828711463e-07	5.784248173767992e-07	6.784538868487289e-07	1.6258295545412693e-06	0.0002009558374993503	3.8082287119323155e-06	1.73362968780566e-05	1.1437217835919e-05	2.1543448838201584e-06	9.337583833257668e-06	3.4377303563815076e-06	1.3353427448237198e-06	2.7687367492035264e-06	2.8900734605485923e-07	6.341653261188185e-06	4.432874902704498e-06	5.263315117076672e-09	1.0195583399763564e-06
AC020571.3	1.0666458365449216e-05	0.0013959492789581418	4.790035745827481e-07	9.017933734867256e-06	1.351212904410204e-05	0.0007110006408765912	3.983372607763158e-06	0.0002527911856304854	3.8839942135382444e-05	1.1478178976176423e-06	7.303312941076001e-07	8.687319450473296e-07	4.0004178458730166e-07	1.293755985898315e-06	1.0280799642714555e-06	0.00032199962879531085	2.0485049390117638e-05	9.591763046046253e-07	0.00010618477972457185	3.9590431697433814e-06	6.641930099249294e-07	1.7255167961138795e-07	0.0008544031297788024	0.0004188006860204041	4.699439557498408e-07	4.607279333868064e-05	6.918649160070345e-05	2.4372395273530856e-05	0.0027948154602199793
AC079767.4	1.9047689420403913e-05	5.131790814516535e-08	4.71778172084214e-08	3.276833524523681e-07	3.703718931546973e-08	2.337470874635983e-07	8.43608276568375e-08	7.073344931995962e-08	5.355652206162631e-07	1.457477907251814e-07	0.002207728335633874	8.142464480442868e-07	2.3370759663521312e-05	4.651896290397417e-07	3.426384580507147e-07	6.405620212035501e-08	2.3423415029810712e-07	2.6033120548163424e-07	1.4584226448732807e-07	2.113343498422182e-06	0.00013208544987719506	1.1249210274399957e-07	4.910484818765326e-08	1.0404230010863103e-07	4.849774768445059e-07	2.6262202368343424e-07	7.171944957917731e-07	5.648969292337824e-09	1.5481768400604778e-07
AC092580.4	1.570055610500276e-05	2.5769999410840683e-05	8.140958129843057e-08	1.599578922650835e-06	4.693377064768356e-08	2.1661137452611e-06	1.3870801751636463e-07	0.001796286553144455	1.0308950777471182e-06	3.0608131851295184e-07	3.201609786174231e-07	1.1547089115993003e-06	5.801608722322271e-07	3.809569193435891e-07	2.2723691017745296e-06	4.630851617548615e-05	1.568420157127548e-05	1.3789242814254976e-07	0.00011277695739408955	4.743279077956686e-06	3.1904812658467563e-07	2.4145430188582395e-07	9.883533493848518e-05	0.0013963577803224325	1.8692516050577979e-06	0.001202538376674056	0.0005865046987310052	6.470680435910481e-09	5.083183509668743e-07
AC093642.3	3.9427691262972075e-06	8.98438923258027e-09	3.120583258464649e-08	2.4887728500289086e-07	8.499422619934194e-06	1.0193080868248217e-07	1.3944148236078036e-07	4.25275502493605e-05	3.2188248155762267e-07	1.1279151834742152e-07	2.6363082724856213e-05	5.603259864983556e-07	1.4860536623473308e-07	1.4992076557973633e-07	1.5880185344485653e-07	0.0001372153783449903	6.401744030881673e-06	2.0456988636397e-07	7.285647996013722e-08	1.859468738985015e-06	3.344211336298031e-06	5.466869978931754e-08	4.1531254879600965e-08	6.106103001002339e-08	1.6549371650853573e-07	1.6546651693261083e-07	1.450088461751875e-06	0.001171148382127285	5.6453526298128054e-08
AC093818.1	0.0002403545513516292	0.00012648578558582813	0.00019318406702950597	4.655425527744228e-06	6.514499546028674e-06	1.898065056593623e-05	8.141539069583814e-07	0.0003580506599973887	2.1378506062319502e-05	1.4916089412508882e-06	0.00011327069660183042	7.590356290165801e-06	1.759012957336381e-05	2.04770785785513e-05	6.108938396209851e-05	0.00031877774745225906	4.579132564686006e-06	3.30825287164771e-06	0.0005825728876516223	0.000885001674760133	7.276388350874186e-05	7.355879643000662e-05	0.00014434980403166264	0.00023051138850860298	0.002964774612337351	8.568035991629586e-05	5.110620259074494e-05	1.6821869053273986e-07	7.42232077755034e-05
AC104699.1	1.002384306048043e-05	8.941224649561264e-08	8.138430729331958e-08	1.1319388022457133e-06	3.610683307897489e-08	3.3812676747402293e-07	7.54246869405506e-08	8.104994009272559e-08	4.986615635971248e-07	1.4604576392684976e-07	0.0010509068379178643	1.3654184840561356e-06	2.5914343382282823e-07	2.230438127526213e-07	3.616150365814974e-07	1.7917747641149617e-07	2.6022698307315295e-07	2.1274516370795027e-07	1.4018809224580764e-07	0.0012220116332173347	4.901693841929955e-07	8.49366657007522e-08	5.58673569628354e-08	9.159481351161958e-08	0.004086157772690058	3.137192550184409e-07	2.2329898285988747e-07	5.9699276633295995e-09	1.2585590525304724e-07
AC133644.2	2.3392931325361133e-05	2.6785812224261463e-05	4.762981552630663e-05	1.9252693164162338e-06	2.3976101147127338e-05	2.8872934763057856e-06	5.83394430577755e-05	0.0028232464101165533	0.0001722412125673145	3.720382437677472e-06	6.459162591454515e-07	1.218617057929805e-06	2.8695301352854585e-06	3.192671556462301e-06	5.565426818066044e-06	0.0003712171164806932	3.692375685204752e-06	4.965525477018673e-06	0.00011880489910254255	6.76280524203321e-06	3.6828656448051333e-05	2.031381882261485e-06	2.6588790206005797e-05	9.270862392440904e-06	1.7638732970226556e-05	3.106224176008254e-05	5.562109799939208e-05	3.341261844980181e-08	8.299307410197798e-06
AC233755.1	4.531158083409537e-06	2.591965255760442e-07	3.1733815575307744e-08	6.404132477655367e-07	1.1999976834431436e-07	4.5671362158827833e-07	7.952707647973511e-08	4.940389430885261e-07	4.867846996603475e-07	1.545734420460576e-07	7.507245300075738e-06	5.712817028324935e-07	2.4330267933692085e-07	5.042272732680431e-07	6.162023282740847e-07	7.506682919711238e-08	1.0170592901204145e-07	1.1471741601098984e-07	6.770164304725768e-07	0.036118604242801666	6.773918670432977e-08	5.532683644560166e-08	2.2948563582758652e-07	1.1633539998001652e-07	3.966789154219441e-05	4.584203736612835e-07	9.274257308788947e-07	4.285832488903907e-08	5.4061878529410023e-08
AC245100.1	0.00013321310689207166	0.00018794297648128122	1.8799597967245063e-07	3.4071257687173784e-05	2.8598647986655124e-05	4.2396539356559515e-05	2.946503445855342e-05	0.000429558043833822	3.339252361911349e-05	0.00010881955677177757	0.0004918088670819998	1.3338777534954716e-05	7.827609806554392e-05	3.098374872934073e-05	6.009704520693049e-05	0.0004444782098289579	2.951389797090087e-05	3.376075983396731e-05	0.000587706221267581	2.1468638806254603e-05	3.7146259273868054e-05	8.559183015677263e-07	0.0009818015387281775	0.00068261957494542	1.1007432476617396e-05	0.00043678819201886654	0.0007472201250493526	7.88124179962324e-06	0.00011801254004240036
ACACB	1.7836095139500685e-05	7.216907761176117e-06	0.000570720003452152	0.0006778778624720871	0.0002460330433677882	0.0008809607243165374	0.00011369853746145964	3.712822945090011e-05	6.696363470837241e-06	3.2426134566776454e-05	3.527498120092787e-05	0.00045345909893512726	6.376552482834086e-05	1.3537504855776206e-05	6.296403171290876e-06	3.421903966227546e-05	1.5615315760442172e-06	9.971406689146534e-05	0.00026200077263638377	4.8038426029961556e-05	1.4046334399608895e-05	0.0004424209473654628	0.00013847087393514812	2.5165642000501975e-05	3.610563726397231e-05	0.00022840836027171463	5.410874291555956e-05	4.816830551135354e-05	2.0531975678750314e-05
ACAT2	0.0001527865679236129	0.0005153409438207746	2.6493917175685056e-05	0.00013660923286806792	2.8824086257372983e-05	6.248047429835424e-05	0.0001635061635170132	0.0003524264902807772	0.0004125900741200894	0.00035025840043090284	0.00020706818031612784	2.3283895643544383e-05	0.0005324630765244365	0.0001484736567363143	0.0007280164863914251	0.00040583504596725106	0.0006773605127818882	0.0001228328183060512	0.0008208684739656746	7.786502101225778e-05	9.926025086315349e-05	9.291932656196877e-05	0.00038473226595669985	0.0004201170813757926	5.3417199524119496e-05	5.511342897079885e-05	0.0002012924524024129	0.00018835799710359424	0.00018506479682400823
ACE	1.4344038390845526e-05	5.802690338896355e-06	0.002038338454440236	3.1919331377139315e-05	0.00014537696551997215	1.0308199307473842e-05	6.889841642987449e-06	7.820591463314486e-07	0.00012201510980958119	5.499991402757587e-06	1.1819074643426575e-06	3.511890099616721e-05	1.6940725799940992e-06	3.2746764190960675e-05	3.254756666137837e-05	7.5867478699365165e-06	3.4240247259731404e-06	1.6053167200880125e-05	1.3290186871017795e-05	1.7380914869136177e-05	0.00016718560073059052	0.00010078499326482415	0.0001050948048941791	1.1416565939725842e-05	1.1566986358957365e-05	2.6565544430923183e-06	2.4534726890124148e-06	2.0347193640191108e-05	5.341887299437076e-05
ACER3	2.9270264349179342e-05	5.346960460883565e-05	0.00023767206585034728	0.00019479775801301003	0.00015626571257598698	0.0005120776477269828	0.00028109693084843457	0.00012107229849789292	4.310855729272589e-05	8.142170554492623e-05	0.0001673833467066288	3.2455529435537755e-05	0.00033554481342434883	0.00011309665569569916	5.9469282859936357e-05	0.0002575941034592688	0.00012461420556064695	0.00016430178948212415	0.0001873008004622534	3.120397013844922e-05	0.0005188651266507804	0.0002495593798812479	0.00013989204308018088	0.0004636091471184045	8.097352110780776e-05	0.00020535654039122164	0.00013572591706179082	0.00010135313641512766	0.0010241016279906034
ACKR1	1.9485456505208276e-05	7.230319738482649e-07	6.959577149245888e-06	3.43710053130053e-06	5.092330184197635e-07	2.09142990570399e-06	8.420876156378654e-07	1.4700657402499928e-07	2.6987634100805735e-06	5.820977548864903e-06	2.709379032239667e-06	2.0975164716219297e-06	3.6410692700883374e-06	1.007423406917951e-06	2.6302795959054492e-06	2.4560154088248964e-06	8.136449736184659e-08	5.489873728947714e-07	2.0283262074372033e-06	5.9385311033111066e-06	1.434221843510386e-07	0.002488482743501663	2.7511759981280193e-06	6.189997066030628e-07	8.10218921287742e-07	1.8430985164741287e-06	3.324811075344769e-07	2.338611260199741e-08	3.638878069978091e-07
ACOT7	2.5370494768139906e-05	0.00011516626545926556	0.0002554940292611718	9.75865259533748e-06	7.467978866770864e-05	6.977988050493877e-06	4.039739360450767e-05	0.0005864871782250702	5.8714893384603783e-05	0.0002054753276752308	5.2168275033182e-06	8.131397407851182e-06	0.00046260765520855784	0.00010215727525064722	0.00024333670444320887	0.000321835745126009	0.0006885711336508393	3.662263407022692e-05	9.75582079263404e-05	2.9179518605815247e-05	0.00010174726776313037	5.844576298841275e-05	5.412463360698894e-05	0.00030663207871839404	4.876126695307903e-05	0.0001081113878171891	0.00021946684864815325	2.7048115953220986e-05	0.001380928442813456
ACP5	0.0008002599934116006	0.00022076362802181393	1.0285810958521324e-06	0.0003955537104047835	1.4633983482781332e-05	0.00044702825834974647	6.608304101973772e-05	0.001331126200966537	1.0752890375442803e-05	1.694545426289551e-05	0.0006858731503598392	0.0002089665358653292	3.402573202038184e-05	4.0984000406751875e-06	7.99388453742722e-06	0.0005360331269912422	3.680768713820726e-05	0.00021611529518850148	0.0001834780559875071	5.5397664254996926e-05	0.0009864986641332507	3.6138194445811678e-06	9.866013715509325e-05	0.0001762948522809893	8.52293596835807e-05	0.0003873166861012578	0.0002729482075665146	0.00014201861631590873	0.0002634557313285768
ACSL1	0.00016931339632719755	7.322867895709351e-05	8.373670425498858e-05	5.055937072029337e-05	0.00022125297982711345	0.0001628790923859924	0.00012538906594272703	0.00028766493778675795	0.0001888952247099951	2.1564517737715505e-05	0.00015588126552756876	6.501727511931676e-06	1.622719173610676e-05	0.00020176688849460334	5.310746928444132e-05	0.00033140540472231805	0.0001418401370756328	0.00014227013161871582	0.00014039943926036358	2.481016235833522e-05	0.0006053184042684734	4.643192369258031e-06	4.107294444111176e-05	6.615361053263769e-05	1.7517675587441772e-05	0.00018199581245426089	6.868473428767174e-05	0.000330876064253971	5.810360107716406e-06
ACSL3	0.00029170780908316374	0.00022009896929375827	0.0002732352586463094	0.00022944137162994593	0.0002501616545487195	0.0021116482093930244	0.00017324047803413123	0.00016583102114964277	0.0001242059370269999	6.326762377284467e-05	0.00022540446661878377	0.00016127595154102892	5.044725548941642e-05	0.00034133746521547437	7.006444502621889e-05	0.0002692965790629387	0.00015351828187704086	0.00024215798475779593	0.00048010770115070045	3.538186865625903e-05	0.00025457641459070146	0.00012813509965781122	0.0002589458308648318	0.00022271381749305874	0.00012229185085743666	0.0002468063903506845	0.00016261139535345137	0.0014907591976225376	0.00021512717648874968
