Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16
ACTG2	8.985282329376787e-05	1.1912026565141787e-07	2.570104697952047e-05	4.366040229797363e-06	1.5056853044370655e-05	7.087907505365365e-08	7.4396284617250785e-06	1.5689451174694113e-05	0.011085192672908306	7.373339030891657e-06	2.2639437702309806e-06	0.00036285462556406856	1.8395110146229854e-07	1.4559756891685538e-05	2.7229016268393025e-06	2.888615711071907e-07
ACTN1	0.00011669524246826768	0.0002446735161356628	0.0003001842414960265	0.00014847856073174626	9.01101520867087e-06	0.00017782316717784852	1.1010584785253741e-05	0.0003266253334004432	0.003907289821654558	7.269925845321268e-05	1.3053924703854136e-05	0.000916331191547215	0.0012963172048330307	1.2538152077468112e-05	0.0013468919787555933	0.0003368896432220936
ACTR3	0.0005753643345087767	0.00017908796144183725	0.0001515308249508962	0.0011344589293003082	0.00023598954430781305	0.0002990501234307885	0.0010659536346793175	0.00031884858617559075	0.00044039401109330356	0.0002894060453400016	0.0008287405944429338	0.0003431524382904172	0.00025512930005788803	0.0013874010182917118	0.0002863526460714638	0.0007166682626120746
ACVRL1	5.623209062832757e-07	2.900014806073159e-06	0.0007791704847477376	2.708686110963754e-07	4.426300165505381e-06	0.0019207182340323925	6.475967779806524e-07	2.2653021858332067e-07	1.6323509044013917e-05	2.263859823870007e-05	1.577930925122928e-05	0.0001947128912433982	0.0005818188656121492	5.476729825204529e-07	0.0002461606345605105	0.00010959260544041172
ACYP1	0.0006665972177870572	0.00022535081370733678	0.00023788026010151953	0.00033875039662234485	5.847823558724485e-05	4.574854392558336e-05	0.0002054261858575046	0.00021252331498544663	0.00036558869760483503	0.00010846069199033082	0.00010754554386949167	0.0002653764677233994	0.0001959200162673369	0.00038619848783127964	6.679591751890257e-05	4.645390799851157e-05
ADAM12	1.2274162145331502e-05	1.0168709195568226e-05	0.0003487245994620025	1.9279130356153473e-05	4.5027327360003255e-06	9.1241514610374e-07	6.173628207761794e-06	6.217818508957862e-07	2.5882833142532036e-05	5.6117773056030273e-05	0.00034869418595917523	6.717614451190457e-05	1.6771710988905397e-06	1.7968275642488152e-05	0.001726579968817532	1.1748866199923214e-05
ADAM15	0.00027781861717812717	0.0005186842172406614	9.628741827327758e-05	7.982207171153277e-05	6.594158912776038e-05	0.001658888068050146	3.586285674828105e-05	0.00046265890705399215	0.0005023182020522654	9.130186663242057e-05	2.9733608243986964e-05	6.747833685949445e-05	0.001748536480590701	9.215664613293484e-05	7.990680023794994e-05	0.00016426327056251466
ADAM19	4.895793608739041e-05	4.0672543946129736e-06	2.551319994381629e-05	0.00023282042820937932	0.0003776710364036262	9.856786346063018e-05	0.0008726874366402626	4.507980975176906e-07	1.6943564332905225e-05	0.00017717199807520956	2.069179117825115e-06	0.00010329166980227455	2.704270627873484e-06	0.000498344365041703	0.0002281488705193624	6.19565398665145e-05
ADAM28	4.525796612142585e-06	1.5986037396942265e-05	1.4181795222611981e-06	2.3538591449323576e-06	0.0002635331475175917	3.4757175626509706e-07	0.002160724950954318	2.201366442022845e-06	2.3063214484864147e-06	0.00017925443535204977	5.038154631620273e-05	5.903669375584286e-07	2.82139694718353e-06	2.8137354092905298e-05	9.979671631299425e-07	0.0003868427884299308
ADAM33	4.233939137066045e-07	6.976264558034018e-06	0.0012036431580781937	3.357392586167407e-07	2.834295628417749e-06	3.901327261246479e-07	1.2480833220251952e-06	5.1626127373083364e-08	5.1392780733294785e-06	3.530387402861379e-05	1.3000203580304515e-06	9.984082862501964e-05	9.210109510604525e-07	2.62412214624419e-07	0.0004865129594691098	7.498543368456012e-07
ADAM8	3.0840354156680405e-05	0.00018587641534395516	3.109850922555779e-06	0.000543269794434309	5.979603884043172e-05	1.573647523400723e-06	0.00037809499190188944	5.163156401977176e-06	5.583063739322824e-06	0.00010089488932862878	1.813702874642331e-05	2.9500470191123895e-06	6.141062385722762e-06	0.0009267039713449776	5.909166247874964e-06	0.000581251282710582
