Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17
ADAM12	3.3579869977984345e-06	3.7011784570495365e-06	0.00013971775479149073	0.0011636695126071572	1.5870413335505873e-05	9.245526598533615e-06	0.00036754048778675497	1.970839912246447e-05	0.0021290478762239218	5.770655843662098e-05	2.4853665308910422e-05	2.7894816412299406e-06	1.426834842277458e-06	1.789158341125585e-05	6.305283750407398e-05	4.6318226054609113e-07	6.506119098048657e-05
ADAM15	6.173652946017683e-05	9.412006329512224e-05	1.50136311276583e-05	5.193428660277277e-05	0.0003670019214041531	0.00019868396339006722	0.0002507699537090957	8.69967698235996e-05	0.0001536281342850998	7.311296940315515e-05	0.0001752985845087096	7.249237387441099e-05	0.000530116492882371	7.03743498888798e-05	6.178977491799742e-05	0.0017186615150421858	0.00012493830581661314
ADAM19	0.0003426824987400323	0.00039626043871976435	0.0005998326814733446	0.00010414354619570076	1.3974218745715916e-05	5.663199317496037e-06	3.959575406042859e-05	0.0008368475828319788	0.0003715263737831265	8.889781747711822e-05	8.80285460880259e-06	0.00016770004003774375	1.1813111910896623e-07	0.00011286604421911761	3.932913386961445e-05	6.644646055065095e-05	0.0006449302309192717
ADAM28	0.00024262497026938945	0.001337262918241322	0.0017712329281494021	8.910340625334356e-07	1.3715488194065983e-06	3.3692831493681297e-06	3.959597506764112e-06	3.8253507227636874e-05	1.6391657027270412e-06	3.837048438981583e-07	0.00012384861474856734	7.030070992186666e-05	5.505643002834404e-06	6.975154974497855e-06	3.231774826417677e-05	7.253491958181257e-07	1.0012880920839962e-05
ADAM33	1.7167670876006014e-06	1.7723697283145157e-06	6.595163313249941e-07	0.00019599539518821985	7.761759093227738e-07	8.177091217476118e-07	0.0017547872848808765	3.2518195780539827e-07	0.0012639230117201805	7.854286377551034e-05	1.5235625596687896e-06	2.501292328815907e-07	4.979525058956824e-08	3.382538693585957e-07	4.38629649579525e-05	3.480905093056208e-07	4.1745937551240786e-07
ADAM8	6.888555799378082e-05	0.0005757663166150451	9.385532757733017e-05	1.167629420706362e-06	1.5102465113159269e-05	1.6431831681984477e-05	1.0445403859193902e-05	0.0007744375034235418	2.318419501534663e-05	2.7738308290281566e-06	0.0006041978485882282	0.0012514820555225015	2.1762532924185507e-05	0.0004530491423793137	2.3974231226020493e-05	2.6553818770480575e-06	0.0004109454166609794
ADAMDEC1	4.2336338879067625e-07	0.0001749898074194789	1.0507986871743924e-06	4.136308689339785e-06	8.857848001753155e-07	3.072413505833538e-07	1.2037235137540847e-06	1.2075280437784386e-06	1.6666335795889609e-06	2.89910360606882e-07	0.0006455633556470275	1.0296727168679354e-06	1.703248564410842e-08	7.246571698260595e-08	9.88425085779454e-07	1.2815459626835946e-07	3.4884223509834555e-07
ADAMTS1	7.529455956500897e-07	2.928045716998895e-07	3.869591864713584e-07	2.771131221379619e-05	1.0995394177371054e-06	1.2477811424105312e-06	0.0008935541845858097	1.2662920880757156e-06	9.563496860209852e-05	0.0005483045242726803	1.9178919501428027e-06	1.2459639947337564e-05	3.743448132809135e-06	1.5876128145464463e-06	0.00024768017465248704	0.0007868858519941568	1.953080612793201e-07
ADAMTS10	6.078975729906233e-06	1.174081535282312e-05	1.3826364011038095e-05	0.00011890976020367816	1.734032412059605e-05	1.5111168067960534e-05	0.00019663103739731014	3.9164249756140634e-05	0.0008094238582998514	0.0004344264161773026	3.992436177213676e-05	0.00010653943172656	1.9355878976057284e-05	7.889784319559112e-05	0.0001228851906489581	0.0002912674390245229	5.739647167501971e-05
ADAMTS12	1.5736322893644683e-06	4.508188453655748e-07	3.778025359224557e-07	0.0008641286403872073	5.003602382203098e-06	2.9660286600119434e-06	0.00013158537331037223	4.174032142145734e-07	0.0020832170266658068	0.0003562566125765443	8.462276355203358e-07	3.6595497476810124e-07	3.1096330985747045e-06	8.822074732961482e-07	3.340177136124112e-05	5.499815642906469e-07	4.1334624256705865e-06
ADAMTS2	2.310869831489981e-06	1.8231741023555514e-06	5.61944261789904e-07	0.0011863543186336756	1.7027576177497394e-05	1.6869897081051022e-05	4.4540443923324347e-05	9.340493534182315e-07	0.0020062937401235104	0.00020166547619737685	5.947365934844129e-06	5.636069886350015e-07	5.537036713576526e-07	5.870076620340114e-07	7.184948117355816e-06	2.9091137321302085e-07	7.074368568282807e-06
ADAMTS4	6.713405582559062e-06	1.6743671267249738e-06	1.555310154799372e-05	0.00028157830820418894	0.0001854247966548428	2.5717515654832823e-06	3.6477813409874216e-05	2.4670328002684982e-06	0.0004699406854342669	0.0008997452678158879	7.617061783093959e-06	7.315543371078093e-06	1.0156982170883566e-05	6.650762315985048e-06	4.589521722664358e-06	0.0005593078676611185	3.7879647152294638e-06
ADAMTS9	4.83592202726868e-07	1.9719951183105877e-07	3.186046342307236e-07	1.832549969549291e-05	1.5044925930851605e-05	5.463948014039488e-07	6.242799281608313e-05	2.1757635693120392e-07	7.114020991139114e-05	0.0003537658485583961	6.056987444935658e-07	2.3092751177955506e-07	2.4080321736619226e-07	1.5138130038394593e-07	2.3665801563765854e-05	0.000922689912840724	2.4679061993992946e-07
ADAMTS9-AS2	1.0288798648616648e-06	1.6254847423624597e-07	2.920541248840891e-07	0.00010551166633376852	5.568134611166897e-07	4.4541565102917957e-07	0.001034948043525219	1.3945896171208005e-07	0.0004062707594130188	0.0008586811600252986	1.1245078894717153e-06	1.0218703749842462e-07	8.242254523338488e-08	1.1328059201787255e-07	0.0005487835733219981	0.00018364460265729576	1.908404527739549e-07
ADAMTSL1	9.222385415341705e-07	3.1539298106508795e-07	2.3803919191323075e-07	0.00014013309555593878	1.0737882121247821e-06	1.603201667421672e-06	0.00022102140064816922	2.0617248708276747e-07	0.0006495785200968385	4.43865047827785e-07	6.432173336179403e-07	1.8029781756467855e-07	1.1278709877160509e-07	1.683187491607896e-07	4.098956196685322e-06	0.0009055430418811738	4.065157952481968e-07
ADAP2	2.5750276108738035e-05	0.000516197644174099	1.5734683984192088e-05	1.685433744569309e-06	8.777670927884174e-07	2.4001928977668285e-06	5.120478363096481e-06	5.3313128773879725e-06	6.603010660910513e-06	0.0007619933458045125	0.0023089912720024586	5.1503971008060034e-06	3.264480938014458e-06	1.3225512702774722e-05	5.9899639381910674e-06	1.7728586954035563e-06	4.984919542039279e-06
ADCY3	1.7938518794835545e-05	0.0001249469059985131	0.00020455612684600055	0.00014527358871418983	9.179956396110356e-05	3.0202527341316454e-05	0.0010172639740630984	5.377832712838426e-05	0.000399014912545681	0.0009945225901901722	0.00014798522170167416	0.00024013475922401994	6.48491868560086e-06	2.0611592844943516e-05	0.0002317688486073166	2.3216478439280763e-05	0.000453160289907828
ADCY4	5.1832603276125155e-06	2.071386461466318e-06	9.20744423638098e-06	1.6101148503366858e-06	8.579107998230029e-06	7.773706784064416e-06	0.0006422572769224644	7.995923624548595e-06	2.3796132154529914e-05	0.0002474498760420829	3.0191831683623604e-05	1.4449746231548488e-05	8.881884423317388e-05	4.845390867558308e-05	2.9938126317574643e-05	0.0019456044537946582	4.209059625281952e-06
ADCY7	0.00011571416689548641	0.0005334018496796489	0.0003209616697859019	0.000134759015054442	3.796581586357206e-05	9.757322004588787e-06	1.2866578799730632e-05	0.0006861590081825852	0.0003208788111805916	1.3012655699640163e-06	0.00047439392074011266	0.0008087531896308064	9.383443853039353e-07	0.00026361318305134773	1.0725221727625467e-05	5.009900178265525e-06	0.0003548033128026873
ADCYAP1	1.7314535227797023e-07	7.639864918473904e-08	5.5199187443122355e-08	3.389154556998619e-08	6.764891224975145e-08	3.434430695392621e-08	3.363446410276083e-07	5.560669791293549e-08	5.979967454550206e-08	6.98837467894009e-08	3.718338348335237e-08	3.085920496914696e-08	3.891023503399538e-09	1.771687330176519e-08	1.7958808484763722e-07	3.289442318532565e-08	5.5339988591640576e-08
ADGRA2	6.010417564539239e-06	7.730277502560057e-07	9.031827516992053e-07	0.0005471350741572678	2.2415983949031215e-06	5.273600891086971e-06	0.0021273628808557987	4.296223039546021e-07	0.0011817854829132557	0.001053242594935	4.422746314958204e-06	6.284236633291584e-07	1.3767080986326619e-07	5.453267135635542e-07	0.00020608222985174507	0.00028392497915774584	6.512484560516896e-07
