	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
B	0.0037758595778478385	0.002853053541094535	0.0027185942196180967	0.009923511029189796	0.007626736704809022	0.0011279462925768715	0.5045934189550847	0.0024950812405811467	0.004180830288677224	0.002092285752479107	0.00228422532843695	0.0008089231414610943	0.001738291220545576	0.006494679502087561	0.0007770580175764741	0.011707165425046621
CD4Tconv	0.03807200350814212	0.04448280247586629	0.01991671379386857	1.3073211130948912	0.00645135670502069	0.011146540038341625	0.02724146376731802	0.03587574704221093	0.04722718553646744	0.012895625416585095	0.010516845782135553	0.008305875263455227	0.01601887735247683	0.511878838148439	0.017538726847043093	0.014123903886870197
CD8Tex	0.03772289369267706	0.00781887155374024	0.005290947986100859	0.47951743299683397	0.0016152807928531817	0.0035660084951518985	0.013052746316635472	0.012012270866020169	0.01131221048797732	0.004058177988301587	0.00671055372425212	0.00280230969949137	0.005660640075640944	0.78351823540614	0.003012779003305072	0.008241233155002602
Endothelial	0.008224995247769814	0.0100682311407572	0.010793580644748498	0.012201639533201993	0.00028385307001834435	0.5352647067685752	0.001840692871870196	0.012106437580166298	0.0076139765190905645	0.0038650889693780453	0.0010341438991824782	0.0064455204849950196	0.5335585481362813	0.00542947499600738	0.0038446979208181	0.0034205284165048267
Fibroblasts	0.0059872057888993606	0.02923362106124094	1.0468950052812762	0.024061886593959154	0.0009756215264204208	0.008177480390573463	0.0016897551968949563	0.03544027885248244	0.038299188552843595	0.0011696892791239356	0.0026001354993182226	0.02537931356610556	0.0052328546138970386	0.01002448724816178	1.204398224836782	0.007886338685880245
Malignant	0.1896870908294519	2.112083481838539	0.09136234085338653	0.04092821822173867	0.004882247769725981	0.016140566042450878	0.010203342862405755	2.033427366466115	1.9248724516881144	0.001703424878657935	0.009132107557669938	0.0277100942092961	0.024531386547137025	0.018497448468227904	0.05079713963714858	0.018509745315518918
Mast	0.0012974532085304998	0.00031653156454464817	0.00042793386542893644	0.004232055097387581	4.732812571658801e-05	8.93195052054937e-05	0.0007722652542468315	0.0015090866850316804	0.0004720557074130848	8.947748771555693e-05	0.10482674409983557	7.798270373539321e-05	0.0002605651023409693	0.00216936305035713	0.00036344915708334043	0.0038705969253043106
Mono/Macro	0.022223793115736627	0.00645108279522512	0.0040240098068433	0.024482618979982825	0.0006430420212628138	0.0030150005079462297	0.023475984289996404	0.012839086330639533	0.006090568121208801	0.0004225435562350117	0.0013014163299259246	0.0013792736778078416	0.002535746860748061	0.012747312801204077	0.003272810914786157	0.7452504926102219
Myofibroblasts	0.0029449693090526996	0.005351073955439334	0.05253716959827952	0.005822072563844759	0.0013634949016921797	0.002401664848372096	0.00042223229992486763	0.0063562642400039485	0.025784825064516393	0.0014017429669829831	0.0003190368395260713	0.2973800366837214	0.002299250832935039	0.0026761600256648313	0.02688665356011615	0.0008404596140149866
Plasma	0.00225131572749179	0.0016705136526518087	0.000996867072931548	0.00662946264629687	0.3092921859804949	0.0011045546878228505	0.0036498954669872013	0.00306452941904557	0.004211894808653015	0.3207752438397813	0.0003842440999182443	0.0002458454102194904	0.00040396948994738036	0.004937212405311037	0.0011998690499632884	0.0011816522330363817
Tprolif	0.1418483515954153	0.0006318400520866787	0.0006376028037432587	0.005962631001803933	0.008597577970967727	0.000576358797226787	0.004585901374840592	0.0007707312668685279	0.000421523369824344	0.0026069653801928873	0.00048660062116869565	0.0014136166984806456	0.00036428698316534765	0.04441334035609642	0.001609966990888489	0.00174872086431635
