Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13
ABI3BP	9.789006981009152e-06	1.1636886938504176e-06	2.8220349577168236e-06	1.2039507168992714e-07	0.001758488011546433	6.129050689196447e-06	8.9488946741767e-07	2.829367758749868e-06	6.010521246935241e-05	0.00017704381025396287	0.0004845319490414113	7.556905643468781e-07	2.12552620837414e-07
ABLIM1	0.00010012789425672963	3.543358252500184e-05	0.0008349098498001695	2.762781150522642e-05	0.00025815563276410103	0.0006425320752896369	8.128076842695009e-06	0.000338276062393561	1.945020085258875e-05	8.082232852757443e-06	0.0001587026781635359	6.08801819907967e-05	0.00045041361590847373
ABLIM3	0.0001476962788728997	8.258429602392425e-07	2.483361186023103e-06	8.594404789619148e-06	0.00010992070019710809	0.000610874209087342	4.051845462527126e-05	3.066922715788678e-07	2.103755650750827e-05	3.7217935187072726e-06	6.0270100220805034e-05	3.6227214650352835e-07	5.09570554640959e-07
AC004791.2	3.851322105674626e-08	8.247495486557455e-08	3.412791116375047e-08	6.057786716695546e-09	1.1538850230863318e-07	7.847152261319934e-08	4.707537470949319e-08	0.0018821604317054152	1.0252565374457845e-07	6.732853563562458e-08	1.3788837804895593e-07	1.0879832501586861e-07	2.3491507405992706e-08
AC013461.1	2.711962406465318e-05	0.00019668777531478554	6.923531327629462e-05	6.809079786762595e-05	0.0004713269881904125	0.00014602580631617457	0.00020960798428859562	5.5444386816816404e-05	0.001863179262727499	0.00026729691307991743	0.0003118232707493007	6.14982345723547e-05	2.7346517526893876e-05
AC017002.1	7.931637924230017e-08	3.2126030419021845e-05	1.2776517621659877e-07	3.547103943901675e-08	1.3871758710592985e-05	2.910476723627653e-05	1.096732376026921e-05	2.8234635465196334e-05	6.829250651207985e-06	3.0092121960478835e-05	1.806481486710254e-05	7.915818969195243e-07	0.00041758466977626085
AC020571.3	0.0013457047753036022	2.1676776668755338e-05	0.000815046951174736	8.24512098915875e-05	4.816098226001486e-06	3.0491983693536895e-07	1.7238712644029874e-06	0.001521867816336453	3.8236271393543575e-06	2.2906129743205383e-05	4.047633774462156e-05	3.034863539141952e-06	0.00028009770903736353
AC079767.4	7.822488612418965e-08	1.6913199374357646e-07	1.2260855328349862e-05	9.722732130512668e-08	4.305047411889973e-07	1.270401668307386e-07	0.00025728315813466907	1.6479154510307126e-05	1.2212608169193118e-07	9.247596466366304e-08	3.2265873528558586e-07	0.0019210090395063162	4.09541001999969e-07
AC092580.4	5.114799819239124e-07	9.116192086366937e-05	1.1611023182922509e-06	4.403164055588604e-08	3.416942035983084e-07	1.40975814133526e-07	7.895916382949508e-07	0.0003982511698268354	6.646413339694845e-07	4.825119503948372e-07	2.8711784239021654e-07	1.5673947473260341e-06	0.0007628265302628279
AC093642.3	1.210415121022379e-06	3.1259266961569665e-06	7.917945185909048e-05	0.001108295633457601	2.2864501261210535e-06	2.173973143726471e-07	4.392787559481803e-06	3.006863516930025e-05	9.495195030240211e-08	5.7151474663896806e-08	8.872630132827908e-05	3.1353479812423757e-07	1.2643163245229516e-05
AC093818.1	8.476876246277243e-06	2.5780112991924398e-05	0.00010171133180847391	4.888619059784105e-06	1.7126646980614169e-06	0.00015377331874333322	6.840222340542823e-05	0.00011325042578391731	2.7455312192614656e-06	3.646375625976361e-05	1.9261997294961475e-06	0.0013769130455330014	0.0003220913640689105
