	0	1	2	3	4	5	6	7	8	9	10
B	0.0007461635933248866	0.011219559456642566	0.003144347218911121	0.001287031327566345	0.005750861027125611	0.001739907996485691	0.023944646869006075	0.013222003036618525	0.2720369429120679	0.0007312968699678256	0.09111365558008039
CD4Tconv	0.009470015776619978	0.007709032777592349	0.009993899228037128	0.01176138412998294	0.0396235003209745	0.02575685881049636	0.9552222121021183	0.016546349547125933	0.012362577796982244	0.01845796349565782	0.3991831174962164
CD8Tex	0.0035092638046731097	0.0025868474856100753	0.003491377398718009	0.003936917403540873	0.05547371022310623	0.005718923415895849	0.6629960518284245	0.01530864838848224	0.005312653822637087	0.003773745942199923	0.13676310523349935
Endothelial	0.007747767461153861	0.00039054105576489026	0.0011819778213064585	0.5298342378275469	0.0077679900652294015	0.006247838513237047	0.007478169534876037	0.003751518777950567	0.0010503164350800626	0.004691771927856832	0.06025061318652367
Fibroblasts	0.0870095528893216	0.0011630363399692284	0.001911695798701353	0.008585765826546481	0.006373573752146297	0.011979252744200843	0.00868218371781139	0.009414260507863606	0.00135306158774083	1.207718255907476	0.20697906435738797
Malignant	0.08970227536994387	0.0075806184459886765	0.0034791423094416903	0.0403630261632655	0.19352408793978162	2.2056098099052748	0.026446009275744555	0.024135646974616558	0.007786099340630489	0.08453193881411664	0.2644039990959023
Mast	0.0002067159971885679	4.319157996947227e-05	0.0002515474799005149	0.0004961587308491955	0.0011545338795813601	0.0006075461586227237	0.0022506284311174405	0.013373238182387085	0.051743350797686105	0.0007780903882777615	0.006914577008628914
Mono/Macro	0.001578893772190807	0.0007591472704607103	0.0013261126393060863	0.0028416201823684224	0.020567610429574765	0.005303026227257711	0.01283429037810513	0.6638034501488336	0.005398946151171497	0.0032099864998997195	0.06060890248485383
Myofibroblasts	0.2741928815922008	0.0014144998654971055	0.0004558630553549432	0.0016904813134685072	0.002906228539037992	0.002091030016439704	0.0019281943246275285	0.0008446282066310774	0.0002598380936271229	0.02062255940284082	0.020136576372602733
Plasma	0.0004265836200510169	0.30611038535539764	0.3195993035223074	0.0007413833595508012	0.002005902370671184	0.001818308660387818	0.005682453524054913	0.0008022495974011126	0.0007437899412585021	0.001173327808504716	0.005351612978978716
Tprolif	0.0012924929211683125	0.008864297407478386	0.0040581924231384535	0.00046306103629007014	0.14004929109648512	0.0005513727022134772	0.019939919225655283	0.0017929830122563252	0.0021213771565475608	0.0013206640060913712	0.0035359169848816125
