	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
B	0.0007681918452148947	0.0292541293275512	0.0046981437016789165	0.014984954968385079	0.1099192643775869	0.00279092049411568	0.0018557744722869944	0.0011649853918051412	0.001248599830277565	0.008658830059837261	0.044970687289712624	0.012006975780282456	0.005414634600133209	0.0018228379801308917	0.0006414704655659652	0.000874438352832509	0.001998454538140919	0.48951939052049614	0.0022978929114978635	0.004816226455818988	0.0033449270813059443	0.006507446041957561
CD4Tconv	0.00841998582985832	1.5569467699251085	0.036011241986589664	0.5266948678763094	0.91073574366085	0.030687429476577606	0.023300544649430342	0.007958212808347891	0.009466618097904488	0.08556757315497715	0.7703446964752614	0.013746534227517315	0.008067174733031209	0.016829072493973796	0.014132399845928107	0.007463254844270596	0.017510897197441238	0.018894741172854182	0.016358216408404586	0.00579605977330728	0.0370732955130499	0.06458151540359043
CD8Tex	0.0021918158689352885	0.36093323034884234	0.03869166343426114	0.8072330452555564	0.41229871467502993	0.009719315996042834	0.005258011598060086	0.005706211792734311	0.003525667223246632	0.02914364717892171	0.6041849767910041	0.009636994299079844	0.013828979509028822	0.004265016967315842	0.002137235052558958	0.0026084679425827494	0.009342628774164136	0.009030302600542533	0.007819147214589603	0.001502010948817054	0.015498971677343355	0.02369369035479937
Endothelial	0.007078163443570707	0.011080964052748693	0.00759523108555717	0.00490117957518477	0.009529004976575188	0.007731417885246598	0.007942988705934037	0.0007436299391208684	0.009769397221686864	0.01761307796818845	0.004771743112159914	0.003352963725816172	0.0014140322411676154	0.007767348098252378	0.003692661688298694	0.5392989498990907	0.004006196451057949	0.0018162042207747616	0.5331443001355339	0.0003611536765173541	0.021941512515356063	0.011797312865623407
Fibroblasts	0.052217680958773986	0.011892159932245327	0.005167156405244162	0.006460185959580179	0.019253913951336247	0.009276301444100944	0.014438645422146058	0.0016395632533805348	0.04041981062022221	0.09553968580004644	0.007423144970460228	0.006028732485463184	0.0020896585310399346	1.202911599882285	1.2563934590146864	0.006614803997745461	0.011799813908134612	0.0014475097431748613	0.005802513884563837	0.0007796858968392293	0.7801699685210004	0.015652821188042336
Malignant	0.015231363566051679	0.02739972107346561	0.1396475032647468	0.012073991189657383	0.06455643126007678	2.1804857070338954	2.194635331683421	0.0062047959456537054	0.08325538086305723	0.37583754989541257	0.03598708376232741	0.008972953277223496	0.0037964947051760786	0.04702460746124656	0.029945021107256418	0.017322712755708146	0.020141594437320443	0.004405432318580838	0.01836584603832834	0.0016660968214441234	0.33040331929998507	1.961362910653529
Mast	6.970413895313941e-05	0.003357991193358216	0.0007962468039990668	0.001510867208003916	0.0032013142530532366	0.0005555603152725651	0.0003103563227388653	0.10502928322336649	9.605626354684905e-05	0.06410765348440595	0.0036943065707202966	0.002642016334668786	0.021829771774383864	0.0003050921880374297	0.0002532034991338118	9.23331256525524e-05	0.005405254170008469	0.006245428424660853	0.00027921288075969666	2.3596025358526428e-05	0.001792638953512102	0.0010106117670483008
Mono/Macro	0.0014436339581016281	0.01095452375507752	0.020952038201460917	0.01361731842171605	0.03708175257296055	0.007407650678096157	0.004654234665738713	0.004158965899443231	0.0015466188133783614	0.017588213895462827	0.014173540145007752	0.7551769494749071	0.0007188388121093002	0.0023994868493797785	0.0024050004525397947	0.0026332206362233994	0.7451572308374388	0.014906538205846913	0.002374319388190673	0.0005974011241914271	0.013069556348017652	0.018635612483528827
Myofibroblasts	0.29119017107014683	0.002640727239383984	0.002659564537165586	0.0022286369750493347	0.0052889969752160535	0.002339151981934127	0.0037676398495430914	0.00015522238842833626	0.2848115868009229	0.007992742464607756	0.0011880730283809536	0.0006948795190593892	0.0001668420441818244	0.02725368527173042	0.019358837493451735	0.001362153512207528	0.0013273262013456882	0.0003695798197616578	0.0020220059910591756	0.0012538667049778558	0.058471854952212375	0.0027105186625660956
Plasma	0.0010170076758466689	0.00818608937147194	0.0026469338316274147	0.005775508707521396	0.008407200207563885	0.0016630608664377805	0.0009175993406346109	0.0003570870018882335	0.0004732940093251615	0.008850504962116859	0.007510574807959733	0.0010516265707473463	0.24637879152656925	0.0010187636006449522	0.0010729368897402648	0.0010197558111544227	0.0015451905977812517	0.0030013901800332978	0.0005805233007591212	0.31240899679519013	0.002660525210591828	0.008222159866834897
Tprolif	0.0018242476980354922	0.0030654935484590393	0.14663375129928	0.04000994069062088	0.0064861856287118415	0.0005258367629726238	0.0005889986363969484	0.0006398807210401213	0.0007712957737325246	0.0010889635001732467	0.028827798301399546	0.002488146046493925	0.0055947203266635635	0.0005223757739505656	0.0016239213952611254	0.00046166712892782075	0.0006205509367547011	0.003925691522307106	0.00045555770788755016	0.008166537847882294	0.001800179219710667	0.003164299129215387
