Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32
ABLIM3	2.988183950947132e-06	3.3825745049398392e-06	9.445902105653659e-05	2.774955305540061e-07	2.4868429591151653e-06	4.7624504077248275e-05	3.1627782846044283e-06	7.3048336162173655e-06	0.00027768441941589117	1.2922608220833354e-05	4.312000783102121e-07	1.5180808077275287e-05	0.00018594080756884068	8.414413969148882e-06	1.9531860573351878e-07	2.92699860438006e-05	2.8432634735509055e-06	1.7161565324386174e-07	3.964330244343728e-05	1.1540084415173624e-05	2.6399397029308602e-05	7.281895705091301e-06	3.4776367101585492e-06	8.737901225686073e-06	0.0019570854492485523	3.964882466789277e-07	2.7007208700524643e-05	4.9230907279707026e-06	7.891854693298228e-06	1.1183611604792532e-05	3.455848855082877e-05	3.9711471799819265e-07
AC004791.2	9.134485878803389e-08	6.552243547730541e-08	3.114371338597266e-07	1.4009424376126844e-07	1.3801831073578796e-06	3.397813372885139e-07	1.670064307290886e-06	5.660910460392188e-07	2.589870007341233e-08	1.7157347542706702e-08	2.5151623006536283e-08	4.672037619002367e-07	7.827551229411256e-08	9.376496564073022e-06	0.003546138759702444	6.075946657801978e-06	1.490819734328852e-08	5.32492130389528e-08	8.730581612326205e-06	2.6419631922180997e-06	1.783118790399385e-07	4.97850685121648e-08	9.454411156184506e-07	1.2737713106503179e-08	8.464726874990447e-08	3.4873828269610385e-08	9.21522678254405e-06	7.4161299323805e-08	3.83543738280423e-06	5.439364372250566e-07	3.2282330142408e-09	1.7905536608964212e-08
AC013461.1	0.00012338047963567078	5.866004721610807e-05	1.985794551728759e-05	1.6334644897142425e-05	5.260663965600543e-05	0.0001991308236028999	0.00021649822883773595	6.496318383142352e-05	9.688984573585913e-05	0.0002540525747463107	3.3431693736929446e-05	0.0004081042716279626	0.0005703113856725395	3.950053360313177e-05	1.4429531802306883e-05	7.095429464243352e-05	0.00011761435598600656	0.00010814201959874481	0.00023427665291819721	0.00018505581829231232	0.000334358453983441	0.0019346652552485466	1.4433133401325904e-05	3.805816959356889e-05	0.0002647773071657866	0.00017443412798456848	0.00011184669710928574	0.0005561324651353061	0.000389118620660156	0.0007864607032388449	5.831897215102799e-05	1.709231401036959e-05
AC017002.1	1.7993876610944426e-07	0.0020055556669831276	0.00015957119467202574	5.626505412692495e-07	1.941710252140183e-06	7.29706425772747e-06	1.2467959095374681e-05	1.7913924921231228e-06	3.5317701986059546e-05	2.0486570065259002e-05	0.00023550985497422516	7.179853014349646e-07	9.023887287185062e-06	5.561526450037491e-06	3.0803971640125383e-07	6.823790499765892e-06	5.913203793284083e-08	1.2783664260496153e-06	3.481630119495094e-05	4.178648850938771e-06	2.5760161292964767e-07	6.876536190247862e-06	2.274714233863051e-06	3.557889982630513e-08	1.3383787234033662e-07	3.8684229366481304e-05	1.0469813787494786e-05	4.868411906500114e-06	5.793027867184719e-06	2.1262418158585206e-05	1.1375811403979696e-08	7.572275353595614e-05
AC020571.3	3.2187697797780856e-05	0.00033984275069087744	0.00034487663651816547	4.0155074998438067e-07	2.8612889764190186e-06	5.161100489203818e-07	0.000178224261617288	0.02812476083636284	3.13774137339351e-07	3.4684446291066706e-05	0.0001624270953470841	3.885490968968952e-06	6.846056749054696e-06	6.900610969751142e-06	0.0034703672863543034	0.00010371518146712333	0.0002150067302864045	7.978590588209045e-07	2.5996969270636328e-05	5.061902811576147e-06	5.885594873689115e-07	4.371556769910967e-06	0.009001688100397587	7.182832632679492e-05	5.099015538689855e-07	2.0608653358067386e-05	2.383269020356238e-05	3.336585723445751e-05	2.0406969269970432e-05	8.855470241542207e-07	0.0001481024519307539	0.0007045782404020429
AC079767.4	3.5204917026021576e-07	9.907870435199584e-08	2.71283482788931e-07	1.9324059508107894e-07	2.2543815703102155e-06	0.0001194086653413251	3.7731510929006618e-06	6.632472491219232e-07	4.559785438118524e-08	5.957560844649379e-08	2.5669324443811092e-08	1.5846616179260309e-06	1.4022802474755736e-07	3.0100484309514286e-06	1.7576411437403294e-07	7.412952072627377e-06	6.167233834730723e-08	0.0020591660868376493	2.443479206704069e-05	5.5795590014895424e-06	5.496428912010742e-07	5.1487305086084234e-08	1.3859576029062737e-06	1.656235468772138e-07	1.875505120096932e-07	2.736037458817009e-07	1.2232763765496202e-05	1.8386950273452385e-07	7.473164259863552e-06	1.4421982541534817e-06	1.4111530610705358e-08	7.193871454092005e-08
AC092580.4	1.4738420759385917e-05	2.1250913050607778e-05	5.921666343056131e-06	2.2630158582614968e-06	4.869041731581092e-06	1.2630771095700766e-07	1.8086248019244522e-05	1.432614772056695e-05	6.206466451885717e-08	4.6549399002060454e-08	0.001821246580220759	1.8069440557155758e-06	2.810776607020671e-07	8.98159032658441e-06	2.397628406924923e-07	1.6965002942015417e-05	1.965081537491642e-07	9.361618822367745e-07	4.043484295834787e-05	5.451357083074981e-06	3.473478216164949e-07	2.1521047699479823e-07	2.4188575480366126e-06	5.385215828823675e-08	1.763682462296856e-07	5.107335528009571e-05	2.047921771008987e-05	1.202588123305759e-06	1.1708038073265925e-05	1.224101197294658e-06	2.1846716435902636e-08	0.00015976947906892747
AC093642.3	7.761980214127107e-08	6.029873134139052e-08	2.2184478609688085e-07	1.0383771353872362e-07	1.1396963373044855e-06	1.6296512583835465e-08	1.353540937998332e-06	4.5514568114413123e-07	2.3200387389010757e-08	7.04935155226849e-06	1.9162415654250253e-08	4.351703353222547e-07	6.20566495967978e-08	1.964945113286376e-06	4.841606937588949e-08	4.252255621395307e-06	1.5077963766430003e-08	1.890294333861675e-05	7.4591025622794405e-06	2.8535837373055983e-06	1.629028787419884e-07	4.234197703567588e-08	7.288202823474421e-07	5.300139491737355e-07	7.389287048908955e-08	1.8281119992025197e-05	7.291346264537424e-06	6.759341886208858e-08	3.391477321201819e-06	4.738809593618498e-07	0.0015170155093073845	2.0982803107472137e-05
AC093818.1	6.31966395303607e-05	0.0004264771705493331	9.098023292608559e-05	0.0038143866695463657	0.00033352943137288094	5.784602035419084e-05	9.922451135935262e-05	1.661501119087916e-05	0.0001455900346627459	3.2563368677074322e-06	0.0002666391956154257	1.3486947864294052e-05	1.2729976788250497e-06	0.0008007189608179033	7.93969229562208e-05	2.9382501452346332e-05	1.5180849914031569e-05	0.00011631673987722024	3.949469464714639e-05	6.979075806157198e-06	3.4072438666044036e-06	2.1008750650253205e-07	3.677744871311006e-06	1.250216428161366e-06	4.1756578866625205e-05	6.493971795862308e-06	9.417905675945804e-05	0.00013029501133132726	8.020894711080473e-06	0.0012856470420956612	2.9854786021132895e-07	0.0002446264261379838
AC104699.1	1.6156459992089367e-07	1.4924526681170391e-07	4.600334477800061e-07	0.004424000158905983	0.0027319565415382385	3.6426504834707885e-07	5.375134605856147e-06	8.479950679429749e-07	1.4856139785024425e-07	6.902364191319066e-08	3.4595650788560306e-08	6.069315077184001e-07	1.392718615988997e-07	0.00017894760821945965	9.579746347299078e-07	7.908111001597717e-06	2.7143796543782628e-08	0.0009588030516169965	1.5685749531257898e-05	2.999849812113098e-06	8.921302878661663e-07	8.080336044713476e-08	1.3396088434092235e-06	2.49246348005272e-08	8.800624584637262e-08	1.3731835224461975e-07	1.62982614710927e-05	1.583517246217525e-07	3.20707586070057e-05	9.34228808091575e-07	5.331392660679057e-09	2.3142835203771028e-08
AC133644.2	3.577527650122647e-06	0.004037407226860523	0.00012620199413504452	1.972650716197677e-05	8.248749509220943e-06	3.5850811400450766e-05	0.00012995974975638092	4.0718286982155405e-06	4.110301597393118e-05	2.7192241759621538e-05	0.00041397640598006546	3.988227490481222e-06	2.58113300333207e-06	9.783233508642297e-06	3.561479161362513e-06	1.8652950529940426e-05	1.8737287632575317e-07	1.4784741324547213e-06	2.700912045838777e-05	5.039804455009289e-05	1.4470004998656805e-06	4.409510438563302e-05	6.3117749959928915e-06	2.791015845104994e-07	1.451116759199067e-06	4.1949206206481904e-05	1.901057839859277e-05	2.3622187654837035e-05	2.275686347275041e-05	5.1319464546395466e-05	6.294671095474769e-08	0.00013540175859816372
AC233755.1	5.612853328784695e-07	4.855106112700014e-07	2.623339696583571e-07	2.218022564193234e-05	0.027242757380008698	1.760062495748116e-08	1.900310962810181e-06	5.112858616485028e-07	1.0765568276838167e-06	4.154571442427368e-08	9.425922939954035e-07	3.5445134471956408e-06	6.330244417540598e-08	2.054360265901778e-05	4.3667998284036e-07	6.1694340729445685e-06	1.1391270504645945e-07	6.125269464973826e-06	2.787354424071964e-05	2.2829690351500176e-06	3.9549425423501816e-07	1.5734910618903086e-07	1.0922107094302191e-06	1.9413317176031342e-08	7.551469138888933e-08	2.608624924960168e-07	1.2812884051527362e-05	6.4691953127749e-08	0.0008500359836034477	4.741817463127518e-07	4.558071697857713e-09	5.129594455866027e-07
AC245100.1	0.0006788170430809259	0.0002778953348752111	0.0005598653224296868	7.426353931805352e-06	7.225875015137717e-05	3.588330582715571e-05	8.722002530703321e-05	0.00023331676493398845	1.7232834181868384e-07	4.1498005884932354e-05	0.00055490288650617	0.0001712096418486908	3.2120464311446995e-05	4.67637692054268e-05	0.00011869907757500187	0.00011007174907717854	4.3223397369729355e-05	0.0004865402006544173	0.00023149566550273448	8.083547436399385e-05	0.00018495009862817824	3.6270554119255394e-05	2.1985322746331804e-05	2.4421760826953687e-05	3.770490764054557e-07	3.7501587939914316e-05	7.753579848213121e-05	0.00010427951929159462	5.784843233413994e-05	5.60919834242668e-05	1.3600477359432261e-05	0.000735446170438081
ACACB	0.0002809875295497477	2.2343574528349563e-05	0.0024310157168656588	2.932264942501206e-05	0.00013655277143698186	1.0826278412423562e-05	5.4182379244593903e-05	6.591412238776684e-05	0.00019581601372919977	0.00021373661002144217	4.890830678050406e-05	7.253949297592044e-05	0.00016524441889487207	6.07629635851481e-06	7.088991424097912e-06	3.322857082821429e-05	1.9902174244634807e-05	2.6084264391101897e-05	3.1181363738141954e-05	2.8201358873047866e-05	6.952884723432362e-05	9.475417755311355e-05	3.3961498502321774e-06	8.745395234655007e-07	0.0015842606080695987	6.822864634159487e-06	2.6143554350710474e-05	2.5642896162025863e-06	2.4597371520940214e-05	1.3296010365593247e-05	7.821000326657668e-05	3.769448812818155e-05
ACAT2	0.0005618479917757213	0.0002882339176721871	0.00014580223069060594	5.519702972378582e-05	0.0001531146845081821	0.00012102793698431924	0.0002953801304101944	0.0006360343541018665	4.858032480115071e-05	4.739031646749936e-05	0.00034761455026455224	0.0004760259762406349	0.00015867891488596797	0.00017318570462521166	0.00017625943291932344	8.389708818867803e-05	0.0003175388555973768	0.00023084206623025239	0.0001317760907113552	0.00016020638577174395	0.0004226621240377426	0.00019287406757939607	0.00015641108620911837	0.0005802921368740499	9.190991113428026e-05	0.0006656205514445901	0.0001081617665477097	0.0002991625224240124	4.860097760683857e-05	0.00013281972496770322	0.00011148041812703013	0.00047537588397972286
ACE	8.23617447167635e-05	5.063996013632277e-06	6.149159889901057e-05	1.1628292668319773e-05	3.4858064736909e-06	0.00015277875354513526	4.651836570701562e-05	3.1159070204012096e-06	0.0009100554743781686	0.00013093450979795307	2.663003215275239e-06	7.644334800716024e-06	5.121266895002918e-06	4.4750281631422695e-06	7.220487896120176e-05	3.707434734678827e-05	2.537850014050491e-05	4.757085605433531e-07	3.260514495195821e-05	5.476511796587147e-05	2.840342858689837e-05	8.167082341969945e-06	2.26318934437586e-06	6.093533556850161e-06	0.002435919363051653	3.5264754387753783e-06	3.666039992822334e-05	7.303954589588102e-06	8.546950994059443e-06	5.043771579948952e-06	2.5255552827729844e-05	3.999893306172453e-05
ACER3	0.0003737744700629264	0.00021299885702319443	0.0003363190917298198	7.709644705755636e-05	4.7348366933874786e-05	0.0005116888205520809	0.00025245698634535074	0.00014771921269129962	0.00022824374900665134	0.00015549316594842821	0.00021811467013321817	0.0002965244057122618	0.00020038049842696637	2.3153124857344665e-05	0.0010389277013018727	3.1328156183008105e-05	8.444209379376844e-05	0.00014998852566350251	0.00029779644683003426	8.052785415202379e-05	0.00011666004866128787	0.00025601088418625295	4.212056228425354e-05	8.696197619428858e-05	0.0002653061819728464	0.00012959790183231235	8.1908619904425e-05	6.414124800357968e-05	0.00028102457872591913	0.00013903305807616562	0.000110545166535303	0.00011753028229577467
