	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
B	0.003571263235020332	0.011994244297196798	0.0017905803128247363	0.009536831538753978	0.010139485320881214	0.0005637411666341988	0.0011381674537911596	0.0031836382961550266	0.0018042677388138213	0.04859903879602044	0.47543211256135276	0.020819327002102452	0.0016422938176882888	0.04166051565187871	0.012183977132603338	0.0006416814108206024	0.0036023859636438484	0.002497786819727238
CD4Tconv	0.0496656170232093	0.011654349493464802	0.005174409216318691	0.5112376104716158	0.05525339855073918	0.010989878380419133	0.008024371878016166	0.014042486948883787	0.014793166412435714	0.5574336174616946	0.01838901508728107	1.3052521368425378	0.018331302188308	0.935794343459415	0.5311569650316128	0.006268943877579104	0.04180188801474167	0.019425780328611118
CD8Tex	0.010722389620882417	0.004641496820244466	0.003317565690051412	0.8257001457909229	0.03834357916753621	0.0015357492428163882	0.002467213882157104	0.010203374387656701	0.00514181726125432	0.8777586361581534	0.00604550912342097	0.4591229099368534	0.004478325654566557	0.1700612303589911	0.549462278720641	0.0017946958796690616	0.01279430314398703	0.004208819372887464
Endothelial	0.005505732608148289	0.0033550066328592006	0.0004678839292342848	0.004306071020329378	0.0371293652960298	0.0037982048666825984	0.5403211538137449	0.003239572744792854	0.5102155943523597	0.0034317976718625104	0.0016568201315385325	0.01816501200540072	0.006116232436405463	0.028709425556416764	0.005677588216186287	0.0049019238061312935	0.03170840919663376	0.006067519646133585
Fibroblasts	0.013840418340215436	0.007140961779052881	0.0016559348675020088	0.0038437251671124624	0.041581755285947895	1.231645012245272	0.005378360376048778	0.0023124551144266875	0.012732521275274846	0.0055329184056241085	0.0012317497555117774	0.006182197538762419	0.0076050451854308325	0.0760536076512923	0.009185655819444916	0.026857633325949953	0.8341201490504497	1.1094303415983233
Malignant	2.1119175077947046	0.013587779447506717	0.006122371378684692	0.008333408545227733	1.4440603216781782	0.05478349378545363	0.017023429614424372	0.05733307379131807	0.03884682781291234	0.00835325642684285	0.008296546627782671	0.04145401752956048	2.246720020139471	0.20294427022118447	0.021593774914321337	0.038034318690178544	0.09198967554308302	0.07955738243973494
Mast	0.0017542020554488444	0.00418027163024989	0.1042268838400227	0.0016465677905648606	0.004931838642273276	0.00023287619346883709	0.00019487071302338473	0.0003024624586743875	0.0001922590080951473	0.004519068572756108	0.0006143522500148774	0.0037258526000086166	0.00023761958091574512	0.009513582066996854	0.002140558284870814	5.757803967165581e-05	0.0018329015129916592	0.0004717653757232464
Mono/Macro	0.00841199816190121	0.7469971265533414	0.0010547312722293735	0.008872157952218632	0.04009015830719117	0.0021472595914132993	0.0023148959430058145	0.008809919492695264	0.006448056863334696	0.017487756897480115	0.018613489874613767	0.024191119381668246	0.0034933993614650917	0.034053657544121096	0.01990783149721445	0.0011522663335078623	0.019598489007546474	0.003840398918990193
Myofibroblasts	0.0014114385557746736	0.0007515413188059458	0.00047752569057194416	0.001932424750283918	0.017159365455071744	0.02255722517185887	0.0010195693127498472	0.0013655093744328857	0.010313391216957492	0.004607173750305419	0.0003741896938033179	0.00516540469401176	0.0016626983620643366	0.010974084995212201	0.0021343616833420826	0.29725901458954007	0.06834666285974092	0.04311709179230166
Plasma	0.004806739784959279	0.0015517701813887238	0.004981076775784186	0.005307936563753075	0.0031309844139351547	0.000987289157013028	0.0009451869699572321	0.19236981636173692	0.0006029886657635354	0.016970757092565878	0.02716163483814056	0.01168602893370019	0.0004126886111537961	0.02695402008539203	0.01421303447291183	0.00030668285360283605	0.004020349778102279	0.0010999584875120065
Tprolif	0.0009249447807130561	0.0016667446828428185	0.0004097703515969561	0.04297434218285491	0.012437943397580063	0.0015673800911377722	0.0004262193437094587	0.06327656928588322	0.0005669151499599525	0.007982989957022629	0.004254426503312154	0.0036804208324970286	0.0004986152052289582	0.0049230862714172265	0.05908972170292165	0.0013656877799728584	0.0021021415366219895	0.0005713443353181563
