	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
B	0.49833297137400545	0.005251295348718015	0.0020306122334986278	0.0018632754167808992	0.01859617415888973	0.002574481579243756	0.009299749323017496	0.0007459681329753611	0.010858191620150339	0.0013457308758924446	0.0023891368857191704	0.004983367709107489	0.011228713596395221	0.0006972725351671635	0.0013687635745870457	0.004056329324964408	0.002900117357749473	0.018850329959866106	0.003168011635022839	0.002200191283584894	0.004351365300532271
CD4Tconv	0.02191481773701741	0.9354258322432363	0.01718714589013612	0.006627057402427063	1.3528102249498302	0.026391478831752586	0.41433690175273175	0.006868786802456268	0.016017601853346265	0.012202162388335103	0.01348303954832918	0.00692387665231078	0.011940701477902495	0.015355971740344601	0.010659527485130788	0.04243271588172565	0.03648220720438885	0.6856389727407132	0.004489044221588624	0.032648921741673366	0.05825713562494642
CD8Tex	0.008399487723838363	0.7633985354369799	0.0031034087858697766	0.0036329234293618305	0.4034775769960664	0.00657527031160768	0.6042907120360621	0.0018205506674931614	0.007962699614180113	0.0032537234754631368	0.003390382752747374	0.0020102366194449904	0.004945896103126871	0.0023339256231598186	0.003719030189317835	0.017884029641200755	0.02704038637132354	0.8515172747208619	0.0006993316416139646	0.00509257114870002	0.036342839861900525
Endothelial	0.0017519338803210468	0.006789662910030628	0.007235802890999843	0.0007776737771298077	0.012729298361706044	0.010713699229022109	0.005145334806171336	0.006488867685076763	0.00014694187756719742	0.5204630257976496	0.00025352988079785935	0.0004053676653537245	0.0032865693377986897	0.0035828915297674486	0.5379133294798867	0.017469982713314024	0.009412796780967068	0.008748818732905617	0.0018217302313177735	0.008084553250403437	0.020927095075780153
Fibroblasts	0.0015169538001212804	0.006837360533672346	1.172708016687033	0.0022426760540344964	0.02921683562336778	0.08055211604817904	0.010855728883680965	0.033659535071051995	0.00033647288022011824	0.009786388891080938	0.032894292426110194	0.0007963394017421554	0.00691329813110617	1.2379677408337846	0.004709216941608427	0.06615585299476667	0.007148455901127845	0.014911948203577968	0.0026705385883731407	0.01732435535726242	0.2391145624498517
Malignant	0.00916411366930858	0.011248199175077618	0.024832064464166893	0.007596444665314503	0.041563374972888464	0.9635877049318866	0.020967579130871383	0.00890363623039663	0.007858489628344989	0.03181036297195707	0.014795410928379809	0.0019003106025617337	0.01408889052286356	0.026725283701928042	0.018836190500241434	1.8833774496183515	0.36894225868884584	0.018737220958663803	0.000528085089999696	2.1866922868679253	1.2829058959744517
Mast	0.001160274267433968	0.002863922615003056	0.0003114437715312665	0.10551281039730176	0.005019015067640673	0.0003380054943393419	0.002723175356879461	6.265745692421853e-05	0.014193710019699934	0.0001271037966905802	0.0	7.7779241818738e-05	0.004139566760018559	0.0003220155359716266	0.00014266534050290738	0.002203203618063655	0.0014478087669202388	0.00473271722426592	0.0	0.00023017894411674514	0.0023543284466725476
Mono/Macro	0.021910702505815716	0.013106956998353687	0.003067495331487476	0.0011937268098996961	0.027236682760179872	0.004048552976811807	0.01579443022163328	0.0012478641510489555	0.001236281640529909	0.0033098773215338704	0.0014724215052308802	0.0005946531388554797	0.749444919286317	0.003128012613321852	0.002709191416127663	0.019146968132816536	0.023704695805600594	0.019496955163330835	0.001090477213022966	0.004801988454799429	0.052070410971097526
Myofibroblasts	0.0004171460997397088	0.0018254826099837725	0.03303076411841527	0.00026614095543519027	0.008082591895170929	0.15097980674304576	0.0027701983415446734	0.29831950214574704	0.0	0.002106835978015652	0.0034659211503713376	0.0014871955261500564	0.0007770508574201862	0.023385247103487418	0.0021335469113876646	0.010043710315795646	0.003379093259832442	0.0022042505453448453	0.0	0.0031847664468833137	0.030224284984952304
Plasma	0.008483292660832158	0.006584747859063161	0.005286303919436564	0.00010595361140116572	0.008111966518942224	0.0027420516862775293	0.00609748329302776	0.0001758244188634376	0.26907216334240325	0.00714803986703324	0.31119337629661004	0.31088393571105566	0.0009843208517165112	0.001062218586984277	0.00034085080801452336	0.0035854690938099927	0.0028594753004457353	0.005513585243460344	0.32411373281895794	0.0009657272382413444	0.002570234899365488
Tprolif	0.0045752924420025	0.016667426370017432	0.0005229694083759464	0.0004205068001972143	0.003043205935814117	9.312770626589805e-05	0.06611883403709352	0.0014602690468279353	0.0047541193226415465	0.0005288727808564116	0.0024564125776423843	0.008518643058090197	0.001594119264092537	0.0015614292871672846	0.0003468048702631071	2.5374416164732525e-05	0.1281054701534151	0.014152307605664827	0.002663547796682708	0.0004276311714526489	0.0012399783632045616
