Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25
ABLIM3	9.361770935356617e-06	1.6725454770494252e-05	1.1112498214060906e-05	0.0002094079100061208	1.3856904388376279e-06	1.0882729384320555e-06	6.4574965108477045e-06	5.8013185480376706e-05	1.2954648809682112e-05	3.95844296008363e-07	7.997121542757668e-07	8.98481175681809e-06	1.9907383830286562e-05	3.986528156474378e-07	2.2349077255512384e-07	2.2213174815988168e-05	3.865126245727879e-07	1.7629630747251213e-05	1.479646198276896e-05	0.0009502038592472672	4.9743342970032245e-05	0.00012543961929623038	7.0303249231074e-05	4.822193773179606e-07	9.319044238509377e-07
AC004791.2	3.14376006826933e-06	3.362978077348089e-06	5.8877720476857576e-09	1.1157794688188005e-07	3.863217656885354e-08	4.820119414716828e-08	1.3915321233071154e-06	1.90297157587338e-07	4.924840595776914e-06	0.0034795403480529785	2.2024270407428048e-08	3.067926172661828e-06	2.0382628918014234e-08	7.737300933285951e-08	1.4256622193897783e-07	5.5069929061346556e-08	6.379115689014725e-07	1.168252197203401e-07	2.6891316338151228e-06	4.571933232000447e-08	7.61486695921576e-09	5.521291868149092e-08	5.404510261541873e-08	2.0985279292062842e-08	4.619360538526962e-08
AC013461.1	2.8994765671086498e-05	0.00015100656310096383	4.876379171037115e-05	0.0005284405197016895	4.494797030929476e-05	4.173220440861769e-05	0.00015870554489083588	6.425306492019445e-05	0.00013754433894064277	2.064136424451135e-05	3.7268633604981005e-05	0.00015245458052959293	0.00031369595672003925	0.0004012524150311947	2.6541840270510875e-05	0.0019358776044100523	0.00011702117626555264	0.00044517594506032765	0.00015780655667185783	0.0001489211426815018	9.306535503128543e-05	0.00016316573601216078	0.00013061528443358839	2.507264434825629e-05	0.0001642694405745715
AC017002.1	4.87608940602513e-06	2.752145337581169e-05	1.11291384996548e-08	3.0050221084820805e-06	0.00014935812214389443	0.0014050878817215562	1.2768075976055115e-05	6.139461220300291e-06	9.490297998127062e-06	7.544430786765588e-07	2.8845263386756415e-06	8.683246051077731e-06	2.0943456547684036e-05	1.8219621779280715e-05	5.418015120994824e-07	1.3347869298740989e-06	2.308651573912357e-06	9.983048130379757e-07	5.168859843251994e-06	3.6715994156111265e-07	1.0959760210482727e-08	7.036363967927173e-05	5.481230800796766e-06	1.6821433064251323e-06	3.659326830529608e-05
AC020571.3	5.272451744531281e-06	0.00021264710812829435	8.880405221134424e-05	1.9470728602755116e-06	0.00017378262418787926	0.00023332257114816457	0.0007352962275035679	0.00029927302966825664	1.7355336240143515e-05	0.0029666852205991745	0.0013058334589004517	1.3221437257016078e-05	1.819672979763709e-05	6.67151482502959e-07	4.5641760948456067e-07	5.527025450646761e-07	3.720421545949648e-06	2.6623754934007593e-07	0.00010135925549548119	2.606675195693242e-07	0.00020457526261452585	1.8866767277359031e-06	4.441939154276042e-07	0.0006251275772228837	2.4522951207472943e-05
AC079767.4	5.243453870207304e-06	6.231097813724773e-06	3.4996894271444035e-08	2.590191741091985e-07	1.8210047869615664e-07	2.5080194632209896e-07	1.310250468122831e-06	2.073255245704786e-06	5.4901638577575795e-06	7.305624876607908e-06	2.8446574873441932e-08	3.4037607292702887e-06	3.6388826174516e-08	1.1476186955405865e-05	2.0959517144092388e-07	7.919882705209602e-08	0.002187413163483143	3.656184048850264e-07	1.3314531315700151e-05	8.056802158762366e-08	9.747100015999877e-09	6.798988039236065e-08	0.00016591955500189215	6.936281238267838e-08	2.4765117245806323e-07
AC092580.4	8.67070320964558e-06	2.2469241230282933e-05	3.009717275404e-08	6.294851573329652e-07	0.001931648817844689	0.00015388350584544241	4.877393166680122e-06	1.4822611774434336e-05	1.588598024682142e-05	4.2384985476928705e-07	5.076752495369874e-05	6.179933279781835e-06	4.66774601193265e-08	1.0141213806491578e-06	1.8338323570787907e-06	1.557553019893021e-07	1.5333665714933886e-06	3.1374651143778465e-07	1.2908200915262569e-05	1.72552276467286e-07	1.374197733383653e-08	9.826774771681812e-08	2.4664882403158117e-07	0.00010346798808313906	7.191389158833772e-05
AC093642.3	2.7093069547845516e-06	2.774090717139188e-06	0.0017080808756873012	1.2785794467617961e-07	2.6216344650720202e-08	3.913008228551007e-08	9.607963420421584e-07	1.5702256916938495e-07	4.669583631766727e-06	6.024941257010141e-08	1.3810028676175534e-08	1.954737172127352e-06	1.2602263268490788e-05	2.7948669867328135e-07	1.2479922872898896e-07	5.5947964483493706e-08	3.60390949936118e-05	1.240989035977691e-07	2.4855132778611733e-06	3.692207073413556e-08	6.169656341370455e-09	1.4945551640721533e-07	7.004707640589913e-06	1.8977038607204122e-08	0.0001881969947135076
AC093818.1	0.00016901410708669573	2.9105658541084267e-05	1.9714100290002534e-06	7.384304353763582e-06	0.0002495356020517647	0.0005189671064727008	7.635105430381373e-05	0.00010756981646409258	0.00013150699669495225	6.914451660122722e-05	0.0001260990247828886	1.8288419596501626e-05	4.695843472291017e-06	4.8551246436545625e-05	0.003194814082235098	1.102429678212502e-06	0.0001297428971156478	0.00010017868771683425	5.6875793234212324e-05	0.0001305643963860348	1.6050611861828656e-07	0.00015398049436043948	7.460613414878026e-05	0.00017557248065713793	1.2069637705280911e-05
AC104699.1	0.000303989858366549	5.315561338647967e-06	3.89252718946409e-08	2.387447466389858e-07	9.292187286291664e-08	2.653799526797229e-07	2.204678139605676e-06	6.176675810820598e-07	3.406353425816633e-05	1.4071984821839578e-07	3.4315316810307195e-08	4.35834863310447e-06	5.62891173672142e-08	1.385185214530793e-06	0.004339870065450668	8.516123983781654e-08	0.0010331858647987247	1.4862634145629272e-07	4.428527063282672e-06	2.4411809818047914e-07	8.658384231807759e-09	1.1765770580041135e-07	4.7200018116200226e-07	4.548837395645933e-08	1.4926317248864507e-07
AC133644.2	1.737775710353162e-05	0.0002831613819580525	7.773547849865281e-08	3.869973170367302e-06	0.00025121564976871014	0.002655189484357834	0.0001445256930310279	2.5514735170872882e-05	9.021891310112551e-05	1.964020611922024e-06	2.3048592993291095e-05	2.498946741980035e-05	2.0386029063956812e-05	4.1026265535037965e-05	1.4708380149386358e-05	3.7587600672850385e-05	4.011566488770768e-06	2.3389802663587034e-06	5.2990308176958933e-05	2.47777325057541e-06	6.915470862622897e-08	8.293450810015202e-05	3.163849760312587e-05	1.6941681678872555e-05	5.281683843350038e-05
AC233755.1	0.04519936814904213	3.1863719414104708e-06	2.1409848116604735e-08	1.4874088094529725e-07	4.955770904757628e-08	1.8920489708307286e-07	1.3994700793773518e-06	1.682566761473936e-07	5.495195182447787e-06	1.1045541015164417e-07	8.223034910770366e-07	2.9651694148924435e-06	3.5454196023465556e-08	1.1278027756134179e-07	0.00032996106892824173	8.821004371384333e-08	4.150625954935094e-06	2.2802747423611436e-07	3.085750677200849e-06	9.65393269325432e-07	6.261511753535842e-09	9.127433031608234e-08	6.291143961334456e-08	1.2887478817447118e-07	2.4421160560450517e-07
AC245100.1	3.154946898575872e-05	0.0002440904063405469	1.526641244709026e-05	5.508435424417257e-05	0.0006290895980782807	0.0003243433020543307	0.0002015366335399449	0.0003666497068479657	5.005982529837638e-05	0.00010567531717242673	0.00027921501896344125	0.0005572836962528527	2.860073436750099e-05	4.0807681216392666e-05	1.1186351912328973e-05	3.510845999699086e-05	0.000509834208060056	3.482456668280065e-05	0.0002094121737172827	5.729079930461012e-07	9.197834515362047e-06	1.681040430412395e-06	3.846999607048929e-05	0.0008748968248255551	4.869380427408032e-05
ACACB	4.2770232539623976e-05	2.4936374757089652e-05	1.7169124930660473e-06	9.451580262975767e-05	3.229433423257433e-05	2.1671594367944635e-05	1.2411503121256828e-05	0.001072646351531148	8.298820466734469e-05	9.601189049135428e-06	2.1843452486791648e-05	2.1422682038974017e-05	0.00019015769066754729	1.2127511581638828e-05	3.0590523238060996e-05	9.678344940766692e-05	3.374418884050101e-05	9.001981197798159e-06	0.00015912741946522146	0.0006295698694884777	0.0001487619010731578	0.00033884355798363686	1.5510546290897764e-05	0.0001130565142375417	1.1186958545295056e-05
ACAT2	3.317082882858813e-05	0.00013559102080762386	0.00029972195625305176	0.00023288345255423337	0.00035148250753991306	0.0004588517767842859	0.0002253464626846835	0.00010611687321215868	0.00018764215928968042	0.00016969372518360615	0.00039186631329357624	9.11015085875988e-05	4.126354542677291e-05	0.00020479965314734727	5.541999780689366e-05	0.00020996593229938298	0.00022029470710549504	0.0005481988191604614	9.445970499655232e-05	6.32640949334018e-05	0.00014070032921154052	5.7693468988873065e-05	0.00010627003211993724	0.0004742671735584736	0.0006711568566970527
ACE	1.056807377608493e-05	3.745849244296551e-05	1.657370012253523e-05	5.503735792444786e-06	1.2490230574258021e-06	5.129940745973727e-06	0.00011090765474364161	0.0001702583977021277	1.6898933608899824e-05	4.508632264332846e-05	8.572153092245571e-06	9.412063263880555e-06	8.510756742907688e-05	4.6687532631040085e-06	9.841060091275722e-06	2.6907257506536553e-06	8.059776064328616e-07	3.623648808570579e-05	2.412055437162053e-05	0.00045429705642163754	7.300010111066513e-06	0.0025139807257801294	0.0002142728480976075	7.142787944758311e-05	2.917540086855297e-06
ACER3	1.8272976376465522e-05	7.399057358270511e-05	0.00010676774400053546	0.0001913771266117692	0.00020594651869032532	0.0001509089197497815	6.490280065918341e-05	0.0010801468743011355	0.0002056117809843272	0.0010396270081400871	9.665814286563545e-05	4.140203964198008e-05	0.0001438668550690636	0.0004384266503620893	7.185451977420598e-05	0.00023500323004554957	0.00013083269004710019	8.972482464741915e-05	0.00012500130105763674	0.0002335526078240946	8.207966311601922e-05	0.0002483423741068691	0.0005064164288341999	0.00015745752898510545	0.00014360596833284944
ACKR1	1.7978536561713554e-05	1.1262976840953343e-05	2.896670814322988e-08	3.405253210075898e-06	2.0577576265168318e-07	1.4608880292144022e-06	5.82610073251999e-06	1.7376684127157205e-06	8.990842616185546e-06	2.68890374854891e-07	1.1353128002156154e-06	6.045402187737636e-06	1.089782628582725e-07	1.5534081967416569e-06	6.461559678427875e-07	2.5882186491799075e-06	2.9159568839531858e-06	6.411725735233631e-06	6.511930405395105e-05	0.0014645669143646955	1.3548014976549894e-07	1.2097629223717377e-05	8.770340969022072e-07	1.942263679666212e-06	1.165430916216792e-07
ACOT7	1.0776998351502698e-05	5.1045342843281105e-05	5.765382957179099e-05	2.8058089810656384e-05	0.0003749653697013855	0.00042949430644512177	8.462095138384029e-05	6.332145858323202e-05	2.862983637896832e-05	0.0013748692581430078	0.00020232281531207263	0.0004961055237799883	5.86908936384134e-05	0.00016053393483161926	1.7992635548580438e-05	5.564758976106532e-05	4.20929973188322e-06	0.00030554740806110203	2.2116299078334123e-05	8.948714821599424e-05	1.485782559029758e-05	0.00030181973124854267	0.00011143134906888008	3.2261988963000476e-05	0.0007905113743618131
ACP5	8.334193989867344e-05	0.00016720844723749906	6.467937782872468e-05	0.00030778138898313046	0.0005821618833579123	0.0009574537398293614	0.0004275458340998739	0.0001780751335900277	5.1211874961154535e-05	0.00025145846302621067	0.0001007385944831185	1.3288105037645437e-05	3.76519383280538e-05	0.00013249159383121878	8.220713789341971e-05	3.153732541250065e-05	0.000670667621307075	8.627691386209335e-06	0.00021852590725757182	1.7055361922757584e-06	0.00034207478165626526	3.101634320046287e-06	0.0012794514186680317	0.00010742164886323735	5.292964488035068e-05
ACSL1	6.612666038563475e-05	4.110623922315426e-05	0.0003786859742831439	6.971651600906625e-05	0.00014733751595485955	0.0003000779543071985	4.561013338388875e-05	0.00032677885610610247	1.8752982214209624e-05	9.985486940422561e-06	0.0001081345762941055	4.755682311952114e-05	0.00020912928448524326	0.0005245872889645398	1.6994483303278685e-05	0.00010379774175817147	0.00013895583106204867	2.432685869280249e-05	0.00016016114386729896	5.337260063242866e-06	0.0001849461841629818	0.00017451972234994173	0.0005485484725795686	4.664569132728502e-05	0.00013065506936982274
ACSL3	3.3406238799216226e-05	0.00014091734192334116	0.0007086563855409622	0.00016347365453839302	0.0001966550771612674	0.00022609550796914846	7.740301953162998e-05	0.0006554597639478743	0.0002635398705024272	0.0002107026957673952	0.00017123043653555214	6.39635618426837e-05	0.0002523972652852535	0.00017613431555218995	0.00011239344166824594	0.00014842319069430232	0.00021203207143116742	0.00012733525363728404	0.00016122723172884434	0.00017343838408123702	0.0022940700873732567	0.00029030643054284155	0.0002645926724653691	0.00027881833375431597	0.00011791801080107689
ACSL4	8.564167364966124e-05	6.46596890874207e-05	7.4402573773113545e-06	0.00014775745512451977	0.0003393912920728326	0.0006136979209259152	0.001084684394299984	0.00048423121916130185	0.0002185835037380457	0.0021202759817242622	8.355939644388855e-05	7.905961683718488e-05	0.00021080802252981812	0.00042897500679828227	0.00014337427273858339	0.00013768720964435488	0.0001369606179650873	0.0001824030332500115	5.742529174312949e-05	0.0001703471498331055	4.590575827023713e-06	0.00029391609132289886	0.0003799398837145418	0.00012695466284640133	0.00013033041614107788
ACTA2	2.6511415853747167e-05	0.00012759945821017027	7.723402291048842e-07	3.779504186240956e-05	2.9618877306347713e-05	5.172368764760904e-05	0.00010088519775308669	2.150882028217893e-05	0.00013192380720283836	2.674049255801947e-06	1.1034224371542223e-05	0.0029740913305431604	0.0004682167200371623	2.9512150376831414e-06	4.844584054808365e-06	0.0024625288788229227	3.630681476352038e-06	0.0010048382682725787	5.894579226151109e-05	6.1292126929402e-07	1.982025605684612e-05	1.5580686522298492e-05	6.220078375918092e-06	1.4142527106741909e-05	2.2256146621657535e-05
ACTB	0.00036379831726662815	0.0011360958451405168	0.0002705439692363143	0.0003939114685636014	0.0024467974435538054	0.002391441259533167	0.0010580997914075851	0.00035218175617046654	0.0003735072386916727	0.000530984892975539	0.0016804687911644578	0.0018022877629846334	0.0005306031089276075	0.002441331511363387	0.000125143225886859	0.0007760675507597625	0.001225436688400805	0.0006571156554855406	0.0008054102072492242	0.0003068348451051861	0.000106169463833794	0.0003644094103947282	0.0011271950788795948	0.0014464029809460044	0.0012327786535024643
ACTG2	3.760616891668178e-06	5.433335445559351e-06	3.474978711892618e-06	1.7825592522058287e-06	1.1475858627818525e-05	5.601061639026739e-05	2.7891512672795216e-06	4.3823005398735404e-05	2.910149487433955e-05	7.764142395672025e-08	9.690444130683318e-06	4.395844825921813e-06	8.062915185291786e-06	1.4852942342713504e-07	2.3100893997707317e-07	0.0007427525124512613	3.2444361295347335e-06	0.00764174060896039	3.2127493341249647e-06	5.689447490908606e-08	7.659185212105513e-05	3.988154276157729e-06	2.2572709212909103e-07	3.188373739249073e-06	9.909082291414961e-05
ACTN1	4.56655616289936e-05	0.0003229094436392188	0.0002634479897096753	0.00012345048889983445	1.1187838936166372e-05	3.933576954295859e-05	0.0002731962886173278	0.00010006502270698547	6.480875163106248e-05	5.393751052906737e-06	8.946700836531818e-05	0.0018047104822471738	0.0013663204153999686	0.00029386591631919146	6.43411203782307e-06	0.0009916333947330713	6.701626716676401e-06	0.0011681864270940423	0.0002255476574646309	0.000560583604965359	0.0005125905736349523	0.0004492215521167964	0.0003495819983072579	0.00018863838340621442	7.965518307173625e-05
ACTR3	0.00028937734896317124	0.0004501240036915988	0.00025315574021078646	0.00014865565754007548	0.0013286531902849674	0.0013826540671288967	0.0006287062424235046	0.0006948172813281417	0.0003083569463342428	0.0008303899667225778	0.00122858677059412	0.0009851655922830105	0.00023663841420784593	0.0009246430126950145	0.0001813769486034289	0.00032087534782476723	0.0009801383130252361	0.0003389635239727795	0.00039350028964690864	0.00026064636767841876	0.00015604683721903712	0.00026060373056679964	0.0006233343156054616	0.0009724037372507155	0.0005747352843172848
ACVRL1	1.4749875845154747e-05	5.9078280173707753e-05	1.7122755480158958e-07	0.0008249160018749535	4.780181370733771e-07	6.226250093277486e-07	0.00014085562725085765	2.1057867343188263e-06	2.6948873710352927e-05	1.0316451152903028e-05	4.192945084469102e-07	3.075222412007861e-05	0.0002679657773114741	4.085099863004871e-05	3.0584621981688542e-06	0.00017479898815508932	7.272248581102758e-07	3.277275027357973e-05	2.3999267796170898e-05	0.0011849796865135431	2.8791741897293832e-06	0.002118629403412342	0.00013922333891969174	2.4759773964433407e-07	4.417653656219045e-07
