Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11
ACKR1	1.231682404068124e-06	1.5463551790162455e-06	9.855788448476233e-06	0.0008691559196449816	2.546153439197951e-07	5.70241951436401e-08	9.153869768852019e-07	5.740939741372131e-07	1.7775190599422785e-06	1.7909050029629725e-06	5.868034804734634e-06
ACOT7	6.640044739469886e-05	5.3264066082192585e-05	3.080339592997916e-05	0.00018165067012887448	0.0008626104681752622	5.14010462211445e-05	0.00021512141393031925	0.00017641506565269083	0.0004283595771994442	7.183961133705452e-05	0.00022025522775948048
ACP5	7.32957778382115e-05	0.00012968535884283483	0.00015259395877365023	2.700560571611277e-06	0.00018860845011658967	0.00015616185555700213	0.0003742955159395933	0.0008761392091400921	0.0005301545606926084	5.786772453575395e-05	0.0002513775252737105
ACSL1	9.864498133538291e-05	5.81183958274778e-05	5.2613660955103114e-05	6.14904347457923e-05	0.00017944321734830737	0.0002840754750650376	0.0001287677005166188	0.0005353749147616327	9.502647299086675e-05	0.0001986598945222795	1.3620935533253942e-05
ACSL3	0.0001597029040567577	0.00012519281881395727	0.00015125963545870036	0.0002231178223155439	0.0001456196914659813	0.0012605924857780337	0.00023411140136886388	0.00023718025477137417	0.00021266717521939427	0.0002496282977517694	0.00031545429374091327
ACSL4	0.00016787747154012322	0.0001620284019736573	0.00021082446619402617	0.0002196769928559661	0.00020977348322048783	1.0262749128742144e-05	0.0002730678825173527	0.0005158938001841307	0.0008686546352691948	0.0002223474148195237	3.4768181649269536e-05
ACTA2	0.0022381218150258064	7.518736765632639e-06	4.3450123484944925e-05	2.482412128301803e-06	5.993448939989321e-05	7.0506002884940244e-06	2.3687069187872112e-05	4.966851975041209e-06	3.322801831018296e-06	0.00035999916144646704	6.912910521350568e-06
ACTB	0.0007782667526043952	0.00023974344367161393	0.0004076414043083787	0.0003798997786361724	0.0014663873007521033	0.0002707631792873144	0.002035632263869047	0.0015278973150998354	0.0010207206942141056	0.0005550180212594569	0.0005282603087835014
ACTG2	0.0010154630290344357	9.70928249444114e-06	2.6619727577781305e-05	4.3109841385557957e-07	0.0002859277301467955	0.00015192240243777633	1.047740806825459e-05	1.37717972847895e-06	1.2478295730034006e-06	5.590703949565068e-06	2.5166607429127907e-06
ACTN1	0.0009781935950741172	1.7297918020631187e-05	7.820798782631755e-05	0.00047175807412713766	8.998594421427697e-05	0.00034417823189869523	7.317985728150234e-05	0.0003146486997138709	4.809406618733192e-06	0.0012034156825393438	0.00037229357985779643
ACTR3	0.00033810376771725714	0.00024939607828855515	0.0002565749455243349	0.0002924421278294176	0.000675452291034162	0.00027105395565740764	0.001265168422833085	0.0007391985272988677	0.0009909096406772733	0.00026542795239947736	0.000385424675187096
ACVRL1	0.0002511904458515346	5.648303158523049e-06	1.9214541680412367e-05	0.0015250598080456257	1.1931396102227154e-06	5.715002657780133e-07	3.2742039479671803e-07	0.00010522614320507273	9.957554993889062e-07	0.0003532246337272227	1.5347575754276477e-05
ACYP1	0.00027589668752625585	5.0630394980544224e-05	9.280718950321898e-05	9.059000149136409e-05	0.0006417529657483101	0.0002204386400990188	0.0003667904529720545	5.025279460824095e-05	0.0001508348505012691	8.880990208126605e-05	0.0001547389110783115
ADAM12	9.972032421501353e-05	3.6150490814179648e-06	0.0001759635197231546	7.928160812298302e-07	1.746041016303934e-05	2.592754754005e-06	1.759813130775001e-05	1.3494520317181014e-05	0.00010812287655426189	0.0015569686656817794	6.0612270317506045e-05
ADAM15	7.796638237778097e-05	7.299780554603785e-05	7.96008826000616e-05	0.0016864779172465205	0.0002317904436495155	0.000486693752463907	8.711469126865268e-05	0.00015694176545366645	1.6464744476252235e-05	9.344601858174428e-05	7.060686766635627e-05
ADAM19	0.00010059099440695718	0.00044019732740707695	0.00010520467913011089	7.095317414496094e-05	0.00013608419976662844	2.43511493636106e-07	0.0003449396463111043	7.813530828570947e-05	0.0005727027310058475	0.0001952387683559209	4.673911098507233e-05
ADAM28	5.639676032842544e-07	0.000333164818584919	0.00017755421868059784	1.0316528005205328e-06	8.958787475421559e-06	4.218076355755329e-06	2.3957996745593846e-05	0.00038199659320525825	0.0016434988938272	9.691414106782759e-07	1.6642499758745544e-05
ADAM33	0.00014426045527216047	1.0608761158437119e-06	3.166093665640801e-05	4.4461188508648775e-07	5.239795086708909e-07	2.5187165419993107e-07	1.6890990650608728e-07	3.901837715147849e-07	8.825844020066143e-07	0.0006736694485880435	2.970466812257655e-05
ADAM8	4.375490334496135e-06	8.722292113816366e-05	0.0001333885156782344	3.3571805033716373e-06	7.329527579713613e-05	4.957724013365805e-05	0.0007503590895794332	0.0005718307220377028	0.0002650182577781379	6.816229415562702e-06	0.00011128570622531697
ADAMDEC1	8.127341061481275e-06	3.203935193596408e-05	7.694566193094943e-06	3.8152978731886833e-07	2.707045950955944e-06	7.387565403860208e-08	1.1610006822593277e-07	0.0005259487661533058	9.699913789518178e-06	3.547236019585398e-06	4.934906314701948e-07
ADAMTS1	0.000548071984667331	8.14218992672977e-07	1.000502106762724e-05	0.0007776474812999368	6.181736011967587e-07	3.555379180397722e-06	1.209053607453825e-06	3.4060857956319524e-07	2.673817220966157e-07	5.112913640914485e-05	5.6724631576798856e-05
ADAMTS10	0.0003892048553097993	1.002952649287181e-05	3.931031096726656e-05	0.00029654335230588913	3.418827327550389e-05	1.78414884430822e-05	6.63687169435434e-05	2.3281541871256195e-05	4.424474354891572e-06	0.0003469384100753814	0.00023293495178222656
ADAMTS12	0.00042671713163144886	1.4365518836712e-06	3.285562343080528e-05	6.627333846154215e-07	3.689791810757015e-06	5.335552486940287e-06	4.187569118130341e-07	1.2878238919711293e-07	7.053974400150764e-07	0.0012769658351317048	3.659018602775177e-06
ADAMTS2	0.0002711314591579139	1.6390531527576968e-06	5.286447049002163e-05	3.432594439800596e-07	7.91716684034327e-06	3.968317741964711e-06	1.099484848054999e-06	2.5225224362657173e-06	1.122143885368132e-06	0.0014730895636603236	3.1290589959098725e-06
ADAMTS4	0.0007383819902315736	5.551260073843878e-06	4.937917037750594e-05	0.0005516437813639641	0.00010859163739951327	9.504506124358159e-06	5.058630449639168e-06	4.32419392382144e-06	9.130512808042113e-06	0.0003356491506565362	1.5303521649912e-05
ADAMTS9	0.0002869510790333152	8.451644930573821e-07	8.213723049266264e-06	0.0008816306944936514	9.578513981978176e-07	2.892635393436649e-07	7.601589402383979e-08	1.5321801072332164e-07	1.9433277032021579e-07	3.67846769222524e-05	1.4905797343089944e-06
ADAMTS9-AS2	0.0009674629545770586	1.2921475445182296e-06	1.0706240573199466e-05	0.00018328211444895715	2.758087873644399e-07	2.5635944211899186e-07	6.19909386045947e-08	1.1905110142151898e-07	3.2491647061760887e-07	0.000215696039958857	7.115569133020472e-06
ADAMTSL1	2.229966185041121e-06	1.1155899528603186e-06	1.8924507457995787e-05	0.0008686495712026954	3.331296625219693e-07	2.0848560211561562e-07	1.1382564935047412e-07	1.1202197924831125e-07	3.034467113138817e-07	0.0003409310302231461	8.783730436334736e-07
ADAP2	0.0005867885192856193	6.45181571599096e-05	2.602536005724687e-05	3.0137030080368277e-06	6.870197012176504e-06	8.813590284262318e-06	2.948673909486388e-06	0.0018292763270437717	4.891355274594389e-05	3.7702591271226993e-06	1.1401435585867148e-05
ADCY3	0.0009761879337020218	1.3335577932593878e-05	0.0001585583813721314	2.716053495532833e-05	0.00020378308545332402	7.307277428481029e-06	0.00014966934395488352	0.00014170045324135572	0.0001949228171724826	0.0002203805634053424	7.839826139388606e-05
ADCY4	0.000205843141884543	7.000435743975686e-06	2.6919831725535914e-05	0.0018983701011165977	7.912285582278855e-06	7.665364682907239e-05	7.929239473014604e-06	1.5431094652740285e-05	7.093443400663091e-06	1.4018135516380426e-05	0.00018084331532008946
ADCY7	3.7009378957009176e-06	0.00012598821194842458	0.00020987346943002194	5.605986643786309e-06	0.00010064629168482497	2.2322669792629313e-06	0.0005653705447912216	0.0005189392832107842	0.0003183832741342485	0.00019964830426033586	8.798950875643641e-05
ADCYAP1	8.216410662953422e-08	2.5008083071043075e-07	3.1008034966362175e-06	4.8140819330910745e-08	7.57221343405945e-08	5.3155435608687185e-09	1.5648588203021063e-08	4.2604767713783076e-08	0.001984464004635811	3.441236628987099e-08	8.331319634180545e-08
ADGRA2	0.0011129099875688553	5.6622366173542105e-06	2.5199447918566875e-05	0.00028146346448920667	1.0055277925857808e-06	8.491658718412509e-07	3.306931262159196e-07	1.0855646905838512e-06	2.2741348857380217e-06	0.0008138397242873907	3.1814055546419695e-05
ADGRE2	0.00010463107173563913	3.641958755906671e-05	7.365264991676668e-06	6.723476531078632e-07	7.667236786801368e-06	3.260104222135851e-06	3.785614171647467e-05	0.0015327490400522947	0.00016944707022048533	1.3068201951682568e-05	2.733387918851804e-05
ADGRF5	0.0008008845034055412	1.3948711057309993e-06	1.2424709893821273e-05	0.0015130091924220324	1.3908195342082763e-06	3.8709026739525143e-07	5.146367811903474e-07	2.3433879903222987e-07	7.204978373920312e-07	1.0895835657720454e-05	6.49442029043712e-07
ADGRG1	1.0255183951812796e-05	4.688030458055437e-06	3.332988853799179e-05	0.0006184018566273153	0.0003330507315695286	0.00012141023762524128	0.00030448188772425056	1.2344644346740097e-05	3.1163639846454316e-07	2.7316968953527976e-06	2.404429324087687e-05
ADGRL2	0.0006371063063852489	1.378497131554468e-06	1.7584858142072335e-05	0.0010044832015410066	4.26054202762316e-06	1.061705916072242e-05	3.128263585949753e-07	5.795644142381207e-07	3.2134939829120412e-06	0.0002641167084220797	5.433622845885111e-06
ADGRL4	7.513134505643393e-07	4.284712304070126e-06	1.4896162610966712e-05	0.0024582252372056246	3.8675938185406267e-07	2.7570544602895097e-07	6.026983214724169e-07	5.984368840472598e-07	1.6552797887925408e-06	6.669749836873962e-06	2.3098639303498203e-06
ADH1B	0.00041266638436354697	6.966117211959499e-07	1.6781645172159187e-05	2.6183258228229533e-07	4.646989282264258e-07	1.5272802045274148e-07	5.919593490943953e-07	3.553265344180545e-07	2.910094508479233e-06	0.0001384992356179282	9.074714034795761e-05
ADI1	0.000476652174256742	0.0006732885376550257	0.0004176006477791816	0.00015071671805344522	0.0005221888422966003	0.0007918893825262785	0.0003882320015691221	0.0003110853722319007	0.00027796634822152555	0.00021067840862087905	0.0006505129276774824
ADIPOR1	0.00022390279627870768	0.0009522258769720793	0.0006929865339770913	0.0002279139735037461	0.0005038354429416358	0.0011944196885451674	0.0006103115156292915	0.0005255349678918719	0.0004082433588337153	0.00020089467579964548	0.0006018157582730055
ADIRF	0.0017419906798750162	7.254048796312418e-06	2.3061627871356905e-05	0.0005905404686927795	3.360062919455231e-06	0.0005925479927100241	4.024703684990527e-06	2.2658557554677827e-06	2.8510471565823536e-06	0.00010348586511099711	8.773843728704378e-05
ADK	0.00016856267757248133	0.00011767155956476927	0.00018304697005078197	4.793803964275867e-05	0.00028129067504778504	0.0003853488597087562	0.0005121674621477723	0.00010535089677432552	0.0006963724154047668	0.00014746385568287224	0.000281830201856792
ADM5	1.8471779412720934e-06	6.0703264352923725e-06	1.547304418636486e-05	0.0005952594219706953	4.418739536049543e-06	3.372300852788612e-05	4.111020189156989e-06	1.8342572047913563e-06	1.6488822438986972e-05	3.466511316219112e-06	1.9189485101378523e-05
ADORA3	4.6670209030708065e-07	1.200897622766206e-05	6.09045491728466e-06	5.796991899842396e-06	1.545743657516141e-06	1.60534838755666e-08	1.0238574787990729e-07	0.0009772868361324072	4.941540737490868e-06	6.241025829467617e-08	2.1865420762878784e-07
ADRA2A	0.0005636289133690298	1.8333628304390004e-06	2.743958066275809e-05	4.4880309246764227e-07	8.935656978792395e-07	0.00011004262341884896	1.1243778885727806e-07	5.485705401042651e-07	2.9586784876300953e-05	0.0005841938545927405	2.9268285288708284e-05
ADRB2	3.0980509109213017e-06	0.00011203030589967966	0.00018179696053266525	0.00013382776523940265	1.4101040505920537e-05	4.763844117405824e-06	0.00029575781081803143	0.00010903018846875057	0.0012363798450678587	2.6935001073979947e-07	0.00024723474052734673
AEBP1	0.00016459240578114986	6.214837412699126e-06	4.364000051282346e-05	9.837870493356604e-06	3.7317377064027824e-06	1.1822006626971415e-06	1.8020913330474286e-06	1.5154970469666296e-06	6.821588613092899e-06	0.0020097794476896524	1.5781415640958585e-05
AES	0.0002800232032313943	0.00011891187750734389	0.0002651620307005942	0.00043291912879794836	0.0004779648734256625	0.0003178787883371115	0.0013820360181853175	0.00020966172451153398	0.00033767029526643455	0.0004203185089863837	0.0006916213897056878
AFAP1L1	3.647924677352421e-05	1.9616877580119763e-06	1.4299577742349356e-05	0.0015898789279162884	1.5530647488048999e-06	1.337101593890111e-06	1.0183403276187164e-07	5.250622962194029e-06	2.2745331307305605e-07	1.3736112123297062e-05	2.7236105779593345e-06
AFAP1L2	0.0007008553948253393	2.173209850298008e-06	1.5675026588723995e-05	0.00034597094054333866	0.00020153739023953676	3.107265365542844e-05	0.0002290306001668796	2.8021693196933484e-06	3.500338789308444e-05	0.00017515091167297214	4.674794035963714e-05
AFF3	6.781444426451344e-06	1.3478613254847005e-05	1.0762293641164433e-05	1.505077671026811e-05	1.7957704585569445e-06	0.001618963317014277	2.001935354201123e-05	1.6012141713872552e-05	0.0006726569845341146	1.2198650438222103e-05	0.0005066167796030641
AGR2	4.9432655941927806e-06	5.173524641577387e-06	1.1155117135785986e-05	9.334312949249579e-07	3.9206802284752484e-06	0.0004921532818116248	1.1688765880535357e-05	4.016627826786134e-06	4.563740731100552e-06	8.932787523008301e-07	3.6900283362228947e-07
AGTRAP	0.00012177730968687683	6.290108285611495e-05	0.0001759995357133448	0.00021126148931216449	0.00026951852487400174	0.00031012078397907317	0.0006129193934611976	0.0006759995594620705	0.00041618235991336405	0.00021460451534949243	0.00022156279010232538
AHCY	0.00023715801944490522	0.00026809063274413347	0.00014711373660247773	0.00012403461732901633	0.00046801689313724637	0.0006031928351148963	0.00016660094843246043	0.0002794851316139102	0.00019193709886167198	0.0001454157172702253	0.0007025802042335272
AHNAK	0.0005477025406435132	0.0001045249227900058	0.000491378188598901	0.000760542054194957	0.00015745451673865318	0.0007731508812867105	0.0009667915874160826	0.00037267428706400096	0.00047850311966612935	0.0011485463473945856	0.0008757761097513139
AHNAK2	2.7221936761634424e-05	1.7484646832599537e-06	3.334619032102637e-05	0.00017491882317699492	3.3279836770816473e-06	5.3707248298451304e-05	6.959371603443287e-07	2.2629750674241222e-05	2.4781136744422838e-05	0.0010089685674756765	1.7036785720847547e-05
AHR	0.00037345956661738455	2.700691948120948e-05	7.419561734423041e-05	0.0005319720949046314	9.455230610910803e-05	3.4839758882299066e-05	0.00026465579867362976	0.0006439533899538219	0.0003823554143309593	0.00028949492843821645	0.00014553162327501923
AIF1	1.4541872133122524e-06	2.5318553525721654e-05	1.2212140063638799e-05	1.53300823058089e-06	2.289460098836571e-05	6.093546858210175e-07	4.483532757149078e-05	0.0026329196989536285	1.365432035527192e-05	1.559464067213412e-06	2.9737562726950273e-05
AIF1L	8.030237950151786e-05	6.153801950858906e-05	1.9935076124966145e-05	0.000749696628190577	7.731497316854075e-05	0.00022061543131712824	2.815799575728306e-07	2.1338821625249693e-06	8.065416636782174e-07	8.584699571656529e-06	2.8543408916448243e-06
AIM2	7.232320626826549e-07	0.00021802105766255409	0.00014763340004719794	3.124575596302748e-05	7.462109351763502e-05	1.1054493853634995e-07	0.00016789499204605818	0.00013153230247553438	0.0008523200522176921	7.522364739998011e-06	9.137248525803443e-06
AK2	0.00022813535179011524	0.0003220773069187999	0.00019474084547255188	0.0003356523811817169	0.0008086346788331866	0.0007976234774105251	0.0004269783094059676	0.0003323655400890857	0.00029402735526673496	0.00022151241137180477	0.00021031091455370188
AKAP12	0.0005833617760799825	4.242733211867744e-06	0.00010340361768612638	8.436601638095453e-05	3.420544317123131e-06	1.45866818002105e-06	8.645350249025796e-07	3.876013124681776e-06	5.5451153457397595e-05	0.0008713213028386235	0.00014932102931197733
AKAP13	0.0002917220408562571	0.00021439064585138112	0.0003250938607379794	0.0004668374022003263	0.0002706381492316723	0.00020921503892168403	0.0009989799000322819	0.00041724464972503483	0.0008320711785927415	0.0005485306028276682	0.0005062216660007834
AKAP2	3.3287215046584606e-05	0.0004712157533504069	0.00021550394012592733	0.0003078355803154409	6.868308992125094e-05	2.5565041141817346e-05	0.00011092766362708062	5.3041181672597304e-05	0.0008391292649321258	3.158676190651022e-05	9.728597433422692e-06
AKAP5	1.457062808185583e-06	6.615853180846898e-06	4.784489283338189e-05	1.0205545549979433e-05	0.000396630319301039	0.00013742582814302295	0.00039040084811858833	3.6210731195751578e-06	0.00031539375777356327	1.6036085071391426e-05	2.7805721401819028e-05
AKR1A1	0.00026870498550124466	0.0013499020133167505	0.000680492608807981	0.0002515478408895433	0.0003148841788060963	0.000644634768832475	0.0004770121886394918	0.001108972355723381	0.0005756373284384608	0.00045834764023311436	0.00036956407711841166
AKR7A3	1.6133890312630683e-07	3.131261507860472e-07	3.342358013469493e-06	5.639619757857872e-07	8.66421601131151e-07	0.0017967631574720144	3.083382580371108e-06	1.0269166068610502e-06	7.502323455810256e-07	9.018193850351963e-06	5.462505896502989e-07
ALCAM	4.928194175590761e-05	0.0001738290739012882	4.073756645084359e-05	2.567511546658352e-05	5.0708087655948475e-05	0.0016380171291530132	4.202471245662309e-05	0.0003515384451020509	9.774522186489776e-05	6.533718988066539e-05	0.0002123373851645738
ALDH1A1	0.00020995343220420182	8.680365681357216e-06	3.0591188988182694e-05	1.0979310900438577e-05	9.198798238685413e-07	5.226580128692149e-07	6.995515491325932e-07	0.00030457350658252835	0.00018130629905499518	0.0004055083845742047	0.00026351664564572275
ALDH2	0.00024599803145974874	0.00025785365141928196	6.707977445330471e-05	0.00024480075808241963	5.975051408313448e-06	0.000209541802178137	2.4144385406543734e-06	0.0012461028527468443	8.733662980375811e-05	0.00015482213348150253	0.0003244253748562187
ALDOA	0.0005650873645208776	0.000404621590860188	0.00047438699402846396	0.00023096635413821787	0.0006927823997102678	0.0010871062986552715	0.0009518729057163	0.0011648725485429168	0.0003834989620372653	0.000327714835293591	0.00034517707535997033
