Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27
ABCC3	8.639123734610621e-06	2.023504976023105e-06	9.285538453696063e-07	6.335997113637859e-06	2.521698479540646e-05	5.845282089467219e-07	4.033248615087359e-07	5.600791337201372e-05	3.1286926969187334e-05	1.0630061296978965e-05	2.7679816412273794e-05	1.3062269772490254e-06	3.4982611396117136e-05	0.0007947651320137084	4.652561926832277e-07	3.8607649912592024e-05	7.237599106701964e-07	5.37329979124479e-05	2.352474893996259e-06	3.926497356587788e-06	5.524063908524113e-06	8.030045864870772e-05	4.662620369799697e-07	4.510913277044892e-05	9.223428776294895e-08	0.000895296223461628	5.194663117435994e-06
ABCC4	0.000262000277871266	0.00027477979892864823	0.00023223701282404363	7.741940498817712e-05	1.7114798538386822e-06	4.830918987863697e-05	0.00013607647269964218	0.00022941456700209528	0.00020421350200194865	8.222019096137956e-05	0.00022778513084631413	6.1516031564679e-05	9.87671683105873e-06	0.00018960067245643586	9.900373697746545e-05	1.045234876073664e-05	0.0001017201502691023	0.0002761056530289352	0.00011650731175905094	0.00045426219003275037	6.509023660328239e-05	8.858743967721239e-05	0.0015021173749119043	4.7589733185304794e-06	0.000168181664776057	0.00012836317182518542	0.0004111577873118222
ABCC9	1.2623974726011511e-05	4.670198450185126e-06	1.1420877399359597e-06	1.7206621123477817e-05	2.4063720616140927e-07	7.451450869666587e-07	2.657927211657807e-07	4.215690933051519e-05	6.341711468849098e-06	0.0004139092343393713	1.8012806322076358e-05	2.991145038322429e-07	0.0024213131982833147	2.0384726667543873e-05	5.143539851815149e-07	2.5659758193796733e-06	1.2897470469397376e-06	1.240959591086721e-06	3.978339736931957e-05	3.2076018214866053e-06	4.664569132728502e-06	0.00020141463028267026	3.778588677505468e-07	1.9346019541899295e-07	4.3981222574984713e-07	2.2826338863524143e-07	4.875889771938091e-07
ABCD4	0.0002715194132179022	0.0009643342928029597	9.289151057600975e-05	0.0002473419881425798	4.339686711318791e-05	0.00022372409875970334	0.00025570529396645725	0.000351772119756788	0.0002330926072318107	0.0002593064564280212	0.00021887323237024248	0.0001786370703484863	0.00016447441885247827	0.0007130589219741523	0.00034640144440345466	0.00022575841285288334	0.0002285204827785492	0.0006255597108975053	0.000309306284179911	0.00016301573486998677	6.57767232041806e-05	0.00040260644163936377	7.073731103446335e-05	4.123167309444398e-05	0.0003035109839402139	0.00015136116417124867	0.0001898260525194928
ABCG2	5.620149750029668e-06	4.260992341187375e-07	1.2167008208052721e-05	7.348794952122262e-06	1.8661281728782342e-06	8.988901072370936e-07	8.453159949795008e-08	2.5613080651964992e-05	6.460129498009337e-06	7.479382475139573e-06	2.4980995476653334e-06	1.3625276551465504e-05	6.07258743912098e-06	1.350217189610703e-06	1.8440767917127232e-06	4.2923019805130025e-08	6.1008955754005e-07	0.0015084154438227415	3.008345447597094e-05	2.7246145691606216e-05	7.377000201813644e-07	0.006882167886942625	1.498594173199308e-07	9.301579098064394e-07	1.4031847967999056e-06	1.3320523066795431e-05	4.654217207189504e-07
ABHD12	0.00026309819077141583	0.000784258940257132	0.00046083019697107375	0.00014865731645841151	0.0002469377941451967	0.00010255935922032222	0.0001534148759674281	0.000253755075391382	0.00048512115608900785	0.00016736460383981466	0.00011812601587735116	0.0003729815362021327	0.00011680871830321848	0.00027842362760566175	0.000298226106679067	0.00026171308127231896	0.0002352989831706509	0.00011960011761402711	0.00023425875406246632	0.0004887862596660852	0.0002040941471932456	0.00030776631319895387	0.000318593461997807	0.0005495938239619136	0.0002919108956120908	0.0007859604666009545	0.00012336898362264037
ABHD2	5.809848880744539e-05	0.00028322060825303197	4.887593604507856e-05	0.00015115486166905612	9.313430200563744e-05	4.3932494008913636e-05	3.7771656934637576e-05	3.76626594515983e-05	9.528347436571494e-05	0.0001542355603305623	0.00022408145014196634	0.0001654006337048486	9.729296289151534e-05	0.0002482167910784483	0.00018600735347718	0.002586210146546364	0.00012587431410793215	9.641183714848012e-05	6.199171912157908e-05	2.2545616957359016e-05	0.00011687249934766442	9.814148506848142e-05	0.0002972737711388618	0.00016930235142353922	0.00012268335558474064	0.00017760542687028646	0.0001091566591640003
ABI3	3.055027264053933e-05	0.00017597785335965455	1.4547551472787745e-05	3.4866854548454285e-05	5.255117798697029e-07	0.0007714934181421995	0.000360101112164557	0.00010434336581965908	0.00015088373038452119	7.793639724695822e-07	6.102849283706746e-07	0.0003974281717091799	5.639231858367566e-06	7.643859021300159e-07	0.0015987198567017913	5.083556970930658e-07	3.251276211813092e-05	0.00044260069262236357	0.0003093905688729137	8.896503277355805e-05	2.9422315037663793e-06	0.0001969983131857589	4.55642975794035e-07	8.838340477268503e-07	0.00021397156524471939	0.000585529487580061	0.0010068888077512383
ABI3BP	2.6863002858590335e-05	1.5255104699463118e-05	1.7322090570814908e-06	2.97469650831772e-05	2.1000403194193495e-06	2.3365410015685484e-06	6.889071073601372e-07	7.184428977780044e-05	3.353253850946203e-05	0.0009522520122118294	0.0002923931460827589	4.986669068784977e-07	5.2494873671093956e-05	0.0018136784201487899	2.0743604522976966e-07	9.981835802364003e-08	2.1350831502786605e-06	1.4408999049919657e-05	8.748048458073754e-06	9.50261892285198e-06	0.0005773039883933961	2.8016513624606887e-06	1.9609337869042065e-06	1.2795133841336792e-07	3.5666661801769806e-07	8.333007031069428e-07	1.6428083426944795e-06
ABLIM1	5.8963309129467234e-05	0.0007166690775193274	7.711189027759247e-06	1.927777884702664e-05	2.7282840164843947e-05	0.00017695873975753784	0.00047071906737983227	7.888099207775667e-05	0.0003696186759043485	3.9496411773143336e-05	2.1318379367585294e-05	7.832027768017724e-05	1.6973803212749772e-05	0.0005365934339351952	0.00047393489512614906	4.5681819756282493e-05	1.408089156029746e-05	0.0006865036557428539	0.0010305051691830158	4.131461537326686e-05	0.0003423882299102843	6.136832962511107e-05	1.2396928923408268e-06	2.7469097403809428e-05	0.0008764610975049436	9.99874487206398e-07	9.826731911743991e-06
