Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23	Topic24	Topic25	Topic26	Topic27	Topic28	Topic29	Topic30	Topic31	Topic32	Topic33
AC079767.4	7.513034461226198e-07	0.0002505374141037464	1.324283545045546e-07	1.3598420878224715e-07	1.2493419490056112e-06	1.175714743339995e-07	9.501492570507253e-08	9.696483402876765e-07	0.00012058517313562334	3.08930736991897e-07	6.654645545722815e-08	7.678027600377391e-07	4.932840624860546e-08	2.955918887437292e-08	3.9978658605832607e-07	8.490133929228705e-09	9.796175959309039e-08	9.684688961897336e-08	6.079139893699903e-06	2.6691839138948126e-06	1.3540478960294422e-07	1.5844214829030534e-07	1.9887679059138463e-07	0.0021374281495809555	7.855655326238775e-08	3.5873424621968297e-06	2.6097464456142916e-07	3.3684824529700563e-07	2.442853883621865e-06	3.163400833727792e-06	2.0169910186496054e-08	4.018206212208497e-08	2.037039621427539e-06
AC092580.4	4.7641391574870795e-05	5.013088753003103e-07	3.931162666503951e-07	1.0163552133235498e-07	4.335237917985069e-06	3.8752667023800313e-05	7.835902238184644e-07	1.338366359959764e-06	9.52776204599104e-08	4.562567937682616e-06	5.142514680755994e-08	4.023786459583789e-05	2.671010008725716e-07	1.7517947981104953e-07	2.7653496204038674e-07	2.121212716588161e-08	1.2790171410870244e-07	0.000714764348231256	2.869634954549838e-05	2.3437976778950542e-05	2.3639634605387982e-07	3.7214329040580196e-07	0.0027065204922109842	1.500161670264788e-05	4.0989029059801396e-08	1.3839448911312502e-05	0.0005997915286570787	7.713276204412978e-07	4.16126840718789e-06	4.455848738871282e-06	8.703314233571291e-05	6.92215351705272e-08	1.3077502444502898e-05
AC093642.3	3.591744359709992e-07	2.1213618310866877e-05	2.5987372964664246e-07	1.63589993462665e-06	2.76075837746248e-07	3.1575805081729413e-08	4.776424589181261e-08	5.864102377017844e-07	3.1521088317276735e-07	1.1505308350479027e-07	3.957251010433538e-06	5.833081786477123e-07	4.027296895969812e-08	1.5329204927638784e-07	8.063713607953105e-08	0.0018219128251075745	6.151152120992265e-08	3.377129331738615e-08	3.559457582014147e-06	1.8414721125736833e-06	1.0556026808217212e-07	1.1110422093452144e-07	5.694351301599454e-08	3.5404585929654786e-08	6.758051540600718e-07	1.5845421330595855e-06	1.2120384781155735e-05	1.9318076738272794e-07	1.8741707208391745e-06	4.890470677310077e-07	9.888018404069499e-09	2.832798884355725e-08	1.0628305062709842e-06
AC093818.1	0.0020625987090170383	2.911313458753284e-06	6.912955996085657e-06	3.443843888817355e-05	6.637415935983881e-05	1.465773402742343e-05	6.556769949384034e-05	8.675048775330652e-06	6.801215204177424e-05	0.0027152234688401222	5.393686933530262e-06	1.324862660112558e-05	8.618699780527095e-07	8.897745829017367e-06	0.00015322181570809335	4.287509511868848e-07	0.00010176464274991304	0.00033652351703494787	0.0004724892205558717	1.084464201994706e-05	6.74399814215576e-07	3.7263180274749175e-05	0.0004331486998125911	0.00011278231249889359	1.5365118315457948e-06	3.389907942619175e-05	9.760226384969428e-05	2.320266730748699e-06	0.0002758348418865353	0.004872686695307493	0.0002442137338221073	0.00017724795907270163	6.767710601707222e-06
AC104699.1	1.3469642681229743e-06	2.8075214686396066e-06	1.594868450638387e-07	1.0151703833116699e-07	5.176703439246921e-07	1.4972672488511307e-06	2.1629092827879504e-07	9.690130582384882e-07	5.49081050849054e-07	0.003310299478471279	3.907366163957704e-08	2.2655790417047683e-06	5.0038607923852396e-08	4.875304071561004e-08	1.5801488473243808e-07	5.845238515433948e-09	7.955649294899558e-08	1.063030055092895e-07	5.9906262322328985e-05	4.372079729364486e-06	2.1232263236470317e-07	1.9586477151278814e-07	3.152166527797817e-07	0.0007507554837502539	7.899701159885808e-08	2.8340373319224454e-06	2.9812392199346505e-07	3.294370856110618e-07	0.00031632324680685997	0.011453438550233841	2.056307124576051e-08	4.9716160077650784e-08	3.1552342534268973e-06
AC133644.2	0.0002477405359968543	2.4871092136891093e-06	7.366044428636087e-06	1.493425588705577e-05	6.86815292283427e-06	1.118884301831713e-05	2.4780165404081345e-06	1.911879280669382e-06	2.8737351385643706e-05	1.6817577488836832e-05	2.3384514861390926e-05	2.40877088799607e-05	3.424246096983552e-05	1.5719240309408633e-07	4.4596643533623137e-07	1.13948878777137e-07	1.1437537068559323e-06	0.0033186739310622215	0.00014154995733406395	6.9964639806130435e-06	4.896405130239145e-07	1.7942342083188123e-06	9.651593427406624e-05	7.100973107299069e-06	2.0882667683963518e-07	1.908544982143212e-05	6.835443491581827e-05	4.7516607537545497e-07	4.555545274342876e-06	1.821070873120334e-05	4.3637857743306085e-05	5.283399150357582e-05	4.071884177392349e-06
AC233755.1	7.322506121454353e-07	1.4077817240831791e-06	4.527496457740199e-07	8.64487006424497e-08	9.159953719972691e-07	1.4328286113141075e-07	1.795993682662811e-07	6.396173830580665e-07	4.398585673470734e-08	0.00235725031234324	4.337228887152378e-08	3.1714803299109917e-06	3.941815052144193e-08	5.6328030240138105e-08	1.1807066613300776e-07	5.63698643318844e-09	7.190428874537247e-08	1.265560456431558e-07	0.00012047542986692861	5.599462383543141e-06	2.1564197538737062e-07	1.2535286941783852e-07	9.915556375972301e-08	1.5904774045338854e-05	1.580948151058692e-06	1.824446371756494e-06	1.2371117463771952e-06	1.0654488278305507e-06	3.3912508570210775e-06	0.0018110534874722362	1.3901077409173013e-06	3.110797308636393e-08	1.2677186305154464e-06
AC245100.1	0.00016158154176082462	0.00013109261635690928	5.539427729672752e-05	6.310814205789939e-05	0.0001628799072932452	3.48591165675316e-05	0.00012977709411643445	1.7281727195950225e-05	3.509977977955714e-05	1.3733755622524768e-05	3.85221210308373e-05	0.00011322558566462249	4.036829705000855e-05	5.28113087057136e-05	2.4144641429302283e-05	7.770560841890983e-06	5.084596068627434e-07	0.00029716716380789876	9.468572534387931e-05	0.00013908438268117607	2.5065386580536142e-05	1.727042558741232e-06	0.0007751111988909543	0.0005209961673244834	2.392803435213864e-05	0.0001482500956626609	0.0005373433814384043	0.0001524437393527478	0.00011567187902983278	1.5562831322313286e-05	0.0007383166230283678	1.6604656138952123e-07	8.00453926785849e-05
ACACB	2.682063313841354e-05	2.614342338347342e-05	4.7709439968457446e-05	1.3967671293357853e-05	1.127301948145032e-05	3.7882452943449607e-06	3.793005089391954e-05	5.7903820561477914e-05	1.827936648624018e-05	2.475216388120316e-05	0.0003252913011237979	7.56371155148372e-05	9.825427696341649e-05	6.90657088853186e-06	2.548682687120163e-06	0.00011043392441933975	0.001279001822695136	3.0019940822967328e-05	2.4390934413531795e-05	8.319953485624865e-05	0.00039002715493552387	6.909625517437235e-05	8.435530617134646e-05	3.9242353523150086e-05	2.2038152565073688e-06	2.7060528736910783e-05	4.082331361132674e-05	0.00010278620902681723	2.42188289121259e-05	0.00013253375072963536	0.00010349867807235569	0.00022986123804003	0.0002524958981666714
ACAT2	0.0008327911491505802	0.0004967072745785117	0.00020689194207079709	8.678405720274895e-05	0.0003852342488244176	0.0006952965050004423	0.0001515372860012576	5.745812086388469e-05	9.699768270365894e-05	6.394055526470765e-05	4.648102549253963e-05	0.0002962791477330029	0.00021682701481040567	0.00030923407757654786	0.0008018736261874437	0.00015351308684330434	8.057465311139822e-05	0.00035717428545467556	0.00020063624833710492	0.00045926979510113597	0.00014666291826870292	0.00013383488112594932	0.00016820809105411172	0.00022515446471516043	0.00033325087861157954	0.00016319392307195812	0.00047586142318323255	0.0003883923636749387	4.019852713099681e-05	4.482728036236949e-05	0.00045331305591389537	3.410342469578609e-05	0.00013997999485582113
ACE	1.3126629028192838e-06	3.482612100924598e-07	8.137928489304613e-06	4.4257492845645174e-05	3.371604634594405e-06	2.6745435661723604e-06	3.169531191815622e-05	2.073453288176097e-06	0.00017386219406034797	1.0130617738468572e-05	0.00015826543676666915	1.8565418940852396e-05	1.3043775197729701e-06	6.024814138072543e-05	2.8249178285477683e-06	1.1289831491012592e-05	0.0003518855373840779	3.7344986481002707e-07	1.2893518942291848e-05	5.2265433623688295e-05	5.17538319400046e-06	1.0157956239709165e-05	5.342848226064234e-07	4.1368087977389223e-07	7.776619895594195e-06	1.1628236279648263e-05	2.2084905140218325e-06	3.7032099498901516e-05	3.933110201614909e-05	1.476558963986463e-06	5.6845245126169175e-05	0.0020478032529354095	9.948338629328646e-06
