	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
B	0.003234897330555173	0.03947531797195042	0.0020864086128869635	0.002809357704095312	0.008273683717981652	0.012272047673296791	0.006924956808146474	0.05191673566440925	0.0028092904001445714	0.001974064645201043	0.03828366470530659	0.005316147908237276	0.0005411231868588327	0.06143341959786804	0.0053485112324725284	0.000528856611325407	0.5239086991697453	0.00405637836724781	0.08133945893921818	0.0010363299804159887	0.0019022732010961843	0.001460598173053995	0.0027811316180773125	0.00930106751553719	0.004438576217017167
CD4Tconv	0.009071985103237812	0.21102737557560358	0.03739090910770503	0.02484413579996678	0.50921379885757	0.6121037728527305	0.05849399828534586	0.5992712882684859	0.019133154780762215	0.008176873325719689	0.5431953329341246	0.08167578720814374	0.012702161482546093	0.016429064988071108	0.005735776904036178	0.005697802759403638	0.02044518514361121	0.043563933993606224	0.536422013669082	0.008044553521843897	0.017006777270898138	0.01444398273957108	0.010872641119879664	1.5556543975109485	0.036108050432787496
CD8Tex	0.006327820108028021	0.07866078843443487	0.008869294895090264	0.006771176205615351	0.8724397705691983	0.62710117521911	0.032464056518508096	0.14199489325855608	0.0062234007646373	0.005231648327744317	0.2986923210024676	0.01600529708756112	0.002098718865608154	0.011671424812883741	0.001462852444750377	0.0016222799836900258	0.00860418321217213	0.017891737542173616	0.26018461625361616	0.002661994043637964	0.004384858459483966	0.004867635167881441	0.005155463174789876	0.470391509726597	0.03623185711143893
Endothelial	0.0043679060641919325	0.1100847061087351	0.006307216332036577	0.01186494664234174	0.00389069679791714	0.005414254367271176	0.015606034264943386	0.0338723285952526	0.007569917401997355	0.0008043334517558943	0.04270997187593324	0.003861278077968874	0.0027761634647891324	0.0030887220454183704	0.00025003667880459134	0.0059710309458978926	0.0015762373464286747	0.03078018930545725	0.04288138754791525	0.5416952179620435	0.006932475040846186	0.5050991095847436	0.0036770218989813645	0.007472952848482529	0.007745197306229303
Fibroblasts	0.00020398265041481084	0.290622386009799	0.009657856977126365	1.0669486365771237	0.003602781500505566	0.013775235270598008	0.2076622498020925	0.12700909531762705	0.004504643916308907	0.0020491980604695997	0.09393722398853047	0.6534687257625332	1.2228242573459354	0.003609654354170456	0.000899272756195376	0.025003152527318353	0.001217905787656144	0.1342798146028186	0.10660442863091667	0.0038811118912572993	0.015273067211520469	0.029651319701190032	0.009399400386018051	0.005962491649174801	0.00508104475829837
Malignant	0.003927791912277817	0.11930981877612475	2.1705129901106797	0.07999100709988784	0.008410662333318617	0.0209477484916888	0.04799173273092474	0.2365123342937783	0.007984735523365968	0.008014553340120991	0.23087153958923404	0.18265458931525422	0.03142042734797894	0.015474292775185023	0.0023021249452250705	0.021753524449988144	0.004779155513323387	1.522313644770897	0.08797352345059271	0.014261988875847648	2.214533193022135	0.06078301399646777	0.013371755699961275	0.01822598962546079	0.1598601103914505
Mast	0.0	0.0029336289194169477	0.0005825513939128627	0.0004396592754333418	0.0019428340302243003	0.0023359220516802363	0.011046391971427687	0.006507214639678411	0.00015245271205277554	0.10515303006549404	0.009332848160176837	0.0021505403332903817	0.0002931712545177851	0.0034880550765733387	4.185237670235031e-05	6.719121782115495e-05	0.0004043116508469454	0.0014617173017618887	0.010570824144542686	0.00016067067980893692	0.00018840017552321678	0.00017467969568213726	0.0033796608649717987	0.0035852698341505376	0.001219013520394058
Mono/Macro	0.0	0.043858847062425974	0.006686634612625667	0.004111032889359716	0.006572581721156896	0.01289357495716929	0.008873841438487459	0.07746460975078528	0.0022163714212870937	0.001158398670003014	0.04692824871963343	0.007685940022614525	0.002185244129385786	0.6543476822876192	0.0005925958844595959	0.000846939749012843	0.006710891663588277	0.018910271655387455	0.013250930231888974	0.0020705940466593568	0.0037703325655175173	0.0036045509144831266	0.7698065459139556	0.006345938920352236	0.021805936106514892
Myofibroblasts	0.0	0.07560198378548096	0.0019126704731383956	0.04718055200019828	0.001836951339947936	0.0024691635265965857	0.1931140673450619	0.019461870522963685	0.013898276559204219	0.00027980157562303436	0.018331950627777382	0.037293441122833206	0.027140392733742448	0.00039115890447166956	0.0012932092252502098	0.299238928693901	0.00038145091914679825	0.03351863975512898	0.03344067507674821	0.0013354104055629153	0.0033697893856005144	0.00607235552324504	0.0010954888511659068	0.002004985983679224	0.002696062255078798
Plasma	0.3186690648969945	0.003821970438220092	0.0034419189836187333	0.001272751487287874	0.0041719673671833536	0.01007372617511272	0.005294253300415492	0.0267265094823863	0.29881548089415055	0.00022893394787000477	0.01450651983501351	0.07704221180536494	0.0010823226833552686	0.004303626845172796	0.3115541991679036	0.0001475123001587129	0.0036014046724872767	0.004636567874172417	0.023481500187388215	0.00037969886422233463	0.0003898705536138788	0.0018077827155210185	0.0010546878671062183	0.006631533368131749	0.0026982205018133104
Tprolif	0.0039852906436336506	0.00269760291856501	0.0007915957852596946	0.0007060432176546204	0.03928636430875518	0.04803209667041222	0.0014934836140668545	0.007889684004678224	0.003584420216756392	0.0005005492638968832	0.01065310112081015	0.0037561213174348786	0.0016347348620810438	0.00479604240806221	0.00823580786901837	0.0013693686555725784	0.003973011453394275	0.001756016461410402	0.0025323457153572995	0.0003953176933492212	0.0005602791936434488	0.0007116958866106506	0.0004989184462535546	0.0024100812159558987	0.14433623598263998
