Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15	Topic16	Topic17	Topic18	Topic19	Topic20	Topic21	Topic22	Topic23
ABLIM3	2.8983769880142063e-05	3.806676204476389e-06	3.1927750114846276e-06	1.0482515335752396e-06	1.9112330846837722e-05	2.1493457097676583e-05	2.9152211936889216e-05	1.2791450672011706e-06	1.7297481463174336e-05	1.1431143320805859e-06	6.440409197239205e-05	1.3249758922029287e-05	1.187761426990619e-06	0.00062343361787498	3.0458591027127113e-06	4.8947858886094764e-05	6.030854819982778e-07	0.00016124571266118437	4.659891146729933e-06	1.5390795624625753e-06	1.1250311217736453e-05	0.0006091746618039906	1.51480344356969e-05
AC004791.2	1.520983460068237e-06	2.3208242055261508e-05	7.232286236558139e-08	1.076042508429964e-06	1.632320305589019e-07	8.138511731203835e-08	4.552823895664915e-09	1.5597845504089491e-07	1.502972679645609e-08	0.0030008626636117697	1.2366624559945194e-06	4.032027391076554e-06	1.972902730074111e-08	3.3427216550308e-08	3.840035489588445e-08	3.287329519707782e-08	3.4920361713375314e-08	7.342537600152355e-08	7.871336151765718e-07	5.043956718964182e-08	2.6682085874085715e-08	1.7965950860343582e-07	3.9256698869394313e-07
AC013461.1	5.690797479473986e-05	3.1004270567791536e-05	3.251073940191418e-05	0.0001189110116683878	0.002093064831569791	0.001354558509774506	6.428774213418365e-05	3.381734495633282e-05	2.519421286706347e-05	3.260681114625186e-05	0.00018629361875355244	0.00013175273488741368	1.70657458511414e-05	0.0001606547593837604	0.00019453368440736085	0.00021857778483536094	6.869111530249938e-05	0.000505733594764024	2.585360016382765e-05	0.00014946363808121532	0.0002610701776575297	0.00011093508510384709	8.047909796005115e-05
AC017002.1	7.921741598693188e-06	7.543029596490669e-07	0.00029017613269388676	2.3390193746308796e-06	3.2813028383316123e-07	2.1984993509249762e-05	9.766659481158513e-09	0.0003126809315290302	5.398691627078733e-08	9.747174772201106e-06	1.0036420462711249e-05	9.510487871011719e-06	1.0936556464002933e-05	1.754896220518276e-05	3.156393404424307e-07	6.3088791648624465e-06	1.7557973478687927e-05	8.297578460769728e-06	1.1827144135168055e-06	3.529302557581104e-05	1.4090662261878606e-05	3.2470986752741737e-06	0.0023727216757833958
AC020571.3	0.0004000092449132353	6.7082974055665545e-06	0.00018466805340722203	9.77495233200898e-07	1.6513497484993422e-06	1.3003042113268748e-05	0.0001680927671259269	0.00044740637531504035	0.00010542478412389755	0.002852019388228655	0.0004004843649454415	5.56927734578494e-05	0.0015649683773517609	3.431279367305251e-07	4.875026206718758e-06	2.49344822123021e-07	5.677021181327291e-05	5.18993545028934e-07	9.84863072517328e-06	3.3993950637523085e-05	3.092736005783081e-05	1.2778868949681055e-06	0.0002474830544088036
AC079767.4	1.3396315807767678e-05	1.924059631619457e-07	1.7062131973943906e-07	0.002037529367953539	2.6020211407740135e-07	8.21187953192748e-08	1.371087865464915e-08	1.435018219808626e-07	3.7542341146945546e-07	2.3406759282806888e-05	1.440812070541142e-06	7.379128874163143e-06	5.5762413353477314e-08	8.948541108111385e-08	3.2481841572007397e-07	0.00011701622133841738	1.278455812325774e-07	9.074756235349923e-08	4.151422388076753e-07	1.1679973965783574e-07	2.41674001699721e-07	4.741970940358442e-07	1.52749350945669e-07
AC092580.4	1.0813386325025931e-05	2.4456710434606066e-06	0.0030641902703791857	1.6578105714870617e-06	1.9587955648603383e-06	1.5795363594861556e-07	3.8396834156628756e-08	0.00042351579759269953	5.5302439960769334e-08	1.2621180758287665e-06	1.8133800040232018e-05	2.01625643967418e-05	5.971145219518803e-05	7.777224197980104e-08	1.8369470922152686e-07	1.2128958815083024e-07	0.0006340822437778115	1.4808733794779982e-07	0.00015443898155353963	6.173166912049055e-05	9.488503849297558e-08	4.874274850408256e-07	5.621133459499106e-05
AC093642.3	1.3597280030808179e-06	1.4125703273748513e-07	1.4493613775812264e-07	1.7211272279382683e-05	2.0688686674930068e-07	3.29983606661699e-07	0.001351442071609199	6.497548019979149e-05	1.57112463057274e-05	6.4127971199923195e-06	1.112094082600379e-06	3.816430762526579e-06	3.181165084242821e-05	2.715050939627872e-08	3.0977247433838784e-08	2.2719961023653923e-08	9.694247637526132e-06	8.271696287920349e-07	3.1204180572785845e-07	1.3349676919460762e-05	7.855236617615446e-06	1.5418612520079478e-07	5.548452008952154e-06
AC093818.1	0.00014566993922926486	0.003530985675752163	0.00026944372802972794	0.00012685207184404135	3.5157613638148177e-06	5.85388943363796e-06	7.658447316316597e-07	0.0003785490116570145	2.6521443032834213e-06	5.7598026614869013e-05	8.752474968787283e-05	9.516414866084233e-05	0.0001983854890568182	0.00015137891750782728	4.052122312714346e-05	7.015524170128629e-05	0.00019491833518259227	1.7709021449263673e-06	0.00014928144810255617	8.24199742055498e-06	1.7753169231582433e-05	7.75445660110563e-05	0.00037053151754662395
AC104699.1	1.886192330857739e-05	0.004436962306499481	2.45023954903445e-07	0.0009781389962881804	2.0231659902947285e-07	1.0203755209658993e-06	1.3508352658675449e-08	2.8368833682179684e-07	5.368454480958462e-08	1.0445658062963048e-06	1.667329001975304e-06	2.9269891456351615e-05	7.699454585008425e-08	4.5518468994032446e-08	9.389717803287567e-08	8.743890589357761e-07	2.4124312858475605e-07	1.7230986770755408e-07	2.074623989756219e-05	1.57657069621564e-07	3.4613425015095345e-08	3.033781013073167e-07	1.581274489126372e-07
AC133644.2	2.1812698832945898e-05	1.9821858586510643e-05	0.0006885860348120332	3.2058987926575355e-06	5.003144906368107e-06	6.243229290703312e-05	6.591888279672276e-08	0.0005127793992869556	1.2852386532813398e-07	9.599812074156944e-06	5.995997344143689e-05	3.9032816857798025e-05	3.2430623832624406e-05	2.814087929436937e-05	1.2757274134855834e-06	2.7986585337202996e-05	5.437205618363805e-05	1.2734655001622741e-06	6.276184649323113e-06	4.251091741025448e-05	2.0368639525258914e-05	1.887152507151768e-06	0.004342572297900915
AC233755.1	3.7322301977837924e-06	0.0006499880691990256	1.479605629128855e-07	1.7570850104675628e-05	1.3734846504576126e-07	2.7475144293021003e-07	5.50950254307736e-08	6.85409062839426e-08	1.0584196274976421e-07	1.2080506905931543e-07	1.893546141218394e-06	4.019938842247939e-06	9.612513167667203e-07	5.9066479707325925e-08	4.2870862415611555e-08	9.111992937960167e-08	5.68066695905145e-07	9.035863257622623e-08	0.004023791290819645	2.2036043390016857e-07	6.305419475438612e-08	1.7116032324793196e-07	1.1799618704344539e-07
AC245100.1	0.00020877450879197568	6.621792635996826e-06	0.0005216108402237296	0.0004788394726347178	0.00011699635797413066	2.1278017811710015e-05	1.372387669107411e-05	0.0008455287315882742	1.2252294254722074e-05	0.00011683387128869072	0.00013227503222879022	9.411355131305754e-05	0.0006755805807188153	5.214915290707722e-07	4.710861685452983e-05	3.376896711415611e-05	0.0005451561301015317	3.3716401958372444e-05	0.00032629858469590545	4.746581180370413e-05	4.815256761503406e-05	2.7095932182419347e-06	0.00020053780463058501
ACACB	0.0008212486864067614	3.974273568019271e-05	2.2100366550148465e-05	3.7662968679796904e-05	2.827946445904672e-05	0.00021088072389829904	7.574717164970934e-05	9.669725113781169e-05	1.59363332841167e-06	3.405243478482589e-05	9.995254367822781e-05	3.7594454624922946e-05	9.279282676288858e-05	0.0005743653164245188	3.2606328659312567e-06	1.7467176803620532e-05	7.087726407917216e-05	0.0002453551860526204	3.3177449950017035e-05	1.6414041965617798e-05	0.00019281214918009937	0.00010594199557090178	5.84334229642991e-05
ACAT2	9.715286432765424e-05	5.207539288676344e-05	0.00026928228908218443	0.00023749054525978863	0.00023487280122935772	0.00014479737728834152	0.00017124322766903788	0.0005048142047598958	0.00043129478581249714	0.00017096618830692023	0.0004528615390881896	9.327261068392545e-05	0.0004483625234570354	5.174676334718242e-05	0.00044955892371945083	0.00011819609790109098	0.0003836569667328149	0.00013473712897393852	0.00024412455968558788	0.000656282645650208	5.3530133300228044e-05	0.00015004359011072665	0.0004021481436211616
ACE	9.036943083629012e-06	1.3859409591532312e-05	5.034729042563413e-07	2.657443189946207e-07	9.924092410074081e-07	5.488150054588914e-05	2.6146597519982606e-05	1.6327931007253937e-05	1.187096927424136e-06	7.46259611332789e-05	9.516578575130552e-05	1.5729245205875486e-05	5.4889860621187836e-05	0.0014001568779349327	1.7501128240837716e-05	0.00015645335952285677	7.352617558353813e-06	2.193052932852879e-05	1.0626000630509225e-06	4.898933184449561e-06	0.00012199255434097722	5.5315344070550054e-05	6.178960916258802e-07
ACER3	2.4336710339412093e-05	7.845918298698962e-05	0.00014613523671869189	0.00014904870477039367	9.006269101519138e-05	0.00030057120602577925	0.00012005856115138158	0.0002496509987395257	5.641210009343922e-05	0.0009396310779266059	0.00041503756074234843	9.524571214569733e-05	0.00010720246064011008	0.00025122356601059437	7.579238445032388e-05	0.0005051814951002598	0.00023342722852248698	0.00018494880350772291	0.0002906992449425161	0.0001436532911611721	0.00014429450675379485	0.00010960329382214695	0.00015838978288229555
ACKR1	4.3267402361379936e-05	3.705188191815978e-06	6.222453521331772e-07	2.71073213298223e-06	4.2229453356412705e-06	6.699837058476987e-07	4.786888041508064e-08	4.807152436114848e-07	1.2313208230807504e-07	3.8374352584469307e-07	5.6858275456761476e-06	5.342980512068607e-05	2.065893340841285e-06	0.0007539320504292846	9.040496138368326e-07	1.763177550628825e-07	6.557256710948423e-07	1.452727019568556e-06	1.5450054888788145e-06	1.1786070217567612e-06	7.870468721193902e-08	0.0015099553856998682	1.466671619709814e-06
ACOT7	4.311377051635645e-05	2.1449050109367818e-05	0.0009002122678793967	5.373863132263068e-06	0.00012415203673299402	4.129113585804589e-05	2.6028881620732136e-05	0.0003456789709161967	0.0001222764840349555	0.0012553769629448652	4.958857607562095e-05	0.0001246771716978401	8.086094749160111e-05	0.00018823100253939629	0.00010552959429332986	0.00010775718692457303	0.00014600614667870104	3.4099350159522146e-05	0.00015999955940060318	0.0008034074562601745	7.561045640613884e-05	9.61340410867706e-05	0.00028661510441452265
ACP5	0.0005573400994762778	7.339860167121515e-05	0.0011509908363223076	0.0006529727834276855	1.1528835784702096e-05	8.433945185970515e-05	6.886228948133066e-05	0.0004225658194627613	0.0004944967804476619	0.0002661130565684289	0.00017248372023459524	0.00021100295998621732	0.00015158203314058483	1.674866894063598e-06	7.0395731199823786e-06	0.0009358319221064448	0.00019634813361335546	0.0002920118859037757	7.254936645040289e-05	6.490704254247248e-05	1.2685615729424171e-05	3.0673479614051757e-06	0.0012324280105531216
ACSL1	2.2058035028749146e-05	1.4547889804816805e-05	0.00022556462499778718	0.00014169020869303495	3.825004387181252e-05	0.00014883030962664634	0.00026582053396850824	9.864962339634076e-05	0.0004522539966274053	5.729488839278929e-05	3.851095971185714e-05	3.4471970138838515e-05	7.706969336140901e-05	6.462657620431855e-05	1.566201899549924e-05	0.0005634037661366165	9.659158968133852e-05	0.00012190976121928543	4.2520005081314594e-05	7.252058276208118e-05	0.00022099145280662924	8.603551577834878e-06	0.0005197827122174203
ACSL3	0.0002654889540281147	0.00011255637218710035	0.00013206942821852863	0.00020530969777610153	6.982332706684247e-05	0.00022423554037231952	0.0016147607238963246	0.0003469073271844536	0.0006545311189256608	0.0002291310956934467	0.00011946344602620229	0.00012916841660626233	0.0002570590586401522	0.00023471830354537815	0.00010036495223175734	0.00024243645020760596	0.0002135834947694093	0.0002771026047412306	0.00018945815099868923	0.00012284904369153082	0.00024974285042844713	9.014248644234613e-05	0.00017943899729289114
ACSL4	8.496497321175411e-05	0.00016836225404404104	0.0005528394249267876	0.0001366358919767663	0.00021412978821899742	0.00015439224080182612	3.655912905742298e-06	0.0004102705861441791	1.202559724333696e-05	0.0018508975626900792	9.312027395935729e-05	8.967161556938663e-05	0.00012212870933581144	0.00022821652237325907	5.975772728561424e-05	0.00041028487612493336	0.0001545184204587713	0.0001914489403134212	0.00010401717736385763	0.0001273476518690586	0.00021741833188571036	0.00012876784603577107	0.0008372009615413845
ACTA2	2.9981883926666342e-05	5.049055744166253e-06	5.430280361906625e-05	3.4189836242148886e-06	0.005797778256237507	0.0008573420345783234	1.8417659930491936e-06	3.015716720256023e-05	2.2564001938008005e-06	2.813745368257514e-06	4.685017847805284e-05	4.1973173210863024e-05	1.1190825716766994e-05	3.975823346991092e-06	6.147729891381459e-06	3.782974545174511e-06	2.0932631741743535e-05	5.809530557598919e-05	1.2782542398781516e-05	1.4161896615405567e-05	0.0004346061614342034	8.949637049227022e-06	6.758242670912296e-05
ACTB	0.0006126966327428818	0.00011619946599239483	0.002669896464794874	0.001336055574938655	0.0014235323760658503	0.0004921451327390969	0.0001672520156716928	0.0016344442265108228	0.0004452713765203953	0.0006107345689088106	0.0013363354373723269	0.0008371900767087936	0.0015350099420174956	0.00031232216861099005	0.0006301667308434844	0.0015358950477093458	0.002365341642871499	0.0003229117428418249	0.000978061812929809	0.0012455483665689826	0.000617586076259613	0.0008426399435847998	0.0028882366605103016
ACTG2	6.689014753646916e-06	1.8279587266079034e-06	3.701729292515665e-05	4.550945504888659e-06	0.008164508268237114	3.0448860343312845e-05	1.3570627743320074e-05	1.397080905007897e-05	0.0002046562876785174	1.0090617763580667e-07	1.789003908925224e-05	5.9696726566471625e-06	5.326900918589672e-06	4.20221823560496e-07	8.723965584067628e-05	2.817836097790405e-08	2.637213128764415e-06	7.122146712390531e-07	4.339442511991365e-07	0.00012223653902765363	5.57674638912431e-06	5.06530170696351e-07	9.670386498328298e-05
ACTN1	9.206101822201163e-05	7.933394954307005e-06	2.6736119252745993e-05	5.635787601931952e-06	0.001556886243633926	0.0009619205957278609	0.00043805938912555575	1.407395120622823e-05	0.00013296061661094427	6.308291631285101e-06	0.00022279389668256044	0.00010609855235088617	0.00019683716527651995	0.0004050253191962838	0.000162080570589751	0.000346091779647395	7.041144272079691e-06	0.0002934904186986387	2.136479270120617e-05	8.349291601916775e-05	0.0014222635654732585	0.0009634374873712659	5.2732131734956056e-05
ACTR3	0.0003258482029195875	0.00019142573000863194	0.0013680210104212165	0.0010411019902676344	0.00048337026964873075	0.000295445992378518	0.00022774984245188534	0.0015291773015633225	0.0003415853716433048	0.0008233580738306046	0.000680035213008523	0.0006478178547695279	0.0011002442333847284	0.0002679665049072355	0.0003520380414556712	0.0007285184692591429	0.001205186010338366	0.00014130648924037814	0.0007344097248278558	0.0005874896887689829	0.00029707333305850625	0.000501619593705982	0.0012710036244243383
ACVRL1	1.8321097741136327e-05	5.811435585201252e-06	1.8469603446646943e-06	7.003304745012429e-07	2.611085983517114e-05	0.00038278024294413626	3.228315392789227e-07	6.418667908292264e-07	6.125399636403017e-07	7.142296908568824e-06	3.477702193777077e-05	4.771076419274323e-05	1.8305679816421616e-07	0.0017258781008422375	2.912269565058523e-06	0.00011215533595532179	3.227601155231241e-07	0.000789558282122016	6.453199603129178e-06	2.5537337933201343e-06	0.00020062262774445117	0.0003452171222306788	5.567709649767494e-06
ACYP1	0.00022557339980266988	5.0068589189322665e-05	0.0003130189434159547	0.0001886461686808616	0.00040245146374218166	0.00019045679073315114	0.00024921586737036705	0.0008165498147718608	0.00014128658222034574	8.784080273471773e-05	0.0001337349967798218	8.204534242395312e-05	0.00026856863405555487	7.546011329395697e-05	0.00019402886391617358	4.4310880184639245e-05	0.0003380917478352785	0.00022707806783728302	0.00024281903461087495	0.0007101977244019508	5.7381781516596675e-05	0.00017746609228197485	0.0002460566465742886
ADAM12	9.726762800710276e-05	2.65878679783782e-06	9.060964657692239e-06	4.750635525851976e-06	3.5153987028024858e-06	0.00031467818189412355	1.4501719078907627e-06	1.1450882993813138e-05	2.220270971520222e-06	0.00029875471955165267	0.00038337771547958255	0.000136800721520558	1.9007755327038467e-05	4.034697269617027e-07	2.6658201477403054e-06	8.833125320961699e-06	2.337997784707113e-06	0.0006468239589594305	4.194857865513768e-06	5.505288754648063e-06	0.0017034054035320878	6.962144198041642e-06	0.00012081959721399471
ADAM15	0.00013489212142303586	7.492685108445585e-05	9.739319648360834e-05	2.372153176111169e-05	9.655518806539476e-05	7.522357191191986e-05	0.0004998305812478065	0.00010049053526017815	0.0005710149998776615	4.2072679207194597e-05	5.8722584071801975e-05	0.00016276675160042942	8.202456956496462e-05	0.0017770037520676851	0.0002026691217906773	0.00015729387814644724	5.427875657915138e-05	8.076622179942206e-05	0.00010496885079191998	0.0002798529458232224	8.340098429471254e-05	0.0009377009700983763	0.00015920778969302773
ADAM19	5.891200635232963e-05	0.000371951813576743	0.0009001154685392976	0.0008896203944459558	1.3234465768618975e-05	0.00020786041568499058	1.7124595785844576e-07	0.0011156913824379444	2.6894744564742723e-07	6.0002232203260064e-05	6.575832958333194e-05	0.0001656209205975756	0.0001477744081057608	7.546694541815668e-05	3.0846874778944766e-06	6.235511682461947e-05	7.90744525147602e-05	3.378682959009893e-05	7.707256736466661e-05	3.925233249901794e-05	0.00021649930567946285	5.431206773209851e-06	0.0002655883436091244
