	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
B	0.005113959751424266	0.2071712832622836	0.22151021877687554	0.0005581114676690613	0.0030588635813499567	0.028749893836608566	0.0023981601427059624	0.0605804135191416	0.0018169045871624348	0.0007400393713437654	0.0013749408578543033	0.009313805912530277	0.0013379611927941677	0.11710845281381088	0.013040553040514177	0.0012654500643588871	0.004794598557565378
CD4Tconv	0.006218029132428809	0.0192398332093951	0.009043850826136433	0.015897909409678248	0.0337809313108118	0.11562266584869275	0.019146283125120105	1.1584787775791392	0.027647144543004997	0.007462458122235251	0.01148422236773154	0.7075736096972126	0.024079969423603655	1.1531349708750793	0.070134947209721	0.01045445728133103	0.3089566716933735
CD8Tex	0.0014624876181920485	0.012209342780891898	0.0037232227603289773	0.003217894103513944	0.03071833948665674	0.05898381914304909	0.004643438370304219	0.3841674213603115	0.003404047879339754	0.0022088283216975283	0.004265808609005485	0.8667426100977924	0.00484712276571639	0.3707268295775443	0.033629144890338386	0.0030749056343341344	0.6129941137550224
Endothelial	0.00038308366971250886	0.004831813735066198	0.0009515045764196785	0.003307980217190428	0.00834988126323504	0.06966677041012231	0.026890293364303187	0.008191304401044248	0.010109260865218683	0.006678199405849205	0.0031191962138943973	0.004805454978034636	0.005980936868275092	0.011233295427699538	0.03437086604732001	0.536577422209268	0.0053989216666254095
Fibroblasts	0.0009966587805748841	0.003708857696212909	0.0011728411724738319	1.2040189718778938	0.005694610911807529	0.1076070435082944	1.0244451795138598	0.008364001513178072	1.0510098368222802	0.024680232360540063	0.008385129292552366	0.003902763109575189	0.00846384681345994	0.006779419331478151	0.48704121648681353	0.003774006445269218	0.013374207676209745
Malignant	0.0038668120662977445	0.008387327466004724	0.004991216211021293	0.08676607780471374	0.1876217842740308	0.8504495480301516	0.03531641787469983	0.046345003681561865	0.09937519661660864	0.0401124637478454	0.02473985414795287	0.006870511716789643	2.224893145463884	0.06768874366047539	0.6391313237769616	0.030210381713881393	0.03159526158988338
Mast	9.125659533800571e-06	0.0026884797979066254	0.061825335702259454	0.0004986103855630397	0.0010222439343832153	0.0067839265296972436	0.004042643613477874	0.0017963454907310294	0.0005417519664579059	0.00011112025288876862	0.01567634488771331	0.002417623114750451	0.00048092294841472057	0.002814307797521675	0.004288156891036266	0.00019730023006216926	0.007261352989548125
Mono/Macro	0.0006774322578462056	0.4365051160777513	0.0009791879264068539	0.0027590039345310197	0.020203977705362326	0.05357816395170954	0.0037978396692269303	0.017903138540659114	0.004097544607217876	0.0011059068236960931	0.6766008228935323	0.00620474244773714	0.003946389338480439	0.012722713839798146	0.006589940005955487	0.002372113684789001	0.014714923658267832
Myofibroblasts	0.0012572185605741887	0.0005602062194192578	0.00023157110226108097	0.022637552243083843	0.002860337947482167	0.032000590940211626	0.04549611849533024	0.0013851251197529776	0.0483309209104548	0.2956186151614467	0.0009724084914741704	0.0012929270331972819	0.0018609155876600238	0.002863357320109359	0.06145514845991817	0.0013587641673901386	0.0037580095508458855
Plasma	0.31157980307170696	0.0022512011054988874	0.0031504013530819666	0.0012482042821265183	0.0025890908516651087	0.009099226070059096	0.001259860679180286	0.011306224051725225	0.0016563333925537819	0.0007425409389201548	0.0010424647526796442	0.004028394705344148	0.0013502593020645	0.004971045493120066	0.002307990014643377	0.000815586052723732	0.0047528256341138955
Tprolif	0.00836978234515353	0.007485583688312267	0.0016153180345782614	0.0015254860418369095	0.14399385162290917	0.008935901358659827	0.0007016108994912767	0.018246850839205554	0.0014881084869991727	0.001364330283891211	0.00038050742513160557	0.02564675385728546	0.0006263942449838372	0.0017604607712801618	0.00019402838744077703	0.00040824143664674176	0.06569580118227093
