Topic1	Topic2	Topic3	Topic4	Topic5	Topic6	Topic7	Topic8	Topic9	Topic10	Topic11	Topic12	Topic13	Topic14	Topic15
ABHD2	0.00016255583614110947	0.00021179906616453081	0.0001685403403826058	6.503879558295012e-05	0.00026533036725595593	0.00014437068603001535	0.00024266794207505882	0.00018259228090755641	0.00015935281408019364	0.00011064117279602215	4.008609175798483e-05	0.00019066703680437058	0.002217802219092846	9.666805271990597e-05	5.1648541557369754e-05
ABI3	8.005072231753729e-07	9.622218613003497e-07	0.0007222243002615869	6.651097010035301e-06	0.001547221327200532	5.393949777499074e-06	6.107025001256261e-06	0.0006770208128727973	0.00020246529311407357	1.675272869761102e-05	0.0004262239672243595	0.00030009628972038627	9.582729632029441e-08	0.00043528061360120773	2.7521311494638212e-05
ABI3BP	0.0009290504385717213	0.0003960131434723735	3.930612137992284e-07	0.00013294810196384788	1.6761706547185895e-06	1.7329772390439757e-06	1.9520734895195346e-06	6.927240860932216e-07	1.1515292044350645e-06	1.5293929891413427e-06	5.98476844970719e-07	7.282338174263714e-06	3.168735929648392e-06	9.90318221738562e-06	2.809779743984109e-06
ABLIM1	0.0001668269105721265	4.47356651420705e-05	0.0001684342132648453	0.0001124010159401223	0.0006012166268192232	2.4073922759271227e-05	6.996117463131668e-06	3.818278401013231e-06	0.0008472327026538551	1.9473227439448237e-05	0.00039832654874771833	1.5255067410180345e-05	4.4206932216184214e-05	0.0006712876493111253	1.6464016880490817e-05
ABLIM3	7.17147413524799e-05	2.1867685063625686e-05	2.0904519715259084e-06	4.2128496716031805e-05	7.427265700243879e-07	1.1631816960289143e-05	4.840985639020801e-07	4.980133235221729e-05	4.2953428192049614e-07	3.4396489354548976e-06	7.100933885340055e-07	2.625815432111267e-05	2.7677293473971076e-05	0.0006487893988378346	1.327870108980278e-06
AC004791.2	5.980562178820037e-08	4.0050245786460437e-08	7.996483475380955e-08	1.3720897129587684e-07	5.763435950711937e-08	6.196344060072079e-08	0.00020241270249243826	5.2617213697203624e-08	2.1679440465049993e-08	0.001531613408587873	4.001861668712081e-07	2.7567551796892076e-07	5.692262661227687e-09	4.6711967627288686e-08	2.701146968320245e-07
AC013461.1	0.0008568786433897913	0.00021094450494274497	4.262155562173575e-05	0.0020078246016055346	6.446744373533875e-05	8.485971920890734e-05	1.8970778910443187e-05	0.00014213265967555344	2.245465111627709e-05	0.00017194148676935583	0.0001194990036310628	0.00048758418415673077	5.770291681983508e-05	0.00014268002996686846	2.9057855499559082e-05
AC017002.1	1.9682618585648015e-05	1.4239496522350237e-05	0.001019957009702921	8.579118571105937e-07	4.332182925281813e-06	1.0100847021021764e-06	2.600204879854573e-06	1.815721952880267e-05	6.986096650507534e-06	1.0970404673571466e-06	2.3590807813889114e-06	5.59749594231107e-07	1.5826261190454716e-08	2.7917531042476185e-05	5.2579883913495e-07
AC020571.3	1.7121637938544154e-05	2.0374462110339664e-05	0.00018516220734454691	6.834908617747715e-06	0.000938698067329824	0.00043497385922819376	0.001196228782646358	3.384923275007168e-06	0.0010947698028758168	0.000345277541782707	1.4528158089888166e-06	0.00011233015538891777	0.00015656757750548422	3.594032023102045e-07	2.264213890157407e-06
AC079767.4	1.5370694939065288e-07	1.284964952219525e-07	6.73525804018027e-08	3.384618594282074e-07	2.0743377149301523e-07	4.991661626263522e-07	6.351201136567397e-06	0.00013900651538278908	1.3522685549105518e-07	5.134819502927712e-07	0.002214666921645403	1.3034788025834132e-05	2.1611016975953135e-08	1.2367443957828073e-07	3.872308127483848e-07
