	B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono/Macro	Myofibroblasts	Plasma	Tprolif
spot_1	0.17176945318423947	0.2897377542158134	0.12705296405861555	0.005384104917552583	0.32465534915352345	0.05508839420993739	0.0015708156929972643	0.008102553851488097	0.008764310692489351	0.0038449628676979707	0.004029337155645604
spot_2	0.0988973205872477	0.09269041169789181	0.07899034069988936	0.0069692332046517695	0.01907018065758073	0.48890007774086	0.0020013331991720154	0.1875911431934398	0.003135442379177132	0.003581562764171903	0.018172953875917774
spot_3	0.03325659329602383	0.21705075825571873	0.13453194103255714	0.010727226139841898	0.0737758710200819	0.3365055554123857	0.0020987021895325446	0.07158813625557676	0.11201890007086861	0.0043471455791497604	0.004099170748263173
spot_4	0.024486158498338618	0.2165480934924119	0.07842494336168998	0.008297384819192932	0.09274120423953831	0.4385100959638348	0.001670040786291617	0.04487425075765598	0.004768371348998855	0.0033121756480573293	0.08636728108398974
spot_5	0.015244283213279424	0.17820982253828144	0.09820818024957698	0.0071396811260822325	0.06335198195167983	0.30173171668741616	0.0019534712610414337	0.14800520010671928	0.03152929251642033	0.1442694312592718	0.010356939090231259
spot_6	0.04123828756434776	0.10728022209716773	0.05054829878482547	0.298572266457721	0.26917353916530906	0.15341396123493875	0.0007665379279546255	0.04759083150456572	0.019480033135635875	0.0016432293718768637	0.01029279275565717
spot_7	0.009612214879175286	0.17024871073480427	0.10277570141680896	0.008341881188576669	0.025119835907439957	0.5674558527800333	0.001631631199767405	0.035023406303656336	0.011080342928255146	0.06538885374465574	0.0033215689168268883
spot_8	0.006223203835414185	0.10357368404721833	0.03321525108878256	0.33861891074702793	0.0983750757310557	0.301093540933405	0.0006466491794374764	0.00718878756392756	0.06313012956302973	0.04528320639136867	0.002651560919332697
spot_9	0.10774360691667796	0.130548390989956	0.0702456441680995	0.02772752348380387	0.3063249053235904	0.13754781043112393	0.0024209053071731278	0.15371182331922953	0.055250708280051415	0.00400451278509845	0.004474168995195875
spot_10	0.02695607179385358	0.07227680656214766	0.07166927766751582	0.18519245471810553	0.47522982184747353	0.0366998775920544	0.015731581115957405	0.002971236622693683	0.02406946743437895	0.08488945811362014	0.0043139465321991475
spot_11	0.11878033380043695	0.15912381790010074	0.12986088538626042	0.052742199060011624	0.20252167501225138	0.24137611319379149	0.07356834691651606	0.006268721182417498	0.005736460392415076	0.004852950286968656	0.005168496868829995
spot_12	0.22924518088304063	0.0781684900713566	0.10062795472868234	0.0067642611439600025	0.159705774966945	0.033911642270208014	0.0014697962469994866	0.06642481669639616	0.1416956322339547	0.17285914927167656	0.009127301486780356
spot_13	0.00815672348688271	0.23631736511682816	0.16810692511296613	0.1028106255844031	0.07222159911172109	0.017953111933992728	0.002417034964798393	0.37465944974206505	0.002916290981970335	0.0022722668913106115	0.012168607073061721
spot_14	0.012137444885273725	0.12203521102393663	0.0846009544673035	0.005729458722053429	0.016743645417247786	0.048430282048530275	0.09182680899158119	0.6054883969574804	0.002292293164963258	0.005246013660096117	0.005469490661533687
spot_15	0.008852104942450055	0.20479678508004343	0.08700875182654064	0.39981802241512315	0.04501493211833906	0.03954377990804865	0.001808021854800656	0.07987674885639116	0.12730677022835873	0.002453037240021928	0.0035210455298824643
spot_16	0.17003744666568815	0.20872485885115796	0.13097862587648051	0.007700484686827127	0.19374501524149454	0.20133379613669053	0.001715447508638413	0.030465825309266177	0.029147805488608777	0.004401728392844841	0.021748965842303146
spot_17	0.016990967655154038	0.20535252949154234	0.12078305050116515	0.054419923033645165	0.07955483698864593	0.29975290276959626	0.0019281618447604388	0.012141052235421996	0.02267178131717616	0.1762150983221958	0.01018969584069667
spot_18	0.022208572889511457	0.037757902976092786	0.052308988905725516	0.0043633942680868865	0.3468917087807277	0.10004929674216015	0.05624969941747286	0.3613572307211849	0.007956607572168692	0.003048450747962927	0.007808146978906055
spot_19	0.04600144933514618	0.21391241705869482	0.11630115668254347	0.010264459330230985	0.15080536216711923	0.3955687522630538	0.0021322106009620716	0.011683648041742751	0.02906503409015041	0.018970940065032936	0.005294570365323412
spot_20	0.004689021803387978	0.10244614354671051	0.04894339405625499	0.005429732750061425	0.4250733564181657	0.36993133846135506	0.02239955191698873	0.00522524449910253	0.011112715780304872	0.002583164099248573	0.002166336668419675
spot_21	0.00525269915604062	0.15381571273103736	0.12447149001533216	0.22573995163525354	0.12724645052734176	0.33511256996344946	0.0008349097003961005	0.006628248302795567	0.004450083897163817	0.002132914504509073	0.014314969566680599
spot_22	0.006870001179579922	0.17165814469275964	0.1745002057833234	0.004777245083808519	0.3807788824420238	0.22681821723418533	0.0011706055130445163	0.006017046050079847	0.009581475553024818	0.012876683249777792	0.004951493218392297
spot_23	0.00643675373449031	0.2235743032636781	0.07293768909141643	0.34216153105590313	0.11628405517142062	0.21477657837263797	0.001154925337714685	0.007383390781069221	0.00697112623115889	0.0026918565271221145	0.00562779043338835
spot_24	0.009465739083580742	0.10592543091477703	0.08878330781854138	0.010754956966092013	0.3402218741766999	0.2231984786020378	0.0015855696587514171	0.01659375088041882	0.0967622193977993	0.05093353715130595	0.055775135349995765
spot_25	0.06519004789412192	0.05681550781160179	0.08263497216762537	0.003859642509289697	0.022582193718982704	0.420162862465635	0.08484382477606735	0.04692677817912188	0.0026845540056700955	0.2043055762788678	0.009994040193016236
spot_26	0.10313689158377977	0.13377795301252832	0.1044526148093649	0.06535656978485416	0.07007989912119557	0.3340340862577321	0.0021631827715430786	0.16625483145031772	0.009073731532979967	0.0027436773399336736	0.008926562335770738
spot_27	0.00900400765696269	0.18262823845125045	0.20098928495048912	0.00929832678332985	0.04539540720553732	0.3706586463135693	0.012860299317105396	0.008396494732290385	0.15070984581817884	0.003461990877124238	0.00659745789416232
spot_28	0.018301514458856638	0.16206446051606202	0.17573100397937066	0.00388455484776938	0.2690074097352684	0.2601185179093851	0.001220513907387505	0.0930389140239879	0.006321494732435164	0.0021410045843740654	0.008170611305103112
spot_29	0.010570921171884488	0.13489581103562073	0.1383914217994869	0.03423188875863779	0.3075973642659891	0.25287863643523323	0.024516586455320944	0.03967249205593038	0.04601281426718151	0.003586892284605699	0.007645171470109074
spot_30	0.1220083767850753	0.03195627289216262	0.02319588580696549	0.018398036163006202	0.04243572151805431	0.059372445816885194	0.004643842031222885	0.5118984628496126	0.0033324731762446025	0.17389832240420625	0.008860160556564635
spot_31	0.013667219231858053	0.19444085957040902	0.23455783179130368	0.013990993535998074	0.007984597134888985	0.05523038160280686	0.002696073904499703	0.3443132606091669	0.0017675012587069685	0.11803019489837736	0.013321086461984457
spot_32	0.007894514433657646	0.24880887791906106	0.18540661472282954	0.006872990935723599	0.398510653135171	0.09720826375769825	0.0015598030465843711	0.007032744701027073	0.039915459692882994	0.0029064250172427834	0.003883652638121773
spot_33	0.07512350818387496	0.02542227497596243	0.010117468509916544	0.1825817426618039	0.3328411060633774	0.02531949890275343	0.002171409767192966	0.08672396988670653	0.0937270553232604	0.15884771315679796	0.007124252568353443
spot_34	0.018265891755483217	0.09243939885070651	0.13788011268370062	0.06741394675990009	0.10981416398145347	0.2184138532713078	0.004226899685243289	0.29940355352782067	0.028986344413568312	0.0020103862621856433	0.02114544880863036
spot_35	0.007589481892177468	0.13754690100694136	0.08936500943006154	0.005921474776516616	0.3389529792762072	0.06693134079362845	0.0020854956467679544	0.2958808471871935	0.049086525113978784	0.0021520537599987915	0.004487891116528246
spot_36	0.009498714256631171	0.25653389160735846	0.08374054773085271	0.004328394812682782	0.0906186627306755	0.3933900176339675	0.0011673393186418988	0.021339104167151336	0.02591817565116237	0.1094916734365961	0.0039734786542802375
spot_37	0.020685539369989552	0.11263262241406205	0.06229166379207541	0.0711590332002467	0.0815439078761931	0.19162590575599145	0.004300901012104095	0.3642694690489124	0.016323540321726858	0.04560963331123662	0.029557783897461724
spot_38	0.009437071996817191	0.0667859669389058	0.056035561093603345	0.42693465192308794	0.25231406364075953	0.03933777078859963	0.0009714772038543308	0.004629954605901893	0.008087958942439395	0.1303479431132211	0.005117579752809833
spot_39	0.1591137562439426	0.1050141280677782	0.09174661397165701	0.0044541394716270215	0.032460985626640265	0.5016215938387203	0.0785302512273126	0.007081404400667463	0.007879542924239584	0.005063776075573908	0.007033808151841049
spot_40	0.016943125003598656	0.1763639223206652	0.11119979996919067	0.00991977722213322	0.15101757755874584	0.31048593333866487	0.0031516046931241663	0.1717604695795376	0.04100477161775045	0.004360994148995291	0.0037920245475941312
spot_41	0.0029255696728276623	0.06702043314006456	0.02352189794425334	0.27522873917657126	0.17735628527127195	0.3733314859736615	0.0005072198062785403	0.004339136828447199	0.0731222525954651	0.001772344416935438	0.0008746351742234012
spot_42	0.0525104823230271	0.06112830086935726	0.04497244430050963	0.22153927353912656	0.25396911714821546	0.2704849763447464	0.0009832843932902201	0.009161548965353584	0.008744148860538386	0.06526226675411012	0.011244156501725331
spot_43	0.01697956867096303	0.08189693822873463	0.029142504674827274	0.04988911958790073	0.06952822528381204	0.3009586560866678	0.0010196061390174624	0.10355784041443701	0.015621544231538172	0.32202296463679186	0.009383032045310031
spot_44	0.07571905573212635	0.26709280690358916	0.2210556466521025	0.004300139743971114	0.09634791359599422	0.022997886973384177	0.0023987919999299318	0.2877369066972682	0.003463371541815975	0.0033831180511041045	0.01550436210871415
spot_45	0.1515931631518111	0.13865233745460423	0.0811609733390624	0.007874387769820747	0.37167087407824373	0.18019457059633562	0.0014295287497714513	0.009816147024195516	0.011473355132111845	0.04130270360518983	0.004831959098853463
spot_46	0.18629887883599727	0.18490330983899145	0.11677253154773586	0.0033592023109518415	0.04403040840395907	0.19919291006143852	0.05139108600590245	0.005732124097072545	0.002812362510229766	0.19666920962137358	0.008837976766347613
spot_47	0.028777732153647352	0.06511143450029352	0.03403685751793942	0.007258279552235743	0.32165998458044825	0.09817331785153374	0.006044221025256672	0.40049450591853286	0.03148217129320408	0.0024650207409921644	0.004496474865916117
spot_48	0.14091283110294014	0.1842313588257305	0.10463359029192071	0.009798449986225664	0.051618827920018664	0.18236347382489274	0.0008500460247023856	0.005448212525101506	0.3108410284964735	0.0025996536008662924	0.006702527401127979
spot_49	0.03968379083839609	0.19420331520278603	0.07610224089228883	0.20175293283746315	0.13660714854897696	0.29122224878056435	0.0006563945718569973	0.0057123726865914515	0.04882161705922632	0.002252137079165532	0.002985801502684213
spot_50	0.05380702304511858	0.23997418844697038	0.14328150449470894	0.007941855566052198	0.0191248422647955	0.4667334128066058	0.0016537118717157694	0.026135706454767888	0.015617258774987132	0.00392421993538764	0.021806276338890138
spot_51	0.012725049771020382	0.06982482137197422	0.08663179895476626	0.030808748297195016	0.02811023602786651	0.4930812129824619	0.0008853870976830327	0.008738616199793974	0.0246035720059139	0.23540873415562316	0.009181823135701633
spot_52	0.14866175761977216	0.0773585623404171	0.06383183671432748	0.2677103424968776	0.343468103462039	0.05497377479536505	0.0005837413188485767	0.0045527336973698465	0.03286962832861623	0.002229499791704902	0.0037600194346620315
spot_53	0.057021505592713885	0.10662733679747653	0.10086402436210093	0.055357586261411865	0.5161949797510955	0.07672727675773884	0.001569736682783182	0.0588214621613562	0.018912747905981794	0.0030920564352994264	0.004811287292041768
spot_54	0.005673819259258336	0.20312172616732205	0.11092264669906865	0.16152437841560943	0.0724533756909692	0.3779019212003429	0.0009462007891514014	0.005812997395194061	0.040344312905839244	0.014552896935356387	0.006745724541888275
spot_55	0.08041371058279635	0.12005342734476405	0.09856502315213013	0.019845308335247686	0.025965443051988998	0.41419322711768186	0.010039467542435336	0.20542806287834037	0.004212782772834497	0.003190218160180499	0.018093329061600386
spot_56	0.01096829559997749	0.10545983625968929	0.05332099221971536	0.05938645958200356	0.21226907826731617	0.24016729771243717	0.002197447152504947	0.27740795517391514	0.013155502673151529	0.021744673781095934	0.003922461578193372
spot_57	0.013390774403283937	0.18246606380161168	0.08782726558520973	0.0076279376936252835	0.4308971489826204	0.1465995554810044	0.0018569476971599707	0.027391950225288706	0.012390467662600265	0.08355746606633183	0.005994422401263751
spot_58	0.006658689647031632	0.1466243920452411	0.08253467435362945	0.11950725055737037	0.09179389767492036	0.471136288869545	0.0013940271944928423	0.013696564162119625	0.02321026036945263	0.0032822436293758594	0.04016171149682117
spot_59	0.010567097999987509	0.07965959666597722	0.07279717469323714	0.13301268604663158	0.29589762054698776	0.029749034428592287	0.002479113071087414	0.2005766688672653	0.1701620176178374	0.0015155944592129347	0.0035833956031834607
spot_60	0.02673944722292942	0.13462485987182818	0.09587102809199975	0.00844711655444111	0.34454296509476556	0.25574540087017716	0.0011422447562335373	0.00724776911974214	0.11189817543543054	0.006896492503520683	0.006844500478931973
spot_61	0.005763066837925876	0.31978850097148676	0.1102560021101857	0.4549406527957193	0.018009406032463128	0.035745873947786846	0.001106855815894232	0.0052349739495434955	0.04500871772968526	0.002176327264425767	0.0019696225448836884
spot_62	0.013849065073878581	0.10496357233365108	0.04239011840193012	0.3908512607929193	0.00920883713002197	0.026907096197679947	0.0010134979159975167	0.09952266180171317	0.002788014035459542	0.2991506431724818	0.009355233144267002
spot_63	0.014147376801912182	0.07132651399869679	0.03625690202654747	0.007304122107066982	0.39151407009837097	0.22239504736912571	0.003046517843894238	0.2123183485591141	0.030043311430321306	0.0025193573098109645	0.009128432455139212
spot_64	0.010338779599430742	0.19174718098627896	0.05504498840355612	0.004433811225077108	0.2267279671966818	0.06827209775630695	0.003060551599090093	0.43139550208773964	0.0057168141095586085	0.0018253925823880745	0.0014369144538919614
spot_65	0.013709277678465404	0.18412554617402965	0.14779878237488678	0.010568302613655142	0.05693151712183979	0.3728801217868028	0.04025127199920887	0.056923336521837606	0.10420556201650795	0.005642120354885468	0.006964161357880549
spot_66	0.021449300217980805	0.1490580447377704	0.13214855542156984	0.006627967667636928	0.3942413369210096	0.2554583893262624	0.0010970148024114347	0.008287123831645374	0.019789917129338988	0.0028330625133554475	0.00900928743101877
spot_67	0.0081101171872257	0.10491908827321586	0.10454289067716462	0.00690785506534158	0.36440107853506537	0.2711820177954361	0.11314374730850564	0.007292309251415977	0.011110415594570223	0.00576534494210334	0.002625135369955706
spot_68	0.131943924979798	0.10440176739118642	0.06699444726098237	0.011105520392995515	0.09405589576458417	0.45877643150546443	0.0013831554658849628	0.013401230722638102	0.11021530095887368	0.004562904153159163	0.003159421404433102
spot_69	0.013819884529491148	0.1115032290884244	0.05916471521487008	0.008385968058516756	0.032219178744864616	0.3184826436284372	0.01744622147900715	0.42822041164320174	0.0046072151114436785	0.0042334148260664015	0.0019171176756769294
spot_70	0.008107028210047476	0.15265819499404573	0.10888212432013648	0.006841467348343905	0.027798005740821002	0.6101531450314196	0.026733996654596102	0.007640546183623215	0.04289902067371922	0.0035724579433450325	0.0047140128999022925
spot_71	0.01849005912477278	0.2866927780570776	0.08667472734164866	0.004057709960070372	0.030009372955096897	0.24115562085033068	0.0012252668864415283	0.0053457356008991645	0.0035456465578567967	0.3134665458758087	0.009336536789996793
spot_72	0.07909619662803251	0.16564314023142704	0.07671908126066206	0.09355908337510319	0.3095661977270229	0.24449757394215998	0.0011150560877529183	0.0063839363982059315	0.018086493604705843	0.0027714778561879977	0.0025617628887397103
spot_73	0.0847182538094233	0.07781749565317034	0.09509877963008018	0.07150605533904227	0.034006758609561406	0.20005192312652134	0.023695171728213043	0.39863301737684126	0.0026975322526570067	0.0034477902387010364	0.008327222235788764
