B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono.Macro	Myofibroblasts	Plasma	Tprolif
spot_1	0.0227745093862453	0.585025424162023	0.11716620853663	3.74336213915836e-05	0.256623597832732	3.74336214390927e-05	3.74336213253366e-05	0.0181856583538529	3.74336214391173e-05	3.74336214830617e-05	3.74336214391162e-05
spot_2	0.0329044551769313	0.0808039109465724	0.000135454714802781	5.76576625835498e-05	0.00121077841418853	0.569746937822098	5.76576626391589e-05	0.271914760383655	5.76576625835431e-05	5.76576626672056e-05	0.0430530718912791
spot_3	0.0429557631738589	0.189926168765385	0.120728883845606	0.000179611232514416	0.000179611232519488	0.437853114584648	0.000179611232439143	0.0971029131022864	0.11053510036712	0.000179611231107612	0.00017961123251445
spot_4	0.00502621596125447	0.224682740912889	8.43198279919484e-05	8.43198279919434e-05	0.12377318015366	0.625373438758597	8.43198280026916e-05	8.43198279919721e-05	8.43198279919469e-05	8.43198280900466e-05	0.020638505245538
spot_5	0.0156569764594843	0.0808944655288336	0.00029734359565592	0.000141675948827182	0.116398928680771	0.649333778877307	0.000141675948665981	0.0826733294915944	0.000141675948827277	0.00249758257252961	0.0518225669475044
spot_6	0.0262786159331464	0.000125681634176019	0.0448023479121605	0.232202443894504	0.205742498055797	0.370424964680065	0.0141155019337482	0.105139519866409	0.000125681634176008	0.000917062821642756	0.000125681634176018
spot_7	0.00012568616441722	0.283649609355268	0.0547260116803845	0.00288476099407544	0.000125686164421986	0.577355996304507	0.000125686164441828	0.0721598920760601	0.000125686164417171	0.00859529876758951	0.00012568616441717
spot_8	0.0735790809475922	0.112740114320505	0.00021226499277167	0.250232642447844	0.00904500178707822	0.543409157832351	0.000212264992736863	0.000212264992771666	0.000212264992771665	0.00993267770080581	0.000212264992771661
spot_9	0.0131993372519863	0.261185746232259	0.00012877298955802	0.0351045507757444	0.254858027443248	0.210350102302953	0.00012877298951461	0.224658371045974	0.00012877298955801	0.000128772989646487	0.000128772989558057
spot_10	6.25087922611406e-05	6.2508792261894e-05	0.101446896200342	0.0840746964328032	0.662073890286235	0.00869155650068696	6.25087924389212e-05	6.2508792261889e-05	0.137379645183784	0.00428475017377788	0.00179853005314677
spot_11	0.0773575902006812	0.18799296766937	0.000193158961995386	0.000193158961995412	0.221815633527244	0.392146415554801	0.114454313767497	0.000193158961995411	0.00526728446969421	0.000193158962730968	0.000193158961995414
spot_12	0.262230850987255	0.356365576255234	0.000222523481054079	0.0191177618786994	0.0819250657149663	0.000222523481054078	0.000222523481041585	0.06239157546319	0.216856552295304	0.000222523481146979	0.00022252348105408
spot_13	8.00193339815677e-05	0.488221366632418	0.000624343259300342	0.089919360350919	0.0615299562733492	0.0119221312194905	8.02702251967713e-05	0.320796295131549	8.00193339815562e-05	8.00193340754625e-05	0.0266662189057382
spot_14	6.13619699126852e-05	0.000375638799249043	0.272511496422159	5.72925646144907e-05	5.72925646220562e-05	0.0240807441229582	0.137197931031608	0.557653545439717	0.00789011195582629	5.72925647182879e-05	5.72925646144725e-05
spot_15	5.9563039072246e-05	0.295198568042053	0.110795032150784	0.477981933428958	5.95630390722453e-05	5.95630390722441e-05	5.95630390961583e-05	0.0674325042092814	0.0482345839342399	5.95630392987379e-05	5.95630390722366e-05
spot_16	0.214030263930966	0.0882024313266102	0.220733873759944	0.00020980411571021	0.227767474449051	0.248007131838483	0.000209804115595951	0.000209804115710254	0.000209804115710254	0.000209804116508279	0.000209804115710258
spot_17	0.079538209645657	0.000231062509037177	0.385929459075662	0.000231062509037171	0.131591524956956	0.3935438310712	0.000231062508903191	0.000231062509037177	0.00023106250903718	0.00801060019643583	0.000231062509037179
spot_18	7.99551625295697e-05	7.52289798030921e-05	0.12090794214348	7.52289798030911e-05	0.316957360729142	0.161713751378022	7.52289801794927e-05	0.394280272635908	0.00568457305162741	7.52289797017903e-05	7.52289798030901e-05
spot_19	0.0152304646531943	0.000135252281849738	0.29117908499944	0.000135252281849722	0.117207611530448	0.574929401519163	0.000135252281856679	0.000135252281849726	0.000135252281849727	0.000641923606648403	0.000135252281849723
spot_20	0.0299534431894858	0.0551947250127456	7.98126192305391e-05	7.98126192304978e-05	0.381445356037998	0.483468225297496	0.0400654940045925	0.00287557396651737	0.00667793201418637	7.98126192866338e-05	7.98126192304946e-05
spot_21	8.83300187915865e-05	8.83300187915924e-05	0.147006330219525	0.191349720121588	0.103939216268583	0.557086423326709	8.83300167667723e-05	8.83300187915845e-05	8.83300187915765e-05	8.83299528711775e-05	8.83300187915826e-05
spot_22	4.44314793109253e-05	0.121156226431777	0.182423476474638	4.4431479292443e-05	0.358814256095795	0.331280275938504	0.00604893243985256	4.44314793109286e-05	5.46752228663343e-05	4.44314793415777e-05	4.44314793109431e-05
spot_23	0.0001901658386411	0.420757658353767	0.000190165838641099	0.21264843046688	0.055100655212101	0.295969272359174	0.000190165838870974	0.00019016583863946	0.000190165838641094	0.00397649947753385	0.0105966549371107
spot_24	8.83080054653391e-05	0.290841922128036	0.0691570056813276	8.83080054653435e-05	0.427884609185533	0.0407855585555814	8.83080054718238e-05	8.83080054646029e-05	0.0154600297077425	0.000800589944344316	0.154717052775568
spot_25	0.0966359514879247	0.000118653366837344	0.175914207499913	0.000118653366837345	0.0125041375955082	0.420969418896759	0.000118653366984686	0.222349368056129	0.00830134656728223	0.000118653366755888	0.0628509564290678
spot_26	0.109519129513805	0.0103079166082103	0.0537119186593035	8.05391785708875e-05	0.00591571212306606	0.584026476585087	8.053917857089e-05	0.168283118635515	0.0679135711606356	8.05391786654805e-05	8.05391785708825e-05
spot_27	0.000135353092849305	0.000142526657833173	0.477062991879553	0.000135353092849308	0.000135353092853361	0.475975036447029	0.000135353092836799	0.005010190340561	0.0409971361172556	0.000135353093529965	0.000135353092849302
spot_28	7.40735064964092e-05	7.40735064964416e-05	0.265645270656358	7.40735064964018e-05	0.40263623143285	0.269541478911359	7.407350678527e-05	0.0615841279236761	0.000140992384509292	7.40734826553479e-05	8.15311823171204e-05
