Topic	umass_coherence	cv_coherence	nmi	Raw_accuracy	Norm_accuracy	NormBySD_accuracy	Bayes_accuracy	BayesNorm_accuracy
11	-0.8239778250891443	0.47514628414776694	0.7781185657553712	0.7275973731198742	0.7585267681505916	0.7834034439972157	0.7866416487607057	0.8020155554883032
12	-0.9341545878820239	0.44736362382557077	0.7777023152371141	0.7910298701691735	0.8131525587870351	0.8036800532639288	0.7883061465363315	0.8037103168598493
13	-0.7482644603303678	0.40984115769447155	0.7618381416979036	0.7271131555851467	0.7615228641467179	0.7936022758224133	0.7287776533607724	0.7722059135066428
14	-0.6929052562661102	0.40081895532823114	0.7221634734189797	0.8347910298701692	0.8527070786550858	0.8532215597857338	0.8410858578216264	0.8541899948551887
15	-0.8531582979920493	0.41560443941779524	0.7104783497473892	0.8209605665345157	0.8232000726326302	0.8192052779711285	0.8250461519837787	0.8422056108706837
16	-0.7884899839823449	0.4163232222026631	0.7855967088896324	0.8581847895166904	0.8705626002481615	0.8666283327785007	0.8455043428260146	0.8622098477741125
17	-0.665580334904812	0.43197787612456645	0.7343413680948895	0.8097025088521018	0.8347607662742487	0.8485609660139818	0.8026208274067125	0.8586387434554974
18	-0.7485763168405182	0.4137137233246277	0.7252610364493367	0.833610749629271	0.8613019398964985	0.862240111370033	0.8473806857730836	0.8692915292195018
19	-0.9438697632732577	0.41930087190073095	0.7368638165887542	0.8443543261810368	0.8554610658838483	0.8513754804345852	0.8386345065520685	0.85945586054535
20	-0.9389223221645983	0.4192741070510033	0.7489321834047306	0.849287292316073	0.8545228944103138	0.8519202251611536	0.8424477196380474	0.8555518566716097
21	-0.8710882883950859	0.4398407806435223	0.7189659146355886	0.8267711769512454	0.8379384438458978	0.8343068123354417	0.8248948340041764	0.8475320037526859
22	-0.8362947427782497	0.40121299776721736	0.7255053170457068	0.8421148200829223	0.8738613322034924	0.8678388766153194	0.8431740459401386	0.8710165541869686
23	-0.9678377050230494	0.4209774776650256	0.7108222968174627	0.8541899948551887	0.8681112489786036	0.8734679054565263	0.8476530581363677	0.8668704415458645
24	-0.9477077793814983	0.4170502488700459	0.7122904872116466	0.8270435493145295	0.8528583966346881	0.853433404957177	0.8255303695185062	0.8501649365977666
25	-0.9579635938728431	0.43463880278095757	0.7345771787948302	0.8600308688678389	0.8741337045667766	0.8738915957994129	0.8505583633447327	0.8674757134642739
26	-0.8913985086685987	0.4399262559308553	0.7023690377996302	0.8639651363374996	0.8729534243258784	0.8750113488484702	0.8511333716672215	0.8700481191175136
27	-0.9092814107380712	0.4315833939365262	0.701160103624791	0.8339133855884756	0.851617589201949	0.8586992706473383	0.8490754471446297	0.8668704415458645
28	-0.8525208326621361	0.46536490902437366	0.7110396764008304	0.8514360076264261	0.8818509215264958	0.8802772145386315	0.8507702085161759	0.8699573283297521
29	-0.9679527942987225	0.4214747115820246	0.7051220662161928	0.8565808189329056	0.8692915292195018	0.8681717761704446	0.8578518899615653	0.873831068607572
30	-0.9660846175115668	0.40384848035351567	0.6746265869129731	0.8659625336682505	0.8826680386163483	0.8809430136488817	0.8511938988590624	0.8705626002481615
31	-0.7786588991852073	0.38018907663555757	0.6796474397514635	0.8567018733165874	0.870592863844082	0.8731652694973216	0.8444148533728778	0.8635414459946131
32	-0.9481528652834832	0.42996963736088334	0.7284982740763712	0.8537663045123022	0.8760403111097661	0.875253457615834	0.8463819871077082	0.8646914626395908
33	-0.9956961277911468	0.43850173776688955	0.7008721138445114	0.8540084132796659	0.8648125170232727	0.8611808855128167	0.8431135187482977	0.8601216596556003
