B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono.Macro	Myofibroblasts	Plasma	Tprolif
spot_1	0.0449914768078209	0.324036417810416	0.40623696861476	5.84941112244467e-05	0.22432567798831	5.8494111225063e-05	5.84941111901748e-05	5.84941112245654e-05	5.8494111225328e-05	5.84941113792043e-05	5.8494111225059e-05
spot_2	0.0512747073574456	0.102724252193918	5.70305487593595e-05	0.0109253960522625	0.000152289046635412	0.61365507815487	5.70305485947578e-05	0.220982175136062	5.70305487504106e-05	5.70305487444034e-05	5.79798639569682e-05
spot_3	0.0228765712100575	0.297213521454319	0.0995089155270606	0.000108469649061212	8.95016089322967e-05	0.388324304601528	8.95016089725131e-05	0.0548293500149648	0.136780861107655	8.95016085908475e-05	8.9501608859073e-05
spot_4	0.0122438631913613	0.217346335522549	0.016539148779011	2.91617835821226e-05	0.121652601160066	0.618660956068581	2.91617835463518e-05	2.91617835732741e-05	2.91617835820042e-05	2.91617844653415e-05	0.0134112863596826
spot_5	0.0466801026862345	0.211253723185571	0.000102485052807995	0.000102485052803934	0.151944277485097	0.528111041431266	0.000102485052740978	0.0613545740328648	0.000102485052807529	0.000143855914999205	0.000102485052807528
spot_6	0.0389792279530755	8.38892817714601e-05	0.0493985147699235	0.285756171694136	0.230741571195783	0.316968676334291	0.00292263395751544	0.074897646968053	8.38892817565183e-05	8.38892819227033e-05	8.38892817714411e-05
spot_7	9.44765487254235e-05	0.134364445802394	0.237188171344202	9.44765487424973e-05	9.44765486037483e-05	0.573234312015124	9.44765487508089e-05	0.0526313832854699	9.44765484469857e-05	0.00201482826080647	9.44765487340001e-05
spot_8	0.0474212027344594	0.11897336832361	0.000154265564661601	0.299395980244962	0.000154265564808928	0.532665277461733	0.000154265564684494	0.000154265564643347	0.000154265564664701	0.000618577847107166	0.000154265564664702
spot_9	0.000139796343075897	0.226715827518826	0.000139796343076579	0.0577669106262862	0.297599509675885	0.212751720645364	0.000139796343103215	0.20432725348603	0.000139796343075898	0.000139796332201664	0.000139796343075896
spot_10	0.0132790153004334	0.0407217086289933	0.0831174083171212	0.144869279530322	0.620870816573157	2.15539867308685e-05	2.15539867184396e-05	2.15539867270955e-05	0.0915815811636985	2.15539865174181e-05	0.00547397453958085
spot_11	0.0473202240078608	0.242965156259037	0.00454980554534986	0.000126366473992031	0.211725086274953	0.37431933633779	0.118488559202561	0.000126366473991603	0.000126366473992032	0.000126366476480991	0.000126366473992027
spot_12	0.205442338294697	0.434306839483955	0.000153472725765762	0.000153472725765763	0.13453504136062	0.000153472725763275	0.000153472726137064	0.0668381678041493	0.157956776704053	0.000153472723327605	0.000153472725765781
