	B	CD4Tconv	CD8Tex	Endothelial	Fibroblasts	Malignant	Mast	Mono/Macro	Myofibroblasts	Plasma	Tprolif
spot_1	0.0821434463126278	0.34573058290774983	0.25951193947155377	0.003396282001885591	0.24031775227711977	0.034480551015289074	0.0012811734534071844	0.007052585006899599	0.006297855945951782	0.003097154220452127	0.016690677387063483
spot_2	0.11825266500091608	0.09518218269583177	0.07930674328264158	0.023610091813707327	0.01282261376770029	0.4071656292702712	0.0019094613399764898	0.22433675367417327	0.0024397286831555004	0.003157305482041913	0.031816824989584436
spot_3	0.05533878122555189	0.22386377127152732	0.12594047440237943	0.008856668445380756	0.03992385262424761	0.31178440219207065	0.001439801505724187	0.06824328559630648	0.15692503056518858	0.003144578047189926	0.004539354124433339
spot_4	0.026457742847121976	0.1695767004075519	0.09031536074002923	0.010152716004263776	0.12379862360328234	0.4570147407727382	0.0015819448952327046	0.019740566235328806	0.006768772684519122	0.003967470527698037	0.09062536128223396
spot_5	0.03698477292911862	0.12464056603020217	0.09714642256941611	0.0060068769785726625	0.1055123578300232	0.35794277833392063	0.0012779940233164382	0.1019408724641213	0.026233164675600874	0.12113736340365103	0.021176830762056887
spot_6	0.07649483927462444	0.07206022225927311	0.049246609829081786	0.3648771048207411	0.20008719381799545	0.16452059717308137	0.000995554609194777	0.05496938177256239	0.006439972709509669	0.0021846537339648	0.00812386999997123
spot_7	0.006767454240453036	0.2175132267866012	0.17892103156146524	0.005500635486467083	0.017821961843971734	0.4403408059019998	0.0012958917229170296	0.06100143861532424	0.019524996326179718	0.04107453199948798	0.01023802551513313
spot_8	0.04071879709610654	0.11508997757910235	0.04961188078208738	0.3619453279298072	0.03154112347000327	0.29020028078933835	0.035274455294007745	0.00518309189894248	0.004297618926673832	0.0620142829339638	0.004123163299967013
spot_9	0.04354803806344656	0.2050391257396594	0.08385504030454433	0.11857591954080526	0.2175434610236634	0.1034758043985708	0.0032337471911318945	0.21034115028546632	0.00666791418591591	0.002705664369099654	0.005014134897696367
spot_10	0.02684910808253645	0.08316594439504159	0.043191800594675145	0.17596219366579466	0.4588288450470793	0.030247675065323384	0.00046825722644943345	0.003469014418172223	0.1257791283501439	0.04736968517967706	0.004668347975106743
spot_11	0.06470410068370105	0.19536790822514014	0.09295190098051855	0.0055188956779812825	0.1901729617032754	0.3095936630114395	0.11189711251643036	0.0066469686201790345	0.01343523964172526	0.006065718713845647	0.0036455302257638557
spot_12	0.18602114586091048	0.20175885355316434	0.11262392347833328	0.006854992648693741	0.13351106751486785	0.03052237805967082	0.0012222327647022683	0.08165850596247347	0.1538585980051859	0.08535798117893886	0.006610320973059196
spot_13	0.010516518459058068	0.25914822471727395	0.1550176489182045	0.12791377434311252	0.038114024021567945	0.03239561301085903	0.0027927645866933732	0.3513225267899324	0.00739135921052427	0.0024154441412531412	0.012972101801520705
spot_14	0.012163412680434837	0.1533130776335358	0.16838953302405513	0.004601099009180865	0.00980307587783156	0.03953429780311468	0.10547607126971173	0.48479627650667173	0.0015158149580195121	0.005442322217137088	0.014965019020307072
spot_15	0.005949903888520165	0.17992206992022297	0.12464575987171637	0.4259300583870161	0.03259078081541377	0.050714798053469165	0.001258396474742393	0.08354261019550102	0.08538145354166124	0.002373337675377903	0.007690831176358913
spot_16	0.2061917074555785	0.23679167226584755	0.11944519868096536	0.004742756395897678	0.2238999190190936	0.15011434291865305	0.017554223495992567	0.009222516142293795	0.006254056672986815	0.0039652085880977975	0.02181839836459339
spot_17	0.06931185345282571	0.18115911471872478	0.14095416695521643	0.032003610548354225	0.10437188174786409	0.28904914397296755	0.0011793315389199454	0.010334866915030636	0.038846498156037176	0.11380411509622235	0.018985416897837067
spot_18	0.013468971233443908	0.11148933065626183	0.09408415683668858	0.004354047240505908	0.23060393573257795	0.10271461172814952	0.0034678038695382567	0.4254252331474241	0.005753160710776974	0.0019510676830180485	0.006687681161614816
spot_19	0.06796507079728267	0.14996129207626957	0.14319752892876855	0.02449594835303625	0.1541207957532318	0.4205895230167798	0.0012730062960029014	0.010607177428957781	0.006931935568698847	0.0037077825444560477	0.01714993923651588
spot_20	0.052879449189874986	0.09677707817079768	0.0382064182765292	0.005458376509692225	0.38844596888627964	0.32675666719836166	0.056664573667251986	0.005705670923072116	0.020534932150933143	0.0037375770444399467	0.004833287982767613
spot_21	0.0064789042664538865	0.14793815259776266	0.1295898873697111	0.21179944829805294	0.07156349090847783	0.39752846983753126	0.0010815699482837088	0.00877439932221884	0.004208629929005884	0.00297594443326969	0.018061103089232162
spot_22	0.00500122598513305	0.2133300574414297	0.13591297494770363	0.004221558345381028	0.34944844804436487	0.2715431130423085	0.0010517215184880423	0.004906367708390321	0.008497005119293062	0.0021369740518230682	0.0039505537956846986
spot_23	0.006361519718357091	0.25569422119617	0.08516662281574078	0.3545448612381832	0.08664342481400528	0.1946399587127908	0.0011763433423434128	0.00644714994247477	0.004910040324682102	0.0026995301981058567	0.001716327697146778
spot_24	0.007520386805999486	0.20116658746774196	0.13788836332559137	0.015365035617781601	0.36137242836527683	0.1259208962852384	0.0013726311176539656	0.014586088050712103	0.041637536287378436	0.027430144214917875	0.065739902461708
spot_25	0.08263306248514543	0.09864389336981104	0.13139885414937133	0.004921262109807902	0.026343767456139703	0.384075508088891	0.0016838913514351116	0.1531198883752355	0.0033423922098002735	0.10236095508463634	0.011476525319726288
spot_26	0.11241307227854568	0.11871299425532453	0.1034074764562948	0.019196552191116874	0.020676165275544535	0.36049217758739266	0.001776075872826644	0.17125143620521652	0.07203234067332061	0.002893586107611535	0.017148123096805527
spot_27	0.009247727171722382	0.27800383144484425	0.21869846493821174	0.008699722628697202	0.034710507279712186	0.31695977012368315	0.0017530855690067694	0.010148882952088248	0.09957012491331325	0.003520126140078866	0.018687756838641937
spot_28	0.005499551403965965	0.1335832438706977	0.1658974364566948	0.004645308535033715	0.34847448551270593	0.22313634689184467	0.0011344690504153808	0.08338037270198091	0.008925752381666622	0.002312679063416589	0.02301035413157775
spot_29	0.005766614857181303	0.2131298731673438	0.14421084761760036	0.006899442429665496	0.3176217544629605	0.09432687728651451	0.07301523878459722	0.006914173589820811	0.12128899836851967	0.004517983868341049	0.012308195567455174
spot_30	0.14066684754502704	0.052027193449472674	0.05369033785129693	0.0042645388611781505	0.02271617150840553	0.06633232345211872	0.0036372701400013414	0.49440573247519254	0.0019624898404582516	0.1363893774864434	0.02390771739040546
spot_31	0.05603144122855374	0.2409523698042393	0.16819851330277258	0.0034731758499782265	0.006670199419265016	0.03277932142347223	0.0024281985900967288	0.38709313773638815	0.0013558007908902575	0.09274297466434431	0.008274867189999448
spot_32	0.006662485614419392	0.31926954372917843	0.22154454360734582	0.004344119456444323	0.3270937932001818	0.09201244096254484	0.0013761102241314838	0.006755710531108056	0.008439321098945768	0.0027476047037022036	0.009754326871997895
spot_33	0.10453984028509908	0.0546844067147051	0.028961678048541984	0.24388401874956356	0.2647700058207263	0.02265743078117566	0.00043182854326577935	0.004062325555640828	0.1525225797599333	0.11691821833079816	0.006567667410550194
spot_34	0.015995017137581398	0.14303751529254172	0.1221336193404141	0.03429483557806915	0.09309736435586083	0.25523477701957564	0.0037310288009132675	0.2898842179617398	0.021945048340716675	0.0022082258804193007	0.01843835029216798
