,mean_nUMI_factorsB,mean_nUMI_factorsCD4Tconv,mean_nUMI_factorsCD8Tex,mean_nUMI_factorsEndothelial,mean_nUMI_factorsFibroblasts,mean_nUMI_factorsMalignant,mean_nUMI_factorsMast,mean_nUMI_factorsMono/Macro,mean_nUMI_factorsMyofibroblasts,mean_nUMI_factorsPlasma,mean_nUMI_factorsTprolif
spot_1,184.1985365069692,290.55160644228823,4961.765942821703,5.550038811433916,300.08200869720264,14329.013280330024,16.373215799070906,68.80059888595227,44.64047735736319,3.189613487998876,4.989508570933509
spot_2,22.72405650056726,315.42415796969976,3668.0535017228967,4.130582350587568,1.145743453258708,15053.203751508547,5.73835988270645,7.179926926046676,1.9029645122173973,896.276289711487,10.097957486467001
spot_3,16.343401742173622,624.7346912405259,2262.036484455348,5.173666519525647,3.786181925311659,11992.26059593202,6.027731920787544,5983.182673003693,10.104593862541327,4.2528407330102596,28.003019804205938
spot_4,78.7569376800425,145.27576013761853,3916.3779098703603,37.23540769028309,305.30642670068283,15403.433021038394,10.282352386013532,19.779180271609597,17.939589782682667,1.158976857344124,35.51989601389261
spot_5,12.240321469852752,424.18020391867196,1364.1656862732448,31.449828877103673,10.463690201611056,16868.185880836296,1558.33196696675,569.2880710829975,81.45724258013281,6.331750137386875,19.734681578155648
spot_6,29.208131607876787,984.8901256711088,3546.58013489963,3.6445505947920727,23.44710212681694,16034.948442479707,6.0578566098915845,41.86429706890325,3.2995732575007595,2.0983317580349787,11.958508772672284
spot_7,29.42546521161868,605.7009955063755,2691.8085085460107,8.587555952031058,6.170465456182756,16838.785264330836,5.293736859890138,12.073901927461398,428.4195351567148,2.4080169066710897,6.7867715803376685
spot_8,12.104023965241884,210.20820673965292,2731.4119216361337,2.7668953117175543,59.248164401037116,17167.858625741683,8.721049575250913,23.79382214368008,90.59314026337144,1.1509717256251937,5.539599376110669
spot_9,312.4435984652547,1876.0211110925436,1343.6384636659072,7.860991703691752,13.729337814481148,18143.088409388954,5.872942476726612,47.46910638583918,7.506119773388674,3.3447249634743517,15.388818223894168
spot_10,11.424628805047842,378.87509278944617,4436.073534581728,1.2622713341162848,35.28672725757,15659.943509711058,12.617771880872995,19.4736615649986,4.874703411673116,51.77227678971353,137.43092546075087
spot_11,31.130626222853735,310.4104028987384,2615.2612828141014,3.2684980665393764,6.634366089737442,8563.050365377694,3.9308402283575465,8140.642482177816,5.960124621156046,4.584930437919317,6.63047150919959
spot_12,11.346640448171723,294.2697624124026,5152.028516212356,10.097875272740586,7.294634157657201,13927.847330120323,5.371435043642036,191.2434026827526,28.776193422464086,3.4723328062249323,2102.8020071826927
spot_13,829.5668676786862,363.77850591636104,4026.4377328048113,12.176929629850017,1.5406643757665366,14717.189343231388,3.460366258199345,15.939814217945127,2.312669282455706,38.75862737423815,18.708375774943438
spot_14,13.624146603000884,3366.727166066478,1219.1660988218277,10.69364469530082,13.069250043889822,11925.707928699203,4.204259975055686,3472.895116563448,31.247011000977707,2.12151636657044,8.712728018570607
spot_15,373.4655968682894,2038.3975412759307,916.4612545667288,2.6232849495117163,3.3184743276647084,5005.718344331929,10.037827439710956,10242.500885368478,111.48681808530108,27.88388230445511,10.03429257353476
spot_16,150.27426094046658,5450.979247523727,2533.5299470990576,10.442219452912124,3.3776834980642962,12091.202810900908,9.301162492451375,27.32435500940046,14.619800234456562,3.2005002746456825,378.06576790341205
spot_17,12.507089951253276,755.7647981828796,2743.350675546053,5.083334394871363,41.47966341466128,17130.044110473234,3.1890483806600596,14.926366972041178,13.653818312364956,1.450314182228733,141.93694258958743
spot_18,38.043112021434325,3242.05533913846,372.0131367609638,2.712700049764329,2.0466600879012966,17346.186991165392,24.229694686527417,9.645944431299913,2.6175442632648225,1.6105059643191673,3.025336784478492
spot_19,7.4434914791554,136.9195545624668,529.0523032376421,5.703200910645145,5.841519557411764,18533.75772801793,4.868909604277174,6.23124047810774,4.80432217665263,1.9849493328982175,1472.9020945808245
spot_20,11.174601212377631,144.33418343060328,2770.4356095628227,11.45413655500146,5.414475393602286,9181.87715118581,2.441481959287616,5864.182583116819,147.57594733952314,17.194282877518674,232.8096150599361
spot_21,204.7535069341144,3267.1814070828086,2350.841192334738,8.025638675800625,5.50479856776531,13409.923033513338,366.7618452321377,10.560449283629378,23.01348963456614,4.240832898124946,24.948803126660028
spot_22,14.77597054662481,4966.912753310054,1286.060011402808,14.504916441991272,3.6300710297702117,14820.755625991376,11.579583324429288,10.24227150991604,8.51849789753721,2.0273693272629556,11.96037771722889
spot_23,43.17360666042801,2055.765722597382,1967.7142667285268,3.52230794665102,2.076682930838483,5797.334232904113,2272.7741419329896,6963.438376135701,5.448621021743276,4.335713090028662,5.6825977862892305
spot_24,322.1587352211847,409.09709031033015,4833.2959345229165,7.39402126723134,3.6431741674150753,13880.357308500787,64.1043325087408,34.30069371626894,2.9489226037793244,3.598415045032209,434.2498922279769
spot_25,15.583754066432336,2471.7886806516635,3958.06636065414,2.103269601611907,1.2155555060227752,13827.752401802398,3.9137529848562678,8.679147647142285,1.5591325743899875,6.542898531224989,6.119899292571364
spot_26,743.6331625807935,3053.49032083119,1028.8510829268007,149.1892665318858,3.0909609106685934,16098.92973059853,5.534309598357181,50.850627540234,7.859883207957468,1.3627239557825122,10.754299416088545
spot_27,15.953767848318206,1008.1574841888249,2889.800611734193,16.161379449560336,3.2632822540353916,17651.528818006605,2.7583008416945196,440.78932660897766,27.17688303307176,1.592350498270812,30.525250167297123
spot_28,13.70103543606116,340.4157319522616,9194.63642779765,9.494909939721259,9.263460541769684,10922.850466206479,5.314217607972739,15.438480905285987,6.117245109152006,4.588224772666639,350.1002913517789
spot_29,9.551432463041538,165.98238566069216,2548.9657826820685,3.726445401697339,1.3913994912069545,10073.584304344926,4.768823093156872,7352.860898340323,3.726634016690164,2.173727334962413,392.23528622064197
spot_30,13.476557898409288,178.41612143366453,4017.20960824602,3.448288712600203,48.29024582493735,15926.53974090357,9.748101141230944,25.81473890377687,97.64853792320046,877.4353149482902,12.08398080011938
spot_31,4.277256148373175,685.933324051364,4037.0549381711535,10.276066744506855,2.723850201878552,17224.184967208206,3.8567606512848305,4.335447373838414,2.05732143814914,1.720419723350931,10.582269344724729
spot_32,392.22891279707216,2724.1347160813666,167.27382450822427,8.523146797432753,28.495492073244254,12714.943096065574,5.634648656320178,4136.056799396935,155.19193568963595,5.8367490105038335,15.825308989371804
spot_33,51.9908729800958,1831.7796367606693,4800.593600996072,16.836872191057772,3.6828755909277215,13729.818682611432,5.124319548982544,7.552817709469447,2.8982891850821835,3.3020923251800283,6.966422878325832
spot_34,202.4896028495445,4076.0147780884877,914.1858874604301,5.579834440865986,1.7668096257224066,13368.576747051524,10.341396857360182,1960.0210270192488,1.3831598670435512,6.117046803967195,16.43428370197437
spot_35,24.286759172438405,4489.915617462618,238.881481113437,2.0192533411920266,3.0286514038531345,15591.439266578325,5.120852624057723,5.444110378737851,3.1821522077449993,1.0347077407125151,4.892484749758805
spot_36,24.861334380800105,3817.4543350835274,3335.800253258468,10.30911809071312,60.35196756524497,12446.43875456691,4.517814272657616,19.64042303921,5.1239854301479,2.0782077284782057,17.925127846126408
spot_37,16.17757976241847,1777.5079099491863,2684.872263159211,334.0130293197669,7.290243932609166,8561.687995144051,9.618625850035126,6009.697225334199,151.18547783000582,5.665283179184741,12.894117365265437
spot_38,7.01913498807398,900.3682123783432,3924.0424151562343,2.2193958297303,4.053055433215692,16955.641075653522,7.659396213144135,8.227655696788176,3.317943080876508,3.143278799314695,11.746289043251615
spot_39,65.91955633539386,462.62290116199597,2569.0550110554655,8.368441930009748,144.26290790290355,17039.986207425958,15.024470450628566,16.087297126859355,42.971137780695315,1.8303509621785348,35.249948228152704
spot_40,38.19162279040121,4731.7310365538615,531.3217748621366,12.114805260374373,42.43576104393982,12656.389466927723,5.843133408288521,162.4851605117475,228.39118613254624,4.547951450548069,18.38813456750751
spot_41,59.627794811136226,3367.3932705532675,2907.370283674152,4.341796176138049,16.222354490228465,13560.175307894347,6.9293278350570535,16.48315033135266,5.325842840409149,15.685657212744108,19.776336762317666
spot_42,19.019660727257683,200.4516158915535,6588.142501658508,2.6277648254009245,108.21245987698079,13004.919446303486,2.8766477798160137,26.27096161469715,14.355298385307584,29.115731977967275,33.81077333658205
spot_43,78.60595298943467,4980.981538137863,1925.5688530867978,4.361202707807212,5.1617208374168495,10641.680791422648,7.367943482489495,7.495676581998912,2.191972291859219,3.9993379055422036,1809.3680110698306
spot_44,14.286300392815791,2033.7946723932441,4070.62396086357,5.460644378378762,2.9898372639687856,14301.66741106282,27.566013488597715,24.933679810378518,2.6630868949344007,4.763019409683998,209.49761728877385
spot_45,20.136124637007196,166.17411459424372,1819.0940262384886,3.225913019989457,0.9154692171235543,11942.010357262714,6.115161307873923,5810.707473135453,2.2122338094475187,47.461237945244896,980.1127789457207
spot_46,88.1814742295463,357.7667981721205,2522.9685508233724,9.580123423672964,220.20456683600352,13109.959960081158,5.708469081755363,2476.0366666239684,35.60589995354416,4.481943502059831,144.06640834381025
spot_47,87.40762754174224,2309.3594521952837,1792.706955283582,6.297694967012841,75.07488612379136,15158.714890740828,8.365078519767142,9.791612370040887,5.773174397171129,1.80318373041025,4.050796310383449
spot_48,9.769502021929949,330.64840244179817,4266.816654681603,10.706193216439273,219.7808547168957,10309.174604148082,11.216906972684255,5859.435350904407,6.069021045644357,1.5005534121182802,259.7771400916815
spot_49,496.0812396813648,9944.798701038302,106.64984797471561,49.61493387068057,49.11381344747306,5724.710906130995,1136.8865685896853,600.0933887545428,4.433893047563277,2.2539315308842656,7.930495945652107
spot_50,3.0068091726757156,761.2304232678175,906.8802287874529,22.586374313253657,0.5902783543927469,16728.205608125547,3.9608382876848176,19.456556532082168,2.6211928757409413,1.8001449222618935,2868.431712563434
spot_51,7.844936471354967,745.5284795294424,3749.3768608107807,9.893128741042762,9.13357660490295,16158.817162841471,9.57170869641778,7.99553610538939,155.87886681846697,5.705758543783327,29.16103239800532
spot_52,7.8647537493582425,1835.4774374517203,2496.5307139297624,4.324980391279859,107.81631309377188,6076.867710338306,7.189085405600382,9265.498355031012,22.641548216595616,2.487067162768501,5.886427575065818
spot_53,803.5423169881342,168.90681069471432,2128.6068897010796,5.260881078602517,2.7334339988291014,11082.041816172523,3.2516658342957028,4420.404723488658,2.077746603207545,2.3329726099143193,527.9103803300728
spot_54,59.54529386527794,3682.111984515289,1194.692816782343,4.890540484500682,4.001500315387127,15547.12644392321,6.848956012346809,9.862402689086602,3.348786134603322,1.6083315733136752,22.75983020878455
spot_55,15.87249188006326,195.6657531118013,1723.3906232260788,6.193862445416803,2.8893046893284597,19002.92666530639,3.088533306985951,21.35226548821267,4.327544060703343,22.277007935234753,13.42368043122138
